GS	converged	loss	gene.tested	coef	std.err	t.value	p.value	adj.p.val	Target_Gene	Library
GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION	Y	0.0228919607892116	31	-0.199208227236387	0.624781417156267	-0.318844673939081	0.749851672917047	0.999999999999093	CDK9, CHD1, DHX9, EP300, SNW1, RRP1B, NELFB, GTF2F1, MDFIC, JUN, ZNF639, RSF1, POLR2A, POLR2B, POLR2C, POLR2D, POLR2E, POLR2F, POLR2H, POLR2I, POLR2J, POLR2L, NUCKS1, SMARCA4, SMARCB1, SP1, SUPT5H, TFAP4, NELFE, CCNT1, CTDP1	c5.bp.v7.1
GO_CARDIAC_CHAMBER_DEVELOPMENT	Y	0.0676942584229923	114	0.151728387647294	0.229039586542265	0.662454861789997	0.507696656852222	0.999999999999093	ZMPSTE24, UBE4B, CITED2, TAB1, FRS2, PPP1R13L, XIRP2, CPE, CCM2L, NKX2-5, TMEM65, ZFPM1, AP2B1, DNM2, JAG1, DSP, DAND5, ENG, FGFR2, FHL2, FKBP1A, FOXC1, PLXND1, ZFPM2, HEY2, HECTD1, GATA3, GATA4, GATA6, HEYL, NPHP3, GSK3A, NRG1, HIF1A, HES1, NDST1, ID2, CCN1, RBPJ, KCNK2, LTBP1, SMAD4, SMAD6, SMAD7, MDM2, MDM4, MEF2C, MSX2, MYH10, NOS3, NOTCH1, NOTCH2, PDE2A, SUFU, FGFRL1, DLL4, POU4F1, MED1, CHD7, PARVA, TBX20, SALL4, ADGRG6, VANGL2, PTK7, RARA, SAV1, ROBO1, SALL1, SCN5A, PRDM1, SHOX2, CPLANE1, BMP7, BMPR1A, SLIT3, BMPR2, SMARCD3, SMO, SOS1, SOX4, SOX11, SRF, TBX2, TBX3, TGFB1, TGFB2, TGFBR1, TGFBR2, TGFBR3, TNNC1, TNNI1, TP53, TPM1, NSD2, WNT5A, ZBTB14, LUZP1, PTCD2, NPRL3, ARID1A, FZD1, DCTN5, NRP1, FOXH1, ACVR1, NOG, DHRS3, TRIP11, HAND1, ADAMTS1, MATR3, SNX17, MAML1	c5.bp.v7.1
GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	Y	0.0208928853209629	28	-9.73978623672725	571.67051500565	-0.0170374122524598	0.986407145756034	0.999999999999093	CDK9, EME1, DDX11, DNA2, PRIMPOL, MMS22L, MCM9, SAMHD1, GEN1, CENPS, MRE11, MSH3, TONSL, PCNA, POLD1, POLE, ATRX, TIPIN, RFWD3, FANCM, RAD51, BLM, NUCKS1, BRCA2, WRN, FBH1, TIMELESS, SLFN11	c5.bp.v7.1
GO_CIRCADIAN_RHYTHM	Y	0.0710689872765337	121	0.0462673769594285	0.247423562545514	0.186996648514095	0.851667460775125	0.999999999999093	HUWE1, NAMPT, CDK4, HNRNPR, NCOA2, MYBBP1A, ATG7, ADCY1, RAI1, NMU, PPARGC1A, GPR176, CAVIN3, BTBD9, CLDN4, CPT1A, CREB1, CREM, CRY1, CRY2, CSNK1D, CSNK1E, SIK1, DDB1, DRD4, DYRK1A, AHCY, EGFR, EGR1, AHR, EGR3, EP300, NR2F6, EZH2, KDM2A, MYCBP2, PHLPP1, CRTC1, SIRT1, TARDBP, SIN3A, GFPT1, GNAQ, GSK3B, HDAC1, HDAC2, HNF4A, HNRNPD, HNRNPL, HNRNPU, ID1, ID2, ID3, ID4, IMPDH2, JUN, JUND, SRRD, KMT2A, ASS1, ZFHX3, NGFR, NONO, NTRK2, NTRK3, OPRL1, SERPINE1, PER1, PML, PPARA, PPARG, PPP1CA, PPP1CB, PPP1CC, PIWIL2, PSPC1, FBXW7, LGR4, PRKAA1, PRKAA2, MAPK8, MAPK9, ARNTL2, PTEN, CCAR2, KDM5A, RORA, SFPQ, SIAH2, SIX3, SLC6A4, SRD5A1, SREBF1, STAR, SUV39H1, KLF9, HNF1B, KLF10, TOP1, TOP2A, TP53, TYMS, USP7, GPR157, NRIP1, USP9X, RBM4B, OGT, BHLHE40, PER3, PER2, TIMELESS, BTRC, USP2, MTA1, ROCK2, MAGED1, CLOCK, NCOR1, CDK1, THRAP3	c5.bp.v7.1
GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	Y	0.00934674204793025	11	-9.78678106662083	942.7195139136	-0.010381434692056	0.991717191605932	0.999999999999093	PLA2G4B, LPCAT3, PLAAT3, OSBPL8, OSBPL10, PLA2G4F, PLA2G4D, PLA2G4A, PLA2G5, PLA2G2F, PLA2G12A	c5.bp.v7.1
GO_SPINAL_CORD_DEVELOPMENT	Y	0.0353816539793489	52	0.288661934050191	0.292856108317024	0.985678378740549	0.324317365920912	0.999999999999093	GDF11, ADARB1, LBX1, DCC, OLIG3, CLN8, AKT1, EVX1, DAAM2, IFT172, PHGDH, GATA2, MDGA1, INTU, GLI3, ABT1, MNX1, HOXD10, DRAXIN, LHX1, NFE2L1, NKX2-2, NOTCH1, PBX3, SUFU, VIT, PKD1, PKD2, DLL4, ZC4H2, TBX20, PLXDC1, PTBP2, SHH, ISL2, SMO, SOX4, SOX11, SOX12, SRD5A1, TAL1, TULP3, VLDLR, WNT1, TCTN1, DYNC2H1, GDPD5, NKX6-2, ZPR1, LHX4, NOG, BAG3	c5.bp.v7.1
GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	Y	0.0239602342993666	33	0.592678744929787	0.269925564121168	2.19571179506265	0.0281379198223985	0.569565957695325	TXNIP, F3, FER, ABL1, RAPGEF1, HIP1, JAK2, LOX, MYO1E, PDGFB, PDGFRA, PIK3C2A, PLAT, PDGFC, PTEN, PTPN1, PTPN11, PTPN12, PTPRJ, PLEKHA1, VEGFA, NR4A3, PDGFD, ARID5B, CBL, IQGAP1, NRP1, SGPL1, HIP1R, HGS, SLC9A3R1, PHF14, LRIG2	c5.bp.v7.1
GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS	Y	0.012931138900515	16	-9.32851921488329	571.26511935073	-0.0163295795575364	0.986971820291281	0.999999999999093	TLR6, ABCA1, AKT1, HMGCS1, ITGB1, MIA3, LDLR, LPL, MYD88, NPC1, PPARG, SREBF2, ADAM17, TLR4, SOCS5, CD81	c5.bp.v7.1
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	Y	0.0209325828674588	28	0.430138894816604	0.343878834063711	1.25084434460107	0.211023673440726	0.999999999999093	CDH5, ADD1, CTNNB1, FOXC1, SFN, LHX1, LIF, NME2, NOTCH1, NUMA1, SERPINE1, PAX2, F11R, MED1, TMEM100, RFX3, BMP6, SOX9, BTG1, VDR, WNT10B, VEZF1, NCOA3, ATOH8, PROM1, S1PR2, ACVRL1, ZEB2	c5.bp.v7.1
GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	Y	0.160655768964491	341	0.146474170818413	0.136106662281594	1.07617194017563	0.281879111190413	0.999999999999093	TOM1L1, RAD50, RASGRP1, TENM1, SPRY2, CDKN1A, CDKN1B, PAK4, TLR6, VAV3, TAB1, STK25, CENPE, ADCY1, MAP3K2, FRS2, MALT1, ADCY3, GCN1, ADCY6, AKAP13, PDCD10, DUSP12, ADCY7, PARK7, TIRAP, OSBPL8, ADCY9, CKS1B, CKS2, CLU, CCR7, MAP3K8, PRRC1, CRK, CRKL, DUSP19, MAPK14, CACUL1, CSF1, CSF1R, CSK, CSPG4, IL23R, ADRA2B, DAB2IP, DAG1, DAXX, DDX3X, DLG1, DRD4, DUSP5, DUSP6, DUSP7, DUSP9, DVL2, DVL3, ECT2, LPAR1, EDN1, EEF1A2, EFNA1, EFNA5, EGF, EGFR, EGR1, MUC20, MARK2, EMP2, EPHA4, EPO, ERBB2, ERBB3, EREG, AKT1, ERN1, EZH2, F2, F2R, ACSL1, CCNY, FGF1, FGF2, FGF10, FGFR1, FGFR3, ATG14, MAPRE3, DKK1, TAB2, MAPK8IP3, FLT1, SASH1, ADNP, SIRT1, FPR1, FPR2, ABL1, RICTOR, FYN, XRCC6, EPGN, DSTYK, GAS6, GREM1, GNG3, ANG, DYNAP, DOK7, RAPGEF1, DBNL, GRM1, GRM5, MDFIC, HGF, NRG1, PIK3R4, HRAS, HSP90AA1, HSP90AB1, IGF1, IGF2, CCN1, IL1B, IL6R, ILK, IRAK1, IRAK2, IRS1, ITGA1, ITGB3, JAK2, SLC27A1, KRAS, RHOA, TNFAIP8L3, LYN, ARRB1, MAP3K1, MAP3K3, MAP3K4, MAP3K5, KITLG, MAP3K9, MAP3K11, MRE11, NAB2, NBN, NEK1, NPM1, NTF3, NTRK2, NTRK3, DDR2, ATP2B4, P2RX7, MINK1, NOX4, PAK1, PAK2, PAK3, MRNIP, PLCE1, ANGPT4, SNX9, HACD3, PDGFB, PDGFRA, PDPK1, GPRC5B, CAB39, STK26, MAP3K20, PFKFB2, PIK3CA, PIK3CB, PKD1, PKD2, NCAPG2, PARP16, PIH1D1, PPP2CA, FBXW7, STRADB, PRKAA1, AMBRA1, PRKACA, PRKACB, PRKAG1, PRKAR1A, PRKAR2A, PKN1, PRKD1, GPRC5C, PRKCZ, MAPK1, MAPK11, PDGFC, MAP2K1, MAP2K2, MAP2K3, MAP2K6, MAP2K7, EIF2AK2, PRLR, PRNP, PAK6, CASS4, TIGAR, CEMIP, VANGL2, PTK2, KIDINS220, TAOK1, PTPN1, PTPN11, MAP4K2, RAF1, RALB, RANBP2, CCND1, RET, ROBO1, RPLP1, RPS3, RPS27A, BDNF, SAA1, CCL5, SDC4, CLSPN, NOD2, MAP2K4, MLST8, SHC1, BMP2, WNK1, SLC11A1, SOD1, BRAF, NEK4, STK3, STK4, STK10, STK11, ADAM17, MAP3K7, TAL1, PRDX2, TGFA, TGFB1, TGFB2, TGFBR1, TGFBR2, THBS1, TIAM1, TLR3, TLR4, TNF, TP73, TPD52L1, UBA52, UBB, UBC, UBE2N, UBE2V1, VAV2, VEGFA, VLDLR, WNT5A, WNT7B, XRCC5, LRP8, CXCR4, FZD5, MAPKAPK3, CARD14, MUL1, ARHGEF5, BORA, CALM1, DBF4B, PDGFD, CALM2, SRCIN1, CALM3, ZFP91, HMGA2, AXIN1, FZD4, TRAF7, MAP3K21, PSRC1, IKBKG, MAPKAPK5, TNFSF11, LAMTOR3, SOCS1, PEA15, TNFRSF10B, TNFRSF10A, CCNK, IQGAP1, KSR1, CDK5R1, CCNB1, BCL10, CCND2, CDK5R2, CCND3, MAP3K14, CCNT1, SPAG9, ZNF622, CCNT2, GPRC5A, MAP3K6, CD4, MOB1B, MAPKAPK2, S1PR2, ACVR2B, TAOK2, SYAP1, MAP4K4, MAGED1, GDF15, CD40LG, TRAF4, SLK, CD81, RASSF2, DAZAP2, CDK1, ZEB2, CDC6, KIF14, CDC25B, OXSR1, TNFSF15, CDC42	c5.bp.v7.1
