"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirecords","hsa-let-7a-5p","NF2","4771","ENSG00000186575","Western blot//activity assay//Luciferase activity assay","17220301"
"mirecords","hsa-let-7a-5p","NF2","4771","ENSG00000186575","Western blot//activity assay//Luciferase activity assay","17220301"
"mirecords","hsa-let-7a-5p","KRAS","3845","ENSG00000133703","","15766527"
"mirecords","hsa-let-7a-5p","KRAS","3845","ENSG00000133703","","15766527"
"mirecords","hsa-let-7a-5p","KRAS","3845","ENSG00000133703","","15766527"
"mirecords","hsa-let-7a-5p","KRAS","3845","ENSG00000133703","","15766527"
"mirecords","hsa-let-7a-5p","KRAS","3845","ENSG00000133703","","15766527"
"mirecords","hsa-let-7a-5p","KRAS","3845","ENSG00000133703","","15766527"
"mirecords","hsa-let-7a-5p","KRAS","3845","ENSG00000133703","","15766527"
"mirecords","hsa-let-7a-5p","KRAS","3845","ENSG00000133703","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","NRAS","4893","ENSG00000213281","","15766527"
"mirecords","hsa-let-7a-5p","TRIM71","131405","ENSG00000206557","real time RT-PCR//Luciferase-real time PCR","17890240"
"mirecords","hsa-let-7a-5p","TRIM71","131405","ENSG00000206557","real time RT-PCR//Luciferase-real time PCR","17890240"
"mirecords","hsa-let-7a-5p","HMGA2","8091","ENSG00000149948","Western blot","17600087"
"mirecords","hsa-let-7a-5p","HMGA2","8091","ENSG00000149948","Western blot","17600087"
"mirecords","hsa-let-7a-5p","HMGA2","8091","ENSG00000149948","Western blot","17600087"
"mirecords","hsa-let-7a-5p","HMGA2","8091","ENSG00000149948","Western blot","17600087"
"mirecords","hsa-let-7a-5p","HMGA2","8091","ENSG00000149948","Western blot","17600087"
"mirecords","hsa-let-7a-5p","HMGA2","8091","ENSG00000149948","Western blot","17600087"
"mirecords","hsa-let-7a-5p","HMGA2","8091","ENSG00000149948","Western blot","17600087"
"mirecords","hsa-let-7a-5p","RAVER2","55225","ENSG00000162437","","17637574"
"mirecords","hsa-let-7a-5p","LIN28","","ENSG00000131914","","16495412"
"mirecords","hsa-let-7a-5p","CASP3","836","ENSG00000164305","Western blot","18758960"
"mirecords","hsa-let-7a-5p","DICER1","23405","ENSG00000100697","Western blot//Luciferase activity assay","18700235"
"mirecords","hsa-let-7a-5p","DICER1","23405","ENSG00000100697","Western blot//Luciferase activity assay","18700235"
"mirecords","hsa-let-7a-5p","PRDM1","639","ENSG00000057657","Luciferase activity assay","18583325"
"mirecords","hsa-let-7a-5p","ITGB3","3690","ENSG00000259207","","18679415"
"mirecords","hsa-let-7a-5p","EIF2C4","","ENSG00000134698","","20144220"
"mirecords","hsa-let-7a-5p","HRAS","3265","ENSG00000174775","Western blot","20005451"
"mirecords","hsa-let-7a-5p","ACP1","52","ENSG00000143727","","19939273"
"mirecords","hsa-let-7a-5p","DAD1","1603","ENSG00000129562","","19939273"
"mirecords","hsa-let-7a-5p","EIF3S1","","ENSG00000104131","","19939273"
"mirecords","hsa-let-7a-5p","MED28","80306","ENSG00000118579","","19939273"
