"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirecords","hsa-let-7b-5p","LIN28","","ENSG00000131914","activity assay//Luciferase activity assay","15131085"
"mirecords","hsa-let-7b-5p","CCND1","595","ENSG00000110092","","18379589"
"mirecords","hsa-let-7b-5p","CDC25A","993","ENSG00000164045","","18026111"
"mirecords","hsa-let-7b-5p","BCL7A","605","ENSG00000110987","","18026111"
"mirecords","hsa-let-7b-5p","HMGA2","8091","ENSG00000149948","Western blot//quantitative RT-PCR//Luciferase-qRT-PCR","17437991"
"mirecords","hsa-let-7b-5p","HMGA2","8091","ENSG00000149948","Western blot//quantitative RT-PCR//Luciferase-qRT-PCR","17437991"
"mirecords","hsa-let-7b-5p","HMGA2","8091","ENSG00000149948","Western blot//quantitative RT-PCR//Luciferase-qRT-PCR","17437991"
"mirecords","hsa-let-7b-5p","HMGA2","8091","ENSG00000149948","Western blot//quantitative RT-PCR//Luciferase-qRT-PCR","17437991"
"mirecords","hsa-let-7b-5p","HMGA2","8091","ENSG00000149948","Western blot//quantitative RT-PCR//Luciferase-qRT-PCR","17437991"
"mirecords","hsa-let-7b-5p","HMGA2","8091","ENSG00000149948","Western blot//quantitative RT-PCR//Luciferase-qRT-PCR","17437991"
"mirecords","hsa-let-7b-5p","CDK6","1021","ENSG00000105810","Western blot","17699775"
"mirecords","hsa-let-7b-5p","CDC25A","993","ENSG00000164045","Western blot","17699775"
"mirecords","hsa-let-7b-5p","CDC34","997","ENSG00000099804","Immunoblot analysis","19126550"
"mirecords","hsa-let-7b-5p","KRT","","","immunocytochemistry","19998415"
"mirtarbase","hsa-let-7b-5p","ABCF1","23","ENSG00000206490","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ABCF1","23","ENSG00000236149","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ABCF1","23","ENSG00000236342","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ABCF1","23","ENSG00000204574","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ABCF1","23","ENSG00000225989","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ABCF1","23","ENSG00000232169","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ABCF1","23","ENSG00000231129","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ABL1","25","ENSG00000097007","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ACACA","31","ENSG00000275176","Proteomics","18668040"
"mirtarbase","hsa-let-7b-5p","ACACA","31","ENSG00000278540","Proteomics","18668040"
"mirtarbase","hsa-let-7b-5p","ACACA","31","ENSG00000275176","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ACACA","31","ENSG00000278540","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ASIC1","41","ENSG00000110881","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ACPP","55","ENSG00000014257","Proteomics","18668040"
"mirtarbase","hsa-let-7b-5p","ACTA1","58","ENSG00000143632","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7b-5p","ACTB","60","ENSG00000075624","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ACTG1","71","ENSG00000184009","Luciferase reporter assay//Reporter assay;Other","15131085"
"mirtarbase","hsa-let-7b-5p","ACTG1","71","ENSG00000184009","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ACTN4","81","ENSG00000130402","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ACTN4","81","ENSG00000282844","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ACVR1","90","ENSG00000115170","Luciferase reporter assay//Microarray//qRT-PCR","22995917"
"mirtarbase","hsa-let-7b-5p","ADCY1","107","ENSG00000164742","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ADH5","128","ENSG00000197894","HITS-CLIP","23313552"
"mirtarbase","hsa-let-7b-5p","ADH5","128","ENSG00000197894","PAR-CLIP","26701625"
"mirtarbase","hsa-let-7b-5p","ADH5","128","ENSG00000197894","PAR-CLIP","27292025"
"mirtarbase","hsa-let-7b-5p","AGL","178","ENSG00000162688","Proteomics","18668040"
"mirtarbase","hsa-let-7b-5p","JAG1","182","ENSG00000101384","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","AHR","196","ENSG00000106546","PAR-CLIP","23592263"
"mirtarbase","hsa-let-7b-5p","AK4","205","ENSG00000162433","PAR-CLIP","23446348"
"mirtarbase","hsa-let-7b-5p","AK4","205","ENSG00000162433","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7b-5p","AKT2","208","ENSG00000105221","Luciferase reporter assay//qRT-PCR//Western blot","25288334"
"mirtarbase","hsa-let-7b-5p","AMD1","262","ENSG00000123505","HITS-CLIP","23313552"
"mirtarbase","hsa-let-7b-5p","AMPH","273","ENSG00000078053","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","SLC25A4","291","ENSG00000151729","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","BIRC5","332","ENSG00000089685","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","APRT","353","ENSG00000198931","Proteomics","18668040"
"mirtarbase","hsa-let-7b-5p","AQP6","363","ENSG00000086159","PAR-CLIP","27292025"
"mirtarbase","hsa-let-7b-5p","AR","367","ENSG00000169083","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ARCN1","372","ENSG00000095139","Proteomics","18668040"
"mirtarbase","hsa-let-7b-5p","RHOB","388","ENSG00000143878","pSILAC//Proteomics;Other","18668040"
"mirtarbase","hsa-let-7b-5p","RHOG","391","ENSG00000177105","pSILAC//Proteomics;Other","18668040"
"mirtarbase","hsa-let-7b-5p","GET3","439","ENSG00000198356","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ASPA","443","ENSG00000108381","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ATOX1","475","ENSG00000177556","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ATP1A1","476","ENSG00000163399","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ATP2A2","488","ENSG00000174437","Proteomics","18668040"
"mirtarbase","hsa-let-7b-5p","ATP2A2","488","ENSG00000174437","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ALDH7A1","501","ENSG00000164904","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","ATP6V0A1","535","ENSG00000033627","pSILAC//Proteomics;Other","18668040"
"mirtarbase","hsa-let-7b-5p","AUP1","550","ENSG00000115307","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","BACH1","571","ENSG00000156273","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7b-5p","BCAT1","586","ENSG00000060982","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","CCND1","595","ENSG00000110092","Immunoblot//Immunofluorescence//Luciferase reporter assay//qRT-PCR//Reporter assay;Other","18379589"
"mirtarbase","hsa-let-7b-5p","CCND1","595","ENSG00000110092","immunoblot//Luciferase reporter assay//Northern blot//Western blot","20133835"
"mirtarbase","hsa-let-7b-5p","CCND1","595","ENSG00000110092","Immunoblot//Microarray//qRT-PCR//Western blot//Annexin V-FITC","23806108"
"mirtarbase","hsa-let-7b-5p","CCND1","595","ENSG00000110092","PAR-CLIP","23592263"
"mirtarbase","hsa-let-7b-5p","CCND1","595","ENSG00000110092","PAR-CLIP","26701625"
"mirtarbase","hsa-let-7b-5p","BCL7A","605","ENSG00000110987","Microarray//qRT-PCR","18026111"
"mirtarbase","hsa-let-7b-5p","BCL7A","605","ENSG00000282873","Microarray//qRT-PCR","18026111"
"mirtarbase","hsa-let-7b-5p","BFSP1","631","ENSG00000125864","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","BGLAP","632","ENSG00000242252","Proteomics","18668040"
"mirtarbase","hsa-let-7b-5p","PRDM1","639","ENSG00000057657","Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot","20651244"
"mirtarbase","hsa-let-7b-5p","BMP7","655","ENSG00000101144","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","POLR3D","661","ENSG00000168495","HITS-CLIP","23313552"
"mirtarbase","hsa-let-7b-5p","BNIP3L","665","ENSG00000104765","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","VPS51","738","ENSG00000149823","Proteomics","18668040"
"mirtarbase","hsa-let-7b-5p","CA12","771","ENSG00000074410","Proteomics","18668040"
"mirtarbase","hsa-let-7b-5p","CALU","813","ENSG00000128595","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7b-5p","CAPG","822","ENSG00000042493","pSILAC//Proteomics;Other","18668040"
"mirtarbase","hsa-let-7b-5p","CBFB","865","ENSG00000067955","Microarray","17699775"
"mirtarbase","hsa-let-7b-5p","CCNA2","890","ENSG00000145386","Immunoblot//Immunofluorescence//Luciferase reporter assay//qRT-PCR","18379589"
"mirtarbase","hsa-let-7b-5p","CCNB1","891","ENSG00000134057","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","CCND2","894","ENSG00000118971","Luciferase reporter assay","17699775"
"mirtarbase","hsa-let-7b-5p","CCND2","894","ENSG00000118971","qRT-PCR","17942906"
"mirtarbase","hsa-let-7b-5p","CCND2","894","ENSG00000118971","Immunohistochemistry//Luciferase reporter assay//QRTPCR//Western blot","23482325"
"mirtarbase","hsa-let-7b-5p","CCND3","896","ENSG00000112576","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","CCNF","899","ENSG00000162063","Microarray","17699775"
"mirtarbase","hsa-let-7b-5p","CCNF","899","ENSG00000162063","CLASH","23622248"
"mirtarbase","hsa-let-7b-5p","CCNG1","900","ENSG00000113328","CLASH","23622248"
