"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirecords","hsa-miR-106b-5p","E2F1","1869","ENSG00000101412","Western blot","18328430"
"mirecords","hsa-miR-106b-5p","CDKN1A","1026","ENSG00000124762","Western blot","18328430"
"mirecords","hsa-miR-106b-5p","VEGFA","7422","ENSG00000112715","ELISA","18320040"
"mirecords","hsa-miR-106b-5p","CDKN1A","1026","ENSG00000124762","Western blot","18212054"
"mirecords","hsa-miR-106b-5p","TAF6L","10629","ENSG00000162227","","18728182"
"mirecords","hsa-miR-106b-5p","ITCH","83737","ENSG00000078747","Western blot//Luciferase activity assay","19096009"
"mirecords","hsa-miR-106b-5p","ITCH","83737","ENSG00000078747","Western blot//Luciferase activity assay","19096009"
"mirecords","hsa-miR-106b-5p","RB1","5925","ENSG00000139687","","19175831"
"mirecords","hsa-miR-106b-5p","RB1","5925","ENSG00000139687","","19175831"
"mirecords","hsa-miR-106b-5p","E2F1","1869","ENSG00000101412","Western blot","19486339"
"mirecords","hsa-miR-106b-5p","CDKN1A","1026","ENSG00000124762","Western blot","19422085"
"mirtarbase","hsa-miR-106b-5p","ABCA1","19","ENSG00000165029","HITS-CLIP","22473208"
"mirtarbase","hsa-miR-106b-5p","ACADSB","36","ENSG00000196177","HITS-CLIP","22473208"
"mirtarbase","hsa-miR-106b-5p","ACOX1","51","ENSG00000161533","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-106b-5p","ACVR1B","91","ENSG00000135503","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-106b-5p","ACVR1B","91","ENSG00000135503","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-106b-5p","ACVR1B","91","ENSG00000135503","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-106b-5p","ACVR1B","91","ENSG00000135503","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-106b-5p","ADAR","103","ENSG00000160710","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-106b-5p","ADAR","103","ENSG00000160710","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-106b-5p","ADD1","118","ENSG00000087274","HITS-CLIP","22473208"
"mirtarbase","hsa-miR-106b-5p","ADH5","128","ENSG00000197894","CLASH","23622248"
"mirtarbase","hsa-miR-106b-5p","GRK3","157","ENSG00000100077","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-106b-5p","GRK3","157","ENSG00000100077","HITS-CLIP","27418678"
