"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirecords","hsa-miR-148a-3p","DNMT3B","1789","ENSG00000088305","Western blot//GFP-Western blot","18367714"
"mirecords","hsa-miR-148a-3p","DNMT3B","1789","ENSG00000088305","Western blot//GFP-Western blot","18367714"
"mirecords","hsa-miR-148a-3p","DNMT3B","1789","ENSG00000088305","","18367714"
"mirecords","hsa-miR-148a-3p","DNMT3B","1789","ENSG00000088305","","18367714"
"mirecords","hsa-miR-148a-3p","NR1I2","8856","ENSG00000144852","Western blot//activity assay","18268015"
"mirecords","hsa-miR-148a-3p","DNMT1","1786","ENSG00000130816","Western blot//Luciferase activity assay","20146264"
"mirecords","hsa-miR-148a-3p","DNMT1","1786","ENSG00000130816","Western blot//Luciferase activity assay","20146264"
"mirecords","hsa-miR-148a-3p","MSK1","","","Western blot","20406806"
"mirecords","hsa-miR-148a-3p","CDNK1B","","","Western blot//Luciferase activity assay","21552422"
"mirtarbase","hsa-miR-148a-3p","ACVR1","90","ENSG00000115170","Luciferase reporter assay","22408438"
"mirtarbase","hsa-miR-148a-3p","ACVR1","90","ENSG00000115170","Luciferase reporter assay//qRT-PCR","25271001"
"mirtarbase","hsa-miR-148a-3p","ADARB1","104","ENSG00000197381","Sequencing","20371350"
"mirtarbase","hsa-miR-148a-3p","ALCAM","214","ENSG00000170017","Luciferase reporter assay//qRT-PCR//Western blot","28063929"
"mirtarbase","hsa-miR-148a-3p","AMELX","265","ENSG00000125363","CLASH","23622248"
"mirtarbase","hsa-miR-148a-3p","APC","324","ENSG00000134982","CLASH","23622248"
"mirtarbase","hsa-miR-148a-3p","APLP2","334","ENSG00000084234","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-148a-3p","BAX","581","ENSG00000087088","Luciferase reporter assay//qRT-PCR//Western blot","27261578"
"mirtarbase","hsa-miR-148a-3p","BCL2","596","ENSG00000171791","Luciferase reporter assay","21455217"
"mirtarbase","hsa-miR-148a-3p","BMP3","651","ENSG00000152785","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-148a-3p","RUNX3","864","ENSG00000020633","qRT-PCR//Western blot","23549984"
