"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirtarbase","hsa-miR-320d","ABCA2","20","ENSG00000107331","HITS-CLIP","23706177"
"mirtarbase","hsa-miR-320d","ACPP","55","ENSG00000014257","PAR-CLIP","22100165"
"mirtarbase","hsa-miR-320d","ADD1","118","ENSG00000087274","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-320d","ARF1","375","ENSG00000143761","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-320d","ARL3","403","ENSG00000138175","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-320d","CKS1B","1163","ENSG00000173207","PAR-CLIP","22100165"
"mirtarbase","hsa-miR-320d","CRK","1398","ENSG00000167193","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-320d","GNAI1","2770","ENSG00000127955","Luciferase reporter assay//Western blot//Immunohistochemical (IHC) staining","23691483"
"mirtarbase","hsa-miR-320d","IGF2","3481","ENSG00000167244","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-320d","RBPJ","3516","ENSG00000168214","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-320d","MAX","4149","ENSG00000125952","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-320d","MCL1","4170","ENSG00000143384","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-320d","MDK","4192","ENSG00000110492","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-320d","NQO2","4835","ENSG00000124588","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-320d","PFN1","5216","ENSG00000108518","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-320d","PNN","5411","ENSG00000100941","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-320d","RPS6KA1","6195","ENSG00000117676","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-320d","RPS6KA1","6195","ENSG00000281877","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-320d","SRSF7","6432","ENSG00000115875","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-320d","TAL1","6886","ENSG00000162367","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-320d","THRB","7068","ENSG00000151090","HITS-CLIP","28735896"
"mirtarbase","hsa-miR-320d","TP73","7161","ENSG00000078900","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-320d","TPD52","7163","ENSG00000076554","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-320d","ZNF148","7707","ENSG00000163848","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-320d","ULK1","8408","ENSG00000177169","PAR-CLIP//HITS-CLIP","21572407"
"mirtarbase","hsa-miR-320d","SEMA7A","8482","ENSG00000138623","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-320d","SEMA7A","8482","ENSG00000288455","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-320d","SEMA7A","8482","ENSG00000138623","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-320d","SEMA7A","8482","ENSG00000288455","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-320d","SLC25A12","8604","ENSG00000115840","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-320d","EIF2B5","8893","ENSG00000145191","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-320d","AIMP1","9255","ENSG00000164022","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-320d","BCL7B","9275","ENSG00000106635","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-320d","BCL7B","9275","ENSG00000106635","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-320d","ZBTB33","10009","ENSG00000177485","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-320d","ZBTB33","10009","ENSG00000177485","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-320d","ZNF267","10308","ENSG00000185947","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-320d","NPM3","10360","ENSG00000107833","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-320d","NPM3","10360","ENSG00000107833","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-320d","SYNCRIP","10492","ENSG00000135316","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-320d","SYNCRIP","10492","ENSG00000135316","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-320d","SYNCRIP","10492","ENSG00000135316","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-320d","SEC24A","10802","ENSG00000113615","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-320d","ZNF275","10838","ENSG00000063587","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-320d","ZNF275","10838","ENSG00000063587","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-320d","SRCAP","10847","ENSG00000080603","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-320d","SF3A3","10946","ENSG00000183431","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-320d","VPS45","11311","ENSG00000136631","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-320d","CTRC","11330","ENSG00000162438","PAR-CLIP","23708386"
"mirtarbase","hsa-miR-320d","CTRC","11330","ENSG00000162438","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-320d","HSPA4L","22824","ENSG00000164070","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-320d","SWAP70","23075","ENSG00000133789","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-320d","FBXO28","23219","ENSG00000143756","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-320d","FBXO28","23219","ENSG00000143756","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-320d","SYNM","23336","ENSG00000182253","PAR-CLIP","22100165"
"mirtarbase","hsa-miR-320d","RBFOX2","23543","ENSG00000100320","Luciferase reporter assay","23418466"
"mirtarbase","hsa-miR-320d","RBFOX2","23543","ENSG00000277564","Luciferase reporter assay","23418466"
"mirtarbase","hsa-miR-320d","C2CD2","25966","ENSG00000157617","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-320d","ZNF451","26036","ENSG00000112200","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-320d","ABHD12","26090","ENSG00000100997","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-320d","MRPS18B","28973","ENSG00000203624","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-320d","MRPS18B","28973","ENSG00000227420","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-320d","MRPS18B","28973","ENSG00000229861","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-320d","MRPS18B","28973","ENSG00000204568","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-320d","MRPS18B","28973","ENSG00000223775","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-320d","MRPS18B","28973","ENSG00000233813","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-320d","MRPS18B","28973","ENSG00000226111","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-320d","ORMDL2","29095","ENSG00000123353","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-320d","SLC38A2","54407","ENSG00000134294","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-320d","SLC38A2","54407","ENSG00000134294","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-320d","GTPBP2","54676","ENSG00000172432","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-320d","TASOR2","54906","ENSG00000108021","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-320d","TASOR2","54906","ENSG00000108021","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-320d","VPS13D","55187","ENSG00000048707","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-320d","YOD1","55432","ENSG00000180667","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-320d","TNRC6C","57690","ENSG00000078687","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-320d","TMEM43","79188","ENSG00000170876","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-320d","KLHL15","80311","ENSG00000174010","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-320d","KLHL15","80311","ENSG00000174010","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-320d","SLC38A1","81539","ENSG00000111371","CLASH","23622248"
"mirtarbase","hsa-miR-320d","EIF2A","83939","ENSG00000144895","PAR-CLIP","22100165"
