"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirtarbase","hsa-miR-422a","ACACA","31","ENSG00000275176","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-422a","ACACA","31","ENSG00000278540","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-422a","AKT1","207","ENSG00000142208","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-422a","MYRF","745","ENSG00000124920","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-422a","CYP7A1","1581","ENSG00000167910","qRT-PCR//Luciferase reporter assay","20351063"
"mirtarbase","hsa-miR-422a","CYP8B1","1582","ENSG00000180432","qRT-PCR//Luciferase reporter assay","20351063"
"mirtarbase","hsa-miR-422a","FOXG1","2290","ENSG00000176165","Luciferase reporter assay//Northern blot//","25251503"
"mirtarbase","hsa-miR-422a","FOXE1","2304","ENSG00000178919","Luciferase reporter assay//Northern blot//","25251503"
"mirtarbase","hsa-miR-422a","NDST1","3340","ENSG00000070614","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-422a","KCNJ6","3763","ENSG00000157542","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-422a","MLF1","4291","ENSG00000178053","CLASH","23622248"
"mirtarbase","hsa-miR-422a","NT5E","4907","ENSG00000135318","Immunohistochemistry//qRT-PCR","27281619"
"mirtarbase","hsa-miR-422a","P4HB","5034","ENSG00000185624","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-422a","PIK3CA","5290","ENSG00000121879","Luciferase reporter assay//qRT-PCR//Western blot","27648359"
"mirtarbase","hsa-miR-422a","RAP1B","5908","ENSG00000127314","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-422a","REST","5978","ENSG00000084093","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-422a","REST","5978","ENSG00000084093","PAR-CLIP","24398324"
"mirtarbase","hsa-miR-422a","REST","5978","ENSG00000084093","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-422a","REST","5978","ENSG00000084093","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-422a","RPS7","6201","ENSG00000171863","CLASH","23622248"
"mirtarbase","hsa-miR-422a","TERT","7015","ENSG00000164362","qRT-PCR","25845814"
"mirtarbase","hsa-miR-422a","TGFB1","7040","ENSG00000105329","Luciferase reporter assay//qRT-PCR//Western blot","27779704"
"mirtarbase","hsa-miR-422a","TGFB2","7042","ENSG00000092969","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-422a","YY1","7528","ENSG00000100811","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-422a","TXNL1","9352","ENSG00000091164","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-422a","TXNL1","9352","ENSG00000091164","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-422a","TXNL1","9352","ENSG00000091164","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-422a","IGDCC3","9543","ENSG00000174498","HITS-CLIP","27418678"
"mirtarbase","hsa-miR-422a","WTAP","9589","ENSG00000146457","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-422a","HIPK3","10114","ENSG00000110422","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-422a","ZNF609","23060","ENSG00000180357","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-422a","PRKD2","25865","ENSG00000105287","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-422a","RDH11","51109","ENSG00000072042","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-422a","LGSN","51557","ENSG00000146166","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-422a","CAB39","51719","ENSG00000135932","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-422a","SPA17","53340","ENSG00000064199","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-422a","ARL8B","55207","ENSG00000134108","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-422a","WDR33","55339","ENSG00000136709","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-422a","RCC2","55920","ENSG00000179051","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-422a","RCC2","55920","ENSG00000281540","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-422a","CELF4","56853","ENSG00000101489","HITS-CLIP","27418678"
"mirtarbase","hsa-miR-422a","CYP20A1","57404","ENSG00000119004","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-422a","ESYT2","57488","ENSG00000117868","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-422a","CACNG8","59283","ENSG00000142408","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-422a","DCTPP1","79077","ENSG00000179958","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-422a","HAUS3","79441","ENSG00000214367","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-422a","VPS37B","79720","ENSG00000139722","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-422a","LMNB2","84823","ENSG00000176619","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-422a","FOXQ1","94234","ENSG00000164379","Luciferase reporter assay//Northern blot//","25251503"
"mirtarbase","hsa-miR-422a","PPARGC1B","133522","ENSG00000155846","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-422a","DPY19L3","147991","ENSG00000178904","HITS-CLIP","28735896"
"mirtarbase","hsa-miR-422a","ARGFX","503582","ENSG00000186103","PAR-CLIP","22012620"
