"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirtarbase","hsa-miR-548d-5p","ACTN4","81","ENSG00000130402","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-548d-5p","ACTN4","81","ENSG00000282844","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-548d-5p","ACTN4","81","ENSG00000130402","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-548d-5p","ACTN4","81","ENSG00000282844","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-548d-5p","ACTN4","81","ENSG00000130402","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-548d-5p","ACTN4","81","ENSG00000282844","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-548d-5p","XIAP","331","ENSG00000101966","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-548d-5p","XIAP","331","ENSG00000101966","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-548d-5p","AQP3","360","ENSG00000165272","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-548d-5p","ATP5MC3","518","ENSG00000154518","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-548d-5p","BACH1","571","ENSG00000156273","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-548d-5p","BMI1","648","ENSG00000168283","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-548d-5p","CAPZA1","829","ENSG00000116489","PAR-CLIP","24398324"
"mirtarbase","hsa-miR-548d-5p","CAPZA1","829","ENSG00000116489","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-548d-5p","CAPZA1","829","ENSG00000116489","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-548d-5p","CCNB1","891","ENSG00000134057","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-548d-5p","CCNB1","891","ENSG00000134057","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-548d-5p","CD47","961","ENSG00000196776","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-548d-5p","CDK4","1019","ENSG00000135446","PAR-CLIP","24398324"
"mirtarbase","hsa-miR-548d-5p","CDK4","1019","ENSG00000135446","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-548d-5p","CDK4","1019","ENSG00000135446","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-548d-5p","CDK4","1019","ENSG00000135446","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-548d-5p","CSE1L","1434","ENSG00000124207","PAR-CLIP","22012620"
