"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirtarbase","hsa-miR-6832-5p","GRK3","157","ENSG00000100077","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6832-5p","ART4","420","ENSG00000111339","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6832-5p","ATP1A2","477","ENSG00000018625","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6832-5p","ATP5MC1","516","ENSG00000159199","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6832-5p","BACH1","571","ENSG00000156273","PAR-CLIP","22100165"
"mirtarbase","hsa-miR-6832-5p","CD1D","912","ENSG00000158473","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-6832-5p","CD4","920","ENSG00000010610","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-6832-5p","CDKN1A","1026","ENSG00000124762","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-6832-5p","COL9A2","1298","ENSG00000049089","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-6832-5p","DMXL1","1657","ENSG00000172869","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-6832-5p","SLC26A2","1836","ENSG00000155850","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6832-5p","EPB41L1","2036","ENSG00000088367","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-6832-5p","CLN8","2055","ENSG00000182372","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6832-5p","CLN8","2055","ENSG00000278220","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6832-5p","EPS8","2059","ENSG00000151491","HITS-CLIP","27418678"
"mirtarbase","hsa-miR-6832-5p","ERBB3","2065","ENSG00000065361","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6832-5p","ERBB3","2065","ENSG00000065361","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-6832-5p","FGB","2244","ENSG00000171564","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-6832-5p","FRK","2444","ENSG00000111816","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-6832-5p","FRK","2444","ENSG00000111816","PAR-CLIP","24398324"
"mirtarbase","hsa-miR-6832-5p","GGCX","2677","ENSG00000115486","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-6832-5p","GGCX","2677","ENSG00000115486","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-6832-5p","GRIN2A","2903","ENSG00000183454","HITS-CLIP","27418678"
"mirtarbase","hsa-miR-6832-5p","GTF2H3","2967","ENSG00000111358","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6832-5p","GUCA1B","2979","ENSG00000112599","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6832-5p","HDGF","3068","ENSG00000143321","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-6832-5p","HSP90AA1","3320","ENSG00000080824","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-6832-5p","HSP90AA1","3320","ENSG00000080824","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-6832-5p","HSP90AA1","3320","ENSG00000080824","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-6832-5p","HSP90AA1","3320","ENSG00000080824","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-6832-5p","HSP90AA1","3320","ENSG00000080824","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-6832-5p","HSP90AB1","3326","ENSG00000096384","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-6832-5p","HSP90AB1","3326","ENSG00000096384","PAR-CLIP","24398324"
"mirtarbase","hsa-miR-6832-5p","HSP90AB1","3326","ENSG00000096384","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-6832-5p","HSP90AB1","3326","ENSG00000096384","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-6832-5p","HSP90AB1","3326","ENSG00000096384","PAR-CLIP","20371350"
