miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison size sig
hsa-miR-3136-5p 20.0589071670255 1.34724758913759 0.295772378773098 4.55501488924066 5.23818679237087e-06 0.00596891384990661 60_4060 44_101 TRUE
hsa-miR-617 7.69282092430911 1.73352730702722 0.379514468371535 4.56775024800936 4.92986936517435e-06 0.00596891384990661 60_4060 44_101 FALSE
hsa-miR-1281-5p:Novel 322.245891083263 -2.48943549589905 0.599920764871649 -4.14960715092378 3.33046360571946e-05 0.0138168576415894 60_4060 44_101 TRUE
hsa-miR-3168 15.9763501961001 -2.1099131500169 0.505832313085455 -4.17117114789867 3.03038146108899e-05 0.0138168576415894 60_4060 44_101 TRUE
hsa-miR-500a-3p 3.02929899359665 1.6610661243438 0.40189468787276 4.13308803143398 3.57921556924087e-05 0.0138168576415894 60_4060 44_101 FALSE
hsa-miR-6846-5p 28.2036537066571 -1.7484699024857 0.423423078724702 -4.12936845046774 3.63761061209022e-05 0.0138168576415894 60_4060 44_101 TRUE
hsa-miR-3940-5p 4.40415193056992 1.20715133104802 0.304641982024757 3.96252454446649 7.41613801166263e-05 0.0241448264693988 60_4060 44_101 FALSE
hsa-miR-153-3p 15.0900504678914 0.98867774827309 0.280706554454335 3.52210424938235 0.000428135746370318 0.0903850627058109 60_4060 44_101 FALSE
hsa-miR-3125-3p:Novel 10.5736363428655 0.927906421872618 0.257888114572118 3.59809688559001 0.000320554214284085 0.0903850627058109 60_4060 44_101 FALSE
hsa-miR-3189-3p 3.13536575839383 -1.82625080390668 0.515982057602561 -3.53936881524932 0.000401085062764009 0.0903850627058109 60_4060 44_101 FALSE
hsa-miR-486-3p 84.2732822040582 -1.70927990795051 0.485988772225343 -3.51711810156377 0.000436259626925809 0.0903850627058109 60_4060 44_101 FALSE
hsa-miR-1293-3p:Novel 3.15017467712885 1.00506407918732 0.290358530857743 3.46145875658716 0.000537256433716796 0.0941851855723522 60_4060 44_101 FALSE
hsa-miR-3118 3.89847177756347 -1.93605921512779 0.558205324944929 -3.46836393099403 0.000523637629159339 0.0941851855723522 60_4060 44_101 FALSE
hsa-miR-3154 55.9576358365102 1.1738293420255 0.341934740654186 3.43290459395773 0.00059715218568195 0.0972078450835117 60_4060 44_101 FALSE
hsa-miR-6813-5p 1.55468856779976 1.65087968730389 0.486274678007431 3.39495302134293 0.000686403774656155 0.104287613496092 60_4060 44_101 FALSE
hsa-miR-1182 7.30464948420494 0.695901847602997 0.207995318327549 3.34575726607028 0.000820581963127002 0.116881643372902 60_4060 44_101 FALSE
hsa-miR-298-3p:Novel 7.97880457189783 0.882089428241432 0.267478208409725 3.29779922441472 0.000974457852989732 0.1306346733508 60_4060 44_101 FALSE
hsa-miR-8075 36.5747269226558 -1.24004502605108 0.381266238912633 -3.2524385835674 0.00114419319952668 0.14486757231785 60_4060 44_101 FALSE
hsa-miR-6778-3p 5.05175231040554 1.26994208117985 0.392507286116937 3.23546116492091 0.00121446404842943 0.145671766651088 60_4060 44_101 FALSE
hsa-miR-8075-5p:Novel 35.5089665583504 -1.24200966112229 0.387406801241004 -3.20595729642248 0.00134613964033128 0.15339261201575 60_4060 44_101 FALSE
hsa-miR-5701-3p:Novel 3.48017777591102 -1.62073132982789 0.511092343150748 -3.17111252310398 0.00151856308055491 0.16480025050403 60_4060 44_101 FALSE
hsa-miR-106b-5p 25.3761407761108 -1.23383880738503 0.395135443921778 -3.12257183293657 0.00179278350472224 0.165699640806407 60_4060 44_101 FALSE
hsa-miR-3927-3p 1.81431204736906 -1.27638335749577 0.409292683198809 -3.11851007821653 0.00181767925412908 0.165699640806407 60_4060 44_101 FALSE
hsa-miR-5572 10.9517016457194 0.781904944545084 0.248963163312706 3.14064512251953 0.00168576164699027 0.165699640806407 60_4060 44_101 FALSE
hsa-miR-675-5p 6.1161610828703 1.04911952711303 0.334418873267595 3.13714210224476 0.00170603419041281 0.165699640806407 60_4060 44_101 FALSE
hsa-miR-3666 2.70324040261881 1.11879091401217 0.36173874145958 3.09281474662615 0.00198267860724434 0.173789405611918 60_4060 44_101 FALSE
hsa-miR-3613-3p 1.4235172853244 -1.47675310954508 0.482943034531594 -3.05782049631875 0.0022295308481805 0.188188918629754 60_4060 44_101 FALSE
hsa-miR-876-3p 2.91611133762499 -1.18111959803327 0.388561276167586 -3.03972544480694 0.00236793904694782 0.192733324571217 60_4060 44_101 FALSE
hsa-miR-12126-5p:Novel 123.211840764641 -1.16001066493921 0.38683526518132 -2.99872004791364 0.00271116297709309 0.201283329600665 60_4060 44_101 FALSE
hsa-miR-5008-5p 1.36878866465449 -1.36799694048169 0.45619064898052 -2.9987395479036 0.00271098947534462 0.201283329600665 60_4060 44_101 FALSE
hsa-miR-6791-5p 11.6338074369216 0.966342016157261 0.322573859997441 2.99572326215437 0.00273794787960536 0.201283329600665 60_4060 44_101 FALSE
hsa-miR-3934-5p 7.56773720728655 -0.985440381209245 0.331848101128468 -2.9695525689561 0.00298233779953104 0.212398370160352 60_4060 44_101 FALSE
hsa-miR-1281 63.3966099236399 -1.43548243856338 0.493489508426481 -2.90884084474359 0.00362771489265567 0.250532189101887 60_4060 44_101 FALSE
hsa-miR-3180-4-3p:Novel, hsa-miR-3180-5-3p:Novel 24.8846706576665 0.747801196658608 0.258522883726076 2.89259188927723 0.0038207739995164 0.254246494669955 60_4060 44_101 FALSE
hsa-miR-4463 6.33174466965518 1.03643621628727 0.3591545864316 2.8857663397392 0.0039046192687356 0.254246494669955 60_4060 44_101 FALSE
hsa-miR-1208 2.95263873887162 -1.01194163762924 0.355001075014956 -2.8505311922974 0.00436462691280526 0.255050890622646 60_4060 44_101 FALSE
hsa-miR-3649-5p:Novel 2.78422164997669 1.02665883318579 0.357230118439725 2.87394253785187 0.00405382710763968 0.255050890622646 60_4060 44_101 FALSE
hsa-miR-3666-3p:Novel 6.95668565131906 0.769999172391754 0.269229477277263 2.86001065031516 0.00423626780917032 0.255050890622646 60_4060 44_101 FALSE
hsa-miR-4654 27.3818947491139 0.837649669696233 0.29360840746241 2.85294851375628 0.00433156388543341 0.255050890622646 60_4060 44_101 FALSE
hsa-miR-155-5p 11.0623443843702 -1.3918322710085 0.496776647775534 -2.80172644435048 0.00508299545478267 0.282540161986578 60_4060 44_101 FALSE
hsa-miR-581 4.23461943593558 1.08298570613853 0.386145365621525 2.80460625079729 0.00503780804082101 0.282540161986578 60_4060 44_101 FALSE
hsa-miR-3189-5p 3.48575716223207 -2.03368234996968 0.730905692997649 -2.78241416020305 0.00539561364896568 0.285967523395181 60_4060 44_101 FALSE
hsa-miR-4651 1.61870843019875 0.933315974304375 0.334895801437895 2.78688466770001 0.00532174154245044 0.285967523395181 60_4060 44_101 FALSE
hsa-miR-9898 11.4102099454453 -0.714466493956587 0.257847433309252 -2.77088852422154 0.0055903562119675 0.289555041069862 60_4060 44_101 FALSE
hsa-miR-1288-3p 12.4383860889418 0.788731910919107 0.293160342108671 2.69044545809246 0.00713566982713541 0.2931191377225 60_4060 44_101 FALSE
hsa-miR-144-3p 21.8779645163867 -1.29167382768111 0.473667889047044 -2.726960930959 0.00639206069630268 0.2931191377225 60_4060 44_101 FALSE
hsa-miR-221-5p 8.57803253061763 -1.40238210232965 0.520949242873635 -2.69197454745091 0.00710303659164402 0.2931191377225 60_4060 44_101 FALSE
hsa-miR-3074-5p 10.6551568746815 0.975933373908979 0.354199791187246 2.75531888552994 0.00586349571845609 0.2931191377225 60_4060 44_101 FALSE
hsa-miR-4426 7.12737654478308 -1.64148773986525 0.611907896770337 -2.68257322471087 0.00730581560153502 0.2931191377225 60_4060 44_101 FALSE
hsa-miR-4437 70.4018938861542 0.47903472090874 0.178704060694686 2.68060344597969 0.00734895463104105 0.2931191377225 60_4060 44_101 FALSE
hsa-miR-4511 2.79143187857452 -0.928459998111617 0.340119597737931 -2.72980446962369 0.00633719000757453 0.2931191377225 60_4060 44_101 FALSE
hsa-miR-4700-3p 2.13921578394358 -1.73749722883355 0.644987452976402 -2.69384655595326 0.00706326737589475 0.2931191377225 60_4060 44_101 FALSE
hsa-miR-4712-3p 2.74216062544006 -0.975506420194487 0.361507390116042 -2.69844115740305 0.00696650525456131 0.2931191377225 60_4060 44_101 FALSE
hsa-miR-515-5p 2.41282219467427 -0.926588559169816 0.340652617774918 -2.72003945022389 0.00652741283511339 0.2931191377225 60_4060 44_101 FALSE
hsa-miR-545-3p 1.44036438250697 -1.51306914862303 0.565508855891112 -2.67558877789594 0.00745981131544757 0.2931191377225 60_4060 44_101 FALSE
hsa-miR-5739 6.08705091213473 -1.06886937169512 0.39253917421134 -2.72296229756589 0.0064699441058026 0.2931191377225 60_4060 44_101 FALSE
hsa-miR-580-3p 7.11434550097862 -1.12882152899237 0.410692531956497 -2.7485806075284 0.00598539157691668 0.2931191377225 60_4060 44_101 FALSE
hsa-miR-6818-5p 12.567807409403 -1.04982137532935 0.38750384266051 -2.70918958666712 0.00674477864172691 0.2931191377225 60_4060 44_101 FALSE
hsa-miR-5697-3p:Novel 3.03731776585081 0.786511882098426 0.295725514594659 2.65960102623026 0.00782332636218685 0.301446651327076 60_4060 44_101 FALSE
hsa-miR-8060 7.51486272345169 -1.14395829405478 0.430907001708789 -2.6547684059863 0.00793628744169572 0.301446651327076 60_4060 44_101 FALSE
hsa-miR-4505-3p:Novel 14.1430589103504 0.721926151339397 0.273855393624756 2.63615823586297 0.00838506197416684 0.313271413756168 60_4060 44_101 FALSE
hsa-miR-1246-3p:Novel 2013.64943946667 0.909047257770975 0.345980589265711 2.62745161426623 0.00860270754165506 0.313786331928315 60_4060 44_101 FALSE
hsa-miR-3943 5.10643764508315 -0.896178012416043 0.341448760312772 -2.62463396146213 0.00867421628410876 0.313786331928315 60_4060 44_101 FALSE
hsa-miR-1229-5p 42.3642217135813 0.791381634310887 0.304415715327586 2.5996740459318 0.0093312346486567 0.33227943381701 60_4060 44_101 FALSE
hsa-miR-1269b-3p:Novel 4.89333519551824 0.944652983988063 0.370448952457163 2.55002201442936 0.0107716117101033 0.341216472068597 60_4060 44_101 FALSE
hsa-miR-147a 2.23200085798597 0.934822395565815 0.364088573151488 2.56756862066324 0.0102414516798118 0.341216472068597 60_4060 44_101 FALSE
hsa-miR-3907 14.9639246608266 -0.617184858535266 0.24221396851368 -2.54809771014676 0.010831212937907 0.341216472068597 60_4060 44_101 FALSE
hsa-miR-4259-5p:Novel 18.9737368118337 -0.761137947200744 0.298808031020726 -2.54724728984259 0.0108576461679387 0.341216472068597 60_4060 44_101 FALSE
hsa-miR-4785-5p:Novel 8.11362520126988 0.649055863797102 0.255037963766076 2.54493822885296 0.0109297070912714 0.341216472068597 60_4060 44_101 FALSE
hsa-miR-493-5p 2.70270925023732 -0.891350028439477 0.347271154483027 -2.56672636622067 0.0102663591519162 0.341216472068597 60_4060 44_101 FALSE
hsa-miR-6727-5p 1.95174736440954 0.762372238402589 0.298807959036544 2.55137862077278 0.0107297691276929 0.341216472068597 60_4060 44_101 FALSE
hsa-miR-6884-5p 14.178339942203 0.762970812990963 0.299189004333435 2.55012985751529 0.010768280144739 0.341216472068597 60_4060 44_101 FALSE
hsa-miR-8066 3.27575766101152 -0.905435002205634 0.355370397020072 -2.54786276459177 0.0108385099197856 0.341216472068597 60_4060 44_101 FALSE
hsa-miR-1199-5p 3.44388500316003 -0.890214951770204 0.362432280797767 -2.45622423535428 0.0140405516638489 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-122-5p 13.2250960031124 0.59452061313433 0.242260606536286 2.45405401082112 0.0141255763372643 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-2681-5p 15.9656976962581 -1.23847744230184 0.495010759602883 -2.50192024774451 0.0123521746580514 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-3146 3.61865604430312 -0.98045206147683 0.394982210608389 -2.48226891020394 0.0130548714359612 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-3156-5p 5.05248777892017 0.702565835377353 0.283848368033101 2.47514488191605 0.0133182136030075 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-3161-3p:Novel 3.84347939244423 -0.634720754142912 0.25458962788595 -2.49311316966633 0.0126628479101336 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-320d 26.5991795419705 -0.879101318508243 0.351385160681059 -2.50181685761675 0.0123557822662488 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-4310-5p:Novel 2.91197674147448 -1.41547025351134 0.573536691659613 -2.46796809008935 0.0135882432132307 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-4501 1.34118647331303 1.25411979872979 0.497629432380035 2.52018815031027 0.0117292119483064 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-4709-3p 5.75740602817695 0.861466370476009 0.344334950174405 2.5018266953142 0.0123554389577315 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-4771-5p:Novel 20.1720645290357 -0.812179340745367 0.325971600426324 -2.49156472429854 0.0127181792334138 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-512-3p 5.32123070570072 -0.802027373075781 0.319415746984572 -2.51091995509702 0.0120416997923485 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-671-5p 14.6594621140998 -0.806102027591241 0.328269244722252 -2.45561239912463 0.0140644762343059 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-6770-3p 9.10351322389202 -0.829425065964621 0.33415889042533 -2.4821277833096 0.0130600431997091 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-6774-5p 8.11211774543576 1.21781332759298 0.4971387670069 2.44964466345084 0.0142997254827604 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-6799-5p 8.38265712676302 0.81055014492337 0.331000566944878 2.44878778427697 0.014333787253612 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-6805-5p 45.4587437631324 0.585675120261292 0.236805840275853 2.47322920574528 0.0133898235935996 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-8065-5p:Novel 4.11016412531624 -1.09121391063853 0.435503132998065 -2.50563963369553 0.0122230125127569 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-933 2.05199958792664 1.14920033160631 0.469425924342104 2.44809728652481 0.0143612872545689 0.35575406144742 60_4060 44_101 FALSE
hsa-miR-1294-3p:Novel 15.2023455149378 -0.983266837304823 0.403007656781885 -2.43982172734992 0.0146945114669676 0.356263740778927 60_4060 44_101 FALSE
hsa-miR-4694-3p 1.36673478319352 0.923196686963857 0.378381441435384 2.43985720721853 0.0146930684070689 0.356263740778927 60_4060 44_101 FALSE
hsa-miR-1253 7.37851774478365 -0.858271057801863 0.352748064304306 -2.43309927013931 0.014970195963785 0.359127122120695 60_4060 44_101 FALSE
hsa-miR-92b-5p 19.7530672238701 0.660076653178825 0.273149050324208 2.41654383346881 0.0156686395566674 0.371966974475469 60_4060 44_101 FALSE
hsa-let-7f-5p 1.94152510180154 -0.952474462188512 0.399674376835421 -2.38312615817432 0.0171663102512208 0.376173279447426 60_4060 44_101 FALSE
hsa-miR-1251-3p 2.39889017988911 0.906831187332008 0.377105847494821 2.40471261147565 0.01618518834403 0.376173279447426 60_4060 44_101 FALSE
hsa-miR-1303 6.45999940178582 -1.19148816893318 0.495218894570455 -2.40598285323232 0.0161290217238625 0.376173279447426 60_4060 44_101 FALSE
hsa-miR-137-5p 6.40634416438163 -0.909099744127484 0.380437060261014 -2.38961930655168 0.0168658449461639 0.376173279447426 60_4060 44_101 FALSE
hsa-miR-3201-3p:Novel 8.99989598641579 -1.5271175633862 0.636650972234209 -2.39867310345425 0.0164545970116962 0.376173279447426 60_4060 44_101 FALSE
hsa-miR-4269-3p:Novel 2.96339113242202 -0.771182146811533 0.32353392043031 -2.38362069048537 0.0171432620726642 0.376173279447426 60_4060 44_101 FALSE
hsa-miR-507 13.3081076675483 -1.3272305262321 0.555854809079981 -2.3877287819617 0.0169528474705063 0.376173279447426 60_4060 44_101 FALSE
hsa-miR-8088-3p:Novel 10.0053129372095 0.957327426690439 0.401375778227301 2.38511509318906 0.0170737788141965 0.376173279447426 60_4060 44_101 FALSE
hsa-miR-3146-5p:Novel 1.69873677772203 -1.18490178343748 0.498542182010879 -2.37673325586646 0.0174667140375329 0.379110869443213 60_4060 44_101 FALSE
hsa-miR-5684-3p:Novel 5.07707286830956 -0.935815634130861 0.395888871063511 -2.36383415279368 0.0180869073993663 0.388868509086375 60_4060 44_101 FALSE
hsa-miR-3907-5p:Novel 36.7885835102924 -0.577201319672043 0.244842364276976 -2.35744055721946 0.0184014011331296 0.391932646564508 60_4060 44_101 FALSE
