miRNA...1	baseMean...2	log2FoldChange...3	pvalue...6	padj...7	comparison...8	size...9	sig...10	miRNA...11	baseMean...12	log2FoldChange...13	pvalue...16	padj...17	comparison...18	size...19	sig...20	miRNA...21	baseMean...22	log2FoldChange...23	pvalue...26	padj...27	comparison...28	size...29	sig...30
hsa-miR-1281-5p:Novel	322.245891083263	2.79978186261295	7.62823332525501e-09	2.10081545777523e-05	4060_40	101_87	TRUE	hsa-miR-30e-3p	10.9601877206466	-2.03365294692097	1.44957331389606e-05	0.0300641505302043	60_40	44_87	FALSE	hsa-miR-3136-5p	20.0589071670255	1.34724758913759	5.23818679237087e-06	0.00596891384990661	60_4060	44_101	TRUE
hsa-miR-1827	21.254707762468	-2.10642138878046	5.8524390627079e-07	0.000805880858934878	4060_40	101_87	TRUE	hsa-miR-580-3p	7.11434550097862	-1.91116127210446	3.51776274507538e-05	0.0364791996664316	60_40	44_87	FALSE	hsa-miR-617	7.69282092430911	1.73352730702722	4.92986936517435e-06	0.00596891384990661	60_4060	44_101	FALSE
hsa-miR-486-3p	84.2732822040582	1.86479155319352	2.5441433474138e-06	0.00233552359292587	4060_40	101_87	TRUE	hsa-miR-1248-3p:Novel	2.17164618419411	-1.81363424621071	0.000136286910292759	0.0471098419911971	60_40	44_87	FALSE	hsa-miR-1281-5p:Novel	322.245891083263	-2.48943549589905	3.33046360571946e-05	0.0138168576415894	60_4060	44_101	TRUE
hsa-miR-1281	63.3966099236399	1.78548779895594	7.39086292482752e-06	0.00458052961017621	4060_40	101_87	TRUE	hsa-miR-4511	2.79143187857452	-1.45493104435645	0.000129558131190657	0.0471098419911971	60_40	44_87	FALSE	hsa-miR-3168	15.9763501961001	-2.1099131500169	3.03038146108899e-05	0.0138168576415894	60_4060	44_101	TRUE
hsa-miR-4669-5p:Novel	5.00160151154155	-1.05597366114535	8.31613945202652e-06	0.00458052961017621	4060_40	101_87	FALSE	hsa-miR-4709-3p	5.75740602817695	1.48030095889719	0.000133501892679111	0.0471098419911971	60_40	44_87	FALSE	hsa-miR-500a-3p	3.02929899359665	1.6610661243438	3.57921556924087e-05	0.0138168576415894	60_4060	44_101	FALSE
hsa-miR-6846-5p	28.2036537066571	1.48547179496851	1.44923209788471e-05	0.0066519753292908	4060_40	101_87	TRUE	hsa-miR-876-3p	2.91611133762499	-1.7053403951498	0.00011001266367844	0.0471098419911971	60_40	44_87	FALSE	hsa-miR-6846-5p	28.2036537066571	-1.7484699024857	3.63761061209022e-05	0.0138168576415894	60_4060	44_101	TRUE
hsa-miR-30e-3p	10.9601877206466	-1.40902706166086	2.15340055192163e-05	0.00847209302856025	4060_40	101_87	FALSE	hsa-miR-4438	2.84186416208725	1.40581818586344	0.000186467895071467	0.0521049708309864	60_40	44_87	FALSE	hsa-miR-3940-5p	4.40415193056992	1.20715133104802	7.41613801166263e-05	0.0241448264693988	60_4060	44_101	FALSE
hsa-miR-335-5p	6.31114779634271	-1.30263485269233	2.59041922507205e-05	0.00891751818231054	4060_40	101_87	FALSE	hsa-miR-5701-3p:Novel	3.48017777591102	-2.15699970854741	0.000200983494044306	0.0521049708309864	60_40	44_87	FALSE	hsa-miR-153-3p	15.0900504678914	0.98867774827309	0.000428135746370318	0.0903850627058109	60_4060	44_101	FALSE
hsa-miR-3182-3p:Novel	8.08166569225966	-1.0634987386992	4.85753895153806e-05	0.0148640691917065	4060_40	101_87	FALSE	hsa-miR-105-3p	7.82155258666681	-1.52057174108037	0.000387447852458564	0.0567666277237169	60_40	44_87	FALSE	hsa-miR-3125-3p:Novel	10.5736363428655	0.927906421872618	0.000320554214284085	0.0903850627058109	60_4060	44_101	FALSE
hsa-miR-10400-5p	88.8109128936293	-1.04982815720204	6.17017291749996e-05	0.0169926562147949	4060_40	101_87	TRUE	hsa-miR-2278	2.01906200627541	-1.61032638278872	0.000380711605060147	0.0567666277237169	60_40	44_87	FALSE	hsa-miR-3189-3p	3.13536575839383	-1.82625080390668	0.000401085062764009	0.0903850627058109	60_4060	44_101	FALSE
hsa-miR-1229-5p	42.3642217135813	-0.980840540715994	7.52699005111564e-05	0.0177427823151644	4060_40	101_87	TRUE	hsa-miR-3136-5p	20.0589071670255	1.17658282578524	0.00044459851755025	0.0567666277237169	60_40	44_87	FALSE	hsa-miR-486-3p	84.2732822040582	-1.70927990795051	0.000436259626925809	0.0903850627058109	60_4060	44_101	FALSE
hsa-miR-1285-3p	27.791787570333	-0.748508279960058	7.73105983231562e-05	0.0177427823151644	4060_40	101_87	TRUE	hsa-miR-3612	11.74204306154	-1.4822028570097	0.00044761249051242	0.0567666277237169	60_40	44_87	FALSE	hsa-miR-1293-3p:Novel	3.15017467712885	1.00506407918732	0.000537256433716796	0.0941851855723522	60_4060	44_101	FALSE
hsa-miR-4276-3p:Novel	29.4397525177494	-0.885177149406338	0.000131135651632899	0.0257962560426432	4060_40	101_87	TRUE	hsa-miR-4669-5p:Novel	5.00160151154155	-1.2051670849516	0.000365141195582598	0.0567666277237169	60_40	44_87	FALSE	hsa-miR-3118	3.89847177756347	-1.93605921512779	0.000523637629159339	0.0941851855723522	60_4060	44_101	FALSE
hsa-miR-5186-5p:Novel	4.00574203462807	-1.16711017789415	0.000126731633139083	0.0257962560426432	4060_40	101_87	FALSE	hsa-miR-548av-5p	3.08454543489754	-1.98713614952567	0.000314653254468844	0.0567666277237169	60_40	44_87	FALSE	hsa-miR-3154	55.9576358365102	1.1738293420255	0.00059715218568195	0.0972078450835117	60_4060	44_101	FALSE
hsa-miR-1285-2:Novel	6.96796211687794	-0.995468588258682	0.000156715367868436	0.0287729415406448	4060_40	101_87	FALSE	hsa-miR-6778-3p	5.05175231040554	1.55878210969594	0.000427685796931117	0.0567666277237169	60_40	44_87	FALSE	hsa-miR-6813-5p	1.55468856779976	1.65087968730389	0.000686403774656155	0.104287613496092	60_4060	44_101	FALSE
hsa-miR-3714	3.98118621138797	-1.21906916397261	0.00019226777327987	0.031056735701478	4060_40	101_87	FALSE	hsa-miR-8060	7.51486272345169	-1.68575933431114	0.000465300227243581	0.0567666277237169	60_40	44_87	FALSE	hsa-miR-1182	7.30464948420494	0.695901847602997	0.000820581963127002	0.116881643372902	60_4060	44_101	FALSE
hsa-miR-4500	4.77203811347267	1.14698791257217	0.000209541767857425	0.031056735701478	4060_40	101_87	FALSE	hsa-miR-8074	35.3356605014496	-1.54837875778742	0.000293045550166636	0.0567666277237169	60_40	44_87	FALSE	hsa-miR-298-3p:Novel	7.97880457189783	0.882089428241432	0.000974457852989732	0.1306346733508	60_4060	44_101	FALSE
hsa-miR-455-5p	4.44362345708581	-1.35129977530453	0.000214262156255658	0.031056735701478	4060_40	101_87	FALSE	hsa-miR-617	7.69282092430911	1.48919371931164	0.000550628888849714	0.063444684193017	60_40	44_87	FALSE	hsa-miR-8075	36.5747269226558	-1.24004502605108	0.00114419319952668	0.14486757231785	60_4060	44_101	FALSE
hsa-miR-922	387.564110876199	-1.06492232620269	0.000196158708294806	0.031056735701478	4060_40	101_87	TRUE	hsa-miR-4712-3p	2.74216062544006	-1.39661403162202	0.000636221562656428	0.0694486063657596	60_40	44_87	FALSE	hsa-miR-6778-3p	5.05175231040554	1.26994208117985	0.00121446404842943	0.145671766651088	60_4060	44_101	FALSE
