miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison size sig
hsa-miR-1281-5p:Novel 329.133086506671 3.24639806627971 0.824002784069352 3.93979016702749 8.155290860633e-05 0.0902382933729041 Heavy_Abst 69_19 FALSE
hsa-miR-1471-3p:Novel 10.636277602524 -1.75449850148314 0.436879787432337 -4.0159754512673 5.92004182655147e-05 0.0902382933729041 Heavy_Abst 69_19 FALSE
hsa-miR-3911-3p:Novel 29.9075103505216 -1.24105347206052 0.340663526950058 -3.64304768159832 0.000269428904385553 0.0993743609008715 Heavy_Abst 69_19 FALSE
hsa-miR-3972 23.7560324145204 -1.38512749718786 0.375190007009011 -3.69180274344193 0.000222670138269044 0.0993743609008715 Heavy_Abst 69_19 FALSE
hsa-miR-5685 6.31324558626863 -1.5325914623869 0.413059628255787 -3.7103395189177 0.000206981471681436 0.0993743609008715 Heavy_Abst 69_19 FALSE
hsa-miR-660-3p 2.85984472732346 -2.04154523773047 0.559625296550724 -3.64805745972105 0.000264230552485447 0.0993743609008715 Heavy_Abst 69_19 FALSE
hsa-miR-1249-5p 3.18139624080907 -1.29169950448605 0.360676447595893 -3.58132479427458 0.000341856354614747 0.108075444680348 Heavy_Abst 69_19 FALSE
hsa-miR-107-5p:Novel 1.98061707389386 -2.29666041270578 0.697902039594451 -3.29080627711071 0.000999006845310239 0.122822341592864 Heavy_Abst 69_19 FALSE
hsa-miR-12125-5p:Novel 3.49911594967033 -1.87606206638488 0.556169998638641 -3.37318098958409 0.000743050931479353 0.122822341592864 Heavy_Abst 69_19 FALSE
hsa-miR-183-3p 1.7348528584899 2.56127327213584 0.767767193763767 3.33600249260443 0.000849924017258835 0.122822341592864 Heavy_Abst 69_19 FALSE
hsa-miR-34a-5p 3.14988537511655 -2.0490752426584 0.603616020417607 -3.39466676388206 0.000687121788232533 0.122822341592864 Heavy_Abst 69_19 FALSE
hsa-miR-378e 5.38879184320526 1.53632483125129 0.444024030669598 3.46000379514251 0.000540167774759378 0.122822341592864 Heavy_Abst 69_19 FALSE
hsa-miR-383-5p 16.730295818481 -1.66892116466764 0.505661828118092 -3.30046895348778 0.000965233924873629 0.122822341592864 Heavy_Abst 69_19 FALSE
hsa-miR-4320 3.43473426114983 -1.6248125048363 0.480014950319544 -3.38492062331531 0.00071198840397537 0.122822341592864 Heavy_Abst 69_19 FALSE
hsa-miR-4526 3.18626862497295 -1.39097507982315 0.407790590675165 -3.41100337190262 0.000647242910784524 0.122822341592864 Heavy_Abst 69_19 FALSE
hsa-miR-592-3p:Novel 3.59449348241981 -1.58742246840369 0.480904006602521 -3.30091337690962 0.000963706313371972 0.122822341592864 Heavy_Abst 69_19 FALSE
hsa-miR-6765-5p 4.19366919911323 -1.4845719687222 0.432474447308602 -3.43273915478953 0.000597516652127661 0.122822341592864 Heavy_Abst 69_19 FALSE
hsa-miR-9985-3p:Novel 9.0160638746293 -1.38421846817016 0.418268740882397 -3.30939975397146 0.000934962403218078 0.122822341592864 Heavy_Abst 69_19 FALSE
hsa-miR-6083-5p:Novel 3.02716705749608 -1.30933209407344 0.401573486663772 -3.260504334963 0.00111214267165987 0.129535354335962 Heavy_Abst 69_19 FALSE
hsa-miR-143-3p 74.3081405351174 -1.29972575148136 0.400840214324602 -3.2425033842259 0.00118484541078578 0.131103144703446 Heavy_Abst 69_19 FALSE
hsa-miR-3170-3p:Novel 12.2130124858281 -1.00447525673994 0.31389268313571 -3.20005948117516 0.0013739922860861 0.144792615671836 Heavy_Abst 69_19 FALSE
hsa-miR-203a-5p 11.1354940865956 -0.984516584711714 0.312049850017921 -3.15499778210172 0.00160499325466597 0.144997138265881 Heavy_Abst 69_19 FALSE
hsa-miR-4539-5p:Novel 8.17123426441792 -1.5950104723924 0.50650511151493 -3.14905108780009 0.0016380155701071 0.144997138265881 Heavy_Abst 69_19 FALSE
hsa-miR-6784-5p 18.8471052197329 -1.36778271301254 0.430797099689018 -3.17500446033622 0.00149834198102396 0.144997138265881 Heavy_Abst 69_19 FALSE
hsa-miR-8059-3p:Novel 10.140672772498 -1.49142835603616 0.472349891133619 -3.15746522658616 0.00159147216669494 0.144997138265881 Heavy_Abst 69_19 FALSE
hsa-miR-4517 3.71297036317343 -1.45762767926054 0.467801891916558 -3.11590804664925 0.00183379445093767 0.156084119997118 Heavy_Abst 69_19 FALSE
hsa-miR-4478-3p:Novel 4.60400536851292 -1.17763708827342 0.381931024406168 -3.0833763507545 0.00204666142592094 0.167750434650483 Heavy_Abst 69_19 FALSE
hsa-miR-3605-5p 13.8744182219726 -1.47818036170556 0.481196338309808 -3.0718861388215 0.00212710846164803 0.168117536629539 Heavy_Abst 69_19 FALSE
hsa-miR-3934-5p 7.71508080320668 1.40568712232781 0.464986033640692 3.02307385734089 0.00250221166135689 0.190944634709752 Heavy_Abst 69_19 FALSE
hsa-miR-1200 4.64863647887104 -1.4702745341238 0.506376620805863 -2.90351977898181 0.00368993662432217 0.206496433347881 Heavy_Abst 69_19 FALSE
hsa-miR-12120 2.46609183316176 -1.35480301872053 0.464147346330754 -2.91890717340242 0.0035126080526837 0.206496433347881 Heavy_Abst 69_19 FALSE
hsa-miR-3176 4.73922667876514 -0.958144329624259 0.329257851444555 -2.91001209362385 0.00361414771101575 0.206496433347881 Heavy_Abst 69_19 FALSE
hsa-miR-4263 22.1048330904863 -1.27646146671502 0.431861929635422 -2.95571658236374 0.00311943594599828 0.206496433347881 Heavy_Abst 69_19 FALSE
hsa-miR-4306 5.7604593507244 -1.30569421021611 0.45145610686486 -2.89218417994943 0.00382573599966703 0.206496433347881 Heavy_Abst 69_19 FALSE
hsa-miR-4737 15.5913488116203 -1.29960176015371 0.444509786494189 -2.9236741229109 0.00345926690054503 0.206496433347881 Heavy_Abst 69_19 FALSE
hsa-miR-484 1.57651026905976 -1.72740666690521 0.583666273284851 -2.95957937946873 0.00308059327099875 0.206496433347881 Heavy_Abst 69_19 FALSE
hsa-miR-5090 7.85668533331273 -1.09115977040361 0.374796821630473 -2.91133677616784 0.00359885885067413 0.206496433347881 Heavy_Abst 69_19 FALSE
hsa-miR-6751-5p 2.52903702703496 -1.26053957752081 0.428720197432403 -2.94023837708173 0.00327959829895737 0.206496433347881 Heavy_Abst 69_19 FALSE
hsa-miR-7158-3p 55.7205097724014 -3.0683953923567 1.04181993892172 -2.94522621205781 0.00322718621730191 0.206496433347881 Heavy_Abst 69_19 FALSE
hsa-miR-760 27.1251352274623 -1.15587540861895 0.398670756981478 -2.89932328463371 0.00373969085082114 0.206496433347881 Heavy_Abst 69_19 FALSE
hsa-miR-7843-5p 12.7503924461438 -1.36885129668473 0.465898874790191 -2.93808671957229 0.00330244634581166 0.206496433347881 Heavy_Abst 69_19 FALSE
hsa-miR-6880-5p 15.2995502614898 -1.08333929976473 0.381755279839401 -2.83778471962583 0.00454278107554562 0.239361298099583 Heavy_Abst 69_19 FALSE
