miRNA...1	baseMean...2	log2FoldChange...3	pvalue...6	padj...7	comparison...8	size...9	sig...10	miRNA...11	baseMean...12	log2FoldChange...13	pvalue...16	padj...17	comparison...18	size...19	sig...20	miRNA...21	baseMean...22	log2FoldChange...23	pvalue...26	padj...27	comparison...28	size...29	sig...30
hsa-miR-1281-5p:Novel	329.133086506671	3.63497654435461	1.04618583062864e-05	0.0367106607967591	Light_Abst	144_19	TRUE	hsa-miR-1281-5p:Novel	329.133086506671	3.24639806627971	8.155290860633e-05	0.0902382933729041	Heavy_Abst	69_19	FALSE	hsa-miR-641-3p:Novel	33.806713302713	0.961139035732111	6.89967517704231e-06	0.0124470140193843	Heavy_Light	69_144	TRUE
hsa-miR-34a-5p	3.14988537511655	-2.56564007799562	2.51400149676726e-05	0.0381158184009852	Light_Abst	144_19	FALSE	hsa-miR-1471-3p:Novel	10.636277602524	-1.75449850148314	5.92004182655147e-05	0.0902382933729041	Heavy_Abst	69_19	FALSE	hsa-miR-144-5p	7.16456062128414	-2.04761991358705	1.61553937495837e-05	0.0145721651621245	Heavy_Light	69_144	FALSE
hsa-miR-383-5p	16.730295818481	-2.10972269210193	3.25869065839144e-05	0.0381158184009852	Light_Abst	144_19	TRUE	hsa-miR-3911-3p:Novel	29.9075103505216	-1.24105347206052	0.000269428904385553	0.0993743609008715	Heavy_Abst	69_19	FALSE	hsa-miR-7106-3p	4.20879426512709	-1.11087981790367	2.9987940534278e-05	0.0180327482412792	Heavy_Light	69_144	FALSE
hsa-miR-12125-5p:Novel	3.49911594967033	-2.09718328741506	0.000153515446666371	0.134671425588074	Light_Abst	144_19	FALSE	hsa-miR-3972	23.7560324145204	-1.38512749718786	0.000222670138269044	0.0993743609008715	Heavy_Abst	69_19	FALSE	hsa-miR-4709-3p	5.83196947292183	-1.11783042368081	5.30021015021586e-05	0.0239039477774735	Heavy_Light	69_144	FALSE
hsa-miR-1249-5p	3.18139624080907	-1.23842605016996	0.000615862313933419	0.240117873288041	Light_Abst	144_19	FALSE	hsa-miR-5685	6.31324558626863	-1.5325914623869	0.000206981471681436	0.0993743609008715	Heavy_Abst	69_19	FALSE	hsa-miR-4508-3p:Novel	119.488500805027	0.991445879332537	9.63384494163654e-05	0.0347589125494246	Heavy_Light	69_144	TRUE
hsa-miR-3125	2737.24596944793	-1.03752716658002	0.000582681483663119	0.240117873288041	Light_Abst	144_19	FALSE	hsa-miR-660-3p	2.85984472732346	-2.04154523773047	0.000264230552485447	0.0993743609008715	Heavy_Abst	69_19	FALSE	hsa-miR-3156-3p	44.7787164435117	1.19127183353511	0.000121350628510904	0.0364552526794072	Heavy_Light	69_144	TRUE
hsa-miR-378j-3p:Novel	19.1579320177516	-1.43216106251358	0.000561215213127574	0.240117873288041	Light_Abst	144_19	FALSE	hsa-miR-1249-5p	3.18139624080907	-1.29169950448605	0.000341856354614747	0.108075444680348	Heavy_Abst	69_19	FALSE	hsa-miR-324-3p	32.2894560320622	1.25858856565103	0.000197595376806101	0.0364552526794072	Heavy_Light	69_144	TRUE
hsa-miR-603-5p:Novel	1.31367533767598	-2.18708907957522	0.000551790986642666	0.240117873288041	Light_Abst	144_19	FALSE	hsa-miR-107-5p:Novel	1.98061707389386	-2.29666041270578	0.000999006845310239	0.122822341592864	Heavy_Abst	69_19	FALSE	hsa-miR-324-5p	37.59272396691	1.23342589440562	0.000262704149020118	0.0364552526794072	Heavy_Light	69_144	TRUE
hsa-miR-660-3p	2.85984472732346	-1.97854522882331	0.000423862629227393	0.240117873288041	Light_Abst	144_19	FALSE	hsa-miR-12125-5p:Novel	3.49911594967033	-1.87606206638488	0.000743050931479353	0.122822341592864	Heavy_Abst	69_19	FALSE	hsa-miR-3665-3p:Novel	128.943752456098	0.932781332346213	0.000172660975531948	0.0364552526794072	Heavy_Light	69_144	TRUE
hsa-miR-101-3p	3.01246083249487	1.25146817970225	0.00101783645943619	0.285936340212704	Light_Abst	144_19	FALSE	hsa-miR-183-3p	1.7348528584899	2.56127327213584	0.000849924017258835	0.122822341592864	Heavy_Abst	69_19	FALSE	hsa-miR-3960-5p:Novel	264.277347504457	0.934634445897189	0.000220082166606966	0.0364552526794072	Heavy_Light	69_144	TRUE
hsa-miR-3197	23.8325246876603	-1.27003196897842	0.00106691431645261	0.285936340212704	Light_Abst	144_19	FALSE	hsa-miR-34a-5p	3.14988537511655	-2.0490752426584	0.000687121788232533	0.122822341592864	Heavy_Abst	69_19	FALSE	hsa-miR-4479	6.03139509900012	-0.955171321419101	0.000245486503793964	0.0364552526794072	Heavy_Light	69_144	FALSE
hsa-miR-3663-3p	8.8114033244682	1.51227270545805	0.00114081184467879	0.285936340212704	Light_Abst	144_19	FALSE	hsa-miR-378e	5.38879184320526	1.53632483125129	0.000540167774759378	0.122822341592864	Heavy_Abst	69_19	FALSE	hsa-miR-650-3p:Novel	20.3982555734833	-1.17463429124523	0.000194067979583918	0.0364552526794072	Heavy_Light	69_144	TRUE
hsa-miR-6765-5p	4.19366919911323	-1.40695472053047	0.00112827378962251	0.285936340212704	Light_Abst	144_19	FALSE	hsa-miR-383-5p	16.730295818481	-1.66892116466764	0.000965233924873629	0.122822341592864	Heavy_Abst	69_19	FALSE	hsa-miR-6748-3p	7.12659878410311	-1.15319458183061	0.000222334484233828	0.0364552526794072	Heavy_Light	69_144	FALSE
