miRNA	baseMean	log2FoldChange	pvalue	padj	comparison	size	sig
hsa-miR-4687-3p	28.0332243405375	1.6179043442052	2.17650804019079e-06	0.00151593784999288	over_normal	62_142	TRUE
hsa-miR-4748-3p:Novel	16.8123262811189	1.24545977366318	1.32903877849768e-06	0.00151593784999288	over_normal	62_142	TRUE
hsa-miR-10522-3p:Novel	8.19584773324794	1.19104134569506	4.25660420855786e-06	0.00197648322084037	over_normal	62_142	FALSE
hsa-miR-2110	190.522598441031	1.28709628783761	1.66534859960504e-05	0.00417289869489689	over_normal	62_142	TRUE
hsa-miR-4452	37.1818811944665	1.43506683202172	1.79737201503097e-05	0.00417289869489689	over_normal	62_142	TRUE
hsa-miR-8054-3p:Novel	6.87074322090148	1.59701049021281	1.60203955486668e-05	0.00417289869489689	over_normal	62_142	FALSE
hsa-miR-5187-5p	25.9263131522696	-1.11847516995408	2.43831128132602e-05	0.00485223944983877	over_normal	62_142	TRUE
hsa-miR-7158-3p	69.6746832384145	2.60928739883754	2.87471477430007e-05	0.00500559710074999	over_normal	62_142	TRUE
hsa-miR-2114-5p	39.0350304243121	1.07262760482406	7.61506439609988e-05	0.00561795303651981	over_normal	62_142	TRUE
hsa-miR-323b-5p	5.89855531806084	-1.03687173469116	5.66314936611278e-05	0.00561795303651981	over_normal	62_142	FALSE
hsa-miR-378b-5p:Novel	14.4155346136821	2.0410324617215	5.16053737471943e-05	0.00561795303651981	over_normal	62_142	FALSE
hsa-miR-429	17.6607436975476	1.94904858602094	5.34527430637344e-05	0.00561795303651981	over_normal	62_142	TRUE
hsa-miR-4305-3p:Novel	7.49563386118208	1.26503938160778	6.65639516907958e-05	0.00561795303651981	over_normal	62_142	FALSE
hsa-miR-583-3p:Novel	10.3976875648333	1.20298344392405	5.41577569963419e-05	0.00561795303651981	over_normal	62_142	FALSE
hsa-miR-587	8.56532049855359	1.59860567824427	5.71211394339105e-05	0.00561795303651981	over_normal	62_142	FALSE
hsa-miR-6788-3p	66.2845866551988	1.09018452921767	7.15949605582456e-05	0.00561795303651981	over_normal	62_142	TRUE
hsa-miR-6883-5p	5.73328047551299	-1.11199240065138	7.66267822640894e-05	0.00561795303651981	over_normal	62_142	FALSE
hsa-miR-765-5p:Novel	18.6408444443594	0.766196488721081	6.69368010207045e-05	0.00561795303651981	over_normal	62_142	TRUE
hsa-miR-8074-5p:Novel	11.2542021469264	1.12287133622394	5.32577815259524e-05	0.00561795303651981	over_normal	62_142	FALSE
hsa-miR-4718-3p:Novel	7.104999040974	1.07966238517403	8.72298160241691e-05	0.00578624446293655	over_normal	62_142	FALSE
hsa-miR-6891-5p	12.9000409575481	-0.889139124481882	8.42426027116684e-05	0.00578624446293655	over_normal	62_142	FALSE
hsa-miR-4447-5p:Novel	12.3661100971308	-1.1812738547126	0.000114815444821447	0.00726990521073982	over_normal	62_142	FALSE
hsa-miR-182-5p	57.6766687525076	-1.06150217067427	0.000126328079976713	0.0074024053616686	over_normal	62_142	TRUE
hsa-miR-4466-3p:Novel	64.8753898541858	-0.890484576121498	0.000127536057918195	0.0074024053616686	over_normal	62_142	TRUE
hsa-miR-1255b-5p	22.5444819882014	1.02154469308712	0.000141660809048749	0.00758975026941949	over_normal	62_142	TRUE
hsa-miR-6806-3p	13.1087797494173	1.34343669267114	0.000140780262594853	0.00758975026941949	over_normal	62_142	FALSE
hsa-miR-4291	4.88019230167156	0.779283228362273	0.000184617735113499	0.00952353051605805	over_normal	62_142	FALSE
hsa-miR-618-3p:Novel	4.78936470339641	-0.866631354771268	0.000191427749066494	0.00952353051605805	over_normal	62_142	FALSE
hsa-miR-10524-3p:Novel	3.87273713593872	-1.70177822495669	0.000200940700206237	0.00965208259956167	over_normal	62_142	FALSE
hsa-miR-5193	28.983915771733	-0.760886860939848	0.000234338190915776	0.0108811033315225	over_normal	62_142	TRUE
hsa-miR-4723-3p	8.89603095379703	1.15144632458076	0.000266247985584456	0.011963982061908	over_normal	62_142	FALSE
