miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison
hsa-miR-23c 85.2412260019957 2.14374203904555 0.455938539494644 4.70182240225107 2.57849729902035e-06 0.00121304541603926 LD_NC
hsa-miR-633-5p:Novel 31.5402653228383 2.24190418359398 0.477191512890895 4.69812250015136 2.6256394286564e-06 0.00121304541603926 LD_NC
hsa-miR-1231 21.5733284513886 -0.953960819602324 0.212583266490851 -4.48746900614296 7.20742932643564e-06 0.00159473717757694 LD_NC
hsa-miR-5189-3p 69.4199499285261 -1.16724081718301 0.274011102908208 -4.25983036743599 2.04582108406468e-05 0.00270048383096537 LD_NC
hsa-miR-7113-5p 387.620180682699 -1.11085019848748 0.268329093266968 -4.13987982056892 3.47487817285504e-05 0.00356754159079784 LD_NC
hsa-miR-645 375.45231844089 -1.23185867517077 0.30543061975541 -4.0331865749323 5.50255565978164e-05 0.00462214675421657 LD_NC
hsa-miR-622 57.1401355662057 -1.12946009388198 0.294640745690432 -3.83334657681278 0.000126411654897713 0.00973369742712393 LD_NC
hsa-miR-2113-5p:Novel 26.2591531501483 -1.15184227879222 0.31031207711909 -3.71188349962343 0.00020572267678347 0.0146221348729174 LD_NC
hsa-miR-92b-5p 19.7530672238701 -0.843916870727846 0.23460153899152 -3.5972350154035 0.000321617871884438 0.0212267795443729 LD_NC
hsa-miR-1281-5p:Novel 322.245891083263 1.79894853087423 0.507012817260429 3.54813225550114 0.000387973355266263 0.0219697998607906 LD_NC
hsa-miR-1827 21.254707762468 -1.56521753248914 0.440917024828109 -3.5499140299682 0.000385356972904382 0.0219697998607906 LD_NC
hsa-miR-548aa, hsa-miR-548t-3p 66.6787085898312 1.20574859276706 0.340864793559312 3.53732217450981 0.000404206274495066 0.0219697998607906 LD_NC
hsa-miR-1204 16.4546838269697 1.35542395279936 0.386467101642837 3.50721690678863 0.000452819879037566 0.0232447537905951 LD_NC
hsa-miR-6860 29.929790659701 -0.790249800693952 0.235585792211 -3.3544034777198 0.000795362960424849 0.0315076205776885 LD_NC
hsa-miR-7158-3p 60.1597280436245 2.22167899325006 0.65972665462826 3.36757500650314 0.000758323953439508 0.0315076205776885 LD_NC
hsa-miR-4632-5p 95.8357267411609 -0.961866614199639 0.291199432486815 -3.30311981031485 0.00095615526424329 0.03531019590683 LD_NC
hsa-miR-4296-3p:Novel 17.2363116130027 -1.1169616435503 0.346268560544344 -3.22570909063881 0.00125661010804289 0.0420231747248732 LD_NC
hsa-miR-4767 21.656110037506 -0.916488350861654 0.284945465772352 -3.21636404487957 0.00129826030475537 0.0420231747248732 LD_NC
hsa-miR-646 103.705776855644 1.08590647901306 0.338095537133224 3.21183322388891 0.00131890916344299 0.0420231747248732 LD_NC
hsa-miR-4260-3p:Novel 17.8000578994916 -1.13807936096588 0.359984586039026 -3.16146692137118 0.00156976646556585 0.0430027927559122 LD_NC
hsa-miR-6768-5p 29.342274561862 -0.769329954034264 0.242856994342535 -3.16783115972015 0.00153580685384468 0.0430027927559122 LD_NC
hsa-miR-765-5p:Novel 18.1350383183074 -0.645853422788886 0.203238144775791 -3.17781597298765 0.00148388902971649 0.0430027927559122 LD_NC
hsa-miR-92a-1-5p 42.9626491096951 -1.14555167918256 0.358567190350672 -3.19480340089742 0.00139926123150726 0.0430027927559122 LD_NC
