miRNA...1	baseMean...2	log2FoldChange...3	pvalue...6	padj...7	comparison...8	size...9	sig...10	miRNA...11	baseMean...12	log2FoldChange...13	pvalue...16	padj...17	comparison...18	size...19	sig...20	miRNA...21	baseMean...22	log2FoldChange...23	pvalue...26	padj...27	comparison...28	size...29	sig...30
hsa-miR-633-5p:Novel	31.1079756378624	2.53224121730835	1.79083697255762e-07	0.000431591710386387	light_no	82_76	TRUE	hsa-miR-1281-5p:Novel	385.501214109259	2.91834311556222	4.73632267377233e-08	0.000110972040246486	heavy_no	74_76	TRUE	hsa-miR-5693-5p:Novel	3.26785193946872	-2.26773430947064	3.41394035198288e-10	7.29900447253939e-07	heavy_light	74_82	FALSE
hsa-miR-23c	84.9687338647717	2.03310915584966	1.24906054811114e-05	0.0150511796047392	light_no	82_76	TRUE	hsa-miR-4682	5.45265345404068	-1.30951188844781	3.00132784577097e-07	0.000351605557132069	heavy_no	74_76	FALSE	hsa-miR-633-5p:Novel	31.1079756378624	-2.2209914787821	5.86733803426485e-07	0.000627218435862912	heavy_light	74_82	TRUE
hsa-miR-6811-5p	11.0986543196963	1.22008453362377	3.27496458724386e-05	0.0263088821841923	light_no	82_76	FALSE	hsa-miR-8053	18.6435524386033	-1.22003059902493	5.77939043546588e-07	0.000451370393009886	heavy_no	74_76	TRUE	hsa-miR-3118	3.51687635197869	-1.85801094319845	1.46061087140039e-05	0.0104092868101801	heavy_light	74_82	FALSE
hsa-miR-3682-3p	12.164545957955	1.09475960265305	8.60931571623799e-05	0.0296406441087622	light_no	82_76	FALSE	hsa-miR-105-3p	7.30947691366338	-1.48374573876049	2.55935973494889e-06	0.00149914496474631	heavy_no	74_76	FALSE	hsa-miR-4432	6.36626291289061	-1.28799808461793	6.99602374982474e-05	0.0290183496410214	heavy_light	74_82	FALSE
hsa-miR-4296	14.8035426396797	-1.30447387584498	5.25234193131878e-05	0.0296406441087622	light_no	82_76	FALSE	hsa-miR-1281	77.2818728268592	2.0993941438371	4.40740508348311e-06	0.00206531002212019	heavy_no	74_76	TRUE	hsa-miR-4710-3p:Novel	14.4741399788739	-0.776459881745234	8.14359671871507e-05	0.0290183496410214	heavy_light	74_82	FALSE
hsa-miR-5704-3p:Novel	7.33034283041737	1.80120536117735	6.3347124413808e-05	0.0296406441087622	light_no	82_76	FALSE	hsa-miR-6783-5p	5.52072303276914	-1.55119744195647	7.48430812287786e-06	0.00292262232198381	heavy_no	74_76	FALSE	hsa-miR-650-3p:Novel	20.384287847885	-1.2600974186105	5.86797080377049e-05	0.0290183496410214	heavy_light	74_82	TRUE
hsa-miR-941	13.6907423072162	-1.17144604718339	8.54472167640426e-05	0.0296406441087622	light_no	82_76	FALSE	hsa-miR-5693-5p:Novel	3.26785193946872	-1.77268467067372	1.03826211994316e-05	0.0034618845798948	heavy_no	74_76	FALSE	hsa-miR-3189-5p	3.58565178867494	-2.21339963060092	0.000112193133090903	0.0342669883640502	heavy_light	74_82	FALSE
hsa-miR-1231	20.0663370425344	-0.776800472002732	0.000160533525795344	0.0386885797166778	light_no	82_76	TRUE	hsa-miR-6717-5p	56.3236333917055	-0.958867641082582	1.18203485442417e-05	0.0034618845798948	heavy_no	74_76	TRUE	hsa-miR-2277-5p	4.57142872216303	-0.969210584570627	0.000144847046571213	0.0387103731961566	heavy_light	74_82	FALSE
hsa-miR-182-3p	14.9333992111925	-1.02921820687866	0.000152796979996938	0.0386885797166778	light_no	82_76	FALSE	hsa-miR-1231	20.0663370425344	-0.9109702478312	1.3974108602941e-05	0.00363792627296563	heavy_no	74_76	TRUE	hsa-miR-6877-5p	3.31699375570229	-0.851949110250909	0.000252591103424825	0.0560809148059439	heavy_light	74_82	FALSE
hsa-miR-7158-3p	55.5660851528932	2.51960438053725	0.000155519717280218	0.0386885797166778	light_no	82_76	TRUE	hsa-miR-572	24.4829518687234	-0.967493836395622	2.63839922415929e-05	0.00618176938220522	heavy_no	74_76	TRUE	hsa-miR-891a-3p	1.71426347212046	-1.37141541762007	0.000262305494882806	0.0560809148059439	heavy_light	74_82	FALSE
