miRNA	baseMean	log2FoldChange	pvalue	padj	comparison	size	sig
hsa-miR-320d	30.231459663103	2.16375365599314	5.18710543968498e-06	0.00256916840558332	yes_no	77_52	TRUE
hsa-miR-3615-5p:Novel	24.4229806340609	1.92738928407108	4.37082718158834e-06	0.00256916840558332	yes_no	77_52	TRUE
hsa-miR-580-3p	8.97509020990871	2.49842189788678	6.14143841972108e-06	0.00256916840558332	yes_no	77_52	FALSE
hsa-miR-4304	9.29042050765756	2.22990423838295	1.5996551427962e-05	0.00501891801052306	yes_no	77_52	FALSE
hsa-miR-920-5p:Novel	6.29257376242585	1.40947527011099	4.79342390839797e-05	0.0120314940100789	yes_no	77_52	FALSE
hsa-miR-126-3p	52.9357089807142	3.37978238640795	6.71186228533725e-05	0.0140389786134971	yes_no	77_52	TRUE
hsa-miR-378i-3p:Novel	29.8110501353367	1.63728461865087	0.000122354671690136	0.0219364447101601	yes_no	77_52	TRUE
hsa-miR-12126-5p:Novel	139.897510634132	1.95062848914762	0.000165969857405746	0.0260365213805263	yes_no	77_52	TRUE
hsa-miR-320c	33.6155334183572	1.60112754844377	0.000288952590124553	0.0402928334007016	yes_no	77_52	TRUE
hsa-miR-192-5p	1561.48842210948	1.8971173362026	0.000359385702360384	0.0410026414965711	yes_no	77_52	TRUE
hsa-miR-22-3p	52.3391098351085	1.86027212083881	0.000348172134207951	0.0410026414965711	yes_no	77_52	TRUE
hsa-miR-4286-3p:Novel	18.9304917643812	1.17583020462454	0.000405253159096724	0.0423827262221991	yes_no	77_52	TRUE
hsa-miR-33a-5p	7.39639977945703	1.85046452306798	0.000441216703267684	0.0425943817385341	yes_no	77_52	FALSE
hsa-miR-215-5p	580.918810869347	1.97929975676689	0.000601808414207944	0.0503513039887313	yes_no	77_52	FALSE
hsa-miR-3175-3p:Novel	6.27122064579636	1.31803782525996	0.000564422595240351	0.0503513039887313	yes_no	77_52	FALSE
hsa-miR-4447-5p:Novel	13.892358431915	1.61477545132482	0.000652703401837664	0.0511964230816418	yes_no	77_52	FALSE
hsa-miR-1268b-3p:Novel	11.8832916739977	1.55491066289127	0.000800485548293425	0.0543399039170432	yes_no	77_52	FALSE
hsa-miR-4454-3p:Novel	6.02931251246262	1.5519122639327	0.000822675836194279	0.0543399039170432	yes_no	77_52	FALSE
hsa-miR-496	7.3417401237595	1.87114012564969	0.000746693843505217	0.0543399039170432	yes_no	77_52	FALSE
hsa-miR-194-3p	182.221548171374	1.43617665830397	0.00092899204493806	0.0546547118949135	yes_no	77_52	FALSE
hsa-miR-378a-3p	184.727307711941	1.63767207789518	0.00092748801065657	0.0546547118949135	yes_no	77_52	FALSE
hsa-miR-7114-5p	10.4316480731833	1.66130443639353	0.000958090567082148	0.0546547118949135	yes_no	77_52	FALSE
hsa-miR-1202-3p:Novel	30.1202954212723	1.35154354916925	0.00116032423065663	0.056237097509134	yes_no	77_52	FALSE
hsa-miR-12124-5p:Novel	9.85909007114624	1.39605786579421	0.00112069661028968	0.056237097509134	yes_no	77_52	FALSE
hsa-miR-6783-5p	6.00235380152347	1.63939915882038	0.00115827648861523	0.056237097509134	yes_no	77_52	FALSE
hsa-miR-874-3p	16.2523444351556	1.50653954754399	0.00116507134281871	0.056237097509134	yes_no	77_52	FALSE
hsa-miR-6124-3p:Novel	90.9070992885148	0.842869559959825	0.00121155627648434	0.0563149306291796	yes_no	77_52	FALSE
hsa-miR-3191-3p	10.6382137096818	1.38259576614324	0.00134150000771581	0.0601279467744052	yes_no	77_52	FALSE
hsa-miR-181b-5p	33.9553087768804	0.949609930952292	0.00181081111163432	0.0681535437912366	yes_no	77_52	FALSE
hsa-miR-182-5p	67.8357628094986	1.44691732925912	0.00169400705022751	0.0681535437912366	yes_no	77_52	FALSE
hsa-miR-1843	10.9405243175034	1.23819786208748	0.00195500205297571	0.0681535437912366	yes_no	77_52	FALSE
hsa-miR-200c-3p	245.239607202462	1.67204198716311	0.00189242748209344	0.0681535437912366	yes_no	77_52	FALSE
hsa-miR-30b-5p	7.33273773046983	1.95955282238529	0.00164297620542022	0.0681535437912366	yes_no	77_52	FALSE
hsa-miR-4426	8.21452132963013	2.38977589065787	0.00192439772409657	0.0681535437912366	yes_no	77_52	FALSE
hsa-miR-4512	7.94589929617399	1.40932882762988	0.00185549253790733	0.0681535437912366	yes_no	77_52	FALSE
hsa-miR-4654	34.892800438343	1.21536986406274	0.0016640191265264	0.0681535437912366	yes_no	77_52	FALSE
hsa-miR-326-5p:Novel	26.0557325607018	1.13799275164617	0.00210390222644854	0.0713620890322409	yes_no	77_52	FALSE
hsa-miR-3169	111.079082653596	-1.24646583060733	0.00225073666656959	0.072427551706278	yes_no	77_52	FALSE
hsa-miR-6767-5p	6.21002654687989	1.42066795861667	0.00222877246084379	0.072427551706278	yes_no	77_52	FALSE
hsa-miR-4430-3p:Novel	9.51846890234835	1.10526207345191	0.00242693428707351	0.0742878665921281	yes_no	77_52	FALSE
hsa-miR-5704-3p:Novel	7.46528151127276	2.08214973204817	0.00239722849399831	0.0742878665921281	yes_no	77_52	FALSE
hsa-miR-4326	61.5404800205056	1.49799834166692	0.0024917426254008	0.0744556427351906	yes_no	77_52	FALSE
hsa-miR-143-3p	92.030396873893	1.17016338546007	0.00263257991030702	0.0768345997077979	yes_no	77_52	FALSE
hsa-miR-3169-3p:Novel	30.7093784421592	-1.48423737131553	0.00272819893431508	0.0778156741492141	yes_no	77_52	FALSE
hsa-miR-1261-3p:Novel	7.45695420650351	1.0978863434879	0.00286655409686204	0.0799450087013748	yes_no	77_52	FALSE
hsa-miR-148a-3p	364.777950025335	1.53488459778171	0.00301522095241241	0.0805128147931399	yes_no	77_52	FALSE
hsa-miR-769-5p	8.74941417546445	1.58781705010196	0.00295850605319872	0.0805128147931399	yes_no	77_52	FALSE
hsa-miR-124-5p	37.7606892922165	1.11318027277968	0.00311734912220713	0.0815056905910407	yes_no	77_52	FALSE
hsa-let-7a-3p	734.90774367092	1.38175121461108	0.00433598002521497	0.0837177681791506	yes_no	77_52	FALSE
hsa-let-7d-3p	5.46722742579595	1.49555618888483	0.00387907396692599	0.0837177681791506	yes_no	77_52	FALSE
hsa-miR-101-5p	20.2058215005029	1.62999337598252	0.00429710440297606	0.0837177681791506	yes_no	77_52	FALSE
hsa-miR-1236-5p	7.83343740363037	1.10621203344142	0.00378807397048268	0.0837177681791506	yes_no	77_52	FALSE
hsa-miR-1303	7.76365350962601	1.81171919523539	0.00336460448059526	0.0837177681791506	yes_no	77_52	FALSE
hsa-miR-144-5p	10.229351849771	2.24476921651148	0.00392406939035376	0.0837177681791506	yes_no	77_52	FALSE
hsa-miR-1538	14.818643128817	1.28529106514496	0.00358011475878572	0.0837177681791506	yes_no	77_52	FALSE
hsa-miR-25-3p	49.9879567405694	1.69511670132766	0.00330009416595521	0.0837177681791506	yes_no	77_52	FALSE
hsa-miR-27b-3p	27.7484801140624	1.64164995554111	0.00433366969448693	0.0837177681791506	yes_no	77_52	FALSE
hsa-miR-3157-3p	8.02969527029771	-1.63792161407469	0.00421519630063188	0.0837177681791506	yes_no	77_52	FALSE
hsa-miR-338-3p	21.0930580618728	1.29169169133717	0.00359526836359727	0.0837177681791506	yes_no	77_52	FALSE
hsa-miR-425-5p	6.77643924971358	1.73954561371062	0.00414160531023402	0.0837177681791506	yes_no	77_52	FALSE
hsa-miR-4330-5p:Novel	38.2669563273614	1.44485543027054	0.00414503979387218	0.0837177681791506	yes_no	77_52	FALSE
hsa-miR-601-3p:Novel	9.60160993540319	1.31334566849213	0.00409345986542348	0.0837177681791506	yes_no	77_52	FALSE
hsa-miR-6130	36.45862736881	1.10410599394423	0.00387646702024136	0.0837177681791506	yes_no	77_52	FALSE
hsa-miR-6738-5p	72.9164058098704	1.19870095376644	0.00433022538000893	0.0837177681791506	yes_no	77_52	FALSE
hsa-miR-6879-5p	37.6634733788939	1.02736513658983	0.00383863112976629	0.0837177681791506	yes_no	77_52	FALSE
hsa-miR-150-3p	8.23982145009965	0.917141054571595	0.00492589021855876	0.0908807801313735	yes_no	77_52	FALSE
hsa-miR-200b-3p	222.134036780865	1.46009583858265	0.00489652834794801	0.0908807801313735	yes_no	77_52	FALSE
hsa-miR-604	6.97074009866119	1.21733269865817	0.00499663253311934	0.0908807801313735	yes_no	77_52	FALSE
hsa-miR-7-3-3p:Novel	14.5199547390306	1.43099447529074	0.00497319353669697	0.0908807801313735	yes_no	77_52	FALSE
hsa-miR-639	27.1018861063734	1.10859979401205	0.00516010387719329	0.0925132909411082	yes_no	77_52	FALSE
hsa-miR-1843-3p:Novel	6.75490237577644	1.06621775331138	0.00524055044821112	0.0926322649648585	yes_no	77_52	FALSE
hsa-miR-103b-3p:Novel	23.303667491573	1.65343526220395	0.00532431453700574	0.0927552390668483	yes_no	77_52	FALSE
hsa-miR-1469-3p:Novel	31.1613867620289	1.26827041806663	0.00540041495428611	0.0927552390668483	yes_no	77_52	FALSE
hsa-miR-4317-3p:Novel	6.16855950674112	1.5870676325427	0.00546923321987791	0.0927552390668483	yes_no	77_52	FALSE
hsa-miR-194-1-3p:Novel	225.184823140131	1.33860823566545	0.00554339901785834	0.0927595435654962	yes_no	77_52	FALSE
hsa-miR-181c-3p	20.541020139595	1.06781297529115	0.00579626089230113	0.0939724681791218	yes_no	77_52	FALSE
hsa-miR-196a-3p	12.2868859051077	1.32289809668048	0.00588464610795876	0.0939724681791218	yes_no	77_52	FALSE
hsa-miR-2115-3p	7.9309838425826	1.34312978786342	0.00592765607671618	0.0939724681791218	yes_no	77_52	FALSE
hsa-miR-2392-5p:Novel	11.2913845093952	1.10400845131921	0.00599027685603964	0.0939724681791218	yes_no	77_52	FALSE
hsa-miR-375-3p	151.601982091676	1.43534623692146	0.00570090733493384	0.0939724681791218	yes_no	77_52	FALSE
hsa-miR-1285-5p	18.7454205492413	1.29311851954931	0.00624700533374507	0.0953840976392834	yes_no	77_52	FALSE
hsa-miR-3145-3p	11.4484639393719	1.88277226447238	0.00630827099925141	0.0953840976392834	yes_no	77_52	FALSE
hsa-miR-6880-5p	17.6563209504681	1.06832924404165	0.00625850439710309	0.0953840976392834	yes_no	77_52	FALSE
hsa-let-7g-5p	502.607637147254	1.54591045853136	0.00656108435582482	0.0980257246019065	yes_no	77_52	FALSE
hsa-miR-21-5p	371.937843793324	1.36040155908147	0.00681399772151439	0.0982938751781674	yes_no	77_52	FALSE
hsa-miR-3941	7.66038069948217	1.30666320910632	0.00666453635846065	0.0982938751781674	yes_no	77_52	FALSE
hsa-miR-6802-5p	23.3541770071793	0.857351579189276	0.00679118826576073	0.0982938751781674	yes_no	77_52	FALSE
hsa-miR-632-5p:Novel	6.73584212746386	1.30912623535356	0.00689881582129167	0.0983865210877392	yes_no	77_52	FALSE
hsa-miR-4644-5p:Novel	7.36195196577416	1.23316145419824	0.00704993668193206	0.0994120284924128	yes_no	77_52	FALSE
hsa-miR-3180-5p	42.7930713188592	0.754776207701651	0.00725864488126369	0.100265312231879	yes_no	77_52	FALSE
hsa-miR-5091-3p:Novel	23.7812955177999	0.905320654167323	0.00727023379529957	0.100265312231879	yes_no	77_52	FALSE
hsa-let-7b-5p	444.92697583632	1.37814914717238	0.00781565399360541	0.104258904508125	yes_no	77_52	FALSE
hsa-let-7i-5p	557.546446689883	1.44494083501673	0.00795187947498291	0.104258904508125	yes_no	77_52	FALSE
hsa-miR-615-5p	28.4656829114279	1.48187390405069	0.00764309047579998	0.104258904508125	yes_no	77_52	FALSE
hsa-miR-6741-5p	13.0517337723238	1.2595995474324	0.00778476990654822	0.104258904508125	yes_no	77_52	FALSE
hsa-miR-6757-5p	54.5310148973008	1.16370885451539	0.00797518313368926	0.104258904508125	yes_no	77_52	FALSE
hsa-let-7e-5p	8.24986628466064	1.30208308893601	0.00822942035220166	0.105591892817804	yes_no	77_52	FALSE
hsa-miR-1179-3p:Novel	5.96428471153081	0.83427003435291	0.00824542270609147	0.105591892817804	yes_no	77_52	FALSE
hsa-miR-8072-3p:Novel	27.0732865865917	0.804438607203829	0.00841329743026528	0.106653416919019	yes_no	77_52	FALSE
hsa-miR-3181-3p:Novel	6.35913980325784	1.3582748117333	0.00850850829540264	0.106781779107303	yes_no	77_52	FALSE
hsa-miR-17-5p	9.10645839719461	2.45201728939858	0.0086885818691897	0.106987682895414	yes_no	77_52	FALSE
hsa-miR-3907-5p:Novel	40.8222596183383	0.945638412351502	0.00869541327118104	0.106987682895414	yes_no	77_52	FALSE
hsa-miR-12121	152.421750134814	1.27218355568742	0.00891587430615754	0.108635167516774	yes_no	77_52	FALSE
hsa-let-7d-5p	86.3110398131264	1.29754679862357	0.00911392065622861	0.1094367411373	yes_no	77_52	FALSE
hsa-miR-200a-3p	111.877219626195	1.19288867161137	0.00939253482301964	0.1094367411373	yes_no	77_52	FALSE
hsa-miR-423-5p	99.6692206397281	1.15720940914429	0.00941766377914609	0.1094367411373	yes_no	77_52	FALSE
hsa-miR-6090	10.0791848457968	1.16337829234669	0.00925871466731357	0.1094367411373	yes_no	77_52	FALSE
hsa-miR-8077	13.7737747573153	0.799350585817224	0.00929348982515732	0.1094367411373	yes_no	77_52	FALSE
hsa-miR-6861-5p	14.5160210798002	0.94989223436146	0.00956175610675713	0.110091779027341	yes_no	77_52	FALSE
hsa-miR-4306-5p:Novel	22.5188504680761	0.835906610035437	0.00980561745256702	0.111873180936106	yes_no	77_52	FALSE
hsa-miR-8054-3p:Novel	5.65183616932797	-1.50982985185927	0.010335814991252	0.116859890216408	yes_no	77_52	FALSE
hsa-miR-10a-5p	76.6596658416987	1.36184880752836	0.0104372865320304	0.116953523193733	yes_no	77_52	FALSE
hsa-miR-608	5.67059998388911	0.917206799826785	0.0105510315455388	0.117181810527887	yes_no	77_52	FALSE
hsa-miR-6511a-3p	19.6030136312591	0.779630647668039	0.0109738739666133	0.120808875685085	yes_no	77_52	FALSE
hsa-miR-5787-3p:Novel	11.5686142720608	0.99756092783821	0.0110812899048567	0.120930598526914	yes_no	77_52	FALSE
hsa-miR-6072-5p:Novel	6.44073721928815	1.10307752540805	0.0112670732386906	0.121898076849626	yes_no	77_52	FALSE
hsa-miR-146a-5p	27.5006078154474	1.14878539114317	0.0123128744262391	0.124828768614023	yes_no	77_52	FALSE
hsa-miR-148b-3p	8.09136107271995	1.55148881833682	0.0128310049013617	0.124828768614023	yes_no	77_52	FALSE
hsa-miR-16-5p	9.13869767106575	1.23998741717834	0.0127699883915726	0.124828768614023	yes_no	77_52	FALSE
hsa-miR-23a-3p	6.85543422726194	1.61157962180995	0.0125533821384944	0.124828768614023	yes_no	77_52	FALSE
hsa-miR-3132	8.08839403634206	1.32629980455917	0.0125343658461529	0.124828768614023	yes_no	77_52	FALSE
hsa-miR-4329	14.9000112615142	1.00713225319944	0.0124046389603076	0.124828768614023	yes_no	77_52	FALSE
hsa-miR-4666a-5p	25.1678109331987	1.47767484520922	0.0127609845305159	0.124828768614023	yes_no	77_52	FALSE
hsa-miR-4754	6.42732245955819	0.895442413350738	0.0123163035530881	0.124828768614023	yes_no	77_52	FALSE
hsa-miR-636-5p:Novel	7.6490939336677	1.0770927846587	0.0123373472500742	0.124828768614023	yes_no	77_52	FALSE
hsa-miR-6717-3p:Novel	84.323440233565	0.708952617920093	0.0123687189419234	0.124828768614023	yes_no	77_52	FALSE
