miRNA...1	baseMean...2	log2FoldChange...3	pvalue...6	padj...7	comparison...8	size...9	sig...10	miRNA...11	baseMean...12	log2FoldChange...13	pvalue...16	padj...17	comparison...18	size...19	sig...20	miRNA...21	baseMean...22	log2FoldChange...23	pvalue...26	padj...27	comparison...28	size...29	sig...30
hsa-miR-221-5p	8.75673433265271	1.93297897895705	0.000191544188859269	0.0532812085343533	U16_never	29_117	FALSE	hsa-miR-451b-3p:Novel	346.45510978457	7.99032437863691	1.19412438785723e-18	2.96859322821306e-15	O16_never	14_117	TRUE	hsa-miR-451b-3p:Novel	346.45510978457	9.35314350248101	5.84795688546725e-18	1.3742698680848e-14	O16_U16	14_29	TRUE
hsa-miR-3157-3p	10.0482547360805	-1.7222455920007	0.000171373765608494	0.0532812085343533	U16_never	29_117	FALSE	hsa-miR-451a-3p:Novel	378.391604331482	8.12137216295692	2.41054732416801e-17	2.99631032394083e-14	O16_never	14_117	TRUE	hsa-miR-451a-3p:Novel	378.391604331482	8.93031303642091	4.00361073338378e-15	4.70424261172594e-12	O16_U16	14_29	TRUE
hsa-miR-4463	6.41355940243882	-1.49644549478724	0.000156374862690853	0.0532812085343533	U16_never	29_117	FALSE	hsa-let-7d-5p	62.6685910720595	4.64308982055308	5.52215705674749e-17	4.57602748102476e-14	O16_never	14_117	TRUE	hsa-let-7a-3p	545.835883653848	4.82796081209626	1.6803443678397e-14	1.2731645860121e-11	O16_U16	14_29	TRUE
hsa-miR-4767-3p:Novel	12.9509044858816	1.04403571318131	0.000127649305590728	0.0532812085343533	U16_never	29_117	FALSE	hsa-let-7g-5p	363.341853496098	5.31033677358903	1.04095024535739e-16	6.46950577489617e-14	O16_never	14_117	TRUE	hsa-let-7g-5p	363.341853496098	5.67807880413763	2.16708865704187e-14	1.2731645860121e-11	O16_U16	14_29	TRUE
hsa-miR-587	8.32235862888353	1.91778237748	0.00012586413913045	0.0532812085343533	U16_never	29_117	FALSE	hsa-let-7a-3p	545.835883653848	4.47263802254854	1.56885556120033e-16	7.80034985028804e-14	O16_never	14_117	TRUE	hsa-miR-200a-3p	90.7500988776397	4.21250927590935	3.67697216689965e-13	1.72817691844284e-10	O16_U16	14_29	TRUE
hsa-miR-650-3p:Novel	20.3982555734833	-1.74416245724147	3.26360600589196e-05	0.0532812085343533	U16_never	29_117	FALSE	hsa-miR-200a-3p	90.7500988776397	3.90828896259175	5.12279582860401e-15	2.1225450716516e-12	O16_never	14_117	TRUE	hsa-let-7d-5p	62.6685910720595	4.51818393458537	2.57011903690477e-12	1.00662995612104e-09	O16_U16	14_29	TRUE
hsa-miR-4675-5p:Novel	3.49707444771975	-1.33958120407132	0.000261332320219759	0.0623090917781112	U16_never	29_117	FALSE	hsa-miR-144-3p	22.2620837581393	4.94753779850379	1.0292678499433e-13	3.19844984369881e-11	O16_never	14_117	TRUE	hsa-miR-423-5p	75.4094782985293	3.78341541863301	3.1555335860887e-11	1.05935770390121e-08	O16_U16	14_29	TRUE
hsa-miR-3920	33.6272539228633	0.999392399523718	0.000345333528092472	0.072045207298292	U16_never	29_117	FALSE	hsa-miR-423-5p	75.4094782985293	3.64890032372358	1.02416610298983e-13	3.19844984369881e-11	O16_never	14_117	TRUE	hsa-miR-486-5p	61.5656512399584	5.03228095169775	4.2383985119471e-11	1.24502956288446e-08	O16_U16	14_29	TRUE
hsa-miR-133b-5p:Novel	9.48089003669931	-0.99080839126249	0.000445618193939036	0.0826374184093613	U16_never	29_117	FALSE	hsa-miR-486-5p	61.5656512399584	4.83402325301157	1.18630933750334e-13	3.27685001448144e-11	O16_never	14_117	TRUE	hsa-miR-126-3p	36.296542814654	6.16984302512774	8.14059359880305e-11	2.12559943968746e-08	O16_U16	14_29	TRUE
hsa-miR-187-5p	6.03116034253589	-1.47990026624418	0.000667591619403662	0.0857084932911317	U16_never	29_117	FALSE	hsa-miR-126-3p	36.296542814654	5.93897816973216	1.78717838989168e-13	4.44292547727072e-11	O16_never	14_117	TRUE	hsa-miR-622	58.1950815105359	3.6132235878907	2.6089929910697e-10	6.13113352901379e-08	O16_U16	14_29	TRUE
hsa-miR-342-5p	7.33149962696237	-1.41936798130071	0.000661975096935648	0.0857084932911317	U16_never	29_117	FALSE	hsa-let-7b-5p	325.576365342963	4.07553427915621	2.5120515167566e-12	5.67723642786993e-10	O16_never	14_117	TRUE	hsa-miR-26b-5p	40.2776587964464	5.10505842678763	3.22810312072414e-10	6.89640212154703e-08	O16_U16	14_29	TRUE
