miRNA...1	baseMean...2	log2FoldChange...3	pvalue...6	padj...7	comparison...8	size...9	sig...10	miRNA...11	baseMean...12	log2FoldChange...13	pvalue...16	padj...17	comparison...18	size...19	sig...20	miRNA...21	baseMean...22	log2FoldChange...23	pvalue...26	padj...27	comparison...28	size...29	sig...30
hsa-miR-6131-5p:Novel	90.8471880533673	-0.91065494876947	5.76331334857551e-05	0.200563304530428	modInact_modAct	93_113	FALSE	hsa-miR-6512-5p	4.20736978342238	2.01175258438382	4.20730046701197e-08	5.46528330664855e-05	Inactive_ModAct	21_113	FALSE	hsa-miR-6512-5p	4.20736978342238	2.05612713595893	3.08754962346887e-08	5.48348813128072e-05	Inactive_modInact	21_93	FALSE
hsa-miR-3619-3p	141.277244433301	1.24592860541822	0.000162688753943752	0.283078431862128	modInact_modAct	93_113	FALSE	hsa-miR-12121	143.524860362219	1.72900126662661	0.000132618628481366	0.0861357991986473	Inactive_ModAct	21_113	FALSE	hsa-miR-5701-3p:Novel	3.13702011632224	2.79528005122488	1.59958004235334e-06	0.00142042707760976	Inactive_modInact	21_93	FALSE
hsa-miR-11400	2.08098412987918	0.877861577135808	0.00136803490691994	0.340450943170534	modInact_modAct	93_113	FALSE	hsa-miR-378i-3p:Novel	22.7439332719569	1.55753992691849	0.000203042565066316	0.0879174306737148	Inactive_ModAct	21_113	FALSE	hsa-miR-3121-3p	3.10593462178646	2.04719156298453	7.79438953086958e-05	0.0276856716136487	Inactive_modInact	21_93	FALSE
hsa-miR-1180-3p	3.36632796876433	0.875089038540605	0.00150332601835191	0.340450943170534	modInact_modAct	93_113	FALSE	hsa-miR-223-3p	13.1574195592953	1.68911808792921	0.000353350913759011	0.0918005673945911	Inactive_ModAct	21_113	FALSE	hsa-miR-378i-3p:Novel	22.7439332719569	1.68322773440205	6.92085210783052e-05	0.0276856716136487	Inactive_modInact	21_93	TRUE
hsa-miR-124-3p	10.2333425385995	-0.591607872233128	0.00119952489305787	0.340450943170534	modInact_modAct	93_113	FALSE	hsa-miR-6501-3p	5.79170561109856	1.80387901735428	0.000352630102211939	0.0918005673945911	Inactive_ModAct	21_113	FALSE	hsa-miR-9902-3p:Novel	5.2817793088136	1.460453641297	5.46285998776918e-05	0.0276856716136487	Inactive_modInact	21_93	FALSE
hsa-miR-152-5p	5.45867086831787	0.772712369380431	0.000944337728395822	0.340450943170534	modInact_modAct	93_113	FALSE	hsa-miR-3196	6.10647153068019	1.7389431928452	0.000588410675598125	0.099675283990534	Inactive_ModAct	21_113	FALSE	hsa-miR-6501-3p	5.79170561109856	1.96100118545932	0.000122874151142624	0.0363707487382167	Inactive_modInact	21_93	FALSE
hsa-miR-184-5p:Novel	10.92722359959	-0.929587475224426	0.00176095315433035	0.340450943170534	modInact_modAct	93_113	FALSE	hsa-miR-3679-5p	4.40788817599281	1.32236551699267	0.000503225592205069	0.099675283990534	Inactive_ModAct	21_113	FALSE	hsa-miR-223-3p	13.1574195592953	1.78753765903684	0.000177435378304723	0.0450178902670268	Inactive_modInact	21_93	FALSE
hsa-miR-3132-3p:Novel	4.96286047077223	0.699992060278014	0.000357808560482451	0.340450943170534	modInact_modAct	93_113	FALSE	hsa-miR-4261-5p:Novel	7.22323027072416	1.42093053573852	0.000902033723442599	0.099675283990534	Inactive_ModAct	21_113	FALSE	hsa-miR-182-5p	65.2924579475033	1.66449260174378	0.000285917186293305	0.0634736153571137	Inactive_modInact	21_93	FALSE
hsa-miR-3161-3p:Novel	3.86128925401097	-0.565622094619996	0.00165867900258573	0.340450943170534	modInact_modAct	93_113	FALSE	hsa-miR-4270	29.0363016684306	1.91291340684103	0.000810947535670895	0.099675283990534	Inactive_ModAct	21_113	FALSE	hsa-miR-3679-5p	4.40788817599281	1.3716249678314	0.000372893497766174	0.0662258852032725	Inactive_modInact	21_93	FALSE
hsa-miR-378g-3p:Novel	2.52913173906124	-1.10717725665808	0.00113883547418101	0.340450943170534	modInact_modAct	93_113	FALSE	hsa-miR-622	47.6231733964898	1.41053618960815	0.000920787842868675	0.099675283990534	Inactive_ModAct	21_113	FALSE	hsa-miR-6812-5p	7.29625107814925	1.3076360835879	0.000365153659618427	0.0662258852032725	Inactive_modInact	21_93	FALSE
