miRNA	baseMean	log2FoldChange	pvalue	padj	comparison	size	sig
hsa-miR-200c-3p	178.750743855921	-1.43531878180282	1.16422042592856e-06	0.0013266291753456	M_F	99_133	TRUE
hsa-miR-4418	53.4666402823737	-1.2651959816612	5.88792581127994e-07	0.0013266291753456	M_F	99_133	TRUE
hsa-miR-215-5p	406.765194128146	-1.44252517345748	4.80386295175296e-06	0.00182466727784083	M_F	99_133	TRUE
hsa-miR-4330-5p:Novel	26.0499418971451	-1.17895133125903	4.26266370359872e-06	0.00182466727784083	M_F	99_133	TRUE
hsa-miR-4632-5p	95.8357267411609	-1.11144224712892	3.40920796029363e-06	0.00182466727784083	M_F	99_133	TRUE
hsa-miR-615-5p	37.4253998814467	1.48018506564286	4.0543682091427e-06	0.00182466727784083	M_F	99_133	TRUE
hsa-miR-4530-5p:Novel	16.0875927292107	1.38762752308392	7.48017730024681e-06	0.00213091550840781	M_F	99_133	TRUE
hsa-miR-664b-5p	10.5468091703346	-1.14445401641489	6.8727138683624e-06	0.00213091550840781	M_F	99_133	FALSE
hsa-miR-3615-5p:Novel	19.3979786311632	-1.02170717827509	8.79233195883376e-06	0.00222641383713135	M_F	99_133	TRUE
hsa-miR-324-5p	36.8072194859444	1.36876752408542	1.04877916928674e-05	0.00239016772680447	M_F	99_133	TRUE
hsa-miR-194-3p	131.235538653922	-1.01854510882607	1.22497281406429e-05	0.00253792094841137	M_F	99_133	TRUE
hsa-miR-139-3p	5.61399254819257	-1.31656131877149	1.94096131702241e-05	0.0036862090345784	M_F	99_133	FALSE
hsa-miR-192-5p	1159.33270247596	-1.23601207227534	2.25554468687508e-05	0.00373849591420529	M_F	99_133	TRUE
hsa-miR-324-3p	31.6201984545078	1.31206151461927	2.2965749363262e-05	0.00373849591420529	M_F	99_133	TRUE
hsa-miR-3924-5p:Novel	2.3061188968508	-1.26486103610252	3.31141672393507e-05	0.00503114580923202	M_F	99_133	FALSE
hsa-miR-1202-3p:Novel	40.7198207154566	-1.02728569637654	4.49988205455262e-05	0.00640951950145339	M_F	99_133	TRUE
hsa-miR-6073-5p:Novel	4.88580679245076	-1.05608591042628	5.16127854291734e-05	0.00665007075536171	M_F	99_133	FALSE
hsa-miR-874-3p	13.0448421149741	-1.00459450768401	5.25235952595484e-05	0.00665007075536171	M_F	99_133	FALSE
hsa-miR-6814-3p	2.79438773255148	-1.47272429414508	5.66329246317148e-05	0.006792970275562	M_F	99_133	FALSE
hsa-miR-148a-3p	259.093641831937	-1.14570912065192	7.47266616088062e-05	0.00826127851220742	M_F	99_133	TRUE
hsa-miR-21-5p	320.318767078528	-1.09426826972395	7.67815067466264e-05	0.00826127851220742	M_F	99_133	TRUE
hsa-miR-499b-5p	10.9885328313779	-0.943838099015415	7.97490685689177e-05	0.00826127851220742	M_F	99_133	FALSE
hsa-miR-4294-3p:Novel	9.21669305020007	-1.05291919582081	0.000129384920885032	0.0119491847684188	M_F	99_133	FALSE
hsa-miR-4750-5p	12.7713844020511	-1.0263187342571	0.000131079253712361	0.0119491847684188	M_F	99_133	FALSE
hsa-miR-581-3p:Novel	2.01631403681703	-1.08258352903479	0.00012223303612025	0.0119491847684188	M_F	99_133	FALSE
hsa-miR-10a-5p	60.1605306976451	-1.10179652187398	0.000159232376779009	0.0139573302568985	M_F	99_133	TRUE
hsa-miR-5002-3p	6.33169164097057	-0.925466286985083	0.000196385377061106	0.0165763805304541	M_F	99_133	FALSE
hsa-miR-221-5p	8.57803253061763	-1.39397803488308	0.000248583667733326	0.0191877705535359	M_F	99_133	FALSE
hsa-miR-375-3p	113.772651655228	-1.06155696116647	0.000248580391426489	0.0191877705535359	M_F	99_133	TRUE
hsa-miR-626	2.85837354263381	-0.975603609561542	0.000252581446514295	0.0191877705535359	M_F	99_133	FALSE
hsa-miR-152-5p	5.79992439217647	-0.916649445140803	0.000284223873344135	0.0202420689797276	M_F	99_133	FALSE
