miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison
hsa-miR-1229-5p 40.1824272753433 1.41694462072407 0.293523958342132 4.82735592940075 1.38357712564232e-06 0.00242402712412534 2_0
hsa-miR-4739 47.2690710351263 1.51516824310176 0.311862245314632 4.85845358284116 1.18306135889894e-06 0.00414544700158189 2_0
hsa-miR-6728-5p 268.071360665787 -1.01387883350166 0.234365229016821 -4.32606337448159 1.51797766006274e-05 0.00542665153439187 1_0
hsa-miR-8075-5p:Novel 39.8855044323202 -1.41802824126647 0.310301804788418 -4.56983562255904 4.88106904650489e-06 0.00542665153439187 1_0
hsa-miR-8075 41.0717461795638 -1.29637196960893 0.308006470815856 -4.20891147570721 2.56603890176783e-05 0.00784108172983054 1_0
hsa-miR-12118 24.4349586579668 -1.62431007748447 0.390461046405976 -4.15997983008942 3.18275700376448e-05 0.00833081159919469 1_0
hsa-miR-9901-3p:Novel 67.8510062085119 -0.945641856817163 0.231929684461058 -4.07727824497576 4.55659527887831e-05 0.0097465573015207 1_0
hsa-miR-12136-3p:Novel 24.9842523187383 1.05545201619138 0.237933875692639 4.43590477866549 9.16863723599687e-06 0.0107089682916443 2_0
hsa-miR-4725-3p 16.9445577951061 -1.30171908249193 0.33020907718026 -3.9421056913627 8.07693676626328e-05 0.0157059706754883 1_0
hsa-miR-7845-3p:Novel 28.6424570357231 -0.865283090714564 0.230521676962052 -3.75358665665531 0.000174322229821571 0.0258319528098953 1_0
hsa-miR-6768-5p 32.2063090232945 -0.864973227005924 0.236339297136487 -3.65987898536567 0.000252334387991011 0.0317496032889866 1_0
hsa-let-7d-5p 56.87806918645 1.54370488092993 0.39295866587616 3.92841541613039 8.55074144537709e-05 0.0332908866940015 2_0
hsa-miR-200a-3p 80.4886028103194 1.34224589022471 0.339300191401815 3.95592435323788 7.62392848953096e-05 0.0332908866940015 2_0
hsa-miR-4516-3p:Novel 156.533016806669 1.17949986031505 0.296071687185336 3.98383199531233 6.78128224520441e-05 0.0332908866940015 2_0
hsa-miR-425-3p 36.8245187006809 -0.892033045484661 0.248383820303249 -3.59134924487267 0.000328970448674464 0.035183389485734 1_0
hsa-miR-4466-3p:Novel 64.8082921554768 -0.826356542008796 0.229149599574041 -3.60618802539862 0.000310728026253147 0.035183389485734 1_0
hsa-miR-1181-3p:Novel 98.6038519157755 -0.703390623325448 0.202196433579171 -3.47874891200805 0.000503760353093591 0.0450459794455288 1_0
hsa-miR-137-3p 68.9841676422559 1.17809068460261 0.311589941700241 3.78090087945127 0.000156261883700544 0.0456284700405588 2_0
hsa-miR-7113-5p 259.406271154889 1.17435747274758 0.309426821798016 3.79526721673197 0.000147484519763566 0.0456284700405588 2_0
