miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison size sig
hsa-miR-1229-5p 43.1889111408657 1.41470420537119 0.292898592761689 4.83001366456628 1.36523681036138e-06 0.00190450535045413 Cu_Fo 43_70 TRUE
hsa-miR-4426 6.8523350774951 -2.18861471743304 0.45875861706397 -4.77073265988997 1.83557029826872e-06 0.00356467751923785 Fo_Ne 70_117 FALSE
hsa-miR-12136-3p:Novel 23.6801099274635 0.995511215833586 0.22187029198143 4.48690632235211 7.22648291446187e-06 0.00504047183283715 Cu_Fo 43_70 TRUE
hsa-miR-6090 8.31211695379156 1.30296744741337 0.29682865815652 4.3896281966356 1.13544626342676e-05 0.00527982512493441 Cu_Fo 43_70 FALSE
hsa-miR-106b-5p 25.7810400312431 1.53072653777007 0.341840105729873 4.47790213059341 7.53801430168493e-06 0.0104275627249653 Cu_Ne 43_117 TRUE
hsa-miR-4739 48.5204329991056 1.42500814870955 0.318278783022161 4.47723261720003 7.56168435457962e-06 0.0104275627249653 Cu_Ne 43_117 TRUE
hsa-miR-6516-5p 8.50892996754194 2.20935003112691 0.537936099149888 4.1070863892912 4.00681398051448e-05 0.0139737637570442 Cu_Fo 43_70 FALSE
hsa-miR-769-5p 7.25895675068145 -1.49077637668044 0.347876080167436 -4.28536614521732 1.82438467416757e-05 0.0177147751861671 Fo_Ne 70_117 FALSE
hsa-miR-3157-3p 10.0482547360805 -1.66653588669153 0.393436474234612 -4.23584490973695 2.27693900161552e-05 0.0209326592215187 Cu_Ne 43_117 FALSE
hsa-miR-6768-5p 29.9059802460532 -0.914446247297834 0.22248347194393 -4.11017609221907 3.95357504286781e-05 0.0255928091108309 Fo_Ne 70_117 TRUE
hsa-miR-4645-3p 14.2273529896581 -1.34677698117155 0.338813615897635 -3.97497892050018 7.03854899831765e-05 0.0312234661368431 Fo_Ne 70_117 FALSE
hsa-miR-8075-5p:Novel 35.9556213722668 -1.18386232180812 0.300226201900617 -3.94323451555374 8.03899746056722e-05 0.0312234661368431 Fo_Ne 70_117 TRUE
hsa-let-7d-5p 62.6685910720595 1.51447676101453 0.393000339641522 3.85362710473985 0.000116380802360432 0.0324702438585605 Cu_Fo 43_70 TRUE
hsa-miR-3132 6.4380229015199 -1.18690367413428 0.312671059836885 -3.79601385159683 0.000147041286152844 0.0356942722136028 Fo_Ne 70_117 FALSE
hsa-miR-4447-5p:Novel 13.3957627265573 -1.12773378309962 0.297025024758419 -3.79676353538511 0.000146597504713995 0.0356942722136028 Fo_Ne 70_117 FALSE
hsa-miR-4519-3p:Novel 9.11574045155926 1.31359832257104 0.342062961854645 3.84022378643038 0.000122922206430615 0.0356942722136028 Fo_Ne 70_117 FALSE
hsa-miR-12118 21.1482963313509 -1.3871980415492 0.379450739645229 -3.65580534339232 0.000256375844987015 0.038298606997291 Fo_Ne 70_117 TRUE
hsa-miR-4770-5p:Novel 2.28479824158255 1.09014776619469 0.296945077772284 3.67121009168801 0.000241404797998643 0.038298606997291 Fo_Ne 70_117 FALSE
hsa-miR-509-5p 9.88801525103297 0.843365862287637 0.227723589692632 3.70346288421838 0.000212676309741831 0.038298606997291 Fo_Ne 70_117 FALSE
hsa-miR-6728-5p 262.965125353129 -0.885084966712341 0.240775941461335 -3.6759692905384 0.00023694802725757 0.038298606997291 Fo_Ne 70_117 TRUE
hsa-miR-148b-3p 6.17802773847277 1.79397629882623 0.482803369979342 3.71574933062913 0.000202602366719612 0.0403757573676941 Cu_Fo 43_70 FALSE
hsa-miR-4516-3p:Novel 163.133801192771 1.15265658867887 0.309227177654113 3.72753972475271 0.000193358091120058 0.0403757573676941 Cu_Fo 43_70 TRUE
hsa-miR-3164 9.66787169935125 -1.01947615957536 0.284750383263506 -3.58024508304857 0.000343272088062111 0.0444199846587258 Fo_Ne 70_117 FALSE
hsa-miR-4300 6.32373677776036 0.847500723862731 0.238898131568666 3.54754019337792 0.000388846415653109 0.0444199846587258 Fo_Ne 70_117 FALSE
hsa-miR-8059-3p:Novel 10.140672772498 -0.98435627017642 0.275409871388333 -3.57415028449892 0.000351367085418502 0.0444199846587258 Fo_Ne 70_117 FALSE
hsa-miR-8075 37.0992007303024 -1.05379202673334 0.297035931580521 -3.54769209612499 0.000388622243504702 0.0444199846587258 Fo_Ne 70_117 TRUE
hsa-miR-1909-5p 2.88997513744053 -1.08927469124325 0.310412459582891 -3.50912039003503 0.000449591347195455 0.0485059109029763 Fo_Ne 70_117 FALSE
hsa-miR-7845-3p:Novel 30.4678681837956 -0.825640887387119 0.237170007322284 -3.48121963948493 0.000499136011027386 0.0510169543902728 Fo_Ne 70_117 FALSE
hsa-miR-1268b-3p:Novel 8.98899101800673 1.15845921886833 0.321644188113215 3.60167931422582 0.000316168229785147 0.0532178929350245 Cu_Fo 43_70 FALSE
hsa-miR-139-3p 5.7332147862192 1.40555064927919 0.397113993330922 3.53941355097984 0.00040101709106166 0.0532178929350245 Cu_Fo 43_70 FALSE
hsa-miR-2113 6.42185562187651 -1.51443730551435 0.430243273991451 -3.51995579492648 0.000431618727717073 0.0532178929350245 Cu_Fo 43_70 FALSE
hsa-miR-221-5p 8.75673433265271 1.7300871461881 0.493702343525932 3.50431220121851 0.000457788326322791 0.0532178929350245 Cu_Fo 43_70 FALSE
hsa-miR-4330 25.6048921749141 1.17862486376979 0.333480145610065 3.53431794751566 0.000408828964532515 0.0532178929350245 Cu_Fo 43_70 FALSE
hsa-miR-224-5p 4.78006954807042 -1.34455176763421 0.389415572303325 -3.45274268227494 0.000554918069953119 0.0538825445924479 Fo_Ne 70_117 FALSE
