ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	18_37.x	37_53.x	53_81.x	18_37.y	37_53.y	53_81.y
has-miR-548o	0.472531355668545	-0.66247475304704	0.607017433026891	-1.09136034156978	0.275114355744507	NA	53_81_vs_18_37	NA	0.589	0.445	0.377	0	0	0
has-miR-548x	1.67875585033516	-0.290237010663521	0.548455519656944	-0.529189697726193	0.596673862669027	NA	53_81_vs_18_37	NA	1.852	0.923	2.352	0	0	0.084
hsa-let-7a-2-3p	0.569890448135439	-0.398794106504389	0.481247756670809	-0.828666941251176	0.407292897251267	NA	53_81_vs_18_37	NA	0.677	0.54	0.488	0	0	0
hsa-let-7a-3p	534.428735832435	-0.314654589694037	0.371736754988736	-0.846444655986657	0.397304735664948	0.722208517686511	53_81_vs_18_37	FALSE	750.204	555.93	276.185	21.77	15.454	13.356
hsa-let-7a-5p	14.2545033059458	-0.112131839224277	0.304910828568762	-0.367752892708399	0.713057497308058	0.896432264689289	53_81_vs_18_37	FALSE	12.437	18.405	11.496	7.808	4.295	6.906
hsa-let-7b-3p	0.470368105074011	-0.948584244578068	0.744879609245993	-1.27347323353136	0.202850164801447	NA	53_81_vs_18_37	NA	0.477	0.704	0.197	0	0	0
hsa-let-7b-5p	319.033725136674	-0.317497996700096	0.392245321789431	-0.809437306356296	0.418263650741026	0.738433326081219	53_81_vs_18_37	FALSE	411.971	375.092	154.507	13.989	10.223	11.267
hsa-let-7c-3p	4.06344818730709	0.222121288606256	0.41006781455236	0.541669647613599	0.588046102782444	0.837086443634591	53_81_vs_18_37	FALSE	6.17	2.761	3.264	0.409	0.496	0
hsa-let-7c-5p	23.6780984884947	-0.426285366293473	0.385037648701227	-1.10712645304006	0.268239259967421	0.614776558428164	53_81_vs_18_37	FALSE	37.122	20.964	12.205	3.575	1.793	4.093
hsa-let-7d-3p	4.91113572196864	-1.07594560412738	0.430492433676136	-2.49933685230999	0.012442597635291	0.157894988979483	53_81_vs_18_37	FALSE	8.117	3.33	3.239	1.636	1.413	0.77
hsa-let-7d-5p	61.4386930829004	-0.17211019680338	0.396295506862007	-0.434297623422992	0.664072329427948	0.872519672675646	53_81_vs_18_37	FALSE	86.575	65.838	29.198	2.961	3.293	4.246
hsa-let-7e-3p	0.077571363360395	-0.62094899598716	1.52340396240843	-0.407606262888716	0.683562765579425	NA	53_81_vs_18_37	NA	0.103	0.083	0.043	0	0	0
hsa-let-7e-5p	6.95094202924967	0.00562558207596673	0.364690226220556	0.0154256453052419	0.987692603864374	0.997548068913015	53_81_vs_18_37	FALSE	10.018	4.872	5.995	2.081	1.745	3.159
hsa-let-7f-1-3p	0.123785377612623	-1.33673083900736	1.45997461534848	-0.91558498685835	0.359884608603716	NA	53_81_vs_18_37	NA	0.116	0.122	0.134	0	0	0
