ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	c.drinker.x	c.no_drinker.x	c.drinker.y	c.no_drinker.y
has-miR-548o	0.472531355668545	-0.448442503554368	0.478592241984178	-0.937003286336582	0.348756867466656	NA	c.drinker_vs_c.no_drinker	NA	0.289	0.85	0	0
has-miR-548x	1.67875585033516	-0.545699743154223	0.443141351422176	-1.23143493921952	0.218160236065499	0.467798502184536	c.drinker_vs_c.no_drinker	FALSE	1.323	2.408	0	0
hsa-let-7a-2-3p	0.569890448135439	0.179690991841676	0.387240163933289	0.464029841369017	0.642626365770969	NA	c.drinker_vs_c.no_drinker	NA	0.608	0.492	0	0
hsa-let-7a-3p	534.428735832435	-0.261239676503328	0.295561755474044	-0.883875101108168	0.376763639489761	0.625503637322024	c.drinker_vs_c.no_drinker	FALSE	139.251	1345.583	15.407	22.596
hsa-let-7a-5p	14.2545033059458	0.0373032962667315	0.243261894813833	0.153346237376304	0.878125239676961	0.950525044465704	c.drinker_vs_c.no_drinker	FALSE	12.16	18.554	5.348	7.266
hsa-let-7b-3p	0.470368105074011	0.103170203140793	0.603476370530463	0.170959805849739	0.864255370523006	NA	c.drinker_vs_c.no_drinker	NA	0.448	0.516	0	0
hsa-let-7b-5p	319.033725136674	-0.490312047959937	0.311305920414104	-1.57501677869703	0.115252571693352	0.340193797825896	c.drinker_vs_c.no_drinker	FALSE	81.14	807.342	11.237	13.117
hsa-let-7c-3p	4.06344818730709	0.172126091964322	0.326743918763844	0.526792029108054	0.598338018780173	0.793419467958974	c.drinker_vs_c.no_drinker	FALSE	2.881	6.49	0.263	0.625
hsa-let-7c-5p	23.6780984884947	-0.749765462566192	0.30347214304576	-2.47062367913334	0.0134877670182569	0.10557001223338	c.drinker_vs_c.no_drinker	FALSE	8.089	55.676	2.429	3.985
hsa-let-7d-3p	4.91113572196864	0.15845568645931	0.345479753353664	0.4586540453417	0.646482619463866	0.823986185618031	c.drinker_vs_c.no_drinker	FALSE	3.635	7.53	1.428	0.829
hsa-let-7d-5p	61.4386930829004	-0.365665162363993	0.31371307032333	-1.16560384936184	0.2437746507778	0.499451314017954	c.drinker_vs_c.no_drinker	FALSE	14.96	156.842	2.973	5.089
hsa-let-7e-3p	0.077571363360395	-0.404170302436211	1.2377577419708	-0.32653425523534	0.744020176386713	NA	c.drinker_vs_c.no_drinker	NA	0.058	0.119	0	0
hsa-let-7e-5p	6.95094202924967	-0.668440363823257	0.29224880998194	-2.2872304043413	0.0221823782401926	0.13961849833533	c.drinker_vs_c.no_drinker	FALSE	3.709	13.606	2.052	2.77
hsa-let-7f-1-3p	0.123785377612623	0.0705590339959311	1.18782425527023	0.0594019137788012	0.952631988778119	NA	c.drinker_vs_c.no_drinker	NA	0.118	0.135	0	0
hsa-let-7f-2-3p	0.533337450852841	-0.474597982603717	0.366394747938855	-1.29531873825582	0.195210297700984	NA	c.drinker_vs_c.no_drinker	NA	0.364	0.882	0	0
hsa-let-7f-5p	1.94152510180154	-0.169968539556527	0.298615974574324	-0.569187699348023	0.56922876739932	0.779505622907606	c.drinker_vs_c.no_drinker	FALSE	1.827	2.177	0.519	1.033
hsa-let-7g-3p	3.10102160605074	-0.169465943626172	0.300136642955549	-0.564629303364569	0.572325929494352	0.781137715750575	c.drinker_vs_c.no_drinker	FALSE	2.357	4.629	0	0.585
hsa-let-7g-5p	355.953910745183	-0.514219178822822	0.34336353752233	-1.49759401517518	0.134238762648356	0.361082580690593	c.drinker_vs_c.no_drinker	FALSE	82.918	916.395	6.607	7.397
hsa-let-7i-3p	0.310021668201733	-0.507298941805998	0.47000712024323	-1.07934309919277	0.280434806472629	NA	c.drinker_vs_c.no_drinker	NA	0.262	0.409	0	0
hsa-let-7i-5p	389.310207941621	-0.756208157399998	0.332466556640616	-2.27453902443918	0.02293359752885	0.141843637895199	c.drinker_vs_c.no_drinker	FALSE	75.681	1033.075	6.858	10.048
hsa-miR-1-2-5p:Novel	8.51897987372947	-0.113213657052898	0.257664346224089	-0.43938425595925	0.66038313250208	0.828175823208778	c.drinker_vs_c.no_drinker	FALSE	8.849	7.841	3.916	3.846
hsa-miR-1-3p	1.77994078240622	-0.0691959303094587	0.250875518471834	-0.27581778696843	0.782688021422169	0.897564048977701	c.drinker_vs_c.no_drinker	FALSE	1.585	2.181	0.946	1.394
hsa-miR-1-5p	11.8979326528047	-0.148537883168082	0.235723473404038	-0.630136154974616	0.528605506487761	0.747170266766055	c.drinker_vs_c.no_drinker	FALSE	13.076	9.481	6.974	4.629
hsa-miR-100-3p	0.232401788571646	-0.508216030723511	0.561889510237211	-0.904476808098729	0.3657426265318	NA	c.drinker_vs_c.no_drinker	NA	0.18	0.34	0	0
hsa-miR-100-5p	7.91713435628907	-0.887591346461812	0.482033948229739	-1.84134613282213	NA	NA	c.drinker_vs_c.no_drinker	NA	4.05	15.856	0	1.264
hsa-miR-101-2-5p	1.15334966874104	-0.0147564185648609	0.322557544774891	-0.0457481736325814	0.963510966972202	NA	c.drinker_vs_c.no_drinker	NA	1.156	1.148	0.246	0.595
hsa-miR-101-3p	2.95533316450904	-0.0260535547654288	0.218583640228211	-0.119192610838706	0.905122760613832	0.960608591934551	c.drinker_vs_c.no_drinker	FALSE	2.716	3.447	1.855	2.453
hsa-miR-101-5p	15.5263877770501	-0.225572794344197	0.339921141063047	-0.663603309987592	0.506944238251482	0.735498759225879	c.drinker_vs_c.no_drinker	FALSE	5.766	35.561	1.194	1.94
hsa-miR-10226	2.54379708201568	0.528482764051154	0.27578282574303	1.91630048980492	0.0553268585764219	0.230798201468894	c.drinker_vs_c.no_drinker	FALSE	2.729	2.163	1.455	1.348
hsa-miR-10226-3p:Novel	10.3985557476518	0.122975471921214	0.245017177599653	0.501905511792934	0.615733987966584	0.801424168100761	c.drinker_vs_c.no_drinker	FALSE	10.21	10.785	5.101	7.064
hsa-miR-10392-3p	1.26715670124506	-0.756732492455651	0.341344799552619	-2.21691525240009	0.0266288832869712	NA	c.drinker_vs_c.no_drinker	NA	1.232	1.339	0.171	0.845
hsa-miR-10392-5p	131.460449085105	-0.51225955383424	0.172362908702374	-2.97198253203524	0.00295883517738607	0.0449323268174015	c.drinker_vs_c.no_drinker	TRUE	106.242	183.225	67.755	93.859
hsa-miR-10393-3p	0.285659248288026	-0.710545987729829	0.682638757258201	-1.04088140348743	0.29793059356108	NA	c.drinker_vs_c.no_drinker	NA	0.26	0.337	0	0
hsa-miR-10393-5p	0.124257840991661	-0.54357501484233	1.62935385140365	-0.333613852125524	0.738670964090406	NA	c.drinker_vs_c.no_drinker	NA	0.14	0.091	0	0
hsa-miR-10394-3p	2.35991817264254	-0.140849421223282	0.337088898192185	-0.41784058145688	0.676063678028614	0.840660238803738	c.drinker_vs_c.no_drinker	FALSE	2.177	2.735	0.622	0.995
hsa-miR-10394-5p	0.730480195741912	0.437840368462515	0.478385390934113	0.91524611068823	0.360062442614916	NA	c.drinker_vs_c.no_drinker	NA	0.908	0.367	0	0
hsa-miR-10395-3p	1.18573342961718	0.242603903374148	0.433036271225848	0.560239221272111	0.575316277813814	NA	c.drinker_vs_c.no_drinker	NA	0.865	1.845	0	0
hsa-miR-10395-5p	2.55746776102148	-0.253369186829344	0.241746784711156	-1.04807675987118	0.29460324273803	0.550612174200336	c.drinker_vs_c.no_drinker	FALSE	2.442	2.795	1.183	1.727
hsa-miR-10396a-3p	1.12711301477704	-0.235199313316657	0.280525572049256	-0.838423790025669	0.401792732891961	NA	c.drinker_vs_c.no_drinker	NA	0.996	1.396	0.374	0.71
hsa-miR-10396a-5p	4.54839912989567	-0.451826744609752	0.258663856575184	-1.74677185514871	0.0806769204939075	0.279360087273724	c.drinker_vs_c.no_drinker	FALSE	3.902	5.876	2.295	2.227
hsa-miR-10396b-3p	1.2260421629967	-0.40138803911612	0.276222993919668	-1.45313043429271	0.146187542423921	NA	c.drinker_vs_c.no_drinker	NA	1.017	1.655	0.592	0.675
hsa-miR-10396b-5p	3.51602034781647	-0.511222821660509	0.306056139695042	-1.67035636720079	0.0948488769977414	0.308475406467858	c.drinker_vs_c.no_drinker	FALSE	2.89	4.802	1.268	1.322
hsa-miR-10397-3p	21.4637336847952	-0.26303191838776	0.201576235860186	-1.30487563310886	0.191935199688292	0.432814886546834	c.drinker_vs_c.no_drinker	FALSE	17.597	29.401	13.15	11.747
hsa-miR-10397-5p	2.68692405088012	0.462196301176477	0.343476102373354	1.34564325722456	0.17841759407229	0.418196770333736	c.drinker_vs_c.no_drinker	FALSE	3.156	1.724	1.001	0.684
hsa-miR-10398-3p	1.44255174109911	-0.1057169497089	0.264577531353474	-0.399568886927372	0.689474076293026	NA	c.drinker_vs_c.no_drinker	NA	1.069	2.21	0.573	1.052
hsa-miR-10398-5p	0.561827118164866	-0.346527097727593	0.370365609634572	-0.935635190506755	0.349461049523637	NA	c.drinker_vs_c.no_drinker	NA	0.489	0.712	0	0
hsa-miR-10399-3p	0.345014597285822	-0.126600329022917	0.517750384166395	-0.244520009824328	0.806828106629594	NA	c.drinker_vs_c.no_drinker	NA	0.26	0.52	0	0
hsa-miR-10399-5p	0.74492370491513	-0.30106394858318	0.503925425619015	-0.59743750419689	0.550215320443477	NA	c.drinker_vs_c.no_drinker	NA	0.793	0.645	0	0
hsa-miR-103a-1-5p	0.672035654284056	-0.717854077514826	0.518248640163686	-1.38515380819542	0.166005441584315	NA	c.drinker_vs_c.no_drinker	NA	0.595	0.83	0	0
hsa-miR-103a-2-5p	0.285578134900343	-0.525138959172739	0.517049438853523	-1.0156455451091	0.309798208022658	NA	c.drinker_vs_c.no_drinker	NA	0.251	0.357	0	0
hsa-miR-103a-3p	1.77156210200267	-0.384383688640527	0.260747477431854	-1.47416071835627	0.14043832349697	0.369853043110295	c.drinker_vs_c.no_drinker	FALSE	1.653	2.015	0.973	1.153
hsa-miR-103b-3p:Novel	16.6922104925114	-0.567943521096269	0.377310636092204	-1.50524121710017	0.132262071926197	0.358279536610204	c.drinker_vs_c.no_drinker	FALSE	4.234	42.265	0.698	1.004
hsa-miR-103b-5p	0.229978974898247	-0.446529387433031	0.739816675072979	-0.603567616786934	0.546131148094364	NA	c.drinker_vs_c.no_drinker	NA	0.182	0.329	0	0
hsa-miR-10400-3p	3.95250326976431	-0.310879222531386	0.315102426297338	-0.986597361957579	0.323840064005545	0.577996444513651	c.drinker_vs_c.no_drinker	FALSE	4.031	3.791	0.886	1.543
hsa-miR-10400-5p	88.8109128936293	-0.0675348271634748	0.252480547762874	-0.267485268714255	0.78909555496079	0.898354271067878	c.drinker_vs_c.no_drinker	FALSE	85.335	95.947	28.578	39.576
hsa-miR-10401-3p	0.995231420505847	0.427476709761514	0.355644602206441	1.20197721857557	0.229372354652341	NA	c.drinker_vs_c.no_drinker	NA	1.04	0.903	0	0
hsa-miR-10401-5p	78.9371959297641	-0.0917454342119457	0.243391303802775	-0.376946229296216	0.706213565077523	0.858203878061271	c.drinker_vs_c.no_drinker	FALSE	74.62	87.799	34.71	37.573
hsa-miR-105-3p	7.82155258666681	-1.2127061744033	0.281176061188181	-4.31297802977501	1.61070129677857e-05	0.00287241731258846	c.drinker_vs_c.no_drinker	TRUE	5.572	12.438	2.578	2.943
hsa-miR-105-5p	3.5385137060362	-1.02245190983542	0.274747878045552	-3.72141876803106	0.0001981065950348	0.0137399000667239	c.drinker_vs_c.no_drinker	TRUE	2.552	5.563	1.549	2.044
hsa-miR-10522-3p:Novel	8.06674670089813	-0.798193671122985	0.246944581075783	-3.23227854462631	0.0012280728349075	0.0297642683635737	c.drinker_vs_c.no_drinker	TRUE	6.551	11.177	3.312	5.011
hsa-miR-10522-5p	0.753140802024676	-0.809903440240859	0.345941874704689	-2.34115468366536	0.01922420042082	NA	c.drinker_vs_c.no_drinker	NA	0.434	1.408	0	0.205
hsa-miR-10523-3p:Novel	14.1122304382791	-0.228564112546222	0.224209139356994	-1.01942370949604	0.308001854859494	0.561797265573975	c.drinker_vs_c.no_drinker	FALSE	13.205	15.975	8.196	10.682
hsa-miR-10523-5p	2.03916687663587	-0.473189171315483	0.34972293006652	-1.35304016589784	0.176042798979144	0.415501163890013	c.drinker_vs_c.no_drinker	FALSE	1.933	2.257	0.476	0.825
hsa-miR-10524-3p:Novel	3.81522255274007	-0.598796829994546	0.438531039616953	-1.36546053961786	0.172108347405903	0.410604084112187	c.drinker_vs_c.no_drinker	FALSE	3.487	4.489	0.575	0.147
hsa-miR-10524-5p	2.83975528491753	-0.51899750776571	0.579686396740874	-0.895307377719452	NA	NA	c.drinker_vs_c.no_drinker	NA	2.695	3.137	0	0
