ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.28.x	light.28.x	heavy.28.x	abstemious.28.y	light.28.y	heavy.28.y
has-miR-548o	0.472531355668545	0.214306195633523	0.873636423649275	0.245303641002446	0.806221332752802	NA	heavy.28_vs_abstemious.28	NA	1.1	0.369	0.574	0	0	0
has-miR-548x	1.67875585033516	-0.629712721320018	0.818052002989119	-0.769771015802273	0.441435735683576	NA	heavy.28_vs_abstemious.28	NA	1.628	1.894	0.979	0	0	0
hsa-let-7a-2-3p	0.569890448135439	0.499887625100522	0.711685710397119	0.702399412827308	0.482430111383607	NA	heavy.28_vs_abstemious.28	NA	0.274	0.583	0.641	0	0	0
hsa-let-7a-3p	534.428735832435	-0.443200208530691	0.535873738338231	-0.827060885471035	0.408202552709292	0.952323439706152	heavy.28_vs_abstemious.28	FALSE	3128.443	340.014	179.281	33.166	14.81	21.761
hsa-let-7a-5p	14.2545033059458	1.08565543508731	0.44012796427141	2.46668133638023	0.0136371658984418	0.440480458519669	heavy.28_vs_abstemious.28	FALSE	9.829	14.862	13.938	7.32	5.938	5.362
hsa-let-7b-3p	0.470368105074011	0.112425753941199	1.11480176624695	0.100848202205212	0.919670962032237	NA	heavy.28_vs_abstemious.28	NA	0.595	0.537	0.199	0	0	0
hsa-let-7b-5p	319.033725136674	-0.447694709195951	0.565461562708107	-0.79173322949106	0.428516242384181	0.952323439706152	heavy.28_vs_abstemious.28	FALSE	1680.057	205.592	170.971	17.351	10.131	13.365
hsa-let-7c-3p	4.06344818730709	0.303782770315624	0.582588494339103	0.521436268081881	0.602062891823712	0.969825846173033	heavy.28_vs_abstemious.28	FALSE	9.531	3.774	2.913	0.82	0.223	0.826
hsa-let-7c-5p	23.6780984884947	-0.342331128486278	0.549855431543799	-0.622583880866892	0.53355800644721	0.963736681777306	heavy.28_vs_abstemious.28	FALSE	137.064	14.407	10.741	4.183	2.576	3.061
hsa-let-7d-3p	4.91113572196864	-0.236912978966313	0.634830773926558	-0.373190759957899	0.709006472729113	0.974377942189973	heavy.28_vs_abstemious.28	FALSE	16.496	4.03	3.368	1.582	1.422	0
hsa-let-7d-5p	61.4386930829004	0.0142847027210116	0.563956937561888	0.0253294210419106	0.97979220685756	0.997484865494535	heavy.28_vs_abstemious.28	FALSE	359.981	35.104	33.819	6.038	2.946	4.716
hsa-let-7e-3p	0.077571363360395	-0.678981488451356	2.30474725370796	-0.294601278885997	0.76829848509928	NA	heavy.28_vs_abstemious.28	NA	0.272	0.064	0.048	0	0	0
hsa-let-7e-5p	6.95094202924967	-0.247922256317928	0.52448292556155	-0.472698431607634	0.636428345708196	0.974377942189973	heavy.28_vs_abstemious.28	FALSE	32.399	4.373	5.712	2.652	2.035	3.081
hsa-let-7f-1-3p	0.123785377612623	0.655872391008126	2.2001734512539	0.298100311425146	0.765626603887473	NA	heavy.28_vs_abstemious.28	NA	0.051	0.086	0.278	0	0	0
hsa-let-7f-2-3p	0.533337450852841	-0.602079860343521	0.646989632116751	-0.930586566547753	0.352067465991296	NA	heavy.28_vs_abstemious.28	NA	1.469	0.46	0.414	0.333	0	0
hsa-let-7f-5p	1.94152510180154	0.408274802560782	0.55031643151151	0.741890990678592	0.45815338482945	NA	heavy.28_vs_abstemious.28	NA	2.096	1.859	2.159	1.006	0.696	0.658
hsa-let-7g-3p	3.10102160605074	-0.22678775345409	0.549763236377944	-0.412518950790992	0.679959093432552	0.974377942189973	heavy.28_vs_abstemious.28	FALSE	3.646	3.077	2.969	0.666	0.049	0
hsa-let-7g-5p	355.953910745183	-0.742155912857654	0.623763802524067	-1.18980279050261	0.234123912559204	0.876622483205778	heavy.28_vs_abstemious.28	FALSE	1957.155	221.156	186.24	11.731	6.691	5.362
hsa-let-7i-3p	0.310021668201733	0.231256255134147	0.877088964164023	0.263663396283367	0.792039303216692	NA	heavy.28_vs_abstemious.28	NA	0.293	0.344	0.204	0	0	0
hsa-let-7i-5p	388.102227217454	-0.42644887995188	0.598574769520368	-0.7124404530007	NA	NA	heavy.28_vs_abstemious.28	NA	2085.458	247.674	205.667	9.961	7.018	9.869
hsa-miR-1-2-5p:Novel	8.51897987372947	0.919655898134245	0.472259916214054	1.94735116523717	0.0514926485014792	0.693005227749074	heavy.28_vs_abstemious.28	FALSE	7.985	8.002	10.457	3.804	3.599	4.783
hsa-miR-1-3p	1.77994078240622	-0.00558721005242027	0.461608065913813	-0.0121037964130017	0.990342803515126	NA	heavy.28_vs_abstemious.28	NA	2.008	1.804	1.611	1.369	1.085	0.832
hsa-miR-1-5p	11.8979326528047	0.419358515628152	0.431135834037601	0.972683044461525	0.33071085477275	0.93997207035113	heavy.28_vs_abstemious.28	FALSE	8.028	11.622	14.323	5.739	6.245	7.521
hsa-miR-100-3p	0.232401788571646	-0.209398798141094	1.03219059247681	-0.202868345892038	0.839237936117339	NA	heavy.28_vs_abstemious.28	NA	0.29	0.237	0.196	0	0	0
