ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.28.x	light.28.x	heavy.28.x	abstemious.28.y	light.28.y	heavy.28.y
has-miR-548o	0.472531355668545	0.282910037289556	0.559043599014749	0.506060775560533	0.612813985344149	NA	heavy.28_vs_light.28	NA	1.1	0.369	0.574	0	0	0
has-miR-548x	1.67875585033516	-1.10252282689228	0.52959347245722	-2.0818285802821	0.0373581301990832	NA	heavy.28_vs_light.28	NA	1.628	1.894	0.979	0	0	0
hsa-let-7a-2-3p	0.569890448135439	0.0632617827309588	0.449714648433271	0.140670940898528	0.888129902584459	NA	heavy.28_vs_light.28	NA	0.274	0.583	0.641	0	0	0
hsa-let-7a-3p	534.428735832435	-0.332125916809063	0.344072712353558	-0.965278282422412	0.334405446506654	0.77617775351551	heavy.28_vs_light.28	FALSE	3128.443	340.014	179.281	33.166	14.81	21.761
hsa-let-7a-5p	14.2545033059458	0.0262967666434441	0.280669063639054	0.0936931427443044	0.925352917613372	0.986725284728847	heavy.28_vs_light.28	FALSE	9.829	14.862	13.938	7.32	5.938	5.362
hsa-let-7b-3p	0.470368105074011	-0.274982307324939	0.708108642782878	-0.388333499566189	0.697769249594489	NA	heavy.28_vs_light.28	NA	0.595	0.537	0.199	0	0	0
hsa-let-7b-5p	319.033725136674	-0.460843717288741	0.363341823656501	-1.26834756497622	0.204673857983034	0.700311304582318	heavy.28_vs_light.28	FALSE	1680.057	205.592	170.971	17.351	10.131	13.365
hsa-let-7c-3p	4.06344818730709	0.384637037840069	0.381057905724426	1.00939262002408	0.31278637637943	0.77067020533841	heavy.28_vs_light.28	FALSE	9.531	3.774	2.913	0.82	0.223	0.826
hsa-let-7c-5p	23.6780984884947	-0.334560885923089	0.359429406663433	-0.930811112615418	0.351951280338209	0.784357781794848	heavy.28_vs_light.28	FALSE	137.064	14.407	10.741	4.183	2.576	3.061
hsa-let-7d-3p	4.91113572196864	-1.00890012359932	0.408911085375002	-2.46728484426897	0.0136142010423196	0.276434691895879	heavy.28_vs_light.28	FALSE	16.496	4.03	3.368	1.582	1.422	0
hsa-let-7d-5p	61.4386930829004	0.0242495300006076	0.36765422597621	0.0659574357841781	0.947411712947104	0.994603090830346	heavy.28_vs_light.28	FALSE	359.981	35.104	33.819	6.038	2.946	4.716
