ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	18_37.x	37_53.x	53_81.x	18_37.y	37_53.y	53_81.y
has-miR-548o	0.472531355668545	-0.540742848330037	0.529187262835207	-1.02183647700234	0.306858301730239	NA	37_53_vs_18_37	NA	0.589	0.445	0.377	0	0	0
has-miR-548x	1.67875585033516	-1.01099498394782	0.484602034699947	-2.08623759612112	0.0369571062388693	0.251824002976481	37_53_vs_18_37	FALSE	1.852	0.923	2.352	0	0	0.084
hsa-let-7a-2-3p	0.569890448135439	-0.0387632991574254	0.415480001388857	-0.0932976293151253	0.925667115402367	NA	37_53_vs_18_37	NA	0.677	0.54	0.488	0	0	0
hsa-let-7a-3p	534.428735832435	-0.300989092685118	0.32365057870985	-0.929981629833426	0.352380595929295	0.664479647848608	37_53_vs_18_37	FALSE	750.204	555.93	276.185	21.77	15.454	13.356
hsa-let-7a-5p	14.2545033059458	-0.117469943719468	0.267200417113118	-0.439632336613222	0.66020341632994	0.860687879798319	37_53_vs_18_37	FALSE	12.437	18.405	11.496	7.808	4.295	6.906
hsa-let-7b-3p	0.470368105074011	0.207200389398213	0.641560780012879	0.322962992522788	0.746723269113596	NA	37_53_vs_18_37	NA	0.477	0.704	0.197	0	0	0
hsa-let-7b-5p	319.033725136674	-0.649868288302919	0.342289933782591	-1.89859012539846	0.0576183877458689	0.286701666952305	37_53_vs_18_37	FALSE	411.971	375.092	154.507	13.989	10.223	11.267
hsa-let-7c-3p	4.06344818730709	0.395574468029102	0.361833106179963	1.09325117373963	0.274283534174433	0.585005099276497	37_53_vs_18_37	FALSE	6.17	2.761	3.264	0.409	0.496	0
hsa-let-7c-5p	23.6780984884947	-0.508071412162812	0.342206800212234	-1.48469116291	0.137625653734251	0.428839201813752	37_53_vs_18_37	FALSE	37.122	20.964	12.205	3.575	1.793	4.093
hsa-let-7d-3p	4.91113572196864	-0.950654429325598	0.375564120157936	-2.53127063609223	0.0113650120180421	0.145158324605972	37_53_vs_18_37	FALSE	8.117	3.33	3.239	1.636	1.413	0.77
hsa-let-7d-5p	61.4386930829004	-0.281274453509229	0.350702326655847	-0.802031900362186	0.422534505536543	0.711509253575903	37_53_vs_18_37	FALSE	86.575	65.838	29.198	2.961	3.293	4.246
hsa-let-7e-3p	0.077571363360395	-0.100990586169707	1.31986489245414	-0.0765158515444153	0.939008703236574	NA	37_53_vs_18_37	NA	0.103	0.083	0.043	0	0	0
hsa-let-7e-5p	6.95094202924967	-0.585464972755649	0.325016950522986	-1.80133673586432	0.0716498210004453	0.313267611247754	37_53_vs_18_37	FALSE	10.018	4.872	5.995	2.081	1.745	3.159
hsa-let-7f-1-3p	0.123785377612623	-0.582328266918904	1.26545226415649	-0.460174029011729	0.645391310855775	NA	37_53_vs_18_37	NA	0.116	0.122	0.134	0	0	0
hsa-let-7f-2-3p	0.533337450852841	-0.14052029999635	0.39986415997325	-0.351420092277713	0.725273210981619	NA	37_53_vs_18_37	NA	0.661	0.485	0.45	0	0	0
hsa-let-7f-5p	1.94152510180154	-0.434425115964706	0.323374999361667	-1.343409715724	0.179139342615708	0.486580817630213	37_53_vs_18_37	FALSE	2.772	1.661	1.361	1.208	0.448	0.662
hsa-let-7g-3p	3.10102160605074	-0.28392221964759	0.318203045849677	-0.892267447941772	0.372249597718016	0.673502184890066	37_53_vs_18_37	FALSE	5.671	2.442	1.068	0.764	0	0
hsa-let-7g-5p	355.953910745183	-0.708034107655265	0.378438651301203	-1.87093497247387	0.0613540948445236	0.295913576780994	37_53_vs_18_37	FALSE	470.097	414.573	165.538	9.466	5.345	6.615
hsa-let-7i-3p	0.310021668201733	-0.093876992906872	0.51006459080504	-0.184049225527898	0.85397483808148	NA	37_53_vs_18_37	NA	0.255	0.385	0.284	0	0	0
hsa-let-7i-5p	389.310207941621	-0.487417768872806	0.367415223352619	-1.32661288344337	0.184636771854703	0.49268093544472	37_53_vs_18_37	FALSE	494.295	498.389	151.347	10.131	5.639	7.905
hsa-miR-1-2-5p:Novel	8.51897987372947	-0.668556556799414	0.276043912760849	-2.42192102739327	0.015438705246735	0.172377391863503	37_53_vs_18_37	FALSE	12.27	6.368	6.905	3.487	3.609	4.178
hsa-miR-1-3p	1.77994078240622	0.101466238088388	0.269791291688687	0.376091598262077	0.706848800206238	0.890606556669631	37_53_vs_18_37	FALSE	1.823	1.814	1.695	0.91	1.078	1.223
hsa-miR-1-5p	11.8979326528047	-0.444998220038992	0.251557794406271	-1.76897011316736	0.0768988622745629	0.323610292947173	37_53_vs_18_37	FALSE	15.597	10.717	9.236	7.873	5.936	5.264
hsa-miR-100-3p	0.232401788571646	-0.27677253257594	0.608115785173045	-0.455131307761041	0.64901477565287	NA	37_53_vs_18_37	NA	0.268	0.217	0.211	0	0	0
hsa-miR-100-5p	7.91713435628907	-0.465133806364766	0.527865116854582	-0.881160340990863	0.378231041372522	0.676773710669612	37_53_vs_18_37	FALSE	11.357	4.671	7.888	0.069	0.367	1.142
hsa-miR-101-2-5p	1.15334966874104	0.157398347647037	0.354784586765355	0.44364482990107	0.657299388721678	NA	37_53_vs_18_37	NA	0.778	1.45	1.222	0.069	0.264	0.467
hsa-miR-101-3p	2.95533316450904	-0.374171030128237	0.240298362767756	-1.55711019342178	0.119444325306593	0.399967855026649	37_53_vs_18_37	FALSE	2.942	2.8	3.147	1.873	1.766	2.314
hsa-miR-101-5p	15.5263877770501	0.120099487637671	0.382254459264921	0.314187276895666	0.753378805348822	0.910559849996209	37_53_vs_18_37	FALSE	8.178	27.17	10.227	1.369	1.54	1.418
hsa-miR-10226	2.54379708201568	-0.111997326141998	0.291182311710876	-0.384629565868697	0.700511885836371	0.886130523691556	37_53_vs_18_37	FALSE	3.414	2.65	1.48	1.962	1.345	0.903
