ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	_40.x	40_60.x	60_.x	_40.y	40_60.y	60_.y
has-miR-548o	0.472531355668545	-0.72782429806557	0.50050564589802	-1.45417799785193	0.145896963350965	NA	40_60_vs__40	NA	0.591	0.371	0.472	0	0	0
has-miR-548x	1.67875585033516	-0.619593103808858	0.457452741630624	-1.35444177599695	0.175595477140337	0.522838661893175	40_60_vs__40	FALSE	1.728	1.02	3.095	0	0	0.162
hsa-let-7a-2-3p	0.569890448135439	-0.0290085978849749	0.395113627293948	-0.0734183684922459	0.94147320109722	NA	40_60_vs__40	NA	0.652	0.632	0.264	0	0	0
hsa-let-7a-3p	534.428735832435	-0.237525969963501	0.308432765855374	-0.770106150378582	0.441236927967632	0.759790570219483	40_60_vs__40	FALSE	675.059	578.51	155.179	21.508	14.769	14.731
hsa-let-7a-5p	14.2545033059458	0.0582819068957113	0.251360261901821	0.231866033456297	0.816642066999092	0.940742732564402	40_60_vs__40	FALSE	12.525	17.914	9.274	7.342	5.362	5.398
hsa-let-7b-3p	0.470368105074011	-0.0726067029316373	0.6180989644583	-0.117467763427285	0.906489388212043	NA	40_60_vs__40	NA	0.485	0.593	0.159	0	0	0
hsa-let-7b-5p	319.033725136674	-0.597366311521676	0.325937294010847	-1.83276453016695	0.0668375961084171	0.380311445625167	40_60_vs__40	FALSE	371.512	366.495	106.325	13.776	10.84	11.267
hsa-let-7c-3p	4.06344818730709	0.414931868103893	0.335643659240371	1.23622734015881	0.216374070763718	0.569390833338788	40_60_vs__40	FALSE	5.674	3.833	1.408	0.399	0.453	0
hsa-let-7c-5p	23.6780984884947	-0.453174917285756	0.323130942428384	-1.4024497743239	0.160780978763648	0.50837062630894	40_60_vs__40	FALSE	33.815	20.743	10.371	3.061	2.282	4.172
hsa-let-7d-3p	4.91113572196864	-1.01263968177193	0.356477018785513	-2.84068713664042	0.00450164522899535	0.129409890992233	40_60_vs__40	FALSE	7.517	3.388	3.256	1.682	0.764	0.824
