miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison size sig
hsa-miR-1281-5p:Novel 322.245891083263 2.79978186261295 0.484687010759531 5.77647389028548 7.62823332525501e-09 2.10081545777523e-05 4060_40 101_87 TRUE
hsa-miR-1827 21.254707762468 -2.10642138878046 0.421619552497214 -4.99602396592928 5.8524390627079e-07 0.000805880858934878 4060_40 101_87 TRUE
hsa-miR-486-3p 84.2732822040582 1.86479155319352 0.396379607638178 4.70455976356819 2.5441433474138e-06 0.00233552359292587 4060_40 101_87 TRUE
hsa-miR-1281 63.3966099236399 1.78548779895594 0.398358764099737 4.48210999697978 7.39086292482752e-06 0.00458052961017621 4060_40 101_87 TRUE
hsa-miR-4669-5p:Novel 5.00160151154155 -1.05597366114535 0.236931177617708 -4.45687930040671 8.31613945202652e-06 0.00458052961017621 4060_40 101_87 FALSE
hsa-miR-6846-5p 28.2036537066571 1.48547179496851 0.342569302078498 4.33626651879077 1.44923209788471e-05 0.0066519753292908 4060_40 101_87 TRUE
hsa-miR-30e-3p 10.9601877206466 -1.40902706166086 0.331663673197388 -4.24836114271183 2.15340055192163e-05 0.00847209302856025 4060_40 101_87 FALSE
hsa-miR-335-5p 6.31114779634271 -1.30263485269233 0.309651728857046 -4.20677403449506 2.59041922507205e-05 0.00891751818231054 4060_40 101_87 FALSE
hsa-miR-3182-3p:Novel 8.08166569225966 -1.0634987386992 0.261792183363792 -4.06237774189515 4.85753895153806e-05 0.0148640691917065 4060_40 101_87 FALSE
hsa-miR-10400-5p 88.8109128936293 -1.04982815720204 0.26205043988317 -4.00620642983878 6.17017291749996e-05 0.0169926562147949 4060_40 101_87 TRUE
hsa-miR-1229-5p 42.3642217135813 -0.980840540715994 0.247750693035029 -3.9589820262473 7.52699005111564e-05 0.0177427823151644 4060_40 101_87 TRUE
hsa-miR-1285-3p 27.791787570333 -0.748508279960058 0.189371709698826 -3.95258764442944 7.73105983231562e-05 0.0177427823151644 4060_40 101_87 TRUE
hsa-miR-4276-3p:Novel 29.4397525177494 -0.885177149406338 0.231460254816244 -3.82431597212695 0.000131135651632899 0.0257962560426432 4060_40 101_87 TRUE
hsa-miR-5186-5p:Novel 4.00574203462807 -1.16711017789415 0.304511854851653 -3.83272493106296 0.000126731633139083 0.0257962560426432 4060_40 101_87 FALSE
hsa-miR-1285-2:Novel 6.96796211687794 -0.995468588258682 0.26333897691718 -3.78017944746462 0.000156715367868436 0.0287729415406448 4060_40 101_87 FALSE
hsa-miR-3714 3.98118621138797 -1.21906916397261 0.326918898481961 -3.72896510306784 0.00019226777327987 0.031056735701478 4060_40 101_87 FALSE
hsa-miR-4500 4.77203811347267 1.14698791257217 0.309392481168122 3.70722620097838 0.000209541767857425 0.031056735701478 4060_40 101_87 FALSE
hsa-miR-455-5p 4.44362345708581 -1.35129977530453 0.365060390818828 -3.70157872310817 0.000214262156255658 0.031056735701478 4060_40 101_87 FALSE
hsa-miR-922 387.564110876199 -1.06492232620269 0.285968653202761 -3.72391279350337 0.000196158708294806 0.031056735701478 4060_40 101_87 TRUE
hsa-miR-328-5p 10.7375276850748 -0.884187725772907 0.239934598682111 -3.68511973941851 0.000228595144914638 0.0314775514547457 4060_40 101_87 FALSE
hsa-miR-1197-5p:Novel 2.7890950053583 -1.28006253084563 0.349979436201515 -3.65753641053522 0.000254651094174197 0.033395672064559 4060_40 101_87 FALSE
hsa-miR-3135a-3p:Novel 6.07493526537179 -0.753069021906247 0.207278872239483 -3.63312002699521 0.000280014681983536 0.0350527470083026 4060_40 101_87 FALSE
hsa-miR-148a-3p 259.093641831937 -1.16102267317839 0.323570042299387 -3.58816491455083 0.000333013634733014 0.0352738288482585 4060_40 101_87 TRUE
hsa-miR-199a-3p, hsa-miR-199b-3p 36.5834305116472 -0.727294239089534 0.202171258831027 -3.59741658282595 0.000321393520265495 0.0352738288482585 4060_40 101_87 TRUE
hsa-miR-375-3p 113.772651655228 -1.17528533229196 0.325875055696631 -3.60655199514896 0.000310292705802592 0.0352738288482585 4060_40 101_87 TRUE
hsa-miR-548av-5p 3.08454543489754 -1.35937214820463 0.377091298325521 -3.60488866818445 0.00031228677135702 0.0352738288482585 4060_40 101_87 FALSE
hsa-miR-10523-5p 2.03916687663587 -1.28403730003448 0.361415297467261 -3.55280285320739 0.00038114999812645 0.0364858597195673 4060_40 101_87 FALSE
hsa-miR-1231 21.5733284513886 -0.744847243769773 0.209774479445855 -3.55070476512386 0.000384201137206772 0.0364858597195673 4060_40 101_87 TRUE
hsa-miR-7113-5p 387.620180682699 -0.918230240415807 0.258355859495115 -3.55412972715322 0.000379232101265864 0.0364858597195673 4060_40 101_87 TRUE
hsa-miR-920 7.92942784321655 -0.801308753293774 0.226716010618955 -3.53441625541192 0.000408676917046652 0.0375165409848826 4060_40 101_87 FALSE
hsa-miR-4294-3p:Novel 9.21669305020007 -1.04209251091204 0.299044422724276 -3.48474150234483 0.000492612694466725 0.0427426245700329 4060_40 101_87 FALSE
hsa-miR-652-3p 1.89035179437486 -1.35337738694337 0.388615815048194 -3.48255869817221 0.000496646327611131 0.0427426245700329 4060_40 101_87 FALSE
hsa-miR-3180-4-3p:Novel, hsa-miR-3180-5-3p:Novel 24.8846706576665 -0.721860043767894 0.208461335892695 -3.46280062284293 0.000534584359236663 0.0446134947072052 4060_40 101_87 TRUE
hsa-miR-675-5p 6.1161610828703 -0.958388975969932 0.277703233147307 -3.45112646009979 0.00055825192867282 0.0452184062224985 4060_40 101_87 FALSE
hsa-miR-6784-5p 18.4560433875162 -0.92337014285226 0.269265992627377 -3.42921188762987 0.000605336744698111 0.0476313541399599 4060_40 101_87 TRUE
hsa-miR-4300-5p:Novel 9.46462140753504 -0.896455038641201 0.26288187064907 -3.41010597812548 0.000649376407251515 0.0496772951547409 4060_40 101_87 FALSE
hsa-miR-105-3p 7.82155258666681 -1.00719255104817 0.297316279889402 -3.38761318896778 0.000705036192397938 0.0524775587530789 4060_40 101_87 FALSE
hsa-miR-7843-5p 12.4898051114856 -0.954516469247651 0.285833342621136 -3.339416110432 0.000839547037848579 0.0608450669009207 4060_40 101_87 FALSE
hsa-miR-3159-3p:Novel 7.37145113659432 -0.788340610866823 0.237447431940139 -3.32006374811232 0.000899968950018882 0.0635516535474872 4060_40 101_87 FALSE
hsa-miR-193b-5p 5.23191036699048 -1.1416537061442 0.346232419794651 -3.29736223667706 0.000975975398939069 0.0669887112988897 4060_40 101_87 FALSE
hsa-miR-4488-3p:Novel 175.426580904601 -0.880726598566654 0.26810458875358 -3.28501128108683 0.00101978288478166 0.0669887112988897 4060_40 101_87 FALSE
hsa-miR-4693-3p 189.070431029577 -0.760603881197021 0.231878052817799 -3.28018918545376 0.00103737498348333 0.0669887112988897 4060_40 101_87 FALSE
hsa-miR-4717-5p 14.0126745662293 -0.859097740302841 0.262090305269075 -3.27786920397856 0.0010459384843327 0.0669887112988897 4060_40 101_87 FALSE
hsa-miR-12128 14.2123011526562 -0.646283980503949 0.19933535207289 -3.24219449176092 0.0011861304491507 0.0700416433097744 4060_40 101_87 FALSE
hsa-miR-187-3p 6.3442167743011 -0.92423008557037 0.287484579920498 -3.21488577170282 0.00130496439373353 0.0700416433097744 4060_40 101_87 FALSE
hsa-miR-3908-3p:Novel 1.77197171710505 -0.889835949940188 0.275262226594432 -3.23268456028026 0.00122632892104382 0.0700416433097744 4060_40 101_87 FALSE
hsa-miR-3975-5p:Novel 1.13486877044919 -1.28673853257748 0.400050828039057 -3.21643761840146 0.00129792747471259 0.0700416433097744 4060_40 101_87 FALSE
hsa-miR-598-3p 1.51178433682195 -1.16880339399433 0.35995675348898 -3.24706616188022 0.00116601280622104 0.0700416433097744 4060_40 101_87 FALSE
hsa-miR-663b 6.72171787344625 -0.660599958041267 0.204617481883056 -3.22846294442631 0.001244573819561 0.0700416433097744 4060_40 101_87 FALSE
hsa-miR-6770-5p 2.59974046284136 -1.1351742063589 0.353520970063947 -3.21105196716778 0.00132250016416422 0.0700416433097744 4060_40 101_87 FALSE
hsa-miR-6858-5p 7.00816261395465 -0.899839005565474 0.279859809166206 -3.21532058585471 0.00130298916699007 0.0700416433097744 4060_40 101_87 FALSE
hsa-miR-6892-5p 4.85964828207863 1.08497339563448 0.335442277667995 3.23445632189612 0.00121874560498134 0.0700416433097744 4060_40 101_87 FALSE
hsa-miR-31-3p 1.10740177500876 -1.34844667269737 0.422198798273126 -3.19386667658167 0.00140380933273287 0.0715942759693766 4060_40 101_87 FALSE
hsa-miR-3164 9.474764022683 -0.922768459944045 0.288501971330859 -3.19848233856884 0.00138152995098448 0.0715942759693766 4060_40 101_87 FALSE
hsa-miR-6818-5p 12.567807409403 0.982067456104128 0.308042829979249 3.18808737139015 0.00143217254570822 0.0717127852887354 4060_40 101_87 FALSE
hsa-miR-4330 25.1131552197436 -0.879351806564359 0.276412249159303 -3.18130549293265 0.00146612937144148 0.0721021480169614 4060_40 101_87 FALSE
hsa-miR-3169-3p:Novel 23.0637721181966 0.880311614539122 0.277625693197425 3.17085787126019 0.00151989488187944 0.0721688018051031 4060_40 101_87 FALSE
hsa-miR-6809-5p 5.16697824919892 -0.884710471535214 0.278705936636435 -3.1743510102883 0.00150171964905492 0.0721688018051031 4060_40 101_87 FALSE
hsa-miR-8088-3p:Novel 10.0053129372095 -1.00702287059209 0.31886819993303 -3.15811633396994 0.00158792176027835 0.0741209580984164 4060_40 101_87 FALSE
hsa-miR-3196-3p:Novel 16.3702044826919 -0.71292838114196 0.22611263346454 -3.15297898316578 0.00161613441997974 0.0741805698770699 4060_40 101_87 FALSE
hsa-miR-1267-3p:Novel 45.0539891721849 -0.677482004905575 0.216060230525635 -3.13561641241142 0.00171493350283681 0.0761762397872996 4060_40 101_87 FALSE
hsa-miR-4256 2.13408761778091 -1.25320809047737 0.399225969796263 -3.13909461129725 0.00169470721415326 0.0761762397872996 4060_40 101_87 FALSE
hsa-miR-3672-3p:Novel 1.53094809904407 -1.17729738491053 0.381276172355461 -3.08778116827332 0.00201656906026625 0.0858266561681906 4060_40 101_87 FALSE
