ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.x	light.x	heavy.x	abstemious.y	light.y	heavy.y
has-miR-548o	0.482823240473649	0.100371905830812	0.496951631517786	0.201975201337517	0.839936111105841	NA	heavy_vs_light	NA	1.1	0.378	0.496	0	0	0
has-miR-548x	1.71019385279228	-0.690444610319859	0.463380254492607	-1.49001733161005	0.136219678873172	NA	heavy_vs_light	NA	1.628	1.908	1.215	0	0	0
hsa-let-7a-2-3p	0.582280496450522	-0.235510690238861	0.397790413974276	-0.59204717349999	0.553818999835811	NA	heavy_vs_light	NA	0.274	0.605	0.577	0	0	0
hsa-let-7a-3p	545.835883653848	-0.427785689938152	0.307398937060841	-1.39163034858993	0.164034363852812	0.493997777422354	heavy_vs_light	FALSE	3128.443	382.852	136.468	33.166	15.345	19.068
hsa-let-7a-5p	14.4832834314234	-0.337697497833284	0.250251329226284	-1.34943338314071	0.177197804191194	0.50640827742914	heavy_vs_light	FALSE	9.829	15.877	12.088	7.32	6.106	4.944
hsa-let-7b-3p	0.480698235865222	-0.400926483978498	0.622215905108916	-0.644352676758267	0.519346764201651	NA	heavy_vs_light	NA	0.595	0.578	0.211	0	0	0
hsa-let-7b-5p	325.576365342963	-0.626669834759126	0.324126734526246	-1.93340989189024	0.0531857236459895	0.321933434872491	heavy_vs_light	FALSE	1680.057	230.472	129.084	17.351	11.961	9.605
hsa-let-7c-3p	4.15360253394004	0.0175326798142938	0.339420824370142	0.051654696929185	0.958803835628641	0.984022537586807	heavy_vs_light	FALSE	9.531	3.621	3.482	0.82	0.148	0.624
hsa-let-7c-5p	24.1345725633802	-0.643282721561259	0.321117914318093	-2.00326015111083	0.0451493723028231	0.31087583066524	heavy_vs_light	FALSE	137.064	15.921	8.645	4.183	2.881	2.726
hsa-let-7d-3p	4.98802947660127	-0.913088448755631	0.358348236925477	-2.54804783355337	0.0108327616490198	0.16706977895426	heavy_vs_light	FALSE	16.496	4.271	3.057	1.582	1.428	0.371
hsa-let-7d-5p	62.6685910720595	-0.195205586254115	0.329718191159085	-0.592037659699312	0.553825370444262	0.797367093600517	heavy_vs_light	FALSE	359.981	39.249	25.539	6.038	2.715	4.339
hsa-let-7e-3p	0.0792749011251618	-0.18026438776716	1.30424753626699	-0.138213324353375	0.890071824853057	NA	heavy_vs_light	NA	0.272	0.067	0.045	0	0	0
hsa-let-7e-5p	7.09148982818418	-0.134587895781624	0.308300011539157	-0.436548461706851	0.662438846369446	0.856879623144397	heavy_vs_light	FALSE	32.399	4.494	5.071	2.652	2.041	2.498
hsa-let-7f-1-3p	0.126336688110519	0.120962687013394	1.24659613824889	0.0970343829103403	0.922699089660906	NA	heavy_vs_light	NA	0.051	0.087	0.22	0	0	0
hsa-let-7f-2-3p	0.545050262627577	0.103609884445239	0.374619708666596	0.276573501202119	0.782107614228407	NA	heavy_vs_light	NA	1.469	0.466	0.416	0.333	0	0
hsa-let-7f-5p	1.98393839625423	0.0918628152119017	0.302888171580948	0.303289543241047	0.761669214425883	NA	heavy_vs_light	NA	2.096	1.943	1.896	1.006	0.643	0.886
hsa-let-7g-3p	3.1637586197932	-0.284427236956916	0.313767146212205	-0.906491455177893	0.364675785586708	0.686963050847287	heavy_vs_light	FALSE	3.646	2.963	3.24	0.666	0.188	0
hsa-let-7g-5p	363.341853496098	-0.706652721776453	0.356956838887	-1.97965872843286	0.0477418890589739	0.317291567091996	heavy_vs_light	FALSE	1957.155	248.46	139.379	11.731	6.996	4.943
hsa-let-7i-3p	0.31660162036802	-0.270838141683205	0.488764993333208	-0.554127536500072	0.579491566033589	NA	heavy_vs_light	NA	0.293	0.342	0.248	0	0	0
hsa-let-7i-5p	395.441775918989	-0.43951446853765	0.33817990073242	-1.29964692634235	NA	NA	heavy_vs_light	NA	2085.458	278.353	153.818	9.961	7.48	8.005
hsa-miR-1-2-5p:Novel	8.58091814941217	0.324591297627569	0.26074783778463	1.2448475139252	0.21318780697268	0.546143224770567	heavy_vs_light	FALSE	7.985	8.164	9.406	3.804	3.682	4.168
hsa-miR-1-3p	1.81295966087876	-0.423308757280004	0.258445185140052	-1.63790537266389	0.101441435036415	NA	heavy_vs_light	NA	2.008	1.86	1.551	1.369	1.11	0.882
hsa-miR-1-5p	11.3434619956984	0.318889297940809	0.232992575021746	1.36866721143816	0.171103324048036	0.497855478359123	heavy_vs_light	FALSE	8.028	11.569	13.65	5.739	6.245	7.271
hsa-miR-100-3p	0.237372480447786	-0.137212453163486	0.583190721000495	-0.235278868854584	0.813992295036493	NA	heavy_vs_light	NA	0.29	0.225	0.232	0	0	0
hsa-miR-100-5p	8.07805130086412	0.93029442966764	0.502368582271478	1.85181649987203	0.0640521774847635	0.343376955482406	heavy_vs_light	FALSE	38.77	5.17	5.154	1.582	0	0.707
hsa-miR-101-2-5p	1.17779876591377	-0.793835724756648	0.323775586747344	-2.45180846626374	0.0142140298563703	NA	heavy_vs_light	NA	0.851	1.17	1.202	0	0.497	0
hsa-miR-101-3p	3.01246083249487	-0.612337948216278	0.219289147740014	-2.79237688926703	0.00523223736130497	0.124196792102555	heavy_vs_light	FALSE	2.464	2.977	3.046	2.383	2.089	1.771
hsa-miR-101-5p	15.7321033637468	-0.424307405286277	0.35667945724403	-1.18960426979673	0.234201966864771	0.566225977675402	heavy_vs_light	FALSE	30.62	13.673	15.238	2.075	1.194	1.49
hsa-miR-10226	2.52905127272241	-0.486781125541684	0.282966278657027	-1.72027963138213	0.0853816241019193	0.374383992606075	heavy_vs_light	FALSE	2.493	2.84	1.94	1.64	1.489	0.645
hsa-miR-10226-3p:Novel	10.5521557801129	-0.0750079989973856	0.252266541599446	-0.297336295657015	0.766209774015703	0.900445111173829	heavy_vs_light	FALSE	11.506	10.478	9.927	9.961	5.167	6.245
hsa-miR-10392-3p	1.29431974221773	-0.561615720589636	0.356819309968732	-1.57394990937809	0.115499030184344	NA	heavy_vs_light	NA	1.018	1.478	0.896	0	0.441	0
hsa-miR-10392-5p	133.973309876585	0.00772159082681636	0.181702074127652	0.0424958870936809	0.966103390414172	0.984510980259463	heavy_vs_light	FALSE	274.311	114.623	127.264	93.869	79.775	71.966
hsa-miR-10393-3p	0.291932199581347	-0.167224479399245	0.716439786253383	-0.233410375313945	0.815442757320075	NA	heavy_vs_light	NA	0.126	0.265	0.373	0	0	0
hsa-miR-10393-5p	0.127057997458076	-0.393866104549113	1.73752156663831	-0.226682714109356	0.82067046939332	NA	heavy_vs_light	NA	0.026	0.101	0.199	0	0	0
hsa-miR-10394-3p	2.39452150517589	0.177044852628333	0.346415111537404	0.511077163587353	0.609297025872781	0.829792012469778	heavy_vs_light	FALSE	2.242	2.292	2.533	0.587	0.766	0.848
hsa-miR-10394-5p	0.692080497533452	-0.664206294421153	0.499588121363181	-1.32950778054689	0.18368050057528	NA	heavy_vs_light	NA	0.524	0.932	0.367	0	0	0
hsa-miR-10395-3p	1.20695765698872	-0.396667212221561	0.4543364430497	-0.873069326244141	0.382625291767141	NA	heavy_vs_light	NA	5.121	0.899	0.701	0	0	0
hsa-miR-10395-5p	2.60248748651653	-0.466396663489634	0.25144795451416	-1.85484373651315	0.0636185443797894	0.343376955482406	heavy_vs_light	FALSE	2.682	2.99	1.62	2.091	1.577	1.047
hsa-miR-10396a-3p	1.14573789415552	0.295022777524735	0.285943781409277	1.0317509829055	0.302188787181346	NA	heavy_vs_light	NA	1.035	1.061	1.289	0.734	0.356	0.886
hsa-miR-10396a-5p	4.63502896442632	-0.182594102508387	0.270493691098949	-0.675040152569001	0.499650254982154	0.765917489828756	heavy_vs_light	FALSE	5.386	4.446	4.532	3.164	2.091	2.726
hsa-miR-10396b-3p	1.24721567948297	-0.101618323278369	0.286145683947806	-0.355127926014445	0.722493756466484	NA	heavy_vs_light	NA	2.218	1.155	1.102	0.684	0.658	0.656
hsa-miR-10396b-5p	3.5860763310791	-0.272580910055042	0.321411987159738	-0.848073254715207	0.396397175378034	0.703839079116115	heavy_vs_light	FALSE	4.145	3.487	3.402	1.582	1.194	1.484
hsa-miR-10397-3p	21.797033845255	-0.192236041021136	0.207537136463807	-0.926272975991745	0.354304136216247	0.678518749186952	heavy_vs_light	FALSE	65.507	18.53	15.458	12.637	12.788	11.807
hsa-miR-10397-5p	2.74535921360742	-0.33871626691227	0.349336138820437	-0.969599847459167	0.332245988993156	0.664898341607831	heavy_vs_light	FALSE	3.426	2.953	1.928	1.64	0.903	0.826
hsa-miR-10398-3p	1.47330402684869	0.300920661970789	0.2663727419878	1.12969765496715	0.258603645703698	NA	heavy_vs_light	NA	2.145	1.161	1.838	1.046	0.632	0.826
hsa-miR-10398-5p	0.573871090593872	-0.11462719434022	0.384759486168158	-0.297919085717155	0.76576492073027	NA	heavy_vs_light	NA	0.462	0.559	0.595	0	0	0
hsa-miR-10399-3p	0.352494408348962	-0.0844815617194123	0.532293193004439	-0.158712459279388	0.873895421522541	NA	heavy_vs_light	NA	0.927	0.286	0.308	0	0	0
hsa-miR-10399-5p	0.761236387750002	-0.0524531421516797	0.526910386396593	-0.0995485067401945	0.920702776324908	NA	heavy_vs_light	NA	1.328	0.683	0.713	0	0	0
hsa-miR-103a-1-5p	0.681255127429812	-0.436177105110416	0.551668359641844	-0.790650936358925	0.429147714327846	NA	heavy_vs_light	NA	0.264	0.847	0.419	0	0	0
hsa-miR-103a-2-5p	0.291764188049771	-0.442605107727043	0.542064914157306	-0.816516797467174	0.414204620354907	NA	heavy_vs_light	NA	0.097	0.34	0.224	0	0	0
hsa-miR-103a-3p	1.79391790953467	-0.11772043652794	0.27101242459837	-0.434372839925687	0.664017717312213	NA	heavy_vs_light	NA	1.409	1.898	1.607	1.046	1.019	1.02
hsa-miR-103b-3p:Novel	17.0447278777303	-0.48900549193139	0.397743723996954	-1.2294486686486	0.218903632372304	0.550657689467385	heavy_vs_light	FALSE	82.186	10.862	10.824	1.321	0.71	0.658
hsa-miR-103b-5p	0.234831325101207	-0.477976946210028	0.770953062674668	-0.619981902078165	0.535269702095996	NA	heavy_vs_light	NA	0.097	0.29	0.142	0	0	0
hsa-miR-10400-3p	4.04036998566383	-0.584036210167376	0.326878064655778	-1.78670970406779	0.0739844198490217	0.359047229703306	heavy_vs_light	FALSE	5.578	4.653	2.043	2.383	0.985	1.11
hsa-miR-10400-5p	90.4504653690116	0.877616178660899	0.257576327480359	3.40720821375877	0.000656310398425845	0.0514775634243576	heavy_vs_light	FALSE	130.235	53.687	150.707	61.694	28.13	51.355
hsa-miR-10401-3p	1.01140850467106	-0.281610467394013	0.364611232082513	-0.77235817938347	0.439902315950873	NA	heavy_vs_light	NA	1.843	1.016	0.719	0.663	0	0
hsa-miR-10401-5p	80.2815601885611	0.0791293035186921	0.252011748049637	0.313990534691687	0.753528227717969	0.897332411547088	heavy_vs_light	FALSE	77.86	73.02	91.582	47.159	32.976	44.921
hsa-miR-105-3p	7.69570823715021	-0.552079470974002	0.301865003831957	-1.82889524776226	0.0674153022980685	0.351494813137906	heavy_vs_light	FALSE	5.956	9.746	4.319	3.317	2.917	2.188
hsa-miR-105-5p	3.60881053132329	-0.0502916185004885	0.295552162618734	-0.170161564899004	0.864883077614618	0.941631819234843	heavy_vs_light	FALSE	9.35	3.213	2.618	2.091	1.69	1.261
hsa-miR-10522-3p:Novel	8.23044383849724	0.0251522245443797	0.260154399958184	0.0966819110052435	0.922979005451242	0.968617874249005	heavy_vs_light	FALSE	9.649	7.982	7.809	6.633	4.206	3.028
hsa-miR-10522-5p	0.769672704171292	-0.0990041734025249	0.359261564181505	-0.275576858960917	0.782873085531696	NA	heavy_vs_light	NA	3.73	0.528	0.404	0.147	0	0
hsa-miR-10523-3p:Novel	14.376772139157	-0.430563700488814	0.232336674833414	-1.8531887003958	0.0638553166909939	0.343376955482406	heavy_vs_light	FALSE	14.663	14.967	12.176	8.084	9.714	6.999
hsa-miR-10523-5p	2.07644314377219	-0.752715852463374	0.362247239806912	-2.07790638477906	0.0377179823517403	NA	heavy_vs_light	NA	1.745	2.317	1.54	0.663	0.658	0.658
hsa-miR-10524-3p:Novel	3.89626123696453	-1.16871153149278	0.45202671441024	-2.58549217166865	0.00972400809515011	0.157153159358719	heavy_vs_light	FALSE	3.084	4.795	1.971	1.006	0.631	0.28
hsa-miR-10524-5p	2.8996633040827	-1.39338427510557	0.592721541868802	-2.35082442037174	0.0187318704990032	0.214712759199347	heavy_vs_light	FALSE	1.932	3.6	1.504	0	0	0
hsa-miR-10525-3p	0.543644452073964	0.256571157070788	0.363403845576248	0.706022129908789	0.480174375428211	NA	heavy_vs_light	NA	0.407	0.543	0.545	0	0	0
hsa-miR-10525-5p:Novel	0.406719624990348	0.278032443769824	0.403015726999228	0.68987988592901	0.490269725811407	NA	heavy_vs_light	NA	0.428	0.34	0.511	0	0	0
