ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	no_coffee.x	light_drinker.x	heavy_drinker.x	no_coffee.y	light_drinker.y	heavy_drinker.y
has-miR-548o	0.456174797804644	0.09739521902823	0.504025352915937	0.193234761832454	0.84677511573619	NA	heavy_drinker_vs_light_drinker	NA	0.85	0.238	0.345	0	0	0
has-miR-548x	1.75776823233766	-0.903691235677883	0.466123925760602	-1.93873600073902	0.0525334925945308	0.356455035541414	heavy_drinker_vs_light_drinker	FALSE	2.408	1.691	0.916	0	0	0
hsa-let-7a-2-3p	0.587834483239343	-0.396316629542009	0.407965721962157	-0.971445903925161	0.331326279073247	NA	heavy_drinker_vs_light_drinker	NA	0.492	0.56	0.661	0	0	0
hsa-let-7a-3p	443.827434357223	-0.494474591900719	0.30255792722657	-1.63431378722539	0.102192980181096	0.452357332561457	heavy_drinker_vs_light_drinker	FALSE	1345.583	92.388	191.181	22.596	20.304	12.627
hsa-let-7a-5p	13.6079112998423	0.111207634881405	0.253495015110391	0.438697521657288	0.660880723100173	0.877073901402596	heavy_drinker_vs_light_drinker	FALSE	18.554	12.215	12.099	7.266	5.852	5.017
hsa-let-7b-3p	0.434462254486377	-0.55700461609741	0.626620724240684	-0.88890232089334	0.374055578023356	NA	heavy_drinker_vs_light_drinker	NA	0.516	0.507	0.383	0	0	0
hsa-let-7b-5p	267.441761365015	-0.567518437890299	0.31544783106693	-1.7990880963448	0.0720047463208267	0.39846454875572	heavy_drinker_vs_light_drinker	FALSE	807.342	63.93	100.211	13.117	14.506	9.549
hsa-let-7c-3p	3.71076339359523	-0.0289776572254569	0.343380332477097	-0.0843893912514329	0.932746841753684	0.980769307330716	heavy_drinker_vs_light_drinker	FALSE	6.49	2.873	2.89	0.625	0.327	0.223
hsa-let-7c-5p	19.928374473075	0.0134898813039341	0.316296718217261	0.0426494507434884	0.965980975333804	0.991575742981979	heavy_drinker_vs_light_drinker	FALSE	55.676	6.772	9.549	3.985	2.753	2.347
hsa-let-7d-3p	4.34898582159741	-0.720853156105909	0.347801130527205	-2.07260153241372	0.0382093783171292	0.32388415048711	heavy_drinker_vs_light_drinker	FALSE	7.53	4.768	2.38	0.829	2.06	0.521
hsa-let-7d-5p	52.1829517559646	-0.0500859228419831	0.327997109839455	-0.152702329805585	0.878633023395938	0.968177732356469	heavy_drinker_vs_light_drinker	FALSE	156.842	12.249	17.964	5.089	3.224	2.746
hsa-let-7e-3p	0.0755607995236198	-0.18074945192496	1.3087972347306	-0.138103479384387	0.890158635977368	NA	heavy_drinker_vs_light_drinker	NA	0.119	0.061	0.053	0	0	0
hsa-let-7e-5p	6.1783070517625	0.0248676131509248	0.301796556785392	0.0823985979687908	0.934329750919154	0.980769307330716	heavy_drinker_vs_light_drinker	FALSE	13.606	3.473	3.97	2.77	2.279	1.792
hsa-let-7f-1-3p	0.123155456027445	-0.226615726473791	1.24810236271151	-0.181568221681326	0.855921589686352	NA	heavy_drinker_vs_light_drinker	NA	0.135	0.131	0.104	0	0	0
hsa-let-7f-2-3p	0.57808125970411	-0.369590139913515	0.386928380537825	-0.955190051967213	0.339481595651421	NA	heavy_drinker_vs_light_drinker	NA	0.882	0.36	0.367	0	0	0
hsa-let-7f-5p	1.9797530512382	-0.0240398496050786	0.303481458374167	-0.0792135695335941	0.936862751581937	0.980769307330716	heavy_drinker_vs_light_drinker	FALSE	2.177	1.425	2.273	1.033	0.36	0.696
hsa-let-7g-3p	2.99149285186497	-0.166481495072063	0.316318293249593	-0.526310044739334	0.598672805049632	0.844909503771413	heavy_drinker_vs_light_drinker	FALSE	4.629	2.163	2.571	0.585	0.36	0
