miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison size sig
hsa-miR-5693-5p:Novel 3.26785193946872 -2.26773430947064 0.361178389654516 -6.27870984097312 3.41394035198288e-10 7.29900447253939e-07 heavy_light 74_82 FALSE
hsa-miR-1281-5p:Novel 385.501214109259 2.91834311556222 0.534403518573622 5.46093544322384 4.73632267377233e-08 0.000110972040246486 heavy_no 74_76 TRUE
hsa-miR-4682 5.45265345404068 -1.30951188844781 0.255596126044169 -5.12336359989085 3.00132784577097e-07 0.000351605557132069 heavy_no 74_76 FALSE
hsa-miR-633-5p:Novel 31.1079756378624 2.53224121730835 0.485119120485375 5.21983387250285 1.79083697255762e-07 0.000431591710386387 light_no 82_76 TRUE
hsa-miR-8053 18.6435524386033 -1.22003059902493 0.244081934519837 -4.99844694129041 5.77939043546588e-07 0.000451370393009886 heavy_no 74_76 TRUE
hsa-miR-105-3p 7.30947691366338 -1.48374573876049 0.315466202021994 -4.70334295480898 2.55935973494889e-06 0.00149914496474631 heavy_no 74_76 FALSE
hsa-miR-1281 77.2818728268592 2.0993941438371 0.457266484153564 4.59118307724486 4.40740508348311e-06 0.00206531002212019 heavy_no 74_76 TRUE
hsa-miR-6783-5p 5.52072303276914 -1.55119744195647 0.346293588465725 -4.47942870911686 7.48430812287786e-06 0.00292262232198381 heavy_no 74_76 FALSE
hsa-miR-6717-5p 56.3236333917055 -0.958867641082582 0.2188758104887 -4.38087534178239 1.18203485442417e-05 0.0034618845798948 heavy_no 74_76 TRUE
hsa-miR-1231 20.0663370425344 -0.9109702478312 0.209694781818389 -4.34426760614466 1.3974108602941e-05 0.00363792627296563 heavy_no 74_76 TRUE
hsa-miR-572 24.4829518687234 -0.967493836395622 0.230211908239501 -4.20262289555017 2.63839922415929e-05 0.00618176938220522 heavy_no 74_76 TRUE
hsa-miR-378j 2.81680412628289 -1.31234491347087 0.321603260085582 -4.08063311647289 4.49131988223483e-05 0.00809474037236631 heavy_no 74_76 FALSE
hsa-miR-4447-5p:Novel 10.8546023077995 -1.26583088842668 0.30920936759783 -4.09376629906332 4.2442210712184e-05 0.00809474037236631 heavy_no 74_76 FALSE
hsa-miR-7106-3p 4.10968545622098 -1.17215884289422 0.28634066580064 -4.09358146743401 4.24760738254041e-05 0.00809474037236631 heavy_no 74_76 FALSE
hsa-miR-2277-5p 4.57142872216303 -1.13711789558612 0.281096114718961 -4.04529922700287 5.22563344279365e-05 0.00820162679412904 heavy_no 74_76 FALSE
hsa-miR-938-3p:Novel 9.05811520305442 -1.07475836633561 0.26575452402058 -4.04417712284132 5.2507213790839e-05 0.00820162679412904 heavy_no 74_76 FALSE
hsa-miR-1256 2.70231937357381 -1.17853079772308 0.294259101542795 -4.00507848880143 6.19968922873556e-05 0.00907866991432964 heavy_no 74_76 FALSE
hsa-miR-3118 3.51687635197869 -1.85801094319845 0.428651776036741 -4.33454623792156 1.46061087140039e-05 0.0104092868101801 heavy_light 74_82 FALSE
hsa-miR-105-5p 3.50365760881103 -1.21414917157954 0.307481575728596 -3.94868918146573 7.85803020727283e-05 0.0107456721515023 heavy_no 74_76 FALSE
hsa-miR-1304-3p 2.23300436576538 -1.34860416687326 0.345082399115815 -3.9080641908388 9.30385899378175e-05 0.0107456721515023 heavy_no 74_76 FALSE
hsa-miR-3680-3p 21.0232551808379 -1.19801528817369 0.305869450782418 -3.91675365130175 8.9749377996994e-05 0.0107456721515023 heavy_no 74_76 TRUE
hsa-miR-4296 14.8035426396797 -1.27814441100845 0.327592904772914 -3.90162421830977 9.55494081740367e-05 0.0107456721515023 heavy_no 74_76 FALSE
hsa-miR-4689 3.28010587011115 -1.60887767672745 0.412564497622821 -3.89969977057583 9.63120423310062e-05 0.0107456721515023 heavy_no 74_76 FALSE
hsa-miR-6515-3p 1.63731146356455 -1.4177155166329 0.37182068248571 -3.81290117363869 0.000137345041066537 0.0146272468735862 heavy_no 74_76 FALSE
hsa-miR-23c 84.9687338647717 2.03310915584966 0.465365493314813 4.36884381213519 1.24906054811114e-05 0.0150511796047392 light_no 82_76 TRUE
hsa-miR-3115-3p:Novel 5.28225282247323 -1.27208633637982 0.335441034600186 -3.79228002887608 0.000149270454935107 0.0152061163440416 heavy_no 74_76 FALSE
hsa-miR-320e 15.8122231683556 -0.922196328331082 0.244125227248158 -3.77755440814664 0.000158375913072102 0.0154614485136639 heavy_no 74_76 TRUE
hsa-miR-548av-3p 2.02713267073811 -1.65012832882197 0.438590116628528 -3.76234727199651 0.000168326100287429 0.0157755221189378 heavy_no 74_76 FALSE
hsa-miR-1200 4.58423820010247 -1.21408285490849 0.328061406356356 -3.7007792790771 0.000214938375798168 0.0178891227622895 heavy_no 74_76 FALSE
hsa-miR-30c-1-3p 4.76341288573059 -0.984713768384542 0.265777202947854 -3.70503473383963 0.000211361767309313 0.0178891227622895 heavy_no 74_76 FALSE
hsa-miR-4483-5p:Novel 8.94929456491198 -1.6928755146722 0.457660690778885 -3.69897513328296 0.000216471806037485 0.0178891227622895 heavy_no 74_76 FALSE
hsa-miR-4767 19.9489481568439 -1.04938089521918 0.28415627386336 -3.69297105762227 0.000221649257277707 0.0178891227622895 heavy_no 74_76 TRUE
hsa-miR-548a-3p 2.71437958300228 -1.00153861799376 0.271816803904428 -3.68460891161795 0.000229054068659277 0.0178891227622895 heavy_no 74_76 FALSE
hsa-miR-3612 11.0318301968658 -1.15514062347938 0.315172380320243 -3.66510740029204 0.000247234808768907 0.0181022236545484 heavy_no 74_76 FALSE
hsa-miR-4737 15.3327714000776 -1.04162844324801 0.283989090691377 -3.66784667929371 0.000244601777851524 0.0181022236545484 heavy_no 74_76 TRUE
hsa-miR-7856-3p:Novel 7.20891240527897 -0.807097834451789 0.223109596813531 -3.61749492616555 0.000297468160062567 0.0211202393644422 heavy_no 74_76 FALSE
