ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	_16.x	16_.x	_16.y	16_.y
has-miR-548o	0.508180237618909	0.185841502325084	0.688474355327489	0.269932352435529	0.787212297063522	NA	U16_vs_never	NA	0.526	2.91	0	0
has-miR-548x	1.94677857551583	-1.45027092999784	0.614068605789763	-2.3617408809438	0.0181893508206195	0.285297534089	U16_vs_never	FALSE	0.887	0.705	0	0
hsa-let-7a-2-3p	0.607516883507658	-0.188050663610848	0.609679764687836	-0.308441700877399	0.757746254935967	NA	U16_vs_never	NA	0.522	0.373	0	0
hsa-let-7a-3p	646.194041545214	-0.486040819242701	0.3794500680951	-1.28090850446464	0.200225805310265	0.678300724461636	U16_vs_never	FALSE	193.388	6783.166	15.299	39.092
hsa-let-7a-5p	16.368027327002	0.0571726372763495	0.323775183285417	0.176581283025482	0.85983729702287	0.974815540229417	U16_vs_never	FALSE	15.297	48.239	8.163	6.801
hsa-let-7b-3p	0.51301229218846	-0.286791462896515	0.813944960830568	-0.352347488709638	0.724577677855458	NA	U16_vs_never	NA	0.404	1.414	0	0
hsa-let-7b-5p	365.947019840645	-0.144073362486503	0.390869047957127	-0.368597521956526	0.712427742908458	0.932561723005737	U16_vs_never	FALSE	133.369	3874.255	11.853	19.499
hsa-let-7c-3p	4.34674715349026	-0.658737417533925	0.499538912616728	-1.31869089853935	0.187272470765804	0.662023615914651	U16_vs_never	FALSE	2.786	8.456	0.198	0.87
hsa-let-7c-5p	29.025089553705	-0.332097570073394	0.404442338411775	-0.821124641345721	0.411575275493961	0.824281972507735	U16_vs_never	FALSE	14.821	270.667	2.522	4.452
hsa-let-7d-3p	5.51679874363461	0.203424298104195	0.466702041107022	0.435876169775625	0.662926575751742	0.927001805602103	U16_vs_never	FALSE	4.645	22.848	2.041	0
hsa-let-7d-5p	70.7894596388308	0.0606095123593359	0.400653945546899	0.151276464472609	0.879757634237058	0.977675957827805	U16_vs_never	FALSE	22.964	737.136	4.361	6.277
hsa-let-7e-3p	0.0796403650922385	-0.939739442035859	1.83475974297108	-0.512186647671978	0.608520387052375	NA	U16_vs_never	NA	0.003	0.012	0	0
hsa-let-7e-5p	7.22691061603084	-0.554861470273427	0.401885472536728	-1.38064575156476	0.167387908713428	0.642070884958125	U16_vs_never	FALSE	3.471	44.569	2.617	1.745
hsa-let-7f-1-3p	0.144932101578174	-0.610967702606595	1.77784674644865	-0.34365600062381	0.731105004343906	NA	U16_vs_never	NA	0.173	0.178	0	0
