ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	_16.x	16_.x	never.y	former.y	_16.y	16_.y
has-miR-548o	0.482823240473649	0.103301107442322	0.663677812366087	0.155649481597165	0.876309319548332	NA	_16_vs_never	NA	0.244	0.358	0.526	2.91	0	0	0	0
has-miR-548x	1.71019385279228	-1.66895132733494	0.604038703836467	-2.7629873992094	0.00572749775500254	NA	_16_vs_never	NA	2.377	1.065	0.887	0.705	0	0	0	0
hsa-let-7a-2-3p	0.582280496450522	-0.1232372808111	0.52838870482058	-0.233232239233704	0.815581072775296	NA	_16_vs_never	NA	0.643	0.524	0.522	0.373	0	0	0	0
hsa-let-7a-3p	545.835883653848	-0.355322789547716	0.385534830850436	-0.921636026410178	0.356718460114065	0.778252431281536	_16_vs_never	FALSE	138.076	102.619	193.388	6783.166	19.388	12.133	15.299	39.092
hsa-let-7a-5p	14.4832834314234	0.0702364295017621	0.321961481238145	0.218151653519728	0.827310952735106	0.944105400094053	_16_vs_never	FALSE	13.692	8.13	15.297	48.239	6.883	4.146	8.163	6.801
hsa-let-7b-3p	0.480698235865222	-0.58213011635404	0.831639604190762	-0.699978829075233	0.483940525953177	NA	_16_vs_never	NA	0.473	0.319	0.404	1.414	0	0	0	0
hsa-let-7b-5p	325.576365342963	-0.0859657072383874	0.414008043337571	-0.207642601688038	0.835508037919709	0.947969350977562	_16_vs_never	FALSE	73.946	102.488	133.369	3874.255	13.365	8.247	11.853	19.499
hsa-let-7c-3p	4.15360253394004	-0.640287998630866	0.442695817527799	-1.44633848633697	0.148082286066978	0.544445433540865	_16_vs_never	FALSE	4.199	3.604	2.786	8.456	0	0.806	0.198	0.87
hsa-let-7c-5p	24.1345725633802	-0.254937280105213	0.396294482897781	-0.643302622436383	0.520027754987821	0.843706046186054	_16_vs_never	FALSE	7.838	4.893	14.821	270.667	2.893	2.917	2.522	4.452
hsa-let-7d-3p	4.98802947660127	0.00723368179694292	0.456055191401853	0.0158614175067442	0.987344950497	0.995426810040174	_16_vs_never	FALSE	4.046	2.918	4.645	22.848	1.466	1.024	2.041	0
hsa-let-7d-5p	62.6685910720595	0.12490588596771	0.402599696966341	0.310248335775952	0.756372116013158	0.921324213754666	_16_vs_never	FALSE	14.557	21.987	22.964	737.136	3.341	2.782	4.361	6.277
hsa-let-7e-3p	0.0792749011251618	-1.0321259052968	1.7604453930537	-0.586286805242198	0.55768279645555	NA	_16_vs_never	NA	0.115	0.061	0.003	0.012	0	0	0	0
hsa-let-7e-5p	7.09148982818418	-0.448464915666358	0.406735372529422	-1.10259629713892	0.270202518994271	0.690609501074178	_16_vs_never	FALSE	4.369	5.348	3.471	44.569	2.044	2.372	2.617	1.745
hsa-let-7f-1-3p	0.126336688110519	-0.623703701771923	1.68588950037175	-0.369955267907174	0.711415820406722	NA	_16_vs_never	NA	0.144	0.063	0.173	0.178	0	0	0	0
hsa-let-7f-2-3p	0.545050262627577	-0.391974173540681	0.5107767704052	-0.767407987700237	0.442838980851986	NA	_16_vs_never	NA	0.44	0.584	0.346	1.523	0	0	0	0
hsa-let-7f-5p	1.98393839625423	0.0301391403501422	0.391149603962817	0.0770527185629138	0.93858160623891	NA	_16_vs_never	NA	1.965	1.895	1.741	2.668	0.666	0.794	1.109	1.554
hsa-let-7g-3p	3.1637586197932	0.0087260530043406	0.395593396628309	0.022058136153722	0.982401580852919	0.995426810040174	_16_vs_never	FALSE	2.835	3.74	4.071	0.477	0	0	0.578	0
hsa-let-7g-5p	363.341853496098	-0.367742030548605	0.45623724665908	-0.806032460614504	0.42022413260816	0.798808744103666	_16_vs_never	FALSE	77.191	114.184	134.135	4399.409	8.124	4.867	4.896	9.497
hsa-let-7i-3p	0.31660162036802	-0.24630259347211	0.653037888189652	-0.377164323734582	0.706051491327713	NA	_16_vs_never	NA	0.242	0.225	0.436	1.088	0	0	0	0
hsa-let-7i-5p	396.674351708047	0.252799319669132	0.434247211615537	0.582155309020035	NA	NA	_16_vs_never	NA	64.852	135.134	137.293	4932.715	7.641	6.377	9.592	9.085
hsa-miR-1-2-5p:Novel	8.58091814941217	0.066344784140315	0.33650059857379	0.197160969167686	0.843701573155359	0.950802110463399	_16_vs_never	FALSE	7.564	8.645	7.498	17.278	3.441	4.186	3.33	3.682
hsa-miR-1-3p	1.81295966087876	0.145897758506087	0.326569877366028	0.446758163008896	0.65504968162508	NA	_16_vs_never	NA	1.782	1.759	1.9	1.787	1.088	1.316	1.02	0.468
hsa-miR-1-5p	11.3434619956984	-0.403216327479653	0.307816375599444	-1.309924875486	0.190221250977452	0.603335799300596	_16_vs_never	FALSE	11.225	12.014	8.66	12.239	6.475	6.693	4.639	5.732
hsa-miR-100-3p	0.237372480447786	-0.209131152199955	0.788885027809395	-0.265097124204116	0.790934642663184	NA	_16_vs_never	NA	0.194	0.28	0.307	0.191	0	0	0	0
hsa-miR-100-5p	8.07805130086412	-0.630616844829505	0.665871219233441	-0.947055266265268	0.343610617860365	0.75958426650192	_16_vs_never	FALSE	4.671	7.302	1.686	51.906	0.419	0.612	0.37	0.319
hsa-miR-101-2-5p	1.17779876591377	-0.629757417556965	0.452840874860209	-1.3906814789	0.164322036378733	NA	_16_vs_never	NA	1.353	0.878	0.7	1.964	0.519	0	0.139	0.768
hsa-miR-101-3p	3.01246083249487	-0.26007513964099	0.29162426460886	-0.891815843890135	0.372491647956238	0.784519636053305	_16_vs_never	FALSE	3.074	2.632	2.73	4.385	2.085	1.858	1.792	2.717
hsa-miR-101-5p	15.7321033637468	-0.111066880941385	0.449734161285229	-0.246961183966955	0.804938264449253	0.935477500455881	_16_vs_never	FALSE	5.836	14.506	6.029	121.664	1.38	1.322	1.358	2.255
hsa-miR-10226	2.52905127272241	-0.113745496704033	0.36535013450056	-0.311332844750488	0.755547600618698	NA	_16_vs_never	NA	2.336	2.725	2.894	1.885	1.333	1.455	1.85	0
hsa-miR-10226-3p:Novel	10.5521557801129	0.41350688078761	0.324387555048406	1.27473102575068	0.202404461348924	0.615985869946815	_16_vs_never	FALSE	8.141	11.417	12.229	20.733	4.766	6.206	7.565	7.455
hsa-miR-10392-3p	1.29431974221773	-1.30733996585458	0.470454875605766	-2.77888493380205	0.00545458431683551	NA	_16_vs_never	NA	1.709	1.025	0.647	0.253	0.526	0.35	0	0
hsa-miR-10392-5p	133.973309876585	0.0952882067295549	0.238977176862785	0.398733502422565	0.690089579335352	0.911332201827864	_16_vs_never	FALSE	106.145	135.187	126.059	349.369	78.409	92.657	70.153	84.063
hsa-miR-10393-3p	0.291932199581347	-0.573785296030884	0.953933752380253	-0.601493861181845	0.547511099317384	NA	_16_vs_never	NA	0.378	0.107	0.12	0.787	0	0	0	0
