miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison size sig
hsa-miR-451b-3p:Novel 346.45510978457 9.35314350248101 1.0831060427892 8.63548270711784 5.84795688546725e-18 1.3742698680848e-14 O16_U16 14_29 TRUE
hsa-miR-451a-3p:Novel 378.391604331482 8.93031303642091 1.13692206308435 7.85481549385529 4.00361073338378e-15 4.70424261172594e-12 O16_U16 14_29 TRUE
hsa-let-7a-3p 545.835883653848 4.82796081209626 0.629215168647995 7.67298859382265 1.6803443678397e-14 1.2731645860121e-11 O16_U16 14_29 TRUE
hsa-let-7g-5p 363.341853496098 5.67807880413763 0.743174426539946 7.64030435031718 2.16708865704187e-14 1.2731645860121e-11 O16_U16 14_29 TRUE
hsa-miR-200a-3p 90.7500988776397 4.21250927590935 0.579680579284991 7.2669491206783 3.67697216689965e-13 1.72817691844284e-10 O16_U16 14_29 TRUE
hsa-let-7d-5p 62.6685910720595 4.51818393458537 0.645507710027013 6.99942675261972 2.57011903690477e-12 1.00662995612104e-09 O16_U16 14_29 TRUE
hsa-miR-423-5p 75.4094782985293 3.78341541863301 0.569866680056865 6.63912376532609 3.1555335860887e-11 1.05935770390121e-08 O16_U16 14_29 TRUE
hsa-miR-486-5p 61.5656512399584 5.03228095169775 0.762987629138349 6.59549481474656 4.2383985119471e-11 1.24502956288446e-08 O16_U16 14_29 TRUE
hsa-miR-126-3p 36.296542814654 6.16984302512774 0.949501779634558 6.49797942190522 8.14059359880305e-11 2.12559943968746e-08 O16_U16 14_29 TRUE
hsa-miR-622 58.1950815105359 3.6132235878907 0.571677063861824 6.32039278169121 2.6089929910697e-10 6.13113352901379e-08 O16_U16 14_29 TRUE
hsa-miR-26b-5p 40.2776587964464 5.10505842678763 0.811949609931256 6.28740794298781 3.22810312072414e-10 6.89640212154703e-08 O16_U16 14_29 TRUE
hsa-miR-200b-3p 170.678869273878 4.01089573089874 0.647971377448296 6.18992731853929 6.01919626610946e-10 1.17875926877977e-07 O16_U16 14_29 TRUE
hsa-let-7b-5p 325.576365342963 4.1614999863946 0.675458055289432 6.16100430486599 7.22850261809127e-10 1.30669085788573e-07 O16_U16 14_29 TRUE
hsa-miR-144-3p 22.2620837581393 4.77822681580896 0.781781320899099 6.11197362750199 9.84064490542046e-10 1.65182253769558e-07 O16_U16 14_29 TRUE
hsa-miR-5047 3.46695181315453 3.92727684491843 0.663571718017469 5.91839094145216 3.25106465986469e-09 5.09333463378801e-07 O16_U16 14_29 FALSE
hsa-miR-103b-3p:Novel 17.0447278777303 4.50816202476345 0.778389740154407 5.79165139544257 6.96976919103542e-09 1.02368484993333e-06 O16_U16 14_29 TRUE
hsa-miR-7113-5p 396.384001156768 3.03620636965838 0.527241201994389 5.75866673198786 8.47808991290801e-09 1.1719712526667e-06 O16_U16 14_29 TRUE
hsa-miR-192-5p 1184.04457696101 3.94896983373229 0.692684589869094 5.70096388960895 1.19131872673156e-08 1.55533278212176e-06 O16_U16 14_29 TRUE
hsa-miR-378a-3p 141.81750761029 3.64832833222764 0.648269042423476 5.62779971505165 1.82522841765691e-08 2.25751935868092e-06 O16_U16 14_29 TRUE
hsa-miR-194-3p 133.934807949941 3.05090548920351 0.54576387388902 5.59015654052599 2.26864997061601e-08 2.53872734807029e-06 O16_U16 14_29 TRUE
hsa-miR-25-3p 35.1183007707387 4.28418685167542 0.765997134466809 5.59295414944017 2.23238258874541e-08 2.53872734807029e-06 O16_U16 14_29 TRUE
hsa-miR-1184-5p:Novel 4.90315719023085 2.85588660611126 0.515605473089706 5.53889893564878 3.04379221899652e-08 3.17980900786969e-06 O16_U16 14_29 FALSE
hsa-miR-146b-5p 28.8731802808404 3.17465436958553 0.573559199449299 5.53500732380138 3.11215349706395e-08 3.17980900786969e-06 O16_U16 14_29 TRUE
hsa-miR-21-5p 326.424043399384 3.58858894245443 0.651472876519544 5.50842417511878 3.62060132036431e-08 3.54517212619005e-06 O16_U16 14_29 TRUE
hsa-miR-186-5p 8.26289971154936 4.06993560459588 0.744571878224311 5.46614198524668 4.59935975097049e-08 4.32339816591227e-06 O16_U16 14_29 FALSE
hsa-miR-101-5p 15.7321033637468 3.78514484458122 0.702039387539695 5.39164171093919 6.98168680547867e-08 6.31037076649034e-06 O16_U16 14_29 TRUE
hsa-miR-10b-5p 38.7974267922034 3.86907322600762 0.726631302746468 5.32467182652822 1.0113546161081e-07 8.80253091797795e-06 O16_U16 14_29 TRUE
hsa-miR-140-3p 12.1839794727003 4.18867494715875 0.790267645697475 5.30032447862889 1.15597050659319e-07 9.4434952180791e-06 O16_U16 14_29 FALSE
hsa-miR-144-5p 7.16456062128414 5.31514663581535 1.00307622544209 5.29884619035087 1.165367494997e-07 9.4434952180791e-06 O16_U16 14_29 FALSE
hsa-miR-200c-3p 182.671200990766 3.63685283185422 0.690156778790548 5.26960386917818 1.36718488233462e-07 1.07096149116212e-05 O16_U16 14_29 TRUE
hsa-miR-1286-5p:Novel 8.17936600360759 3.02275967727426 0.574440784173767 5.26209099449993 1.42426242516968e-07 1.07968280617702e-05 O16_U16 14_29 FALSE
hsa-miR-185-5p 36.303235093042 4.12512976853065 0.787201334892703 5.24024742551143 1.60361437521308e-07 1.17765430679711e-05 O16_U16 14_29 TRUE
hsa-miR-148a-3p 264.086741943925 3.53097998551259 0.678857181500741 5.20135911018382 1.97836416584682e-07 1.40883508780001e-05 O16_U16 14_29 TRUE
hsa-miR-7-3-3p:Novel 11.1534660251955 3.2016747235643 0.631529189477054 5.06971772154425 3.98406148612012e-07 2.75368955658302e-05 O16_U16 14_29 FALSE
hsa-miR-4698 63.5370496098854 2.78910456364569 0.550798467835089 5.06374786155134 4.11093286641116e-07 2.76019778173321e-05 O16_U16 14_29 TRUE
hsa-miR-194-1-3p:Novel 160.436292029557 3.14908381003944 0.626429910690184 5.02703296298521 4.98126755943544e-07 3.2516607679648e-05 O16_U16 14_29 TRUE
hsa-let-7c-5p 24.1345725633802 3.18371353866456 0.636025668437753 5.00563687387743 5.56776324101971e-07 3.53628205848549e-05 O16_U16 14_29 TRUE
hsa-miR-4483-5p:Novel 12.1714892811294 4.34254860063958 0.874913523670477 4.96340322003656 6.92685650996756e-07 4.18986246651496e-05 O16_U16 14_29 FALSE
hsa-miR-6860 30.6162051792593 2.20116048646445 0.443544398816016 4.96266099254136 6.95338877421631e-07 4.18986246651496e-05 O16_U16 14_29 TRUE
hsa-miR-320a-3p 112.908044966988 3.00965697230919 0.628371368115442 4.78961506686006 1.67101554813386e-06 9.72795731815876e-05 O16_U16 14_29 TRUE
hsa-miR-6829-5p 27.2349902586218 2.5215864875743 0.526813071967206 4.78649187302488 1.69721808529578e-06 9.72795731815876e-05 O16_U16 14_29 TRUE
hsa-miR-363-3p 12.7838770118903 6.00949027175153 1.25707539786165 4.78053287970949 1.74831161216743e-06 9.78221973474631e-05 O16_U16 14_29 FALSE
hsa-miR-30d-5p 46.4643980838169 3.00008229130221 0.634508133232272 4.72820147476972 2.26517358487638e-06 0.000123794370336267 O16_U16 14_29 TRUE
hsa-miR-4717-5p 14.3087188474306 2.53006512728356 0.541969165605815 4.66828241871554 3.03728204374274e-06 0.000162218472790806 O16_U16 14_29 FALSE
hsa-miR-342-5p 7.33149962696237 3.06819516014682 0.660230945893878 4.64715442259803 3.36545232475496e-06 0.000175751399181648 O16_U16 14_29 FALSE
hsa-miR-23b-3p 3.51643343010137 3.29095101315017 0.720960692307387 4.56467467403486 5.00269517708313e-06 0.00025557247100316 O16_U16 14_29 FALSE
hsa-miR-142-5p 14.8389099563304 3.997820190626 0.879713235081456 4.54445838848364 5.50766857501231e-06 0.000275383428750615 O16_U16 14_29 FALSE
hsa-miR-1304-5p 3.73866489139098 2.7848202175294 0.617008262836513 4.51342451189716 6.37891607207208e-06 0.000312301099361862 O16_U16 14_29 FALSE
hsa-miR-20a-5p 9.92477686137901 5.5871418648647 1.24442409817404 4.48974097581588 7.13098344230082e-06 0.000341996144681774 O16_U16 14_29 FALSE
hsa-miR-98-5p 15.8075686090089 2.83621635918827 0.63299714568172 4.48061476822893 7.44283444016791e-06 0.000349813218687892 O16_U16 14_29 TRUE
hsa-miR-10a-5p 61.4445350523603 3.02162791860486 0.67656359763766 4.46614025518872 7.96434074209512e-06 0.000366984328312226 O16_U16 14_29 TRUE
hsa-miR-151a-3p 134.093293189194 1.44477794602798 0.325496725575577 4.43868657502829 9.05095057677196e-06 0.00040290475595003 O16_U16 14_29 TRUE
hsa-miR-15b-5p 5.37997091102175 4.17400562931138 0.940549806101315 4.4378358298888 9.08678811291558e-06 0.00040290475595003 O16_U16 14_29 FALSE
