miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison size sig
hsa-miR-451b-3p:Novel 346.45510978457 7.99032437863691 0.906420056696497 8.81525548734891 1.19412438785723e-18 2.96859322821306e-15 O16_never 14_117 TRUE
hsa-miR-451a-3p:Novel 378.391604331482 8.12137216295692 0.958604568347574 8.47207746668306 2.41054732416801e-17 2.99631032394083e-14 O16_never 14_117 TRUE
hsa-let-7d-5p 62.6685910720595 4.64308982055308 0.554398459671487 8.37500490766943 5.52215705674749e-17 4.57602748102476e-14 O16_never 14_117 TRUE
hsa-let-7g-5p 363.341853496098 5.31033677358903 0.639798171183828 8.30001868208412 1.04095024535739e-16 6.46950577489617e-14 O16_never 14_117 TRUE
hsa-let-7a-3p 545.835883653848 4.47263802254854 0.542062785377327 8.25114385861255 1.56885556120033e-16 7.80034985028804e-14 O16_never 14_117 TRUE
hsa-miR-200a-3p 90.7500988776397 3.90828896259175 0.499534652384752 7.82385955395444 5.12279582860401e-15 2.1225450716516e-12 O16_never 14_117 TRUE
hsa-miR-144-3p 22.2620837581393 4.94753779850379 0.665251764827429 7.43709082799234 1.0292678499433e-13 3.19844984369881e-11 O16_never 14_117 TRUE
hsa-miR-423-5p 75.4094782985293 3.64890032372358 0.490592123918276 7.43774746031476 1.02416610298983e-13 3.19844984369881e-11 O16_never 14_117 TRUE
hsa-miR-486-5p 61.5656512399584 4.83402325301157 0.651634692858626 7.41830247221096 1.18630933750334e-13 3.27685001448144e-11 O16_never 14_117 TRUE
hsa-miR-126-3p 36.296542814654 5.93897816973216 0.806507557085521 7.36382209634076 1.78717838989168e-13 4.44292547727072e-11 O16_never 14_117 TRUE
hsa-let-7b-5p 325.576365342963 4.07553427915621 0.582000680944702 7.0026280253501 2.5120515167566e-12 5.67723642786993e-10 O16_never 14_117 TRUE
hsa-miR-26b-5p 40.2776587964464 4.81370779138065 0.69510094402138 6.9251924238972 4.35383308230665e-12 9.01969086884528e-10 O16_never 14_117 TRUE
hsa-miR-200b-3p 170.678869273878 3.8087763526526 0.558778428108589 6.81625517567837 9.34442580719128e-12 1.66174675022824e-09 O16_never 14_117 TRUE
hsa-miR-378a-3p 141.81750761029 3.80996813898103 0.558970619558049 6.81604364464341 9.35818765213009e-12 1.66174675022824e-09 O16_never 14_117 TRUE
hsa-miR-622 58.1950815105359 3.3088650153153 0.491143900942589 6.73705813910144 1.61625522207673e-11 2.67867365472183e-09 O16_never 14_117 TRUE
hsa-miR-103b-3p:Novel 17.0447278777303 4.29377493624913 0.661299854224274 6.49293192614699 8.41817338795569e-11 1.30797369015361e-08 O16_never 14_117 TRUE
hsa-miR-140-3p 12.1839794727003 4.21435421622271 0.672256241554186 6.26897000834021 3.63444117666696e-10 5.3148357442318e-08 O16_never 14_117 FALSE
hsa-miR-25-3p 35.1183007707387 4.04274715956497 0.651974474645799 6.20077520943023 5.61857164026765e-10 7.75987172094744e-08 O16_never 14_117 TRUE
hsa-miR-101-5p 15.7321033637468 3.67407796363983 0.596167484691751 6.16282849699446 7.14568878971173e-10 9.3495696480123e-08 O16_never 14_117 TRUE
hsa-miR-1184-5p:Novel 4.90315719023085 2.62707198849309 0.433756632516396 6.05655750611211 1.39065440461899e-09 1.72858342494141e-07 O16_never 14_117 FALSE
hsa-miR-15b-5p 5.37997091102175 4.80943217650557 0.798436582513027 6.02356189813873 1.70619814724211e-09 2.01981361621137e-07 O16_never 14_117 FALSE
hsa-miR-200c-3p 182.671200990766 3.52995510645114 0.595100329732637 5.93169744677684 2.99818726181818e-09 3.38795160585454e-07 O16_never 14_117 TRUE
hsa-miR-192-5p 1184.04457696101 3.51693786953231 0.596844419394854 5.8925538301894 3.802721574404e-09 4.11024601476885e-07 O16_never 14_117 TRUE
hsa-miR-185-5p 36.303235093042 3.95304403788258 0.674593560424835 5.8598899689957 4.63173963738975e-09 4.79771030772954e-07 O16_never 14_117 TRUE
hsa-miR-5047 3.46695181315453 3.92727684491843 0.663571718017469 5.91839094145216 3.25106465986469e-09 5.09333463378801e-07 O16_U16 14_29 FALSE
hsa-miR-148a-3p 264.086741943925 3.40811840107005 0.585061074934121 5.82523525677009 5.70322021639753e-09 5.45315594537087e-07 O16_never 14_117 TRUE
hsa-miR-194-1-3p:Novel 160.436292029557 3.15130497168186 0.540876536246414 5.82629262040345 5.66722118773793e-09 5.45315594537087e-07 O16_never 14_117 TRUE
hsa-miR-7113-5p 396.384001156768 3.03620636965838 0.527241201994389 5.75866673198786 8.47808991290801e-09 1.1719712526667e-06 O16_U16 14_29 TRUE
hsa-miR-21-5p 326.424043399384 3.18728783120701 0.561606447946777 5.67530490944267 1.38441840092831e-08 1.27469042396585e-06 O16_never 14_117 TRUE
hsa-miR-10b-5p 38.7974267922034 3.50545970723039 0.626144037235894 5.59848772609127 2.1622970809252e-08 1.85361053213105e-06 O16_never 14_117 TRUE
hsa-miR-194-3p 133.934807949941 3.05090548920351 0.54576387388902 5.59015654052599 2.26864997061601e-08 2.53872734807029e-06 O16_U16 14_29 TRUE
hsa-miR-146b-5p 28.8731802808404 3.17465436958553 0.573559199449299 5.53500732380138 3.11215349706395e-08 3.17980900786969e-06 O16_U16 14_29 TRUE
hsa-miR-186-5p 8.26289971154936 3.44961898038745 0.631554877203559 5.46210488574153 4.70521928008064e-08 3.89905837676016e-06 O16_never 14_117 FALSE
hsa-let-7c-5p 24.1345725633802 2.92877625855934 0.546341627439588 5.36070493527092 8.28978245557683e-08 6.64787070469806e-06 O16_never 14_117 TRUE
hsa-miR-30b-5p 5.11818757821712 3.62466202125939 0.681616014968403 5.3177477372321 1.05059587145605e-07 7.91448889830223e-06 O16_never 14_117 FALSE
hsa-miR-144-5p 7.16456062128414 5.31514663581535 1.00307622544209 5.29884619035087 1.165367494997e-07 9.4434952180791e-06 O16_U16 14_29 FALSE
hsa-miR-1286-5p:Novel 8.17936600360759 3.02275967727426 0.574440784173767 5.26209099449993 1.42426242516968e-07 1.07968280617702e-05 O16_U16 14_29 FALSE
hsa-miR-30d-5p 46.4643980838169 2.83254495621592 0.545686096395094 5.19079554148117 2.09397463984337e-07 1.47404537855689e-05 O16_never 14_117 TRUE
hsa-miR-451b 22.1319193030279 5.95867838000301 1.14985516769177 5.18211210196542 2.19387284821419e-07 1.47404537855689e-05 O16_never 14_117 TRUE
hsa-miR-486-3p 85.7773918023234 3.67299783952391 0.706689072258417 5.19747366092113 2.02015152648201e-07 1.47404537855689e-05 O16_never 14_117 TRUE
hsa-miR-363-3p 12.7838770118903 5.46232023395022 1.0622764817364 5.1420890209501 2.71700314967171e-07 1.77749206054838e-05 O16_never 14_117 FALSE
hsa-miR-106b-3p 6.32162154613328 3.98111523257449 0.7803944179327 5.1014142862793 3.37124694741264e-07 2.148953823402e-05 O16_never 14_117 FALSE
hsa-miR-7-3-3p:Novel 11.1534660251955 3.2016747235643 0.631529189477054 5.06971772154425 3.98406148612012e-07 2.75368955658302e-05 O16_U16 14_29 FALSE
hsa-miR-4698 63.5370496098854 2.78910456364569 0.550798467835089 5.06374786155134 4.11093286641116e-07 2.76019778173321e-05 O16_U16 14_29 TRUE
hsa-miR-199a-5p 5.10870926274796 2.59812469764542 0.516616433347673 5.02911740691169 4.92742626220686e-07 3.06239542196156e-05 O16_never 14_117 FALSE
hsa-miR-320a-3p 112.908044966988 2.68713252161375 0.541481274490281 4.96255853749191 6.95705889785388e-07 4.02215079536389e-05 O16_never 14_117 TRUE
hsa-miR-4483-5p:Novel 12.1714892811294 4.34254860063958 0.874913523670477 4.96340322003656 6.92685650996756e-07 4.18986246651496e-05 O16_U16 14_29 FALSE
hsa-miR-6860 30.6162051792593 2.20116048646445 0.443544398816016 4.96266099254136 6.95338877421631e-07 4.18986246651496e-05 O16_U16 14_29 TRUE
hsa-miR-4480 4.43840549927157 2.81670732173376 0.574526818719045 4.90265594217836 9.45495028359954e-07 5.22333475667299e-05 O16_never 14_117 FALSE
hsa-miR-183-5p 11.9240947088672 2.96321301207852 0.608456754211328 4.87004703550277 1.11571686890196e-06 6.02972203497884e-05 O16_never 14_117 FALSE
hsa-miR-4693-5p 2.0854453725444 -5.52522529033431 1.14709120516903 -4.81672709670904 1.45932058865071e-06 7.40381833344015e-05 O16_never 14_117 FALSE
hsa-miR-22-3p 43.5939998550417 2.83396558281233 0.592733015061844 4.78118395769914 1.74265802558376e-06 8.66449570320246e-05 O16_never 14_117 TRUE
hsa-miR-142-5p 14.8389099563304 3.54491262659403 0.742780180432885 4.77249221233675 1.81960146537597e-06 8.86966518220521e-05 O16_never 14_117 FALSE
hsa-miR-17-5p 6.34083153468716 4.75361524233817 0.999326342512308 4.75681970955311 1.96666663941542e-06 9.22477974639007e-05 O16_never 14_117 FALSE
hsa-miR-20a-5p 9.92477686137901 4.98176668459715 1.04665759516079 4.75969095110981 1.93889614016853e-06 9.22477974639007e-05 O16_never 14_117 FALSE
hsa-miR-27b-3p 21.2665933581923 3.10398954600388 0.654451380522709 4.74288791861778 2.10692852507453e-06 9.69967465432461e-05 O16_never 14_117 TRUE
hsa-miR-6829-5p 27.2349902586218 2.5215864875743 0.526813071967206 4.78649187302488 1.69721808529578e-06 9.72795731815876e-05 O16_U16 14_29 TRUE
hsa-miR-6126 9.58753073591295 2.2866256409096 0.48313158564441 4.73292516749792 2.21307096334806e-06 0.000100030807543332 O16_never 14_117 FALSE
hsa-miR-28-3p 8.88238535178523 3.00128268505755 0.64031037633189 4.68723106167797 2.76926251861425e-06 0.000122935475379911 O16_never 14_117 FALSE
hsa-miR-98-5p 15.8075686090089 2.54187125948365 0.545805214510123 4.65710328869808 3.20689574878854e-06 0.000139865663710321 O16_never 14_117 TRUE
hsa-miR-4717-5p 14.3087188474306 2.53006512728356 0.541969165605815 4.66828241871554 3.03728204374274e-06 0.000162218472790806 O16_U16 14_29 FALSE
hsa-miR-342-5p 7.33149962696237 3.06819516014682 0.660230945893878 4.64715442259803 3.36545232475496e-06 0.000175751399181648 O16_U16 14_29 FALSE
hsa-miR-10a-5p 61.4445350523603 2.67765073434653 0.582457869085906 4.59715779709314 4.28293252004855e-06 0.000183575349048978 O16_never 14_117 TRUE
hsa-miR-30e-5p 11.7021782316567 2.50353535883878 0.55027896703015 4.5495748680898 5.37544064406374e-06 0.000226497380358347 O16_never 14_117 FALSE
hsa-miR-429-5p:Novel 7.87294029118602 2.17850601897908 0.481245762723876 4.52680561102216 5.98819759886192e-06 0.000248110987179512 O16_never 14_117 FALSE
hsa-miR-23b-3p 3.51643343010137 3.29095101315017 0.720960692307387 4.56467467403486 5.00269517708313e-06 0.00025557247100316 O16_U16 14_29 FALSE
hsa-miR-143-3p 74.3081405351174 1.98599956533548 0.439726277819402 4.51644503754478 6.28864297965813e-06 0.000256287974548035 O16_never 14_117 TRUE
hsa-miR-4750-3p 3.22998553313692 2.93836754088081 0.655330179093959 4.48379707606831 7.33263972205288e-06 0.000294015199177798 O16_never 14_117 FALSE
hsa-miR-1304-5p 3.73866489139098 2.7848202175294 0.617008262836513 4.51342451189716 6.37891607207208e-06 0.000312301099361862 O16_U16 14_29 FALSE
hsa-miR-151a-3p 134.093293189194 1.44477794602798 0.325496725575577 4.43868657502829 9.05095057677196e-06 0.00040290475595003 O16_U16 14_29 TRUE
hsa-miR-30a-5p 10.6948652504925 2.3522069008581 0.532192477102871 4.41984244809876 9.87728858473205e-06 0.000429844966187413 O16_U16 14_29 FALSE
hsa-miR-629-5p 8.65102501225927 3.43663635982133 0.782011502163694 4.39461101315356 1.10971283099078e-05 0.000467463279553524 O16_U16 14_29 FALSE
hsa-miR-8065-5p:Novel 4.19514222552848 2.55489236282108 0.586618078571628 4.3552908717748 1.32890336052539e-05 0.00050825442373325 O16_never 14_117 FALSE
hsa-miR-378c-3p:Novel 7.49949739723967 2.17323945421856 0.502597787801146 4.32401317110135 1.53216142761869e-05 0.000577114137736372 O16_never 14_117 FALSE
hsa-miR-148b-3p 6.17802773847277 2.92701387178416 0.679504476572831 4.30757113852573 1.65057018701473e-05 0.00061243544551024 O16_never 14_117 FALSE
hsa-miR-425-5p 5.19771591652143 2.77988017996698 0.649102873183785 4.28264963045372 1.84680857470131e-05 0.000665386393725719 O16_never 14_117 FALSE
hsa-miR-6784-5p 18.8471052197329 2.38772320252519 0.556980163592584 4.28690886785647 1.81176575416234e-05 0.000697975331521556 O16_U16 14_29 TRUE
hsa-miR-182-5p 64.803108898565 2.195535301788 0.514393112609099 4.26820509056162 1.97052118881884e-05 0.000699816525057663 O16_never 14_117 TRUE
hsa-miR-200a-5p 6.21811208553833 3.07174416509492 0.720972485914991 4.26055671347368 2.03918327966257e-05 0.000760647731302703 O16_U16 14_29 FALSE
hsa-miR-145-3p 2.78456839607045 2.02909058385304 0.482391285059493 4.20631683593287 2.59566270043972e-05 0.000896224649068491 O16_never 14_117 FALSE
hsa-miR-876-3p 2.98071115495855 2.54680806691715 0.604288192567977 4.21455871261403 2.50267042756468e-05 0.000904811616119538 O16_U16 14_29 FALSE
hsa-miR-6875-5p 5.44593379573197 2.18352648465823 0.524688249514094 4.16156924932161 3.16068120056305e-05 0.00107636348830133 O16_never 14_117 FALSE
hsa-miR-16-5p 7.0770213545729 2.36159433039119 0.569382556244797 4.14764081633696 3.35918859466871e-05 0.00112850579004681 O16_never 14_117 FALSE
hsa-miR-1229-5p 43.1889111408657 1.7685289392293 0.428614748836084 4.12615045103276 3.6888599071975e-05 0.00122273409723906 O16_never 14_117 TRUE
hsa-miR-615-5p 38.1958728914201 2.63487501226205 0.644542293278396 4.08797846121166 4.35148543253204e-05 0.00138689651093265 O16_never 14_117 TRUE
