miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison size sig
hsa-miR-6512-5p 4.20736978342238 2.01175258438382 0.366979433942871 5.48192186894319 4.20730046701197e-08 5.46528330664855e-05 Inactive_ModAct 21_113 FALSE
hsa-miR-12121 143.524860362219 1.72900126662661 0.4524352377079 3.8215442178774 0.000132618628481366 0.0861357991986473 Inactive_ModAct 21_113 FALSE
hsa-miR-378i-3p:Novel 22.7439332719569 1.55753992691849 0.419234410650739 3.71520058313169 0.000203042565066316 0.0879174306737148 Inactive_ModAct 21_113 FALSE
hsa-miR-223-3p 13.1574195592953 1.68911808792921 0.472787838099852 3.57267668880364 0.000353350913759011 0.0918005673945911 Inactive_ModAct 21_113 FALSE
hsa-miR-6501-3p 5.79170561109856 1.80387901735428 0.504834142059271 3.57321121348106 0.000352630102211939 0.0918005673945911 Inactive_ModAct 21_113 FALSE
hsa-miR-3196 6.10647153068019 1.7389431928452 0.505962552617875 3.43690097982117 0.000588410675598125 0.099675283990534 Inactive_ModAct 21_113 FALSE
hsa-miR-3679-5p 4.40788817599281 1.32236551699267 0.380095650182124 3.47903354421198 0.000503225592205069 0.099675283990534 Inactive_ModAct 21_113 FALSE
hsa-miR-4261-5p:Novel 7.22323027072416 1.42093053573852 0.428065399147143 3.31942394449426 0.000902033723442599 0.099675283990534 Inactive_ModAct 21_113 FALSE
hsa-miR-4270 29.0363016684306 1.91291340684103 0.57118416312806 3.34903089113162 0.000810947535670895 0.099675283990534 Inactive_ModAct 21_113 FALSE
hsa-miR-622 47.6231733964898 1.41053618960815 0.425671377218524 3.31367403377003 0.000920787842868675 0.099675283990534 Inactive_ModAct 21_113 FALSE
hsa-miR-7114-5p 4.27714767816599 1.48711523933442 0.437770497425131 3.39702023795872 0.000681239285050638 0.099675283990534 Inactive_ModAct 21_113 FALSE
hsa-miR-9902-3p:Novel 5.2817793088136 1.19430486019574 0.358335608397165 3.33292263511813 0.000859388356352304 0.099675283990534 Inactive_ModAct 21_113 FALSE
hsa-miR-3652-3p:Novel 17.7823893465287 0.902758325299473 0.280891251860002 3.21390687435653 0.00130942134045752 0.119017222768427 Inactive_ModAct 21_113 FALSE
hsa-miR-5091-3p:Novel 21.0133012846961 0.94593502496397 0.295605798619008 3.19998805633424 0.00137433282642525 0.119017222768427 Inactive_ModAct 21_113 FALSE
hsa-miR-7159-5p 7.89452063460088 1.56846148081886 0.488868062366758 3.20835334021508 0.00133497376270701 0.119017222768427 Inactive_ModAct 21_113 FALSE
hsa-miR-4326-5p:Novel 58.1352436954005 1.25594642502586 0.396218720994892 3.16983110205449 0.00152527569457221 0.123833320453081 Inactive_ModAct 21_113 FALSE
hsa-miR-182-5p 65.2924579475033 1.43390615290549 0.455034326373589 3.15120435931296 0.00162598679587263 0.124244520461091 Inactive_ModAct 21_113 FALSE
hsa-miR-6731-5p 41.3183315311111 1.12819220689881 0.360677679620281 3.12797899799777 0.00176012757895474 0.127022540281234 Inactive_ModAct 21_113 FALSE
