miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison size sig
hsa-miR-6512-5p 4.20736978342238 2.01175258438382 0.366979433942871 5.48192186894319 4.20730046701197e-08 5.46528330664855e-05 Inactive_ModAct 21_113 FALSE
hsa-miR-5701-3p:Novel 3.13702011632224 2.79528005122488 0.582547214740282 4.79837510247321 1.59958004235334e-06 0.00142042707760976 Inactive_modInact 21_93 FALSE
hsa-miR-3121-3p 3.10593462178646 2.04719156298453 0.518192951174539 3.95063568183309 7.79438953086958e-05 0.0276856716136487 Inactive_modInact 21_93 FALSE
hsa-miR-378i-3p:Novel 22.7439332719569 1.68322773440205 0.42302884521109 3.97899044818592 6.92085210783052e-05 0.0276856716136487 Inactive_modInact 21_93 TRUE
hsa-miR-9902-3p:Novel 5.2817793088136 1.460453641297 0.361956523066773 4.03488692211682 5.46285998776918e-05 0.0276856716136487 Inactive_modInact 21_93 FALSE
hsa-miR-6501-3p 5.79170561109856 1.96100118545932 0.510634869025128 3.84031977526944 0.000122874151142624 0.0363707487382167 Inactive_modInact 21_93 FALSE
hsa-miR-223-3p 13.1574195592953 1.78753765903684 0.476784859206319 3.74914937947582 0.000177435378304723 0.0450178902670268 Inactive_modInact 21_93 FALSE
hsa-miR-182-5p 65.2924579475033 1.66449260174378 0.458824048043102 3.62773618523895 0.000285917186293305 0.0634736153571137 Inactive_modInact 21_93 FALSE
hsa-miR-3679-5p 4.40788817599281 1.3716249678314 0.385443813347966 3.55856008147456 0.000372893497766174 0.0662258852032725 Inactive_modInact 21_93 FALSE
hsa-miR-6812-5p 7.29625107814925 1.3076360835879 0.366894432900765 3.56406629898792 0.000365153659618427 0.0662258852032725 Inactive_modInact 21_93 FALSE
hsa-miR-101-5p 14.3529086078657 1.87196365267526 0.531331316210602 3.52315701251322 0.000426438648880284 0.0688504582192168 Inactive_modInact 21_93 FALSE
hsa-miR-7114-5p 4.27714767816599 1.54439395559044 0.44453836234509 3.47415225863352 0.00051247014466997 0.0700113059179897 Inactive_modInact 21_93 FALSE
hsa-miR-7159-5p 7.89452063460088 1.72030721616687 0.494087180300707 3.48178881127793 0.00049807634343032 0.0700113059179897 Inactive_modInact 21_93 FALSE
hsa-miR-12121 143.524860362219 1.72900126662661 0.4524352377079 3.8215442178774 0.000132618628481366 0.0861357991986473 Inactive_ModAct 21_113 FALSE
hsa-miR-1184-5p:Novel 4.20884518572322 1.2333874829481 0.367701874551987 3.35431382951441 0.000795620711971403 0.0966545659104417 Inactive_modInact 21_93 FALSE
hsa-miR-4754 5.18000362108852 1.05591969973034 0.315464103751383 3.34719445785982 0.00081633923910846 0.0966545659104417 Inactive_modInact 21_93 FALSE
hsa-miR-6731-5p 41.3183315311111 1.20845715839513 0.363812022278647 3.32165262386398 0.000894860264535503 0.0993294893634409 Inactive_modInact 21_93 FALSE
hsa-miR-3196 6.10647153068019 1.7389431928452 0.505962552617875 3.43690097982117 0.000588410675598125 0.099675283990534 Inactive_ModAct 21_113 FALSE
hsa-miR-4261-5p:Novel 7.22323027072416 1.42093053573852 0.428065399147143 3.31942394449426 0.000902033723442599 0.099675283990534 Inactive_ModAct 21_113 FALSE
hsa-miR-4270 29.0363016684306 1.91291340684103 0.57118416312806 3.34903089113162 0.000810947535670895 0.099675283990534 Inactive_ModAct 21_113 FALSE
hsa-miR-622 47.6231733964898 1.41053618960815 0.425671377218524 3.31367403377003 0.000920787842868675 0.099675283990534 Inactive_ModAct 21_113 FALSE
hsa-miR-6076-3p:Novel 14.7699603974994 0.970225860297043 0.29741324948028 3.26221465248264 0.00110545402698116 0.115487432465796 Inactive_modInact 21_93 FALSE
