miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison size sig
hsa-miR-200c-3p 178.750743855921 1.43531878180282 0.295233956450625 4.86163176844078 1.16422042592856e-06 0.0013266291753456 F_M 99_133 TRUE
hsa-miR-4418 53.4666402823737 1.2651959816612 0.253299720347365 4.99485739631358 5.88792581127994e-07 0.0013266291753456 F_M 99_133 TRUE
hsa-miR-215-5p 406.765194128146 1.44252517345748 0.315431808157068 4.57317599605928 4.80386295175296e-06 0.00182466727784083 F_M 99_133 TRUE
hsa-miR-4330-5p:Novel 26.0499418971451 1.17895133125903 0.256397082968175 4.59814642823126 4.26266370359872e-06 0.00182466727784083 F_M 99_133 TRUE
hsa-miR-4632-5p 95.8357267411609 1.11144224712892 0.239303500721929 4.64448804040029 3.40920796029363e-06 0.00182466727784083 F_M 99_133 TRUE
hsa-miR-615-5p 37.4253998814467 -1.48018506564286 0.321180592861826 -4.60857566907738 4.0543682091427e-06 0.00182466727784083 F_M 99_133 TRUE
hsa-miR-4530-5p:Novel 16.0875927292107 -1.38762752308392 0.309769639537918 -4.47954655967523 7.48017730024681e-06 0.00213091550840781 F_M 99_133 TRUE
hsa-miR-664b-5p 10.5468091703346 1.14445401641489 0.254459228711435 4.49759288437025 6.8727138683624e-06 0.00213091550840781 F_M 99_133 FALSE
hsa-miR-3615-5p:Novel 19.3979786311632 1.02170717827509 0.229859360855006 4.44492308024634 8.79233195883376e-06 0.00222641383713135 F_M 99_133 TRUE
hsa-miR-324-5p 36.8072194859444 -1.36876752408542 0.310598982834167 -4.40686415517407 1.04877916928674e-05 0.00239016772680447 F_M 99_133 TRUE
hsa-miR-194-3p 131.235538653922 1.01854510882607 0.232911717105083 4.37309518596068 1.22497281406429e-05 0.00253792094841137 F_M 99_133 TRUE
hsa-miR-139-3p 5.61399254819257 1.31656131877149 0.308214401360442 4.27157625652874 1.94096131702241e-05 0.0036862090345784 F_M 99_133 FALSE
hsa-miR-192-5p 1159.33270247596 1.23601207227534 0.291652229587684 4.23796544954491 2.25554468687508e-05 0.00373849591420529 F_M 99_133 TRUE
hsa-miR-324-3p 31.6201984545078 -1.31206151461927 0.309893190703523 -4.23391527784336 2.2965749363262e-05 0.00373849591420529 F_M 99_133 TRUE
hsa-miR-3924-5p:Novel 2.3061188968508 1.26486103610252 0.304718248306175 4.15091988462603 3.31141672393507e-05 0.00503114580923202 F_M 99_133 FALSE
hsa-miR-1202-3p:Novel 40.7198207154566 1.02728569637654 0.251773958410907 4.08019043295955 4.49988205455262e-05 0.00640951950145339 F_M 99_133 TRUE
hsa-miR-6073-5p:Novel 4.88580679245076 1.05608591042628 0.260877826039369 4.04820113100339 5.16127854291734e-05 0.00665007075536171 F_M 99_133 FALSE
hsa-miR-874-3p 13.0448421149741 1.00459450768401 0.2484096601132 4.04410403052046 5.25235952595484e-05 0.00665007075536171 F_M 99_133 FALSE
hsa-miR-6814-3p 2.79438773255148 1.47272429414508 0.365765356538858 4.02641821544032 5.66329246317148e-05 0.006792970275562 F_M 99_133 FALSE
hsa-miR-148a-3p 259.093641831937 1.14570912065192 0.289268485761952 3.96071185436621 7.47266616088062e-05 0.00826127851220742 F_M 99_133 TRUE
hsa-miR-21-5p 320.318767078528 1.09426826972395 0.276733588115619 3.9542300491069 7.67815067466264e-05 0.00826127851220742 F_M 99_133 TRUE
hsa-miR-499b-5p 10.9885328313779 0.943838099015415 0.239239927658318 3.94515291930452 7.97490685689177e-05 0.00826127851220742 F_M 99_133 FALSE
hsa-miR-4294-3p:Novel 9.21669305020007 1.05291919582081 0.275084105260395 3.82762644473447 0.000129384920885032 0.0119491847684188 F_M 99_133 FALSE
hsa-miR-4750-5p 12.7713844020511 1.0263187342571 0.26835917787776 3.82442196452321 0.000131079253712361 0.0119491847684188 F_M 99_133 FALSE
hsa-miR-581-3p:Novel 2.01631403681703 1.08258352903479 0.281805097965439 3.84160377811037 0.00012223303612025 0.0119491847684188 F_M 99_133 FALSE
hsa-miR-10a-5p 60.1605306976451 1.10179652187398 0.291773060491352 3.77621059332389 0.000159232376779009 0.0139573302568985 F_M 99_133 TRUE
hsa-miR-5002-3p 6.33169164097057 0.925466286985083 0.248539309659525 3.72362137906025 0.000196385377061106 0.0165763805304541 F_M 99_133 FALSE
hsa-miR-221-5p 8.57803253061763 1.39397803488308 0.380482147494495 3.6637146947959 0.000248583667733326 0.0191877705535359 F_M 99_133 FALSE
hsa-miR-375-3p 113.772651655228 1.06155696116647 0.28974853991808 3.66371806900772 0.000248580391426489 0.0191877705535359 F_M 99_133 TRUE
hsa-miR-626 2.85837354263381 0.975603609561542 0.266585443576715 3.65962820952298 0.000252581446514295 0.0191877705535359 F_M 99_133 FALSE
hsa-miR-152-5p 5.79992439217647 0.916649445140803 0.25257130288884 3.62926997111874 0.000284223873344135 0.0202420689797276 F_M 99_133 FALSE
hsa-miR-4649-5p 5.24767652698459 0.845536855086868 0.232864430239481 3.63102623366439 0.000282296485059105 0.0202420689797276 F_M 99_133 FALSE
hsa-miR-27b-3p 20.9155190705001 1.20535906582091 0.335255971262831 3.5953395886749 0.000323968702062528 0.0210949906285857 F_M 99_133 TRUE
hsa-miR-3132 6.57114143181608 1.04871525271573 0.291031496934581 3.6034424581593 0.000314030292348048 0.0210949906285857 F_M 99_133 FALSE
hsa-miR-378a-3p 141.402018220342 1.03229410668659 0.287115800968905 3.59539288051371 0.000323902386940991 0.0210949906285857 F_M 99_133 TRUE
hsa-let-7g-5p 355.953910745183 1.14246521557428 0.319930540380485 3.5709789200355 0.000355649520801871 0.0219060880515531 F_M 99_133 TRUE
hsa-miR-3935 32.9184875882447 -0.690753996633675 0.193170982283113 -3.57586832385259 0.000349067328700167 0.0219060880515531 F_M 99_133 TRUE
hsa-miR-27a-3p 25.7409873937353 0.990221375471731 0.277973805858629 3.56228304466693 0.000367643699109894 0.0220489471124066 F_M 99_133 TRUE
hsa-miR-196b-5p 4.55488076314797 1.13420363637815 0.319117408265309 3.55418916988443 0.000379146392716163 0.0221557597179522 F_M 99_133 FALSE
hsa-miR-675-3p 1.94549173813377 -1.57534458885494 0.444247709607791 -3.54609501587695 0.000390985204107418 0.0222763820040202 F_M 99_133 FALSE
hsa-miR-4257-5p:Novel 5.70818450130876 0.940925011874066 0.267164683423922 3.52189144094715 0.000428479567631568 0.0238171935276181 F_M 99_133 FALSE
hsa-miR-194-1-3p:Novel 157.231022357852 0.934525166721087 0.266516598592253 3.50644264431285 0.000454139299140773 0.0246424633986148 F_M 99_133 TRUE
hsa-miR-30b-5p 5.0692850619443 1.24744562728582 0.357729756585982 3.48711731221609 0.000488257135247645 0.0252895002552133 F_M 99_133 FALSE
hsa-miR-665-5p:Novel 2.41598749662985 0.971535218193278 0.278442023770284 3.4891831521624 0.000484499060510368 0.0252895002552133 F_M 99_133 FALSE
hsa-miR-4648 5.77670537366463 0.900859237917051 0.26157466410353 3.44398507020731 0.000573207353537254 0.0283986860589435 F_M 99_133 FALSE
hsa-miR-4693-3p 189.070431029577 0.714847871743888 0.207476372782314 3.44544230341791 0.00057012566315359 0.0283986860589435 F_M 99_133 TRUE
hsa-miR-22-3p 42.7239627643641 1.00727805848833 0.293536689821066 3.43152353152973 0.000600201056123939 0.0291033661043927 F_M 99_133 TRUE
hsa-miR-3920 33.1548344059348 0.670819013025608 0.196687311536743 3.41058611144976 0.000648234108705247 0.0307776152862345 F_M 99_133 TRUE
hsa-miR-6720-5p 6.94436697072328 0.71753786603019 0.21227143478196 3.38028461892307 0.000724108027332949 0.0336784121284039 F_M 99_133 FALSE
hsa-let-7b-5p 319.033725136674 0.977412795579747 0.290003219351241 3.37035153529086 0.00075072346889947 0.0342179757124378 F_M 99_133 TRUE
hsa-miR-203a-3p 12.6215031280467 0.915390043825072 0.272466784146044 3.35963903524628 0.000780443698336085 0.0348751213432929 F_M 99_133 FALSE
hsa-miR-1268b-3p:Novel 8.80378561310489 0.809060253973583 0.241635603639762 3.34826590861071 0.000813189469541496 0.035639592328559 F_M 99_133 FALSE
hsa-miR-200b-3p 167.235143518842 0.923093245598892 0.278131034071878 3.31891494481818 0.000903679501465223 0.0378471985414797 F_M 99_133 TRUE
hsa-miR-3196 6.2039126905379 -0.98254582018802 0.296372607234375 -3.31523830544504 0.000915650297418161 0.0378471985414797 F_M 99_133 FALSE
hsa-miR-4326 45.1018873286661 0.904731059751012 0.273258938951216 3.31089282284204 0.000929988204617316 0.0378471985414797 F_M 99_133 TRUE
hsa-miR-4715-5p 2.01915614223948 0.814769186270162 0.245342930391682 3.32094014271945 0.000897147759860994 0.0378471985414797 F_M 99_133 FALSE
hsa-miR-27a-5p 2.68302329790726 0.867585724459362 0.268266719759319 3.23404157339283 0.00122051687693759 0.0475409950415961 F_M 99_133 FALSE
hsa-miR-4274-5p:Novel 7.8699785477557 0.670205481422368 0.207387870461605 3.2316522655381 0.00123076731349459 0.0475409950415961 F_M 99_133 FALSE
hsa-miR-429-5p:Novel 7.7659698563222 0.792131064012163 0.244964901764473 3.23365126312575 0.00122218595156643 0.0475409950415961 F_M 99_133 FALSE
hsa-miR-30d-5p 45.6476519081401 0.89427145493734 0.277397474653096 3.22379090168605 0.00126505735500978 0.0480510952011216 F_M 99_133 TRUE
hsa-miR-4700-5p 183.56663075976 0.85304368035036 0.26920576650166 3.16874222805737 0.00153100113526068 0.0571992063485096 F_M 99_133 FALSE
hsa-miR-340-5p 2.60138263611879 1.02158182960707 0.324703660135593 3.14619745641446 0.0016540829323262 0.0579946923503294 F_M 99_133 FALSE
hsa-miR-342-5p 7.17632392126542 0.89625027342843 0.284483411197703 3.1504482797613 0.00163020117470461 0.0579946923503294 F_M 99_133 FALSE
hsa-miR-6781-5p 10.7644110577269 0.573392493280019 0.18165990233124 3.15640648223234 0.00159726097230174 0.0579946923503294 F_M 99_133 FALSE
hsa-miR-6857-5p 1.65673002747571 0.938235995019861 0.297933717537501 3.14914338254369 0.00163749831074198 0.0579946923503294 F_M 99_133 FALSE
hsa-miR-146a-5p 19.7727067861518 0.778462524118699 0.248181856436025 3.13666170161543 0.00170883176370884 0.0581257849177978 F_M 99_133 FALSE
hsa-miR-26b-5p 39.4860811351517 1.11545195731706 0.35512987810801 3.14096905408168 0.0016838982402957 0.0581257849177978 F_M 99_133 FALSE
hsa-miR-4698 62.3178029379821 0.748800852214545 0.239649769767046 3.12456320297084 0.00178069262755769 0.058368036623096 F_M 99_133 FALSE
hsa-miR-601-3p:Novel 8.28012104582213 0.731217588375717 0.234485351723916 3.11839346466578 0.0018183986837384 0.058368036623096 F_M 99_133 FALSE
hsa-miR-6130-5p:Novel 6.12211588554492 0.767359547497149 0.245956873342032 3.11989470784191 0.00180915696037383 0.058368036623096 F_M 99_133 FALSE
hsa-miR-663b 6.72171787344625 0.58236578518424 0.18650198284581 3.12257154748703 0.00179278524326442 0.058368036623096 F_M 99_133 FALSE
hsa-miR-1255a 2.94023187497601 0.909231206823028 0.292844913282914 3.10482158160156 0.00190393834137397 0.0586361551350171 F_M 99_133 FALSE
hsa-miR-29a-3p 8.37250508382688 1.0226713064796 0.329045444611271 3.10799411822208 0.0018836181680483 0.0586361551350171 F_M 99_133 FALSE
hsa-miR-3141-3p:Novel 24.0856491745631 0.475677917044989 0.153110635258025 3.10675947652733 0.00189150228322379 0.0586361551350171 F_M 99_133 FALSE
hsa-let-7i-5p 389.310207941621 0.962624159609547 0.310940577494797 3.09584605317604 0.00196252223197954 0.058849844298439 F_M 99_133 FALSE
hsa-miR-3158-3p 2.6507625690793 0.856529934303585 0.276631720575022 3.09628242387805 0.00195963616708234 0.058849844298439 F_M 99_133 FALSE
hsa-miR-1199-5p 3.44388500316003 0.794800523041465 0.259126238806311 3.06723289275061 0.00216050454973997 0.0611130163689883 F_M 99_133 FALSE
hsa-miR-12135-5p:Novel 1.44403387727289 1.01321356141083 0.330136455727789 3.06907505618302 0.00214722637925455 0.0611130163689883 F_M 99_133 FALSE
hsa-miR-30e-5p 11.4722637007087 0.86748836826608 0.282268509981912 3.07327362985574 0.00211724252446886 0.0611130163689883 F_M 99_133 FALSE
hsa-miR-3187-3p 2.93962169341411 -1.03633800096052 0.337471058463295 -3.07089445145186 0.00213418579878558 0.0611130163689883 F_M 99_133 FALSE
hsa-miR-8080-3p:Novel 8.52643317676863 0.626273191152268 0.204288152566875 3.06563637334404 0.00217207298196053 0.0611130163689883 F_M 99_133 FALSE
hsa-miR-148b-3p 6.04862874154758 1.1259519907776 0.368110265854989 3.05873564314326 0.00222273194651549 0.0617756842208392 F_M 99_133 FALSE
hsa-miR-1281-5p:Novel 322.245891083263 1.32291349572273 0.433754972643369 3.04990969362424 0.00228910184843043 0.062853772440638 F_M 99_133 FALSE
hsa-miR-4324-5p:Novel 13.3122880352564 -0.920123207603843 0.3022853738875 -3.04388927512676 0.00233541078593893 0.0633619188232716 F_M 99_133 FALSE
hsa-miR-6126 9.38844404076913 -0.754185194254106 0.249614346488212 -3.02140163361853 0.00251607376402489 0.067460377743679 F_M 99_133 FALSE
hsa-miR-1257-3p:Novel 14.3895825866243 0.583982062549487 0.194057988680739 3.00931730004811 0.002618355045049 0.0685888637662836 F_M 99_133 FALSE
hsa-miR-6131-5p:Novel 104.914643858443 0.734313957186657 0.244011800051841 3.00933789689946 0.00261817752636847 0.0685888637662836 F_M 99_133 FALSE
hsa-miR-4800-3p 24.4473182193546 0.803427895894636 0.267703529297109 3.00118529630201 0.0026893086158002 0.0696469810841894 F_M 99_133 FALSE
hsa-miR-4803 2.94399069484902 0.829323803748957 0.276759903695496 2.99654607721434 0.00273056968589575 0.0699209922938922 F_M 99_133 FALSE
hsa-miR-3682-3p 12.2168544120071 0.698937284327145 0.233531147278417 2.99290819435691 0.00276332859278704 0.0699736206995739 F_M 99_133 FALSE
hsa-miR-1303-5p:Novel 4.56500414478513 0.645007769558255 0.215827716495281 2.98853075977551 0.00280322281931099 0.0702037890682389 F_M 99_133 FALSE
hsa-miR-378d 8.47637211354443 0.769322675206221 0.258200646297832 2.97955363875742 0.00288668685063136 0.0710831094896719 F_M 99_133 FALSE
hsa-miR-762-5p:Novel 7.74300815741347 0.60003823520829 0.201485730526129 2.97806814230189 0.00290071486728367 0.0710831094896719 F_M 99_133 FALSE
hsa-miR-25-3p 34.4741646458865 1.00343579053558 0.339074933287382 2.95933344528631 0.00308305307454504 0.0747476378392355 F_M 99_133 FALSE
hsa-miR-8055-5p:Novel 1.73710337269456 0.776871534979104 0.263064318993359 2.95316194135289 0.00314536909568968 0.0754557491481766 F_M 99_133 FALSE
hsa-miR-147b-3p 2.14874590489305 0.853747308063425 0.290876447260853 2.93508572489473 0.00333455550298498 0.076336028767497 F_M 99_133 FALSE
hsa-miR-4635 4.98045068877372 0.696165021696395 0.237435129069067 2.93202199870723 0.00336762891358394 0.076336028767497 F_M 99_133 FALSE
hsa-miR-4675 36.7739397025859 -0.591175342208345 0.201230008368462 -2.93780906238334 0.00330540527365099 0.076336028767497 F_M 99_133 FALSE
hsa-miR-6076 2.70127588724226 0.610120357717427 0.208189278165298 2.93060412665922 0.00338303593923528 0.076336028767497 F_M 99_133 FALSE
hsa-miR-660-3p 2.80107708227053 -0.984417615016143 0.335516105263929 -2.93403982572391 0.00334581274772352 0.076336028767497 F_M 99_133 FALSE
hsa-miR-7110-5p 11.3079983987357 -0.679733147318206 0.231128176848276 -2.94093587630563 0.00327222265010354 0.076336028767497 F_M 99_133 FALSE
hsa-miR-12119 11.9011519651917 0.657139363889651 0.226644614683027 2.89942633231631 0.0037384618354598 0.0818885412297059 F_M 99_133 FALSE
hsa-miR-23a-3p 4.84450613193676 1.07881354276124 0.373382278642995 2.88930033498652 0.00386100116067329 0.0818885412297059 F_M 99_133 FALSE
hsa-miR-3159 11.4881695326355 0.72940468794949 0.252306117760074 2.8909512556612 0.00384077687138822 0.0818885412297059 F_M 99_133 FALSE
hsa-miR-361-3p 9.95348427555301 0.793486444910219 0.273448063618321 2.9017811807136 0.00371047621246933 0.0818885412297059 F_M 99_133 FALSE
hsa-miR-551a-5p:Novel 4.95800251996697 0.886639865728485 0.30644492793139 2.89330899262589 0.00381206072517714 0.0818885412297059 F_M 99_133 FALSE
hsa-miR-8072-3p:Novel 23.83188046433 0.463293892589283 0.159970280113074 2.89612478181452 0.00377802141599786 0.0818885412297059 F_M 99_133 FALSE
hsa-miR-9901 20.9211710753965 0.50513161903081 0.174924921421151 2.8877052790817 0.00388063293234236 0.0818885412297059 F_M 99_133 FALSE
hsa-miR-4501-3p:Novel 2.65866261201639 0.718628249167123 0.251833501004438 2.85358479432194 0.00432289896209957 0.0898154736661544 F_M 99_133 FALSE
hsa-miR-941-5p:Novel 6.60526941837705 0.9735764927515 0.341283796314012 2.85268888610147 0.00433510403829617 0.0898154736661544 F_M 99_133 FALSE
hsa-miR-1193-3p:Novel 16.7696017756563 0.708811758482237 0.249254401360092 2.84372815330243 0.00445890731709 0.09154819617701 F_M 99_133 FALSE
hsa-miR-6720-3p 11.1203085575026 0.473470514960575 0.167186963416954 2.83198226275435 0.0046260414733535 0.0941316831943985 F_M 99_133 FALSE
hsa-miR-3178 6.20338406933413 0.676315143849881 0.239189241809239 2.82753161778599 0.00469083829553985 0.0946054909339408 F_M 99_133 FALSE
hsa-miR-423-3p 13.1627268863692 0.872156760276707 0.310195774759763 2.81163326918997 0.00492906667311918 0.097469092203148 F_M 99_133 FALSE
hsa-miR-4273 2.96368583017526 0.732579796461939 0.260715381949791 2.80988329489136 0.00495594673581572 0.097469092203148 F_M 99_133 FALSE
hsa-miR-6734-5p 4.83476657538062 -0.629035259085971 0.223892069476774 -2.80954685244546 0.00496112974794435 0.097469092203148 F_M 99_133 FALSE
hsa-miR-544b 7.33486888797691 -0.669897686313811 0.238683399796476 -2.80663710540837 0.00500616034633099 0.0975131575152848 F_M 99_133 FALSE
hsa-miR-4654 27.3818947491139 0.597865017304658 0.213672023153992 2.7980500604601 0.00514121436941346 0.0987918586445697 F_M 99_133 FALSE
hsa-miR-7844-5p 2.95397389738781 0.737219271273318 0.26357825053048 2.79696549237119 0.0051585042469082 0.0987918586445697 F_M 99_133 FALSE
hsa-miR-6877-5p 3.55488416126476 0.609936227129556 0.218283635447856 2.79423707543692 0.00520223249638989 0.098799065493938 F_M 99_133 FALSE
hsa-miR-6894-5p 5.30916105232708 0.583211299537833 0.209099903452065 2.78915145301122 0.00528463454028884 0.0995345629530436 F_M 99_133 FALSE
hsa-miR-12135 2.17459686607976 0.771644852095763 0.277133881142286 2.78437572813259 0.00536308681471313 0.100184220087961 F_M 99_133 FALSE
hsa-miR-4435 1.65068578901347 0.702951190430008 0.253100625935947 2.77735856175996 0.00548026856933908 0.10154091113434 F_M 99_133 FALSE
hsa-let-7a-5p 14.2545033059458 0.621173651746335 0.224377722916151 2.76842836121688 0.00563273675108511 0.103524250449379 F_M 99_133 FALSE
hsa-miR-320b-2-5p:Novel 5.31585312094722 0.774336172890694 0.281909818439592 2.746751344727 0.00601887477376142 0.108007996924427 F_M 99_133 FALSE
hsa-miR-3929 10.0927551907932 0.530511189620771 0.19305222014072 2.74801910713106 0.00599565149814716 0.108007996924427 F_M 99_133 FALSE
hsa-miR-6791-5p 11.6338074369216 -0.656004509333225 0.238605713208062 -2.74932440012949 0.00597182510975238 0.108007996924427 F_M 99_133 FALSE
hsa-miR-6846-5p 28.2036537066571 0.843787331183036 0.307750924891993 2.74178649984291 0.00611060452158031 0.108797403942825 F_M 99_133 FALSE
hsa-miR-6799-5p 8.38265712676302 0.657351433079559 0.240047805852648 2.73841883596749 0.00617353968084522 0.109065867694932 F_M 99_133 FALSE
hsa-miR-28-5p 2.4667065107805 1.07291564507946 0.393926815675102 2.72364206341404 0.0064566440293214 0.113189936483257 F_M 99_133 FALSE
hsa-miR-1255b-5p 20.7412319271902 -0.630441778911471 0.2324760925712 -2.71185639752778 0.00669075716492409 0.116398744876809 F_M 99_133 FALSE
hsa-miR-7974-5p:Novel 1.84619582868662 0.631483575152123 0.233839500047242 2.70050002255627 0.00692353323318684 0.119535850291158 F_M 99_133 FALSE
hsa-miR-12126 4.87583934866324 0.531451730434452 0.197703075752119 2.68813081644106 0.00718532412034856 0.122109235983341 F_M 99_133 FALSE
hsa-miR-186-5p 8.10023760481085 0.88658907974044 0.330501943856693 2.68255329876326 0.00730625084862056 0.122109235983341 F_M 99_133 FALSE
hsa-miR-425-5p 5.09312207236108 0.93586845535812 0.348304894776206 2.68692306480343 0.00721135606063562 0.122109235983341 F_M 99_133 FALSE
hsa-miR-4512 6.69832794787846 0.712496987935074 0.265523555770832 2.68336639989115 0.00728850897597545 0.122109235983341 F_M 99_133 FALSE
hsa-miR-513a-5p 4.81734493275041 0.740803359952315 0.276317157861032 2.68098935906429 0.007340485006458 0.122109235983341 F_M 99_133 FALSE
hsa-miR-3160-3p 18.1121743271953 0.443286547852084 0.165549000573507 2.67767577162301 0.00741349429525546 0.122430097818023 F_M 99_133 FALSE
hsa-miR-3164-3p:Novel 10.9627216158745 0.557611655614769 0.209596600620034 2.66040409990061 0.00780469496000521 0.127393283395003 F_M 99_133 FALSE
hsa-miR-6511b-5p 14.1423299016481 0.43455732974551 0.163398538341438 2.65949337219565 0.00782582697468207 0.127393283395003 F_M 99_133 FALSE
hsa-miR-200a-3p 88.9301496559487 0.680580720709636 0.256345795047922 2.65493225891381 0.0079324336298348 0.128212881151727 F_M 99_133 FALSE
hsa-miR-6855-5p 12.8297828411131 0.741602621391189 0.279986563881247 2.64870789194632 0.00808001365215417 0.128771686106709 F_M 99_133 FALSE
hsa-miR-8082 1.76901603775404 -0.976140814319157 0.368439847161554 -2.64938991219139 0.00806372386977331 0.128771686106709 F_M 99_133 FALSE
