miRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	size	sig	male	female	male_mean	female_mean
hsa-miR-200c-3p	178.750743855921	-1.43531878180282	0.295233956450625	-4.86163176844078	1.16422042592856e-06	0.0013266291753456	M_F	99_133	TRUE	0	0	0.325093357630918	0.582278436914599
hsa-miR-4418	53.4666402823737	-1.2651959816612	0.253299720347365	-4.99485739631358	5.88792581127994e-07	0.0013266291753456	M_F	99_133	TRUE	0	0	1.49312872273951	1.81692942651537
hsa-miR-215-5p	406.765194128146	-1.44252517345748	0.315431808157068	-4.57317599605928	4.80386295175296e-06	0.00182466727784083	M_F	99_133	TRUE	0	0	0.682692876822568	0.485924730541261
hsa-miR-4330-5p:Novel	26.0499418971451	-1.17895133125903	0.256397082968175	-4.59814642823126	4.26266370359872e-06	0.00182466727784083	M_F	99_133	TRUE	15.5160190918648	18.8565553387618	153.022222118378	818.332832506807
hsa-miR-4632-5p	95.8357267411609	-1.11144224712892	0.239303500721929	-4.64448804040029	3.40920796029363e-06	0.00182466727784083	M_F	99_133	TRUE	4.30690809738007	7.21253007391495	9.49568561109344	17.7967811389562
hsa-miR-615-5p	37.4253998814467	1.48018506564286	0.321180592861826	4.60857566907738	4.0543682091427e-06	0.00182466727784083	M_F	99_133	TRUE	0	0	0.292749318681147	0.602580585170954
hsa-miR-4530-5p:Novel	16.0875927292107	1.38762752308392	0.309769639537918	4.47954655967523	7.48017730024681e-06	0.00213091550840781	M_F	99_133	TRUE	9.43111016059956	14.3133391898561	82.6320113197677	495.001918128207
hsa-miR-664b-5p	10.5468091703346	-1.14445401641489	0.254459228711435	-4.49759288437025	6.8727138683624e-06	0.00213091550840781	M_F	99_133	FALSE	0.399335697821725	0.277223932012761	2.37527493206753	5.32005835474105
hsa-miR-3615-5p:Novel	19.3979786311632	-1.02170717827509	0.229859360855006	-4.44492308024634	8.79233195883376e-06	0.00222641383713135	M_F	99_133	TRUE	2.89301488318206	2.95860642633121	7.09816396884956	36.0195535068772
hsa-miR-324-5p	36.8072194859444	1.36876752408542	0.310598982834167	4.40686415517407	1.04877916928674e-05	0.00239016772680447	M_F	99_133	TRUE	0.764370929317535	1.43176868179089	3.84533091546367	5.70447914936707
hsa-miR-194-3p	131.235538653922	-1.01854510882607	0.232911717105083	-4.37309518596068	1.22497281406429e-05	0.00253792094841137	M_F	99_133	TRUE	3.34114338072032	3.94742227895745	15.8646095138062	95.3622590478652
hsa-miR-139-3p	5.61399254819257	-1.31656131877149	0.308214401360442	-4.27157625652874	1.94096131702241e-05	0.0036862090345784	M_F	99_133	FALSE	0	0	0.0638166422894118	0.0878098399470666
hsa-miR-192-5p	1159.33270247596	-1.23601207227534	0.291652229587684	-4.23796544954491	2.25554468687508e-05	0.00373849591420529	M_F	99_133	TRUE	2.09774884319636	2.24781756080048	4.60663266125637	8.69595426557551
hsa-miR-324-3p	31.6201984545078	1.31206151461927	0.309893190703523	4.23391527784336	2.2965749363262e-05	0.00373849591420529	M_F	99_133	TRUE	0	0	0.0959855511116755	0.144478481549419
hsa-miR-3924-5p:Novel	2.3061188968508	-1.26486103610252	0.304718248306175	-4.15091988462603	3.31141672393507e-05	0.00503114580923202	M_F	99_133	FALSE	0	0	0.517580589010077	0.545066242750837
hsa-miR-1202-3p:Novel	40.7198207154566	-1.02728569637654	0.251773958410907	-4.08019043295955	4.49988205455262e-05	0.00640951950145339	M_F	99_133	TRUE	0.615156600840658	1.00638729322663	1.69701079966188	2.12353198835662
hsa-miR-6073-5p:Novel	4.88580679245076	-1.05608591042628	0.260877826039369	-4.04820113100339	5.16127854291734e-05	0.00665007075536171	M_F	99_133	FALSE	0	0.343570426910072	3.43204576580348	2.85462016382877
hsa-miR-874-3p	13.0448421149741	-1.00459450768401	0.2484096601132	-4.04410403052046	5.25235952595484e-05	0.00665007075536171	M_F	99_133	FALSE	6.3017532384341	8.52511554175741	83.5734372138902	558.703285779754
hsa-miR-6814-3p	2.79438773255148	-1.47272429414508	0.365765356538858	-4.02641821544032	5.66329246317148e-05	0.006792970275562	M_F	99_133	FALSE	0	0	0.315597177456887	0.305871477102033
hsa-miR-148a-3p	259.093641831937	-1.14570912065192	0.289268485761952	-3.96071185436621	7.47266616088062e-05	0.00826127851220742	M_F	99_133	TRUE	6.78870686296933	8.54349928692107	77.7386609244041	621.231885796542
hsa-miR-21-5p	320.318767078528	-1.09426826972395	0.276733588115619	-3.9542300491069	7.67815067466264e-05	0.00826127851220742	M_F	99_133	TRUE	3.99679198832642	3.80399894904697	7.39863262684022	9.35292256126358
hsa-miR-499b-5p	10.9885328313779	-0.943838099015415	0.239239927658318	-3.94515291930452	7.97490685689177e-05	0.00826127851220742	M_F	99_133	FALSE	1.08240400136821	1.13183131793363	1.63388438901842	1.88865945116858
hsa-miR-4294-3p:Novel	9.21669305020007	-1.05291919582081	0.275084105260395	-3.82762644473447	0.000129384920885032	0.0119491847684188	M_F	99_133	FALSE	7.31958632117258	6.13217283058492	12.8453474375926	11.1927141287896
hsa-miR-4750-5p	12.7713844020511	-1.0263187342571	0.26835917787776	-3.82442196452321	0.000131079253712361	0.0119491847684188	M_F	99_133	FALSE	0	0	0.207100947894809	0.251234745165682
hsa-miR-581-3p:Novel	2.01631403681703	-1.08258352903479	0.281805097965439	-3.84160377811037	0.00012223303612025	0.0119491847684188	M_F	99_133	FALSE	0.399335697821725	0.503732307132171	4.32388828425616	10.591806244494
hsa-miR-10a-5p	60.1605306976451	-1.10179652187398	0.291773060491352	-3.77621059332389	0.000159232376779009	0.0139573302568985	M_F	99_133	TRUE	0	0.57423660626133	0.968762865361769	1.29074886824892
hsa-miR-5002-3p	6.33169164097057	-0.925466286985083	0.248539309659525	-3.72362137906025	0.000196385377061106	0.0165763805304541	M_F	99_133	FALSE	1.55274068139614	2.24566383081499	2.69965712935914	3.14564840871836
hsa-miR-221-5p	8.57803253061763	-1.39397803488308	0.380482147494495	-3.6637146947959	0.000248583667733326	0.0191877705535359	M_F	99_133	FALSE	1.41813930911958	1.34739829848899	6.87182820072398	21.9685035519093
hsa-miR-375-3p	113.772651655228	-1.06155696116647	0.28974853991808	-3.66371806900772	0.000248580391426489	0.0191877705535359	M_F	99_133	TRUE	1.02041786027268	1.6019061162977	2.35259681166425	2.68611908776599
hsa-miR-626	2.85837354263381	-0.975603609561542	0.266585443576715	-3.65962820952298	0.000252581446514295	0.0191877705535359	M_F	99_133	FALSE	5.6705914708929	5.84069725747122	8.016899975582	12.171367187012
hsa-miR-152-5p	5.79992439217647	-0.916649445140803	0.25257130288884	-3.62926997111874	0.000284223873344135	0.0202420689797276	M_F	99_133	FALSE	0	0.436118908038566	1.34699178889374	1.20773058337122
hsa-miR-4649-5p	5.24767652698459	-0.845536855086868	0.232864430239481	-3.63102623366439	0.000282296485059105	0.0202420689797276	M_F	99_133	FALSE	92.3082516932805	72.7328567078904	128.033508764722	134.011329473962
hsa-miR-27b-3p	20.9155190705001	-1.20535906582091	0.335255971262831	-3.5953395886749	0.000323968702062528	0.0210949906285857	M_F	99_133	TRUE	0	0	0.313350980438599	0.265046605559405
hsa-miR-3132	6.57114143181608	-1.04871525271573	0.291031496934581	-3.6034424581593	0.000314030292348048	0.0210949906285857	M_F	99_133	FALSE	0	0	0.207808867194289	0.062065723743089
hsa-miR-378a-3p	141.402018220342	-1.03229410668659	0.287115800968905	-3.59539288051371	0.000323902386940991	0.0210949906285857	M_F	99_133	TRUE	0.847932749908562	0.666674446649729	2.05097638166914	2.58988236291596
hsa-let-7g-5p	355.953910745183	-1.14246521557428	0.319930540380485	-3.5709789200355	0.000355649520801871	0.0219060880515531	M_F	99_133	TRUE	0	0	0.977040842509922	0.546950090252943
hsa-miR-3935	32.9184875882447	0.690753996633675	0.193170982283113	3.57586832385259	0.000349067328700167	0.0219060880515531	M_F	99_133	TRUE	0	0	0.97336807986761	1.3438098929646
hsa-miR-27a-3p	25.7409873937353	-0.990221375471731	0.277973805858629	-3.56228304466693	0.000367643699109894	0.0220489471124066	M_F	99_133	TRUE	1.20823507271654	1.6019061162977	1.86479547943866	3.07306592550794
hsa-miR-196b-5p	4.55488076314797	-1.13420363637815	0.319117408265309	-3.55418916988443	0.000379146392716163	0.0221557597179522	M_F	99_133	FALSE	0.67417667426861	0.403984454946311	1.08062835640304	1.16171437702536
hsa-miR-675-3p	1.94549173813377	1.57534458885494	0.444247709607791	3.54609501587695	0.000390985204107418	0.0222763820040202	M_F	99_133	FALSE	2.34332664049519	2.27043116721362	4.34973940757124	4.69627366004693
hsa-miR-4257-5p:Novel	5.70818450130876	-0.940925011874066	0.267164683423922	-3.52189144094715	0.000428479567631568	0.0238171935276181	M_F	99_133	FALSE	0.577645256543419	0.684277130161492	0.944223270430136	1.43581712814023
hsa-miR-194-1-3p:Novel	157.231022357852	-0.934525166721087	0.266516598592253	-3.50644264431285	0.000454139299140773	0.0246424633986148	M_F	99_133	TRUE	1.26079755194288	1.276072339263	3.42561947178105	3.58331122546689
hsa-miR-30b-5p	5.0692850619443	-1.24744562728582	0.357729756585982	-3.48711731221609	0.000488257135247645	0.0252895002552133	M_F	99_133	FALSE	13.2244551747092	12.6374406816912	16.9196107926058	24.8462011007859
hsa-miR-665-5p:Novel	2.41598749662985	-0.971535218193278	0.278442023770284	-3.4891831521624	0.000484499060510368	0.0252895002552133	M_F	99_133	FALSE	0.61240340838379	1.23408967730791	2.12661676773021	3.103994885706
hsa-miR-4648	5.77670537366463	-0.900859237917051	0.26157466410353	-3.44398507020731	0.000573207353537254	0.0283986860589435	M_F	99_133	FALSE	0.164860048544052	0.969403313400173	1.10703641670954	1.69229623068232
hsa-miR-4693-3p	189.070431029577	-0.714847871743888	0.207476372782314	-3.44544230341791	0.00057012566315359	0.0283986860589435	M_F	99_133	TRUE	0	0	0.357744719780266	0.713738076360921
hsa-miR-22-3p	42.7239627643641	-1.00727805848833	0.293536689821066	-3.43152353152973	0.000600201056123939	0.0291033661043927	M_F	99_133	TRUE	0	0	0.193954761853047	0.457457632683151
hsa-miR-3920	33.1548344059348	-0.670819013025608	0.196687311536743	-3.41058611144976	0.000648234108705247	0.0307776152862345	M_F	99_133	TRUE	0	0	0.985997819768812	0.565477559272163
hsa-miR-6720-5p	6.94436697072328	-0.71753786603019	0.21227143478196	-3.38028461892307	0.000724108027332949	0.0336784121284039	M_F	99_133	FALSE	0	0	0.764171288177627	0.603453490709143
hsa-let-7b-5p	319.033725136674	-0.977412795579747	0.290003219351241	-3.37035153529086	0.00075072346889947	0.0342179757124378	M_F	99_133	TRUE	0	0	0.282309750537354	0.288010992433696
hsa-miR-203a-3p	12.6215031280467	-0.915390043825072	0.272466784146044	-3.35963903524628	0.000780443698336085	0.0348751213432929	M_F	99_133	FALSE	1.04887442159818	1.00638729322663	1.98792282219884	1.61051164110477
hsa-miR-1268b-3p:Novel	8.80378561310489	-0.809060253973583	0.241635603639762	-3.34826590861071	0.000813189469541496	0.035639592328559	M_F	99_133	FALSE	0.68610225332903	0.986123762983948	4.49489397081827	25.7714160236965
hsa-miR-200b-3p	167.235143518842	-0.923093245598892	0.278131034071878	-3.31891494481818	0.000903679501465223	0.0378471985414797	M_F	99_133	TRUE	0	0	0.107304878306687	0.321292776120535
hsa-miR-3196	6.2039126905379	0.98254582018802	0.296372607234375	3.31523830544504	0.000915650297418161	0.0378471985414797	M_F	99_133	FALSE	0.764370929317535	1.29250648746689	2.28461606787744	5.19401329222146
hsa-miR-4326	45.1018873286661	-0.904731059751012	0.273258938951216	-3.31089282284204	0.000929988204617316	0.0378471985414797	M_F	99_133	TRUE	28.9976417451971	38.6254178900178	75.4683688452538	98.7425810198637
hsa-miR-4715-5p	2.01915614223948	-0.814769186270162	0.245342930391682	-3.32094014271945	0.000897147759860994	0.0378471985414797	M_F	99_133	FALSE	0	0.277223932012761	0.812856557503418	1.13098413807908
hsa-miR-27a-5p	2.68302329790726	-0.867585724459362	0.268266719759319	-3.23404157339283	0.00122051687693759	0.0475409950415961	M_F	99_133	FALSE	33.2198336780714	37.5028189292731	82.813440468429	76.0518710476
hsa-miR-4274-5p:Novel	7.8699785477557	-0.670205481422368	0.207387870461605	-3.2316522655381	0.00123076731349459	0.0475409950415961	M_F	99_133	FALSE	2.54379824972569	2.93128385262629	8.05990977585524	7.64412881426339
hsa-miR-429-5p:Novel	7.7659698563222	-0.792131064012163	0.244964901764473	-3.23365126312575	0.00122218595156643	0.0475409950415961	M_F	99_133	FALSE	1.65635814340217	1.74509921221297	2.8288879116045	4.06673140264325
hsa-miR-30d-5p	45.6476519081401	-0.89427145493734	0.277397474653096	-3.22379090168605	0.00126505735500978	0.0480510952011216	M_F	99_133	TRUE	4.55670284964697	3.68262957697052	8.7308750762785	7.57239550418643
hsa-miR-4700-5p	183.56663075976	-0.85304368035036	0.26920576650166	-3.16874222805737	0.00153100113526068	0.0571992063485096	M_F	99_133	FALSE	0	0	0.499476760944865	0.941958396512655
hsa-miR-340-5p	2.60138263611879	-1.02158182960707	0.324703660135593	-3.14619745641446	0.0016540829323262	0.0579946923503294	M_F	99_133	FALSE	8.35477951100411	9.43315995055805	12.9853182277578	14.9510598280657
hsa-miR-342-5p	7.17632392126542	-0.89625027342843	0.284483411197703	-3.1504482797613	0.00163020117470461	0.0579946923503294	M_F	99_133	FALSE	0.828179071701083	0.573800646364247	1.92039183056886	2.12757837709177
hsa-miR-6781-5p	10.7644110577269	-0.573392493280019	0.18165990233124	-3.15640648223234	0.00159726097230174	0.0579946923503294	M_F	99_133	FALSE	0.293980829009482	0.666073305912009	3.48478559293893	4.06118690627626
hsa-miR-6857-5p	1.65673002747571	-0.938235995019861	0.297933717537501	-3.14914338254369	0.00163749831074198	0.0579946923503294	M_F	99_133	FALSE	0	0	2.89242299552858	2.80055150032735
hsa-miR-146a-5p	19.7727067861518	-0.778462524118699	0.248181856436025	-3.13666170161543	0.00170883176370884	0.0581257849177978	M_F	99_133	FALSE	0	0	0.35018949722709	0.668044401561217
hsa-miR-26b-5p	39.4860811351517	-1.11545195731706	0.35512987810801	-3.14096905408168	0.0016838982402957	0.0581257849177978	M_F	99_133	FALSE	0	0	0.247954151283278	0.51016427530442
hsa-miR-4698	62.3178029379821	-0.748800852214545	0.239649769767046	-3.12456320297084	0.00178069262755769	0.058368036623096	M_F	99_133	FALSE	2.49562737200755	2.37289654555498	3.32922758069294	4.32314332241697
hsa-miR-601-3p:Novel	8.28012104582213	-0.731217588375717	0.234485351723916	-3.11839346466578	0.0018183986837384	0.058368036623096	M_F	99_133	FALSE	2.10058441281137	2.08536069151727	3.15303108493019	4.00767419720833
hsa-miR-6130-5p:Novel	6.12211588554492	-0.767359547497149	0.245956873342032	-3.11989470784191	0.00180915696037383	0.058368036623096	M_F	99_133	FALSE	5.37384006109376	4.55805613589292	9.68893319387607	9.8679529929655
hsa-miR-663b	6.72171787344625	-0.58236578518424	0.18650198284581	-3.12257154748703	0.00179278524326442	0.058368036623096	M_F	99_133	FALSE	4.28089437374607	3.89653090954852	8.83372115111611	9.1203273248774
hsa-miR-1255a	2.94023187497601	-0.909231206823028	0.292844913282914	-3.10482158160156	0.00190393834137397	0.0586361551350171	M_F	99_133	FALSE	0	0	0.367973896935041	0.397363852443428
hsa-miR-29a-3p	8.37250508382688	-1.0226713064796	0.329045444611271	-3.10799411822208	0.0018836181680483	0.0586361551350171	M_F	99_133	FALSE	0	0	0.624716239227688	1.71381033136955
hsa-miR-3141-3p:Novel	24.0856491745631	-0.475677917044989	0.153110635258025	-3.10675947652733	0.00189150228322379	0.0586361551350171	M_F	99_133	FALSE	0	0.28909857064764	1.53785487704784	9.65682551051774
hsa-let-7i-5p	389.310207941621	-0.962624159609547	0.310940577494797	-3.09584605317604	0.00196252223197954	0.058849844298439	M_F	99_133	FALSE	3.1533059215346	3.828217017789	16.5629920795068	31.9363040916281
hsa-miR-3158-3p	2.6507625690793	-0.856529934303585	0.276631720575022	-3.09628242387805	0.00195963616708234	0.058849844298439	M_F	99_133	FALSE	3.40034617056311	3.24736921532051	7.9292880137455	18.8124991813532
hsa-miR-1199-5p	3.44388500316003	-0.794800523041465	0.259126238806311	-3.06723289275061	0.00216050454973997	0.0611130163689883	M_F	99_133	FALSE	0	0.228092376720497	1.2327277841336	2.55710249842767
hsa-miR-12135-5p:Novel	1.44403387727289	-1.01321356141083	0.330136455727789	-3.06907505618302	0.00214722637925455	0.0611130163689883	M_F	99_133	FALSE	0.597093340121529	0.595817340433505	1.45416448973597	2.35285835845968
hsa-miR-30e-5p	11.4722637007087	-0.86748836826608	0.282268509981912	-3.07327362985574	0.00211724252446886	0.0611130163689883	M_F	99_133	FALSE	4.14044303675695	5.37698891598466	27.5478053017268	84.4361683983661
hsa-miR-3187-3p	2.93962169341411	1.03633800096052	0.337471058463295	3.07089445145186	0.00213418579878558	0.0611130163689883	M_F	99_133	FALSE	0.538363512172509	1.14046188360249	2.14087055431174	2.53688369059918
hsa-miR-8080-3p:Novel	8.52643317676863	-0.626273191152268	0.204288152566875	-3.06563637334404	0.00217207298196053	0.0611130163689883	M_F	99_133	FALSE	3.02117504286634	4.49682220920845	21.300420928314	50.5231506021536
hsa-miR-148b-3p	6.04862874154758	-1.1259519907776	0.368110265854989	-3.05873564314326	0.00222273194651549	0.0617756842208392	M_F	99_133	FALSE	0.560819607857983	0.646028186071995	1.18027296049528	1.53013817024489
hsa-miR-1281-5p:Novel	322.245891083263	-1.32291349572273	0.433754972643369	-3.04990969362424	0.00228910184843043	0.062853772440638	M_F	99_133	FALSE	0	0	0.14629800607488	0.180464973768604
hsa-miR-4324-5p:Novel	13.3122880352564	0.920123207603843	0.3022853738875	3.04388927512676	0.00233541078593893	0.0633619188232716	M_F	99_133	FALSE	2.62767529735182	1.66455450821125	4.91300390783885	4.00416515764055
hsa-miR-6126	9.38844404076913	0.754185194254106	0.249614346488212	3.02140163361853	0.00251607376402489	0.067460377743679	M_F	99_133	FALSE	123.934480355871	120.967258878234	155.298289818599	204.269947845616
hsa-miR-1257-3p:Novel	14.3895825866243	-0.583982062549487	0.194057988680739	-3.00931730004811	0.002618355045049	0.0685888637662836	M_F	99_133	FALSE	0.51878839290166	0.87361872915729	1.54843813038473	2.86528570957096
hsa-miR-6131-5p:Novel	104.914643858443	-0.734313957186657	0.244011800051841	-3.00933789689946	0.00261817752636847	0.0685888637662836	M_F	99_133	FALSE	1.65168861376568	2.92569719612277	4.74036353384261	5.46553548132795
hsa-miR-4800-3p	24.4473182193546	-0.803427895894636	0.267703529297109	-3.00118529630201	0.0026893086158002	0.0696469810841894	M_F	99_133	FALSE	0.624489609151907	0.687140853820144	1.27090413351859	1.84435784938547
hsa-miR-4803	2.94399069484902	-0.829323803748957	0.276759903695496	-2.99654607721434	0.00273056968589575	0.0699209922938922	M_F	99_133	FALSE	1.91842486882434	2.58501297493379	3.10255042363042	5.32108095444106
hsa-miR-3682-3p	12.2168544120071	-0.698937284327145	0.233531147278417	-2.99290819435691	0.00276332859278704	0.0699736206995739	M_F	99_133	FALSE	0	0	0.227922067831604	0.22212411847431
hsa-miR-1303-5p:Novel	4.56500414478513	-0.645007769558255	0.215827716495281	-2.98853075977551	0.00280322281931099	0.0702037890682389	M_F	99_133	FALSE	0	0	0.724548674815182	1.08731763062069
hsa-miR-378d	8.47637211354443	-0.769322675206221	0.258200646297832	-2.97955363875742	0.00288668685063136	0.0710831094896719	M_F	99_133	FALSE	0.525542050012547	0.283803895901702	1.49912613081989	1.17431543969157
hsa-miR-762-5p:Novel	7.74300815741347	-0.60003823520829	0.201485730526129	-2.97806814230189	0.00290071486728367	0.0710831094896719	M_F	99_133	FALSE	3.76776008314366	3.99643983547205	5.86931674969057	5.90067919911651
hsa-miR-25-3p	34.4741646458865	-1.00343579053558	0.339074933287382	-2.95933344528631	0.00308305307454504	0.0747476378392355	M_F	99_133	FALSE	1.14350375554838	1.49894073640282	2.77032066083392	4.55238231571317
hsa-miR-8055-5p:Novel	1.73710337269456	-0.776871534979104	0.263064318993359	-2.95316194135289	0.00314536909568968	0.0754557491481766	M_F	99_133	FALSE	0.146990414504741	0	1.37710538922183	1.04235695162788
hsa-miR-147b-3p	2.14874590489305	-0.853747308063425	0.290876447260853	-2.93508572489473	0.00333455550298498	0.076336028767497	M_F	99_133	FALSE	3.20067456490565	3.7888250796678	6.73344614847154	9.12852700525014
hsa-miR-4635	4.98045068877372	-0.696165021696395	0.237435129069067	-2.93202199870723	0.00336762891358394	0.076336028767497	M_F	99_133	FALSE	63.5788088084901	54.9886780927435	100.074371062924	104.348929657948
hsa-miR-4675	36.7739397025859	0.591175342208345	0.201230008368462	2.93780906238334	0.00330540527365099	0.076336028767497	M_F	99_133	FALSE	5.04595849319647	5.16420581727822	7.04663143897214	7.49670802915267
hsa-miR-6076	2.70127588724226	-0.610120357717427	0.208189278165298	-2.93060412665922	0.00338303593923528	0.076336028767497	M_F	99_133	FALSE	3.26349427535184	3.16386206073998	5.82284431224356	8.74300813913046
