miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison size sig
hsa-miR-4426 6.8523350774951 -2.18861471743304 0.45875861706397 -4.77073265988997 1.83557029826872e-06 0.00356467751923785 Fo_Ne 70_117 FALSE
hsa-miR-769-5p 7.25895675068145 -1.49077637668044 0.347876080167436 -4.28536614521732 1.82438467416757e-05 0.0177147751861671 Fo_Ne 70_117 FALSE
hsa-miR-6768-5p 29.9059802460532 -0.914446247297834 0.22248347194393 -4.11017609221907 3.95357504286781e-05 0.0255928091108309 Fo_Ne 70_117 TRUE
hsa-miR-4645-3p 14.2273529896581 -1.34677698117155 0.338813615897635 -3.97497892050018 7.03854899831765e-05 0.0312234661368431 Fo_Ne 70_117 FALSE
hsa-miR-8075-5p:Novel 35.9556213722668 -1.18386232180812 0.300226201900617 -3.94323451555374 8.03899746056722e-05 0.0312234661368431 Fo_Ne 70_117 TRUE
hsa-miR-3132 6.4380229015199 -1.18690367413428 0.312671059836885 -3.79601385159683 0.000147041286152844 0.0356942722136028 Fo_Ne 70_117 FALSE
hsa-miR-4447-5p:Novel 13.3957627265573 -1.12773378309962 0.297025024758419 -3.79676353538511 0.000146597504713995 0.0356942722136028 Fo_Ne 70_117 FALSE
hsa-miR-4519-3p:Novel 9.11574045155926 1.31359832257104 0.342062961854645 3.84022378643038 0.000122922206430615 0.0356942722136028 Fo_Ne 70_117 FALSE
hsa-miR-12118 21.1482963313509 -1.3871980415492 0.379450739645229 -3.65580534339232 0.000256375844987015 0.038298606997291 Fo_Ne 70_117 TRUE
hsa-miR-1229-5p 43.1889111408657 -0.871468583137595 0.237908553056434 -3.66304015531074 0.000249239448998718 0.038298606997291 Fo_Ne 70_117 TRUE
hsa-miR-4770-5p:Novel 2.28479824158255 1.09014776619469 0.296945077772284 3.67121009168801 0.000241404797998643 0.038298606997291 Fo_Ne 70_117 FALSE
hsa-miR-509-5p 9.88801525103297 0.843365862287637 0.227723589692632 3.70346288421838 0.000212676309741831 0.038298606997291 Fo_Ne 70_117 FALSE
hsa-miR-6728-5p 262.965125353129 -0.885084966712341 0.240775941461335 -3.6759692905384 0.00023694802725757 0.038298606997291 Fo_Ne 70_117 TRUE
hsa-miR-3164 9.66787169935125 -1.01947615957536 0.284750383263506 -3.58024508304857 0.000343272088062111 0.0444199846587258 Fo_Ne 70_117 FALSE
hsa-miR-4300 6.32373677776036 0.847500723862731 0.238898131568666 3.54754019337792 0.000388846415653109 0.0444199846587258 Fo_Ne 70_117 FALSE
hsa-miR-8059-3p:Novel 10.140672772498 -0.98435627017642 0.275409871388333 -3.57415028449892 0.000351367085418502 0.0444199846587258 Fo_Ne 70_117 FALSE
hsa-miR-8075 37.0992007303024 -1.05379202673334 0.297035931580521 -3.54769209612499 0.000388622243504702 0.0444199846587258 Fo_Ne 70_117 TRUE
hsa-miR-1909-5p 2.88997513744053 -1.08927469124325 0.310412459582891 -3.50912039003503 0.000449591347195455 0.0485059109029763 Fo_Ne 70_117 FALSE
