ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.x	all.x	nowine.x	abstemious.y	all.y	nowine.y
has-miR-548o	0.482823240473649	0.0680886955953742	0.805448112041671	0.0845351731259029	0.932630938803799	NA	all_vs_abstemious	NA	1.1	0.449	0.259	0	0	0
has-miR-548x	1.71019385279228	-0.24243853534696	0.747620077223725	-0.324280396865814	0.745725759531488	NA	all_vs_abstemious	NA	1.628	1.343	3.357	0	0	0.27
hsa-let-7a-2-3p	0.582280496450522	0.434722823849975	0.65227941095988	0.666467186524018	0.505112530635184	NA	all_vs_abstemious	NA	0.274	0.624	0.459	0	0	0
hsa-let-7a-3p	545.835883653848	-0.241079760650349	0.496922297653774	-0.48514578997282	NA	NA	all_vs_abstemious	NA	3128.443	359.241	26.704	33.166	15.972	12.188
hsa-let-7a-5p	14.4832834314234	0.996266556133484	0.404881292413779	2.46063864841481	0.0138689972792611	0.453704585769232	all_vs_abstemious	FALSE	9.829	14.453	15.616	7.32	5.802	6.284
hsa-let-7b-3p	0.480698235865222	0.279077951040561	1.02026945837622	0.273533573654865	0.784443087950083	NA	all_vs_abstemious	NA	0.595	0.496	0.278	0	0	0
hsa-let-7b-5p	325.576365342963	-0.212585744991302	0.524667827230556	-0.405181591014317	NA	NA	all_vs_abstemious	NA	1680.057	233.196	22.753	17.351	10.84	12.472
hsa-let-7c-3p	4.15360253394004	0.121649338217209	0.530800979243517	0.229180696672	0.818728475159132	0.985000161238366	all_vs_abstemious	FALSE	9.531	3.746	2.738	0.82	0.499	0
hsa-let-7c-5p	24.1345725633802	-0.191368754776042	0.509568309159165	-0.375550738411928	0.707250919200266	0.96713841259289	all_vs_abstemious	FALSE	137.064	15.363	4.72	4.183	2.85	2.723
hsa-let-7d-3p	4.98802947660127	0.339173826704452	0.591380455708606	0.573528975180699	0.56628658617523	0.958257277071032	all_vs_abstemious	FALSE	16.496	4.157	2.506	1.582	1.074	1.309
hsa-let-7d-5p	62.6685910720595	0.0424007593163882	0.519453867673597	0.0816256494658176	NA	NA	all_vs_abstemious	NA	359.981	41.066	4.039	6.038	3.371	2.697
hsa-let-7e-3p	0.0792749011251618	-0.657842416388729	2.11670913028291	-0.310785457943768	0.755963725509243	NA	all_vs_abstemious	NA	0.272	0.063	0.045	0	0	0
hsa-let-7e-5p	7.09148982818418	-0.306373881452258	0.485108968040195	-0.631556828747128	0.527676503946466	0.953606098969608	all_vs_abstemious	FALSE	32.399	4.963	3.292	2.652	2.098	2.351
hsa-let-7f-1-3p	0.126336688110519	0.57413297393659	2.02377623407082	0.28369390067484	0.776644969335976	NA	all_vs_abstemious	NA	0.051	0.139	0.089	0	0	0
hsa-let-7f-2-3p	0.545050262627577	-0.752014241017869	0.587025352316855	-1.28105922180335	0.20017286553389	NA	all_vs_abstemious	NA	1.469	0.468	0.36	0.333	0	0
hsa-let-7f-5p	1.98393839625423	0.173857603594983	0.507046464746128	0.342882981507486	0.731686495307472	NA	all_vs_abstemious	NA	2.096	1.953	1.803	1.006	0.67	0.741
hsa-let-7g-3p	3.1637586197932	-0.278695466190187	0.493048736073047	-0.565249326891889	0.571904189985361	0.961669516256175	all_vs_abstemious	FALSE	3.646	3.095	2.843	0.666	0.099	0
hsa-let-7g-5p	363.341853496098	-0.260350397958711	0.578537690113497	-0.450014584024137	NA	NA	all_vs_abstemious	NA	1957.155	252.423	19.904	11.731	6.568	7.227
hsa-let-7i-3p	0.31660162036802	0.381133570154836	0.804831622059382	0.473556902721592	0.635815914415175	NA	all_vs_abstemious	NA	0.293	0.327	0.235	0	0	0
hsa-let-7i-5p	395.441775918989	0.10087226307867	0.549748184505608	0.183488124056989	NA	NA	all_vs_abstemious	NA	2085.458	283.276	15.456	9.961	8.005	6.142
