ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.x	all.x	nowine.x	abstemious.y	all.y	nowine.y
has-miR-548o	0.482823240473649	0.293052292316793	0.960564061467756	0.30508354837782	0.760302520780631	0.999770134585052	nowine_vs_abstemious	FALSE	1.1	0.449	0.259	0	0	0
has-miR-548x	1.71019385279228	0.852961176082931	0.879404632502031	0.969930273912858	0.332081248640415	0.999770134585052	nowine_vs_abstemious	FALSE	1.628	1.343	3.357	0	0	0.27
hsa-let-7a-2-3p	0.582280496450522	0.724260256433977	0.780169730327784	0.928336781445857	0.353232900304204	0.999770134585052	nowine_vs_abstemious	FALSE	0.274	0.624	0.459	0	0	0
hsa-let-7a-3p	545.835883653848	-0.616407177518782	0.59160724528814	-1.04191958842317	NA	NA	nowine_vs_abstemious	NA	3128.443	359.241	26.704	33.166	15.972	12.188
hsa-let-7a-5p	14.4832834314234	1.63113854980619	0.480595462834504	3.39399489996409	0.000688809753405727	0.217726501144701	nowine_vs_abstemious	FALSE	9.829	14.453	15.616	7.32	5.802	6.284
hsa-let-7b-3p	0.480698235865222	0.0916319104194939	1.21210091475857	0.0755975920022675	0.939739252287704	0.999770134585052	nowine_vs_abstemious	FALSE	0.595	0.496	0.278	0	0	0
hsa-let-7b-5p	325.576365342963	-0.336201247309895	0.623851775296138	-0.538912063126378	NA	NA	nowine_vs_abstemious	NA	1680.057	233.196	22.753	17.351	10.84	12.472
hsa-let-7c-3p	4.15360253394004	0.118143989164684	0.650371468923504	0.181656168528174	0.855852565996888	0.999770134585052	nowine_vs_abstemious	FALSE	9.531	3.746	2.738	0.82	0.499	0
hsa-let-7c-5p	24.1345725633802	-0.0425297190221647	0.612184933459821	-0.0694720119650838	0.944613910030021	0.999770134585052	nowine_vs_abstemious	FALSE	137.064	15.363	4.72	4.183	2.85	2.723
hsa-let-7d-3p	4.98802947660127	0.335734233663661	0.700982166340593	0.478948323915754	0.631975391790074	0.999770134585052	nowine_vs_abstemious	FALSE	16.496	4.157	2.506	1.582	1.074	1.309
hsa-let-7d-5p	62.6685910720595	-0.481012397701056	0.628087251902083	-0.765836906010065	NA	NA	nowine_vs_abstemious	NA	359.981	41.066	4.039	6.038	3.371	2.697
