miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison size sig
hsa-miR-3149-5p:Novel 6.8265423344875 -3.81906195021676 0.477080778380525 -8.00506355167098 1.19404990702295e-15 3.66215106483938e-12 All_NoWine 177_36 FALSE
hsa-miR-1202-3p:Novel 41.4745153059645 -1.8516644255112 0.314656340772369 -5.88471988508487 3.98728714625e-09 6.11450483877437e-06 All_NoWine 177_36 TRUE
hsa-miR-7106-3p 4.20879426512709 -1.66453326035159 0.288246771224458 -5.77468137207829 7.70988413856191e-09 7.88207155098979e-06 All_NoWine 177_36 FALSE
hsa-miR-3145-3p 17.4995592201602 -3.04145016353419 0.536945101851262 -5.66435963946403 1.47574601963692e-08 1.13152826055661e-05 All_NoWine 177_36 TRUE
hsa-miR-3941 6.97372273897306 -1.80022263683725 0.322242844178288 -5.58654030449545 2.3163780805668e-08 1.42086631461967e-05 All_NoWine 177_36 FALSE
hsa-miR-4296 15.0872779271524 -1.8518658384606 0.34198345266432 -5.41507439624083 6.1263228011438e-08 3.13157200518467e-05 All_NoWine 177_36 TRUE
hsa-miR-2113-5p:Novel 26.7104313822837 -1.64031737416635 0.339350306096755 -4.83369940941991 1.34018901801733e-06 0.000587194245465595 All_NoWine 177_36 TRUE
hsa-miR-4291 4.78172358864964 -1.15416100368462 0.240740229753212 -4.79421742210588 1.6331108098869e-06 0.00062609385674039 All_NoWine 177_36 FALSE
hsa-miR-12131-5p:Novel 1.28748074196208 -2.36990380919188 0.500673837672657 -4.73342849350426 2.20758758837731e-06 0.000752296792617023 All_NoWine 177_36 FALSE
hsa-miR-3127-3p 3.77247723756525 -1.63255268279025 0.35576792330692 -4.58881359402898 4.45772260810114e-06 0.00134222215877817 All_NoWine 177_36 FALSE
hsa-miR-941 12.9701768639037 -1.44651670892342 0.31633507023555 -4.57273582674949 4.81396926852295e-06 0.00134222215877817 All_NoWine 177_36 FALSE
hsa-miR-7856-3p:Novel 7.39704478648531 -1.07153682645458 0.236238741004982 -4.53582177883342 5.73796200421335e-06 0.00146652745557686 All_NoWine 177_36 FALSE
hsa-miR-1538-5p:Novel 2.87885789102186 -1.3408415387691 0.300666826537998 -4.45955928762779 8.21283533363285e-06 0.00193759738217323 All_NoWine 177_36 FALSE
hsa-miR-4489-3p:Novel 22.074179331266 1.27308560125853 0.292808089077925 4.34784983320498 1.37478677250053e-05 0.00301176502232795 All_NoWine 177_36 TRUE
hsa-miR-4493-5p:Novel 7.76969967773076 1.64098695115243 0.382888439512471 4.2858096035542 1.82074879436997e-05 0.00372282436822181 All_NoWine 177_36 FALSE
hsa-miR-5695-5p:Novel 7.08388765979011 1.7589189258787 0.418239138261117 4.20553402340974 2.60466399253135e-05 0.00499281529068354 All_NoWine 177_36 FALSE
