miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison
hsa-miR-1202-3p:Novel 46.6254817984039 1.94197033081043 0.324598764506877 5.98267936651153 2.19496585287305e-09 2.77224187217866e-06 1_0
hsa-miR-4296 15.1342787187454 1.84044742278019 0.343083482862505 5.36443027634114 8.12051192821674e-08 4.1024826261351e-05 1_0
hsa-miR-2113-5p:Novel 27.2583455532653 1.70081996103309 0.336714927944877 5.05121638477377 4.39005404540341e-07 0.000158418235981272 1_0
hsa-miR-4659b-5p 76.2303058144213 -2.66098766221966 0.59839259654455 -4.44689268815435 8.71213318124353e-06 0.00157191774398723 1_0
hsa-miR-3169-3p:Novel 24.2973414366213 1.31562033821423 0.324387593745989 4.05570485301735 4.99833432420185e-05 0.00485607403958996 1_0
hsa-miR-4506 22.724275532237 1.33195990253752 0.329145263566519 4.04672358977555 5.19395121805354e-05 0.00485922991733454 1_0
hsa-miR-4489-3p:Novel 19.9035741472146 -1.13130392329604 0.294238675800989 -3.84485119169449 0.000120625616639765 0.00761750769080115 1_0
hsa-miR-320e 17.1801046981889 1.04458797090915 0.272192622729034 3.83767921568186 0.000124202584357762 0.00765209092896844 1_0
hsa-miR-7852-3p 17.454606076789 -1.84877850448355 0.48997443402129 -3.77321422530224 0.000161157794403017 0.0092519224695914 1_0
hsa-miR-5691-3p:Novel 26.4171661295812 1.31570642818682 0.351864582043028 3.73924087655384 0.000184576800006251 0.00992002120884658 1_0
hsa-miR-607-5p:Novel 17.1654397136206 0.974085767036706 0.262378483742779 3.7125215190726 0.000205204607401472 0.0103669367659224 1_0
hsa-miR-92a-1-5p 48.9502245410548 1.45225988262129 0.393687991244661 3.68885999806575 0.000225261124567555 0.0109424923203393 1_0
hsa-miR-2110 161.413017978641 -1.19856110885448 0.330033975681024 -3.63162945991017 0.000281637312419465 0.0127038544852066 1_0
hsa-miR-557 17.1409892177023 -1.06602681500072 0.293027496930001 -3.63797536466475 0.000274789701552011 0.0127038544852066 1_0
hsa-miR-1231 21.4895260783275 0.876065499546895 0.24279872051117 3.60819652468717 0.000308332900558979 0.0134284294277928 1_0
hsa-miR-4508-3p:Novel 109.33006632355 -1.07660579388994 0.302650044769811 -3.55726295929934 0.000374738989287876 0.0153941511401824 1_0
hsa-miR-572 25.6558314117059 0.906216657089718 0.257773237723776 3.51555756948205 0.000438831606934991 0.0165446065539968 1_0
hsa-miR-550a-3p 56.3263303612071 1.06403087794153 0.309601138616912 3.43677960195787 0.000588674408500437 0.0204592289554672 1_0
hsa-miR-1293 21.8333096260968 0.776125596509546 0.230713763460718 3.36401948833751 0.000768161187901065 0.024561710894153 1_0
hsa-miR-486-3p 68.7045936522679 -1.54588823303948 0.461139183711059 -3.35232460750527 0.000801359995242913 0.0251228299386028 1_0
hsa-miR-3169 96.4265748961893 0.860241658206513 0.258830304947899 3.32357394695213 0.000888718574185918 0.0261520551411191 1_0
hsa-miR-3680-3p 24.1163628761663 1.09541976467881 0.32932422438077 3.32626537491594 0.000880180858570252 0.0261520551411191 1_0
hsa-miR-7113-5p 129.930146474111 0.982561021334944 0.297131503662098 3.30682209467875 0.00094360799414545 0.0270862864436373 1_0
hsa-miR-4453-3p:Novel 15.0025745623091 0.637570776635159 0.196120200213935 3.25091844664483 0.00115032849768621 0.0295667285511239 1_0
hsa-miR-5189-3p 73.7523728241066 0.9989422444162 0.306696012633349 3.25710867852208 0.00112553330852582 0.0295667285511239 1_0
hsa-miR-92a-3p 69.2992589146995 1.07792210828375 0.329420980606902 3.272171997964 0.0010672462798612 0.0295667285511239 1_0
hsa-miR-3714-3p:Novel 110.495956292465 0.721555669787849 0.224673131626129 3.21157970499368 0.00132007346085243 0.0314575996425777 1_0
hsa-miR-6724-5p 26.4584046290472 0.842341944273673 0.262090794987562 3.21393181440671 0.00130930761354133 0.0314575996425777 1_0
hsa-miR-2110-3p:Novel 40.002656727402 -0.837060369666704 0.264607375226685 -3.16340528660476 0.0015593508181537 0.0339562083332436 1_0
hsa-miR-1281-5p:Novel 328.942186119877 -1.77562183732353 0.572006951926166 -3.10419625381184 0.00190796725574909 0.0370732714463245 1_0
hsa-miR-633-5p:Novel 33.7147658264621 -1.7381211231844 0.559682611288646 -3.10554783751893 0.00189926896626531 0.0370732714463245 1_0
hsa-miR-4687-3p 26.2757224702568 -1.24202940629833 0.401246014513204 -3.09543113544736 0.00196527002983783 0.0378952068348882 1_0
hsa-miR-3130-3p 16.8144913622785 0.856173992042013 0.277443806656081 3.08593658067605 0.00202912095975725 0.0379671077359023 1_0
hsa-miR-3168 16.6013374229384 -1.50653442512247 0.487789474504291 -3.08849309766978 0.00201174366768325 0.0379671077359023 1_0
hsa-miR-615-5p 38.8488630455738 -1.32031591637981 0.429399988295841 -3.07479262311988 0.00210648965445997 0.0391249475526904 1_0
hsa-miR-194-5p 60.7819370292396 0.608738465114855 0.200925155373181 3.02967771250064 0.00244814827660569 0.0432449129140278 1_0
hsa-miR-12136-3p:Novel 22.8100029949932 -0.652298021143892 0.219552929630353 -2.97102854533584 0.00296804191983451 0.048059448009628 1_0
hsa-miR-4530-5p:Novel 16.355708484966 -1.23388887955341 0.417615033477912 -2.95460838485038 0.00313066165397856 0.0494253208621864 1_0
hsa-miR-638 47.3814074969343 1.01963582339388 0.345382553122665 2.95219261707104 0.00315526040578994 0.0495042719566795 1_0
