miRNA	baseMean	log2FoldChange	pvalue	padj	comparison	size	sig
hsa-miR-3149-5p:Novel	6.8265423344875	-3.81906195021676	1.19404990702295e-15	3.66215106483938e-12	All_NoWine	177_36	FALSE
hsa-miR-1202-3p:Novel	41.4745153059645	-1.8516644255112	3.98728714625e-09	6.11450483877437e-06	All_NoWine	177_36	TRUE
hsa-miR-7106-3p	4.20879426512709	-1.66453326035159	7.70988413856191e-09	7.88207155098979e-06	All_NoWine	177_36	FALSE
hsa-miR-3145-3p	17.4995592201602	-3.04145016353419	1.47574601963692e-08	1.13152826055661e-05	All_NoWine	177_36	TRUE
hsa-miR-3941	6.97372273897306	-1.80022263683725	2.3163780805668e-08	1.42086631461967e-05	All_NoWine	177_36	FALSE
hsa-miR-4296	15.0872779271524	-1.8518658384606	6.1263228011438e-08	3.13157200518467e-05	All_NoWine	177_36	TRUE
hsa-miR-2113-5p:Novel	26.7104313822837	-1.64031737416635	1.34018901801733e-06	0.000587194245465595	All_NoWine	177_36	TRUE
hsa-miR-4291	4.78172358864964	-1.15416100368462	1.6331108098869e-06	0.00062609385674039	All_NoWine	177_36	FALSE
hsa-miR-12131-5p:Novel	1.28748074196208	-2.36990380919188	2.20758758837731e-06	0.000752296792617023	All_NoWine	177_36	FALSE
hsa-miR-3127-3p	3.77247723756525	-1.63255268279025	4.45772260810114e-06	0.00134222215877817	All_NoWine	177_36	FALSE
hsa-miR-941	12.9701768639037	-1.44651670892342	4.81396926852295e-06	0.00134222215877817	All_NoWine	177_36	FALSE
hsa-miR-7856-3p:Novel	7.39704478648531	-1.07153682645458	5.73796200421335e-06	0.00146652745557686	All_NoWine	177_36	FALSE
hsa-miR-1538-5p:Novel	2.87885789102186	-1.3408415387691	8.21283533363285e-06	0.00193759738217323	All_NoWine	177_36	FALSE
hsa-miR-4489-3p:Novel	22.074179331266	1.27308560125853	1.37478677250053e-05	0.00301176502232795	All_NoWine	177_36	TRUE
hsa-miR-4493-5p:Novel	7.76969967773076	1.64098695115243	1.82074879436997e-05	0.00372282436822181	All_NoWine	177_36	FALSE
hsa-miR-5695-5p:Novel	7.08388765979011	1.7589189258787	2.60466399253135e-05	0.00499281529068354	All_NoWine	177_36	FALSE
hsa-miR-6729-3p	0.918099488436144	-2.14348081437189	3.43242836680116e-05	0.00619250458881128	All_NoWine	177_36	FALSE
hsa-miR-4508-3p:Novel	119.488500805027	1.25514045716817	4.46803541755455e-05	0.00761303590313322	All_NoWine	177_36	TRUE
hsa-miR-4310	1.52022010751431	-1.49285990645369	5.70851820333442e-05	0.00875401266481333	All_NoWine	177_36	FALSE
hsa-miR-548av-3p	1.85364778630055	-1.85720818479119	5.51652659287852e-05	0.00875401266481333	All_NoWine	177_36	FALSE
hsa-miR-181a-5p	5.33062959064385	-1.04070355715657	8.15606042787645e-05	0.010717208212445	All_NoWine	177_36	FALSE
hsa-miR-2110	168.539116962611	1.30358733957058	8.00426244438377e-05	0.010717208212445	All_NoWine	177_36	TRUE
hsa-miR-4659b-5p	73.7138883746264	2.32912587254133	8.38646876748222e-05	0.010717208212445	All_NoWine	177_36	TRUE
hsa-miR-7852-3p	16.7232900021793	1.92241110991849	7.35669659768564e-05	0.010717208212445	All_NoWine	177_36	TRUE
hsa-miR-12115	2.19106204434106	-1.33421900112577	0.000110582694357252	0.0113052374531231	All_NoWine	177_36	FALSE
hsa-miR-4682	5.80227286262207	-1.09258024772818	0.000107384935743077	0.0113052374531231	All_NoWine	177_36	FALSE
hsa-miR-4684-3p	40.1978692253394	-1.23099946019346	0.000108095160858181	0.0113052374531231	All_NoWine	177_36	TRUE
hsa-miR-588-3p:Novel	10.0492073457492	-1.30941860081946	9.55208830885929e-05	0.0113052374531231	All_NoWine	177_36	FALSE
hsa-miR-6129	10.2079610280688	-0.972499871024223	9.683578923621e-05	0.0113052374531231	All_NoWine	177_36	FALSE
hsa-miR-6858-5p	7.13661688136905	-1.24036557452519	9.96566754245913e-05	0.0113052374531231	All_NoWine	177_36	FALSE
hsa-miR-557	16.9705664622224	1.09464454417845	0.000125671015612057	0.0124333227381348	All_NoWine	177_36	TRUE
