miRNA	log2FC_smk	log2FC_cig	padj_smk	padj_cig	trend
hsa-let-7a-3p	1.17198949150255	3.65196829998753	0.201671640817392	0.0011618149284659	same
hsa-miR-200b-3p	1.08090421664201	2.15826379734444	0.294873014416384	0.0475095813070258	same
hsa-miR-200c-3p	1.12814424022604	2.4895980241084	0.294873014416384	0.0276877925123991	same
hsa-let-7b-5p	0.836423701809689	2.67474935285583	0.315698923008631	0.00998178370932945	same
hsa-miR-622	0.908301725332689	2.51356948207536	0.325455573805608	0.00667787295273172	same
hsa-miR-486-5p	1.19960678515559	3.70251222677621	0.367518236914233	0.00998178370932945	same
hsa-miR-6081	-0.450926414919164	-2.10419500401896	0.376136456146758	0.0486245178669981	same
hsa-miR-194-3p	-0.476802641085215	2.66272464515669	0.406346157545754	0.00445956874800041	opposite
hsa-miR-4684-3p	-0.492966368142271	2.56620416120215	0.441323733624516	0.00906692378287965	opposite
hsa-miR-1281	0.970401779784569	4.71981021806089	0.455040516328136	0.00490591913021882	same
hsa-miR-1272	-0.294533037825793	1.60318420702176	0.465436188205148	0.0493774810480957	opposite
hsa-let-7g-5p	0.947803008716562	2.69093322038592	0.482000355195755	0.0310640753991901	same
hsa-miR-197-5p	-0.263777883205985	-1.47980198114196	0.512529339688148	0.0487894638458364	same
hsa-miR-26b-5p	0.754431070528713	3.84287431882735	0.55606097591296	0.0114997585534083	same
hsa-miR-4659b-5p	-0.625335536094466	-4.86727986229028	0.636200547367423	0.00998178370932945	same
hsa-miR-6127-3p:Novel	-0.262865879364484	-2.83712222760408	0.683908649466782	0.00906692378287965	same
hsa-miR-6740-3p	0.867156133739489	-9.34286925191385	0.707467361087917	0.00490591913021882	opposite
hsa-miR-378i	-0.105848705290317	-3.00376542311537	0.932451269644845	0.0475095813070258	same
hsa-miR-4505	-0.0742861581610869	2.33584386425484	0.943153488116344	0.00702441121169083	opposite
hsa-miR-451a-3p:Novel	-0.0926497121438017	5.99661047503488	0.966470201512977	0.0475095813070258	opposite
hsa-miR-11399-3p:Novel	-0.0765382324463454	-2.03741832565115	0.983054325481813	0.0475095813070258	same
hsa-let-7i-5p	-0.326043302395303	3.09406062682783	NA	0.0194143898315026	opposite
hsa-miR-191-5p	-0.606614660952464	3.28741330856948	NA	0.00578329054639516	opposite
hsa-miR-215-5p	-0.283787120590642	3.05519232549894	NA	0.00998178370932945	opposite
hsa-miR-486-3p	0.505081352813535	5.54241115535894	NA	0.0010928205540278	same
