miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison
hsa-miR-324-3p 46.5698636459726 1.75214063175538 0.40173669981769 4.36141540603711 1.29223757997058e-05 0.00426007655530302 2_1
hsa-miR-4741 19.9583355651802 1.07298726011779 0.240090781596282 4.46908978755397 7.85531535918102e-06 0.00426007655530302 2_1
hsa-miR-3960-5p:Novel 282.685957194837 1.1383974887057 0.265435761408956 4.28878717269665 1.79651412946561e-05 0.00444188118510372 2_1
hsa-miR-4508-3p:Novel 142.277947093866 1.16230354065743 0.278445813977751 4.17425395646385 2.9896412071961e-05 0.00591351030783388 2_1
hsa-miR-324-5p 53.9522081325651 1.67657994462482 0.413820714412361 4.05146452614297 5.08980437589586e-05 0.00629227065970126 2_1
hsa-miR-3648-3p:Novel 67.5635946740128 0.834932503308371 0.204046180162451 4.0918800961804 4.27889892748593e-05 0.00629227065970126 2_1
hsa-miR-3619-3p 218.776636289298 -1.86745259139667 0.466121564493859 -4.00636386223507 6.16606377384875e-05 0.00677581896926268 2_1
hsa-miR-10400-5p 100.023165036884 1.09700459154953 0.285235433664595 3.84596183389852 0.000120080454802427 0.00954773432082947 2_1
hsa-miR-3195 24.3478732317255 0.898344088285777 0.232819516398946 3.85854288412156 0.00011406505501714 0.00954773432082947 2_1
hsa-miR-3665-3p:Novel 137.605565191887 0.998777666495421 0.26169962397098 3.81650401838627 0.000135355871896608 0.00956192552183895 2_1
hsa-miR-3648 40.6556145003776 0.745623537977928 0.204420306880223 3.64750229249394 0.000264801949606044 0.0163680705100236 2_1
hsa-miR-663b-5p:Novel 15.5477223607901 1.04295464419 0.288539198318755 3.61460297341586 0.000300808241191137 0.017499961796355 2_1
hsa-miR-4516-3p:Novel 162.056790913612 0.955317571428205 0.268127552124558 3.56292206398996 0.000366749587743239 0.0192364070016069 2_1
hsa-miR-7158-3p 37.633206467459 -2.38213949754482 0.673960681133648 -3.53453779163777 0.000408489016579606 0.0192378874951062 2_1
hsa-miR-760 26.0503529881013 -1.78822001040811 0.394722900862332 -4.5303173606129 5.88951495967801e-06 0.0207075345982279 1_0
hsa-miR-4466-3p:Novel 41.2406606218845 0.851869044248654 0.245535907501289 3.46942755916131 0.000521568699368538 0.0234468838034311 2_1
hsa-miR-4634 37.6512612615011 0.840020169556359 0.245072817159035 3.42763501596852 0.000608863450664361 0.0240943705501569 2_1
hsa-miR-4651-3p:Novel 16.9957637482637 0.87824090689298 0.256106655891918 3.42919985360948 0.00060536358689463 0.0240943705501569 2_1
hsa-miR-639 28.0833138539631 0.874022754958114 0.254999430557941 3.42754786960012 0.000609058911783541 0.0240943705501569 2_1
hsa-miR-3156-3p 48.5135310535637 1.2786701925474 0.375729954668444 3.40316276799313 0.000666105856179504 0.0253376419908281 2_1
hsa-miR-1267-3p:Novel 42.0065578197477 0.795524102935078 0.235149506998643 3.38305664803995 0.000716838445894508 0.0262575267773951 2_1
hsa-miR-935 39.7600514357345 0.654393455544824 0.196485586128828 3.33049089471511 0.000866929988678509 0.0300981888452758 2_1
hsa-miR-4659b-5p 34.7554107782238 -1.82703122256822 0.556350674502001 -3.28395615625634 0.00102360845224966 0.0326564115895133 2_1
hsa-miR-1910-3p 34.8890040371435 1.09162594425556 0.337838090002509 3.23121038319702 0.00123267173477404 0.0340580958402391 2_1
hsa-miR-378j-3p:Novel 20.6228313694695 0.917813111622891 0.28418975244446 3.22957849017537 0.00123972846334541 0.0340580958402391 2_1
hsa-miR-4488-3p:Novel 193.073756425526 0.930168602874906 0.287286620261201 3.23777209683206 0.00120467001569932 0.0340580958402391 2_1
hsa-miR-4497-3p:Novel 47.4520379446789 0.742737191154983 0.228510289376892 3.25034462640741 0.00115265234063218 0.0340580958402391 2_1
hsa-miR-4296-3p:Novel 21.1007087404964 1.21585830029609 0.379479506787146 3.20401570717251 0.00135525082718486 0.0352721860022585 2_1
hsa-miR-935-5p:Novel 21.8427758559702 0.763359023449618 0.238180399664858 3.20496155235165 0.00135080523003904 0.0352721860022585 2_1
hsa-miR-383-5p 27.1608287493284 -2.49520684970397 0.591322333002229 -4.21970676641865 2.44620282225326e-05 0.0424759311076381 1_0
hsa-miR-636 51.8210286323661 0.780819640217958 0.250369332738926 3.11867125129163 0.00181668535188397 0.0449175453253312 2_1
hsa-miR-641-3p:Novel 34.1908958258374 0.741566867661808 0.238532365308573 3.10887315732811 0.0018780232512443 0.0453015852556246 2_1
hsa-miR-4784-3p:Novel 23.6034529195706 0.905915687164389 0.292730592068822 3.09470793866124 0.00197006785382833 0.04639040731991 2_1
hsa-miR-770-3p:Novel 17.1797659940886 0.77129649886343 0.250695128611827 3.07663137745966 0.00209354023034991 0.0481514252980479 2_1
