miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison
hsa-miR-451a-3p:Novel 524.473664037262 22.191569193114 2.99864752160599 7.40052608158121 1.35646023310682e-13 1.15434765837391e-10 >16_<16
hsa-miR-363-3p 17.5358881244331 19.1529178215757 3.46078048245429 5.53427699869396 3.12514756098835e-08 1.32975028720054e-05 >16_<16
hsa-miR-215-5p 513.888791391606 4.93433219279036 0.950077744284954 5.19360886250844 2.06256243044629e-07 5.85080209436597e-05 >16_<16
hsa-let-7a-3p 700.526427468337 4.89212806077466 0.970270414590236 5.04202538509916 4.60630162440192e-07 9.79990670591509e-05 >16_<16
hsa-miR-4684-3p 49.3372547841036 3.7667432753051 0.794724257935937 4.73968579377218 2.14049884897723e-06 0.000364312904095925 >16_<16
hsa-miR-191-5p 54.8604569665518 5.05514812426685 1.08055044393081 4.6783083128237 2.89251398673271e-06 0.000410254900451589 >16_<16
hsa-miR-4330-5p:Novel 26.5682761121215 3.88385112505061 0.838286534936798 4.6330830368681 3.60259951897858e-06 0.000437973170092968 >16_<16
hsa-miR-194-3p 154.509070553469 3.32063950369132 0.732912945344312 4.53074205440774 5.87768680375685e-06 0.000565589779236878 >16_<16
hsa-miR-27a-3p 29.6625155273933 5.12015492527144 1.13662104107082 4.50471594336112 6.64617836941103e-06 0.000565589779236878 >16_<16
hsa-miR-6860 38.6945014962459 2.78249359546602 0.614900577837294 4.52511136882081 6.0363709974143e-06 0.000565589779236878 >16_<16
hsa-let-7d-5p 79.824288488833 4.33983445787535 1.01583227883746 4.27219586174398 1.93557449080395e-05 0.00137264490972847 >16_<16
hsa-let-7g-5p 452.464869768654 4.27776618259623 1.04273792477644 4.10243655759753 4.08821974093586e-05 0.00248505357109744 >16_<16
hsa-miR-451b-3p:Novel 482.274353311819 8.44453378799918 2.11411122924064 3.9943658929584 6.48676243395304e-05 0.00357489082165395 >16_<16
hsa-miR-486-5p 52.0995882440909 5.47401407431125 1.37333015793778 3.98594179460178 6.72129884212259e-05 0.00357489082165395 >16_<16
hsa-miR-126-3p 51.6721598832936 5.87514348214993 1.49370312536003 3.93327387644973 8.37966678183575e-05 0.00419476260667189 >16_<16
hsa-miR-192-5p 1406.088611883 3.37162119373922 0.875379975787606 3.85160877218566 0.000117344387421469 0.00554778187198169 >16_<16
hsa-miR-200c-3p 224.204462671274 3.29065372926779 0.861197439222193 3.8210212657388 0.000132900190610774 0.00595252958998785 >16_<16
hsa-miR-622 80.2927381874806 3.05128860862971 0.80358846653884 3.79707864869192 0.000146411347534003 0.00622980283757184 >16_<16
hsa-miR-200b-3p 208.945420040801 3.17643920245249 0.841906921391385 3.77291018964771 0.000161354382319966 0.00653869425496624 >16_<16
hsa-miR-22-3p 44.5860352864824 3.05768338817027 0.822278364946607 3.71855021184804 0.000200369467155769 0.00775065529770725 >16_<16
hsa-miR-21-5p 330.702904774312 2.92243536529466 0.792292133017092 3.68858309139821 0.000225506382675657 0.00834373615899931 >16_<16
hsa-let-7b-5p 409.91162866252 3.27468306250472 0.90605267118655 3.61423034956263 0.000301241151067733 0.00961865196857184 >16_<16
hsa-let-7i-5p 512.073944722624 4.12237531886775 1.13621484439382 3.62816534144743 0.000285442444233747 0.00961865196857184 >16_<16
hsa-miR-26b-5p 52.0004288409445 4.58953826401842 1.27760664175425 3.59229367946667 0.000327780149340286 0.00961865196857184 >16_<16
hsa-miR-200a-3p 128.724751704097 3.09703292943426 0.880274168487587 3.51825946995051 0.000434387406296162 0.0123221227586011 >16_<16
hsa-miR-7113-5p 542.227028896037 2.76380897717422 0.813658060540856 3.3967696151588 0.000681863481662913 0.0175838128150042 >16_<16
hsa-miR-10a-5p 68.8542470838641 3.46925688583565 1.02978552720908 3.3689120638916 0.000754655010250377 0.018888570991855 >16_<16
hsa-miR-4505 148.454099509108 2.29059510610658 0.691349803723977 3.31322160470462 0.000922278730243664 0.0224245485553531 >16_<16
hsa-miR-25-3p 41.6075585003581 4.19846622673181 1.27089556462063 3.30354935811354 0.000954691616081079 0.0225678490356944 >16_<16
hsa-miR-4659b-5p 16.2776717956391 -5.12790355944102 1.57605136026824 -3.25363988047209 0.00113936615632285 0.0248227999816484 >16_<16
hsa-miR-486-3p 143.578036771507 4.1327503654415 1.26765020809254 3.26016620283614 0.00111346944825438 0.0248227999816484 >16_<16
hsa-miR-521 20.0173278649285 2.38617974094775 0.737147683226585 3.2370443470746 0.00120774641577914 0.0248227999816484 >16_<16
hsa-miR-324-3p 78.299681989526 3.63353373213251 1.1271473120364 3.2236547018578 0.00126565913548218 0.0250482773091938 >16_<16
hsa-let-7c-5p 32.8077430685215 3.47569196922883 1.08265940459859 3.21032815534216 0.00132583517178705 0.0256428575270632 >16_<16
hsa-miR-27b-3p 24.9812260589021 3.6245282483164 1.13370778309831 3.1970568627578 0.00138837554446969 0.0262557241854157 >16_<16
hsa-miR-4767-3p:Novel 18.6630030542031 -1.89328429584255 0.59802123945343 -3.16591480525498 0.00154596065089821 0.0286002720416169 >16_<16
hsa-miR-144-3p 18.4368059473532 4.58674319448107 1.52652517606753 3.00469541307988 0.00265846925067429 0.0408884551249094 >16_<16
hsa-miR-146b-5p 33.3502011408577 2.98092930874831 0.993609213261468 3.00010232288766 0.00269888924339718 0.0408884551249094 >16_<16
hsa-miR-338-3p 16.7000010717007 3.46055545113303 1.14734904236709 3.01613138055493 0.00256022302043052 0.0408884551249094 >16_<16
hsa-miR-378a-3p 174.844704907195 2.93791761065223 0.9771453456786 3.00663317248053 0.00264158318745146 0.0408884551249094 >16_<16
hsa-miR-5047 16.0757629719545 3.94160401231461 1.31510677411319 2.99717413817789 0.00272495008434211 0.0408884551249094 >16_<16
hsa-miR-6127-3p:Novel 41.3483850947936 -3.06860532854078 1.02435771517294 -2.99563842111808 0.0027387096852172 0.0408884551249094 >16_<16
hsa-miR-5092 18.0959648173546 2.63062303125498 0.88149781751267 2.98426493973386 0.00284260519137496 0.0417078796182775 >16_<16
hsa-miR-324-5p 90.263205265072 3.52627056072294 1.20155171174786 2.93476387761404 0.00333801593705578 0.0481466366514316 >16_<16
hsa-miR-30d-5p 46.6857262607807 2.44339899432121 0.838402466479332 2.91435091380596 0.00356429007310118 0.048922755680792 >16_<16
