miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison
hsa-miR-451a-3p:Novel 524.473664037262 24.0183743269234 2.99823440095749 8.01083941911049 1.13928126829662e-15 9.69528359320422e-13 1_0
hsa-miR-215-5p 513.888791391606 4.93433222797447 0.950078701841289 5.1936036650559 2.06262004066123e-07 6.40445899913849e-05 1_0
hsa-miR-363-3p 17.5358881244331 17.9138578328335 3.46043913521223 5.17675853638005 2.2577411277809e-07 6.40445899913849e-05 1_0
hsa-let-7a-3p 700.526427468337 4.89212796567135 0.970271446325533 5.04201992565904 4.60643307805121e-07 9.80018637355395e-05 1_0
hsa-miR-4684-3p 49.3372547841036 3.76674268743179 0.794725045855791 4.73968035495297 2.14055630290451e-06 0.000364322682754347 1_0
hsa-miR-191-5p 54.8604569665518 5.05514831385595 1.08055150022212 4.67830391500712 2.89257601271356e-06 0.000410263697803206 1_0
hsa-miR-4330-5p:Novel 26.5682761121215 3.88385078497617 0.83828740579996 4.63307781806633 3.6026903744402e-06 0.00043798421552123 1_0
hsa-miR-194-3p 154.509070553469 3.32063940604411 0.732913709513777 4.53073719721666 5.8778219528727e-06 0.000565601450355443 1_0
hsa-miR-27a-3p 29.6625155273933 5.12015540752718 1.13662225383409 4.50471156116794 6.64631551534011e-06 0.000565601450355443 1_0
hsa-miR-6860 38.6945014962459 2.78249326194322 0.614901276283392 4.52510568649534 6.03653318866097e-06 0.000565601450355443 1_0
hsa-let-7d-5p 79.824288488833 4.33983441670617 1.01583325421743 4.27219171915123 1.93561045903503e-05 0.00137267041719901 1_0
hsa-let-7g-5p 452.464869768654 4.27776571696355 1.04273894907063 4.10243208118027 4.08829886154984e-05 0.0024851016651278 1_0
hsa-miR-451b-3p:Novel 482.274353311819 8.44274512641298 2.11397659823231 3.99377416640881 6.50298050259851e-05 0.00355222649899323 1_0
hsa-miR-486-5p 52.0995882440909 5.47623157471416 1.37336633436076 3.98745144518421 6.67868671961124e-05 0.00355222649899323 1_0
hsa-miR-126-3p 51.6721598832936 5.87513876276685 1.49373223911845 3.93319405506985 8.3824511069335e-05 0.00419615640705906 1_0
hsa-miR-192-5p 1406.088611883 3.37162114488909 0.875380846163739 3.85160488679282 0.000117346249606297 0.00554786991194217 1_0
hsa-miR-200c-3p 224.204462671274 3.29065350375854 0.861198364369436 3.82101689912978 0.00013290254400174 0.00595263499713056 1_0
hsa-miR-622 80.2927381874806 3.05128846557064 0.803589252405356 3.79707475733072 0.000146413645046928 0.00622990059674679 1_0
hsa-miR-200b-3p 208.945420040801 3.17643902876212 0.841907775457453 3.77290615594588 0.000161356992007275 0.00653880000943767 1_0
hsa-miR-22-3p 44.5860352864824 3.05768289353002 0.822279109541508 3.71854624305723 0.000200372614707539 0.00775077705073252 1_0
hsa-miR-21-5p 330.702904774312 2.92243525501927 0.792292928881432 3.688579247003 0.000225509789445909 0.00834386220949863 1_0
hsa-let-7b-5p 409.91162866252 3.27468327526492 0.906053598512523 3.61422688529796 0.000301245178544515 0.00961880776857972 1_0
hsa-let-7i-5p 512.073944722624 4.122375100141 1.13621597055098 3.62816155289735 0.000285446631978354 0.00961880776857972 1_0
hsa-miR-26b-5p 52.0004288409445 4.58953825437476 1.27760813982889 3.59228945973172 0.000327785458623751 0.00961880776857972 1_0
hsa-miR-200a-3p 128.724751704097 3.09703275848762 0.880275043305659 3.51825577930446 0.000434393448066646 0.0123222941434905 1_0
hsa-miR-7113-5p 542.227028896037 2.76380894298183 0.813658878158195 3.39676615984085 0.000681872091129492 0.0175840348348848 1_0
hsa-miR-10a-5p 68.8542470838641 3.4692556891477 1.02978676773263 3.36890684348786 0.00075466930315476 0.0188889287348441 1_0
hsa-miR-4505 148.454099509108 2.29059511014824 0.691350494976236 3.31321829779984 0.000922289635701096 0.0224248137137609 1_0
hsa-miR-25-3p 41.6075585003581 4.19846590271914 1.27089728832872 3.3035446225873 0.000954707740670905 0.0225682302030817 1_0
hsa-miR-4659b-5p 16.2776717956391 -5.12790410202892 1.57605347711038 -3.25363585468602 0.00113938230122635 0.0248230462087248 1_0
hsa-miR-486-3p 143.578036771507 4.13275003265247 1.26765144916298 3.26016274850733 0.00111348301003916 0.0248230462087248 1_0
hsa-miR-521 20.0173278649285 2.3861796846794 0.737148211761535 3.23704194978271 0.00120775656177849 0.0248230462087248 1_0
hsa-miR-324-3p 78.299681989526 3.633532991289 1.12714835925294 3.22365104953644 0.00126567527640681 0.0250485967493534 1_0
hsa-let-7c-5p 32.8077430685215 3.47569209983371 1.08266059143822 3.21032475673338 0.00132585084937406 0.0256431607458483 1_0
hsa-miR-27b-3p 24.9812260589021 3.62452772988009 1.13370906873952 3.19705277996047 0.00138839519622249 0.0262560958218964 1_0
hsa-miR-4767-3p:Novel 18.6630030542031 -1.89328413078315 0.598021727717591 -3.16591194438547 0.00154597585531222 0.0286005533232761 1_0
hsa-miR-144-3p 18.4368059473532 4.58674022685047 1.52650131111901 3.00474044368042 0.0026580757269789 0.0408886748295436 1_0
hsa-miR-146b-5p 33.3502011408577 2.98092897438868 0.993610229836433 3.00009891693586 0.00269891942360956 0.0408886748295436 1_0
hsa-miR-338-3p 16.7000010717007 3.46055641008349 1.14735015268914 3.01612929755812 0.00256024060902138 0.0408886748295436 1_0
hsa-miR-378a-3p 174.844704907195 2.93791733145196 0.977146418131024 3.00662958686506 0.00264161434255085 0.0408886748295436 1_0
hsa-miR-5047 16.0757629719545 3.94160383675417 1.31510797876911 2.99717125923254 0.00272497581970064 0.0408886748295436 1_0
hsa-miR-6127-3p:Novel 41.3483850947936 -3.06860602916977 1.02435850939728 -2.99563678245354 0.00273872440103876 0.0408886748295436 1_0
hsa-miR-5092 18.0959648173546 2.63062265332401 0.881498289126853 2.98426291437243 0.00284262400904839 0.0417081557189685 1_0
hsa-miR-324-5p 90.263205265072 3.52626982368887 1.20155277967284 2.93476065583153 0.00333805059350814 0.0481471365267021 1_0
hsa-miR-30d-5p 46.6857262607807 2.44339886061509 0.838403275863443 2.91434794085068 0.00356432402022517 0.0489232216324455 1_0
