miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison
hsa-miR-324-5p 53.9522081325651 1.94343177042621 0.390884995198816 4.97187611266 6.63080745728342e-07 0.000218052196334279 M_F
hsa-miR-4418 46.8611701838935 -1.4387033066344 0.289570886047887 -4.96839763924497 6.75084199177335e-07 0.000218052196334279 M_F
hsa-miR-324-3p 46.5698636459726 1.76486060122958 0.38086071006997 4.63387415547628 3.58885210938467e-06 0.000772799487554166 M_F
hsa-miR-4530-5p:Novel 19.1632544728542 1.54120693855802 0.348773104737224 4.41893860972799 9.91868146056084e-06 0.00160186705588058 M_F
hsa-miR-3141-3p:Novel 23.2105939279805 -0.723149687414792 0.172969455636001 -4.18079414516166 2.90492763277229e-05 0.0037531665015418 M_F
hsa-miR-1255b-5p 25.9382535611969 1.23523724006879 0.29932080456219 4.12680048042615 3.67845271823903e-05 0.00396046742663736 M_F
hsa-miR-200c-3p 139.886327089005 -1.4174619697374 0.360364804482754 -3.93340845749888 8.37497431186571e-05 0.00772890486495035 M_F
hsa-miR-6076-3p:Novel 18.5853944846062 -0.793816269577518 0.204485960293477 -3.88200866425371 0.000103597185338239 0.00836547271606283 M_F
hsa-let-7g-5p 273.846515395145 -1.50355109548403 0.397151851134905 -3.78583428778556 0.00015319374102622 0.00876429330439958 M_F
hsa-miR-3935 38.2069900267079 0.875023182445688 0.23180449556076 3.77483266805897 0.00016011510503172 0.00876429330439958 M_F
hsa-miR-6791-5p 18.0183750284035 1.11032758779937 0.292498681941238 3.79600885867386 0.000147044245990217 0.00876429330439958 M_F
hsa-miR-21-5p 257.751031179297 -1.20721099569208 0.326782463419087 -3.69423433271531 0.000220550343781458 0.00953629779786519 M_F
hsa-miR-30d-5p 41.97272113038 -1.24328637324467 0.337874482310254 -3.67972853334043 0.000233482369140127 0.00953629779786519 M_F
hsa-miR-615-5p 44.2633170474996 1.28742127060867 0.345580731755195 3.72538498911642 0.000195017354259491 0.00953629779786519 M_F
hsa-miR-650-3p:Novel 17.9533595921244 -1.27644716338289 0.347164060149857 -3.67678371670126 0.000236193134312451 0.00953629779786519 M_F
hsa-miR-148a-3p 180.753182309173 -1.24395869689269 0.343849829116911 -3.6177383018845 0.000297188661991575 0.0106657708692532 M_F
hsa-miR-194-3p 107.618341476547 -0.948333590827173 0.26143661013682 -3.62739399937474 0.000286296249812649 0.0106657708692532 M_F
hsa-miR-192-5p 889.924556097241 -1.20690927235093 0.343049467874277 -3.51817852926462 0.000434519928217838 0.0140349936814362 M_F
hsa-miR-4698 55.8879861140808 -0.895023201616553 0.259591986582419 -3.44780751285783 0.000565156649255236 0.0173852950199468 M_F
hsa-miR-375-3p 94.3686740249368 -1.14740361214322 0.334521946563389 -3.42998007733341 0.000603625567894759 0.0177246416754552 M_F
hsa-miR-1202-3p:Novel 22.1673859286322 -0.758453963895445 0.222274592891432 -3.41223868202474 0.000644316702053837 0.0180968951968165 M_F
hsa-miR-6855-5p 18.643989201168 -1.15514321457042 0.34308440627741 -3.36693593015242 0.000760083450594311 0.019640556363357 M_F
hsa-miR-6806-3p 15.1927128442862 1.22493281007869 0.365976171922129 3.34702886159302 0.000816827055166663 0.0202950106783717 M_F
hsa-miR-6131-5p:Novel 94.1409405671681 -0.900790468436224 0.27598529116382 -3.26390752433806 0.00109887025615915 0.0248123020144482 M_F
hsa-miR-6832-5p 23.6857446257279 0.962247622588712 0.296036299120115 3.2504379545641 0.00115227408735828 0.0248123020144482 M_F
