miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison
hsa-miR-200a-3p 74.2523113922964 1.66806229228223 0.364988023916083 4.57018363064358 4.87297040976328e-06 0.00413087383596359 F_NF
hsa-miR-3160-3p 18.2894128081325 1.03331814712854 0.232820521412453 4.43826060031007 9.06887779574882e-06 0.00413087383596359 F_NF
hsa-let-7d-5p 50.8908718186981 1.80804242296814 0.429824045049345 4.20647109856446 2.59389238048461e-05 0.00787678652873827 F_NF
hsa-let-7b-5p 245.759520737464 1.71329016560317 0.438453520370453 3.9075753438029 9.32269746158467e-05 0.00998761707221777 F_NF
hsa-miR-194-1-3p:Novel 127.614377016677 1.47984847581133 0.377367575656561 3.92150404876895 8.79979696249443e-05 0.00998761707221777 F_NF
hsa-miR-378a-3p 109.550964288759 1.60800575475572 0.411323333961622 3.9093472749731 9.25458425763994e-05 0.00998761707221777 F_NF
hsa-miR-3960 26.7364766922564 1.06052821868557 0.273124758415747 3.88294428098402 0.0001031992225214 0.00998761707221777 F_NF
hsa-miR-4739 56.1983388955723 1.48394940086363 0.37624758578918 3.94407687095465 8.0107960734117e-05 0.00998761707221777 F_NF
hsa-miR-12136-3p:Novel 26.0963217340578 0.931219868442738 0.252203776730094 3.69233117963701 0.000222207841557014 0.0123227814525518 F_NF
hsa-miR-200c-3p 141.010313480268 1.6289190971067 0.443496276829509 3.6729036571662 0.000239809914597722 0.0123227814525518 F_NF
hsa-miR-4472 19.803198395641 0.85346243525965 0.230539379097593 3.7020245244018 0.000213885937894166 0.0123227814525518 F_NF
hsa-miR-519a-5p, hsa-miR-519c-5p, hsa-miR-519b-5p, hsa-miR-523-5p, hsa-miR-518e-5p, hsa-miR-522-5p 17.967854714891 1.87833190910305 0.511687127864445 3.67086019330285 0.00024173554616712 0.0123227814525518 F_NF
hsa-miR-423-5p 67.2884283827395 1.32501917036258 0.370215768060032 3.5790457475807 0.000344851103656476 0.0131722764240159 F_NF
hsa-miR-650-3p:Novel 18.1865780557317 -1.52442380300909 0.42612532399458 -3.5774072019913 0.000347019356944438 0.0131722764240159 F_NF
hsa-miR-148a-3p 182.182133122283 1.48756274369323 0.421403034237825 3.53002380816676 0.000415522273323797 0.0151416316399192 F_NF
hsa-let-7a-3p 399.226421166356 1.50096408397118 0.432928243915439 3.46700430167443 0.000526293467366194 0.0172177747930644 F_NF
hsa-miR-3665-3p:Novel 138.614147527794 1.04281705350234 0.300786027352005 3.46697305949638 0.000526354641699637 0.0172177747930644 F_NF
hsa-miR-4258-3p:Novel 29.9972483818967 0.823977599006666 0.238122804339416 3.46030528782191 0.000539563290894686 0.0172177747930644 F_NF
hsa-miR-4739-3p:Novel 70.7785197490289 -1.3849816692962 0.404100968164498 -3.42731588985557 0.000609579505209807 0.0172177747930644 F_NF
hsa-miR-4784-3p:Novel 23.8325008778772 1.15445874881563 0.335523557318216 3.44076808806815 0.000580065478290862 0.0172177747930644 F_NF
hsa-miR-200b-3p 126.652876167432 1.44031856432667 0.422418210045804 3.40969809083395 0.000650348293673298 0.0174255086922463 F_NF
hsa-miR-27b-3p 16.5566439014556 1.62945360148559 0.502452940941378 3.24299744058161 0.00118279273702551 0.0273911632226725 F_NF
hsa-miR-641-3p:Novel 34.4762967692976 0.873090217565449 0.269994185714705 3.23373710902063 0.00122181867004092 0.0273911632226725 F_NF
hsa-miR-7161-3p 38.4833313897812 0.816960484875601 0.253324670582523 3.22495429678046 0.00125992780641136 0.0273911632226725 F_NF
hsa-miR-8072 84.6457497692507 0.823147801077133 0.255295211817356 3.22429784412107 0.00126281981926701 0.0273911632226725 F_NF
hsa-miR-12121 192.176788985181 1.20708967125351 0.380506569371786 3.1723228149422 0.00151224806946178 0.0299490867669496 F_NF
hsa-miR-320a-3p 102.323140732449 1.25541979759116 0.399806978889488 3.14006474093635 0.00168910501943769 0.0301720524060341 F_NF
hsa-miR-4497-3p:Novel 47.7921696440753 0.821973269500121 0.261616872931254 3.14189700492335 0.00167857071418992 0.0301720524060341 F_NF
hsa-miR-4516-3p:Novel 163.258120872749 0.96879270873136 0.308345039600541 3.14191112004404 0.00167848979670184 0.0301720524060341 F_NF
hsa-miR-486-3p 101.593498381674 1.55515545141462 0.497605767178493 3.12527618044422 0.001776381941287 0.0311208451637011 F_NF
hsa-miR-4443-3p:Novel 28.8486992262599 0.922501966109873 0.296901158656471 3.10710126657758 0.00188931666837776 0.0314483147019934 F_NF
hsa-miR-658 16.4763501817841 0.890781052808651 0.285942395847676 3.11524651728517 0.00183791238781033 0.0314483147019934 F_NF
hsa-miR-7704-3p:Novel 52.0541871469044 0.750840962976129 0.241937566054077 3.10344927090944 0.00191279024192371 0.0314483147019934 F_NF
hsa-miR-106b-5p 30.565841499458 1.27320285490194 0.420017950815037 3.03130581069527 0.00243498491606504 0.0346376307631385 F_NF
hsa-miR-3195 24.5333412647203 0.815118851836465 0.269298642978843 3.02682123764175 0.00247140065818222 0.0346376307631385 F_NF
hsa-miR-3648 40.968940793377 0.730747976987714 0.240369577895434 3.04010176073781 0.00236498226832647 0.0346376307631385 F_NF
hsa-miR-3960-5p:Novel 284.659276991035 0.937213966345277 0.308433684160035 3.03862390678117 0.00237661348370183 0.0346376307631385 F_NF
hsa-miR-486-5p 64.7911233812075 1.56066587032724 0.51426742379517 3.03473601110081 0.00240746310802983 0.0346376307631385 F_NF
hsa-miR-636 52.2104606280537 0.870597691119095 0.28629235905898 3.04093931804775 0.00235841356792958 0.0346376307631385 F_NF
hsa-miR-639 28.3538215025125 0.87734881795019 0.288448112260296 3.04161747177069 0.00235310726333364 0.0346376307631385 F_NF
hsa-miR-663b-5p:Novel 15.7042046377815 0.994981995220599 0.331472251733863 3.00170524083404 0.00268471992835199 0.0365041769362487 F_NF
hsa-miR-622 46.6244483563599 1.05100231346296 0.353830523505849 2.97035513796081 0.00297455657477151 0.0393323584737605 F_NF
hsa-miR-6787-5p 30.4658643426323 0.859935829161092 0.289551467159657 2.96988938649352 0.00297906996123981 0.0393323584737605 F_NF
hsa-miR-9899-5p:Novel 31.4770609369542 0.969704879192457 0.331249729477132 2.92741334679158 0.00341794290533837 0.0426540546131952 F_NF
hsa-let-7c-5p 18.5835332520703 1.16487567392295 0.400909605786746 2.90558184964662 0.00366570961296632 0.0445261527654976 F_NF
hsa-miR-8072-3p:Novel 23.2698306183759 0.630762972131988 0.217836549767712 2.89557915237179 0.00378459572514804 0.0453653513896035 F_NF
hsa-miR-6846-5p 36.0042702420059 1.36612422221959 0.47638748631014 2.86767444879988 0.00413500773262082 0.0489219746028255 F_NF
