miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison
hsa-miR-200c-3p 178.750743855921 -1.43531062541253 0.295233969420945 -4.8616039279886 1.16438420939562e-06 0.000377260483844182 M_F
hsa-miR-4418 53.4666402823737 -1.26519598166571 0.253299720651717 -4.9948573903298 5.88792599383572e-07 0.000377260483844182 M_F
hsa-miR-215-5p 406.765194128146 -1.44253471132643 0.315431114938348 -4.57321628403202 4.8029389530017e-06 0.000518717406924183 M_F
hsa-miR-4330-5p:Novel 26.0499418971451 -1.17895133104133 0.256397083499718 -4.59814641784966 4.26266391595791e-06 0.000518717406924183 M_F
hsa-miR-4632-5p 95.8357267411609 -1.1114422471256 0.239303501219892 -4.64448803072176 3.40920812010505e-06 0.000518717406924183 M_F
hsa-miR-615-5p 37.4253998814467 1.48018506573616 0.321180591918016 4.60857568291047 4.05436793944594e-06 0.000518717406924183 M_F
hsa-miR-4530-5p:Novel 16.0875927292107 1.38762752318462 0.309769638954104 4.47954656844278 7.48017699301344e-06 0.000692450670210387 M_F
hsa-miR-3615-5p:Novel 19.3979786311632 -1.02170717839362 0.229859361814604 -4.44492306220571 8.79233269663579e-06 0.000712178948427499 M_F
hsa-miR-324-5p 36.8072194859444 1.36876752406336 0.310598982101876 4.406864165493 1.04877911934342e-05 0.000755120965927264 M_F
hsa-miR-194-3p 131.235538653922 -1.018545108816 0.232911717729522 -4.37309517419309 1.22497288012023e-05 0.000793782426317908 M_F
hsa-miR-192-5p 1159.33270247596 -1.23601719803509 0.291652229645876 -4.23798302360265 2.25536818259596e-05 0.00124015041266446 M_F
hsa-miR-324-3p 31.6201984545078 1.31206151468016 0.309893190015469 4.23391528744037 2.29657483826751e-05 0.00124015041266446 M_F
hsa-miR-1202-3p:Novel 40.7198207154566 -1.02728569639608 0.25177395883868 -4.08019042610477 4.4998821872543e-05 0.00224301819795445 M_F
hsa-miR-148a-3p 259.093641831937 -1.14562561181747 0.289271524823362 -3.96038155679866 7.48301017249771e-05 0.00303984717884876 M_F
hsa-miR-21-5p 320.318767078528 -1.09406340785152 0.276732575144608 -3.95350423519821 7.70149000940351e-05 0.00303984717884876 M_F
hsa-miR-10a-5p 60.1605306976451 -1.10179645311378 0.29177305874726 -3.77621038023316 0.000159232512934721 0.00543066675693153 M_F
hsa-miR-375-3p 113.772651655228 -1.06155706360348 0.289748539245158 -3.66371843105407 0.000248580039887555 0.0080539932923568 M_F
hsa-let-7g-5p 355.953910745183 -1.14246337291085 0.319930541752541 -3.57097314514761 0.00035565736322499 0.00952933891986481 M_F
hsa-miR-27a-3p 25.7409873937353 -0.990221282092735 0.277973810247105 -3.56228265250053 0.000367644248451575 0.00952933891986481 M_F
hsa-miR-27b-3p 20.9155190705001 -1.20535908982195 0.335255969854945 -3.59533967536349 0.000323968594178959 0.00952933891986481 M_F
hsa-miR-378a-3p 141.402018220342 -1.03229285040913 0.28711579604451 -3.59538856667119 0.000323907754513406 0.00952933891986481 M_F
hsa-miR-3935 32.9184875882447 0.690753996531951 0.19317098385504 3.57586829422741 0.000349067368234583 0.00952933891986481 M_F
