miRNA	min	max	mean	median	sd	mad	mm_ratio
hsa-miR-647-3p:Novel	0	1112	149.96	103	167.724484831222	88.956	0.863650485436893
hsa-miR-6124-3p:Novel	0	1331	142.13	89	196.503563137131	81.543	0.916213483146067
hsa-miR-3178-3p:Novel	0	261	19.4	11	28.0316846459076	10.3782	0.943472727272727
hsa-miR-320e-5p:Novel	4	9036	1065.29	599	1298.23128308106	567.8358	0.947972954924875
hsa-miR-6717-3p:Novel	0	925	69.64	45	96.7585360383534	42.9954	0.955453333333333
hsa-miR-598-5p	0	653	45.88	23	70.2691068186765	22.239	0.966913043478261
hsa-miR-4487	0	1499	155.16	78	225.399279847845	75.6126	0.969392307692308
hsa-miR-4505	0	1453	118.93	56	187.773889150744	54.8562	0.979575
hsa-miR-3714-3p:Novel	0	2705	155.09	74	261.035338494377	72.6474	0.981721621621621
hsa-miR-6075	5	12526	1259.31	823	1408.90787637072	812.4648	0.987199027946537
hsa-miR-3934-5p	0	3156	25.96	3	217.698885013306	2.9652	0.9884
hsa-miR-4283	0	173	20.38	12	24.0569550746733	11.8608	0.9884
hsa-miR-4496-5p:Novel	0	303	15.88	9	25.9265071381433	8.8956	0.9884
hsa-miR-6069-3p:Novel	0	276	23.44	15	28.8144680351997	14.826	0.9884
hsa-miR-6756-5p	0	433	36.5	18	62.7192103651142	17.7912	0.9884
hsa-miR-7851-3p	0	181	15.38	9	21.5275489391366	8.8956	0.9884
hsa-miR-7851-5p:Novel	0	202	25.94	15	33.5624915512807	14.826	0.9884
hsa-miR-8064	0	3250	25.64	3	217.750682265414	2.9652	0.9884
hsa-miR-8072-3p:Novel	0	207	29.76	21	32.9854030394462	20.7564	0.9884
hsa-miR-12118-3p:Novel	0	1977	100.97	61	174.62421216098	60.7866	0.996501639344262
hsa-miR-3648-3p:Novel	0	3193	99.52	46	282.88451248291	45.9606	0.99914347826087
hsa-miR-657-5p:Novel	0	4240	363.34	161	570.909953239309	161.6034	1.00374782608696
hsa-miR-151a-3p	0	2190	162.8	93	242.479246520893	93.4038	1.00434193548387
hsa-miR-3190-3p	0	415	40.19	22	59.9775709150974	22.239	1.01086363636364
hsa-miR-3911-3p:Novel	0	725	40.56	22	67.8061177320626	22.239	1.01086363636364
hsa-miR-501-3p	0	676	77.37	44	104.769461919753	44.478	1.01086363636364
hsa-miR-6126-3p:Novel	0	1028	35.06	19	85.0416235393091	19.2738	1.01441052631579
hsa-miR-4306-5p:Novel	0	279	28.55	16	39.8162685962809	16.3086	1.0192875
hsa-miR-4313-3p:Novel	0	457	27.53	16	39.7612524015664	16.3086	1.0192875
hsa-miR-572	0	448	34.82	16	57.6822369048188	16.3086	1.0192875
hsa-miR-940	0	508	29.73	16	46.3300760938914	16.3086	1.0192875
