Initial_ID	Final_ID
hsa-let-7a-1-3p:Novel	hsa-let-7a-3p
hsa-let-7a-1-5p:Novel	hsa-let-7a-5p
hsa-let-7a-2-3p:mirBase	hsa-let-7a-2-3p
hsa-let-7a-2-5p:Novel	hsa-let-7a-5p
hsa-let-7a-3-3p:Novel	hsa-let-7a-3p
hsa-let-7a-3-5p:Novel	hsa-let-7a-5p
hsa-let-7b-3p:mirBase	hsa-let-7b-3p
hsa-let-7b-5p:mirBase	hsa-let-7b-5p
hsa-let-7c-3p:mirBase	hsa-let-7c-3p
hsa-let-7c-5p:mirBase	hsa-let-7c-5p
hsa-let-7d-3p:mirBase	hsa-let-7d-3p
hsa-let-7d-5p:mirBase	hsa-let-7d-5p
hsa-let-7e-3p:mirBase	hsa-let-7e-3p
hsa-let-7e-5p:mirBase	hsa-let-7e-5p
hsa-let-7f-1-3p:mirBase	hsa-let-7f-1-3p
hsa-let-7f-1-5p:Novel	hsa-let-7f-5p
hsa-let-7f-2-3p:mirBase	hsa-let-7f-2-3p
hsa-let-7f-2-5p:Novel	hsa-let-7f-5p
hsa-let-7g-3p:mirBase	hsa-let-7g-3p
hsa-let-7g-5p:mirBase	hsa-let-7g-5p
hsa-let-7i-3p:mirBase	hsa-let-7i-3p
hsa-let-7i-5p:mirBase	hsa-let-7i-5p
hsa-miR-1-1-3p:Novel	hsa-miR-1-3p
hsa-miR-1-1-5p:Novel	hsa-miR-1-5p
hsa-miR-1-2-3p:Novel	hsa-miR-1-3p
hsa-miR-1-2-5p:Novel	hsa-miR-1-2-5p:Novel
hsa-miR-100-3p:mirBase	hsa-miR-100-3p
hsa-miR-100-5p:mirBase	hsa-miR-100-5p
hsa-miR-101-1-3p:Novel	hsa-miR-101-3p
hsa-miR-101-1-5p:Novel	hsa-miR-101-5p
hsa-miR-101-2-3p:Novel	hsa-miR-101-3p
hsa-miR-101-2-5p:mirBase	hsa-miR-101-2-5p
hsa-miR-10226-3p:Novel	hsa-miR-10226-3p:Novel
hsa-miR-10226-5p:Novel	hsa-miR-10226
hsa-miR-10392-3p:mirBase	hsa-miR-10392-3p
hsa-miR-10392-5p:mirBase	hsa-miR-10392-5p
hsa-miR-10393-3p:mirBase	hsa-miR-10393-3p
hsa-miR-10393-5p:mirBase	hsa-miR-10393-5p
hsa-miR-10394-3p:mirBase	hsa-miR-10394-3p
hsa-miR-10394-5p:mirBase	hsa-miR-10394-5p
hsa-miR-10395-3p:mirBase	hsa-miR-10395-3p
hsa-miR-10395-5p:mirBase	hsa-miR-10395-5p
hsa-miR-10396a-3p:mirBase	hsa-miR-10396a-3p
hsa-miR-10396a-5p:mirBase	hsa-miR-10396a-5p
hsa-miR-10396b-3p:mirBase	hsa-miR-10396b-3p
hsa-miR-10396b-5p:mirBase	hsa-miR-10396b-5p
hsa-miR-10397-3p:mirBase	hsa-miR-10397-3p
hsa-miR-10397-5p:mirBase	hsa-miR-10397-5p
hsa-miR-10398-3p:mirBase	hsa-miR-10398-3p
