ID;N°samples > 10 reads;Median;Chromosome;Start;End;Strand;
hsa-let-7a-2-3p;1;0.00;11;122146522;122146593;-;
hsa-let-7a-3p;156;17.20;22;46112749;46112822;+;
hsa-let-7a-5p;78;5.88;22;46112749;46112822;+;
hsa-let-7b-3p;2;0.00;22;46113686;46113768;+;
hsa-let-7b-5p;124;11.96;22;46113686;46113768;+;
hsa-let-7c-3p;24;0.31;21;16539828;16539911;+;
hsa-let-7c-5p;38;2.95;21;16539828;16539911;+;
hsa-let-7d-3p;17;1.17;9;94178834;94178920;+;
hsa-let-7d-5p;43;3.45;9;94178834;94178920;+;
hsa-let-7e-3p;0;0.00;19;51692786;51692864;+;
hsa-let-7e-5p;21;2.17;19;51692786;51692864;+;
hsa-let-7f-1-3p;0;0.00;9;94176347;94176433;+;
hsa-let-7f-2-3p;2;0.00;X;53557192;53557274;-;
hsa-let-7f-5p;8;0.74;X;53557192;53557274;-;
hsa-let-7g-3p;17;0.05;3;52268278;52268361;-;
hsa-let-7g-5p;94;6.92;3;52268278;52268361;-;
hsa-let-7i-3p;0;0.00;12;62603686;62603769;+;
hsa-let-7i-5p;100;7.74;12;62603686;62603769;+;
hsa-miR-1-2-5p:Novel;51;3.85;18;21829004;21829088;-;
hsa-miR-1-3p;4;1.08;18;21829004;21829088;-;
hsa-miR-1-5p;76;6.42;20;62554306;62554376;+;
hsa-miR-100-3p;0;0.00;11;122152229;122152308;-;
hsa-miR-100-5p;23;0.48;11;122152229;122152308;-;
hsa-miR-101-2-5p;1;0.33;9;4850297;4850375;+;
hsa-miR-101-3p;14;1.97;9;4850297;4850375;+;
hsa-miR-101-5p;12;1.41;1;65058434;65058508;-;
hsa-miR-10226;10;1.40;17;48032882;48032951;+;
hsa-miR-10226-3p:Novel;64;5.76;17;48032882;48032951;+;
hsa-miR-10392-3p;3;0.39;11;64878523;64878609;-;
hsa-miR-10392-5p;231;79.78;11;64878523;64878609;-;
hsa-miR-10393-3p;1;0.00;15;44717844;44717893;+;
hsa-miR-10393-5p;1;0.00;15;44717844;44717893;+;
hsa-miR-10394-3p;15;0.77;19;58393364;58393446;+;
hsa-miR-10394-5p;4;0.00;19;58393364;58393446;+;
hsa-miR-10395-3p;5;0.00;19;12703601;12703664;-;
hsa-miR-10395-5p;8;1.39;19;12703601;12703664;-;
hsa-miR-10396a-3p;1;0.55;21;8987617;8987665;+;
hsa-miR-10396a-5p;22;2.29;21;8987617;8987665;+;
hsa-miR-10396b-3p;2;0.66;21;8436324;8436374;+;
hsa-miR-10396b-5p;18;1.27;21;8436324;8436374;+;
hsa-miR-10397-3p;136;12.67;5;10402364;10402431;+;
hsa-miR-10397-5p;12;0.90;5;10402364;10402431;+;
hsa-miR-10398-3p;3;0.73;6;41733554;41733610;-;
hsa-miR-10398-5p;1;0.00;6;41733554;41733610;-;
hsa-miR-10399-3p;1;0.00;7;139044100;139044157;-;
hsa-miR-10399-5p;3;0.00;7;139044100;139044157;-;
hsa-miR-103a-1-5p;3;0.00;5;168560896;168560973;-;
hsa-miR-103a-2-5p;0;0.00;20;3917494;3917571;+;
hsa-miR-103a-3p;5;1.02;20;3917494;3917571;+;
hsa-miR-103b-3p:Novel;13;0.75;20;3917502;3917563;-;
hsa-miR-103b-5p;0;0.00;20;3917502;3917563;-;
hsa-miR-10400-3p;11;1.15;8;144462485;144462539;-;
hsa-miR-10400-5p;190;33.20;8;144462485;144462539;-;
hsa-miR-10401-3p;3;0.00;21;8433797;8433852;+;
hsa-miR-10401-5p;204;36.01;21;8433797;8433852;+;
hsa-miR-105-3p;32;2.75;X;152394412;152394492;-;
hsa-miR-105-5p;20;1.70;X;152394412;152394492;-;
hsa-miR-10522-3p:Novel;45;3.94;5;17155930;17155992;-;
hsa-miR-10522-5p;1;0.00;5;17155930;17155992;-;
hsa-miR-10523-3p:Novel;106;8.90;5;172915083;172915158;+;
hsa-miR-10523-5p;12;0.66;5;172915083;172915158;+;
hsa-miR-10524-3p:Novel;14;0.43;6;78539263;78539309;-;
hsa-miR-10524-5p;11;0.00;6;78539263;78539309;-;
hsa-miR-10525-3p;1;0.00;7;74595968;74596026;+;
hsa-miR-10525-5p:Novel;0;0.00;7;74595968;74596026;+;
hsa-miR-10526-3p;16;2.43;11;122152103;122152156;-;
hsa-miR-10526-5p:Novel;16;2.10;11;122152103;122152156;-;
hsa-miR-10527-3p:Novel;61;4.91;12;63823663;63823727;+;
hsa-miR-10527-5p;52;4.08;12;63823663;63823727;+;
hsa-miR-106a-3p;1;0.00;X;134170198;134170278;-;
hsa-miR-106a-5p;3;0.00;X;134170198;134170278;-;
hsa-miR-106b-3p;8;0.00;7;100093993;100094074;-;
hsa-miR-106b-5p;76;3.63;7;100093993;100094074;-;
hsa-miR-107;46;3.37;10;89592747;89592827;-;
hsa-miR-107-5p:Novel;8;0.00;10;89592747;89592827;-;
hsa-miR-10a-3p;4;0.60;17;48579838;48579947;-;
hsa-miR-10a-5p;67;4.81;17;48579838;48579947;-;
hsa-miR-10b-3p;9;0.84;2;176150303;176150412;+;
hsa-miR-10b-5p;69;3.77;2;176150303;176150412;+;
hsa-miR-11181-3p;2;0.61;15;87946206;87946268;-;
hsa-miR-11181-5p;0;0.00;15;87946206;87946268;-;
hsa-miR-11399;25;2.28;1;112882050;112882129;+;
hsa-miR-11399-3p:Novel;229;123.43;1;112882050;112882129;+;
hsa-miR-11400;5;0.75;7;142474527;142474603;+;
hsa-miR-11400-3p:Novel;35;2.23;7;142474527;142474603;+;
hsa-miR-11401;6;0.67;16;87853896;87853964;+;
hsa-miR-11401-3p:Novel;27;2.12;16;87853896;87853964;+;
hsa-miR-1178-3p;0;0.00;12;119713634;119713724;-;
hsa-miR-1178-5p;1;0.00;12;119713634;119713724;-;
hsa-miR-1179;5;0.43;15;88608107;88608197;+;
hsa-miR-1179-3p:Novel;39;3.93;15;88608107;88608197;+;
hsa-miR-1180-3p;21;1.31;17;19344506;19344574;-;
