#bin	chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	type
589	chr1	632614	632685	hsa-mir-12136	0	-	0	0	miRNA
593	chr1	1167103	1167198	hsa-mir-200b	0	+	0	0	miRNA
593	chr1	1167862	1167952	hsa-mir-200a	0	+	0	0	miRNA
593	chr1	1169004	1169087	hsa-mir-429	0	+	0	0	miRNA
594	chr1	1296109	1296170	hsa-mir-6726	0	-	0	0	miRNA
595	chr1	1312501	1312566	hsa-mir-6727	0	-	0	0	miRNA
595	chr1	1339649	1339708	hsa-mir-6808	0	-	0	0	miRNA
608	chr1	3127974	3128035	hsa-mir-4251	0	+	0	0	miRNA
612	chr1	3560694	3560790	hsa-mir-551a	0	-	0	0	miRNA
629	chr1	5862671	5862741	hsa-mir-4689	0	-	0	0	miRNA
634	chr1	6429833	6429896	hsa-mir-4252	0	-	0	0	miRNA
652	chr1	8866501	8866590	hsa-mir-6728	0	-	0	0	miRNA
654	chr1	9151667	9151777	hsa-mir-34a	0	-	0	0	miRNA
661	chr1	9967380	9967458	hsa-mir-5697	0	+	0	0	miRNA
676	chr1	12029157	12029222	hsa-mir-6729	0	+	0	0	miRNA
677	chr1	12166942	12167038	hsa-mir-7846	0	+	0	0	miRNA
678	chr1	12191712	12191773	hsa-mir-4632	0	+	0	0	miRNA
680	chr1	12578956	12579023	hsa-mir-6730	0	-	0	0	miRNA
713	chr1	16858948	16859021	hsa-mir-3675	0	-	0	0	miRNA
716	chr1	17277888	17277975	hsa-mir-3972	0	+	0	0	miRNA
729	chr1	18883201	18883275	hsa-mir-4695	0	-	0	0	miRNA
729	chr1	18897070	18897148	hsa-mir-1290	0	-	0	0	miRNA
742	chr1	20633678	20633788	hsa-mir-6084	0	+	0	0	miRNA
745	chr1	20988313	20988432	hsa-mir-1256	0	-	0	0	miRNA
754	chr1	22266238	22266300	hsa-mir-4418	0	+	0	0	miRNA
757	chr1	22633257	22633366	hsa-mir-6127	0	-	0	0	miRNA
758	chr1	22719516	22719598	hsa-mir-4684	0	+	0	0	miRNA
759	chr1	22863158	22863226	hsa-mir-4253	0	-	0	0	miRNA
760	chr1	23044304	23044372	hsa-mir-3115	0	+	0	0	miRNA
767	chr1	23929069	23929147	hsa-mir-378f	0	+	0	0	miRNA
775	chr1	24919344	24919416	hsa-mir-6731	0	-	0	0	miRNA
775	chr1	25023502	25023586	hsa-mir-4425	0	+	0	0	miRNA
782	chr1	25906361	25906454	hsa-mir-3917	0	-	0	0	miRNA
787	chr1	26554541	26554593	hsa-mir-1976	0	+	0	0	miRNA
819	chr1	30739155	30739232	hsa-mir-4420	0	-	0	0	miRNA
827	chr1	31758659	31758735	hsa-mir-4254	0	-	0	0	miRNA
829	chr1	32086948	32087007	hsa-mir-5585	0	+	0	0	miRNA
839	chr1	33332392	33332492	hsa-mir-3605	0	-	0	0	miRNA
849	chr1	34669598	34669694	hsa-mir-552	0	-	0	0	miRNA
868	chr1	37161562	37161634	hsa-mir-4255	0	+	0	0	miRNA
870	chr1	37480229	37480289	hsa-mir-6732	0	+	0	0	miRNA
871	chr1	37500934	37500994	hsa-mir-5581	0	-	0	0	miRNA
875	chr1	38089230	38089329	hsa-mir-3659	0	+	0	0	miRNA
895	chr1	40754354	40754446	hsa-mir-30e	0	+	0	0	miRNA
895	chr1	40757283	40757372	hsa-mir-30c-1	0	+	0	0	miRNA
914	chr1	43171651	43171712	hsa-mir-6733	0	-	0	0	miRNA
915	chr1	43364647	43364715	hsa-mir-6734	0	-	0	0	miRNA
916	chr1	43448538	43448611	hsa-mir-6735	0	+	0	0	miRNA
919	chr1	43838621	43838683	hsa-mir-6079	0	+	0	0	miRNA
924	chr1	44545492	44545552	hsa-mir-5584	0	+	0	0	miRNA
974	chr1	51059836	51059905	hsa-mir-4421	0	+	0	0	miRNA
974	chr1	51060017	51060103	hsa-mir-6500	0	+	0	0	miRNA
980	chr1	51836343	51836402	hsa-mir-761	0	-	0	0	miRNA
997	chr1	54054078	54054154	hsa-mir-4781	0	+	0	0	miRNA
1006	chr1	55225640	55225723	hsa-mir-4422	0	+	0	0	miRNA
1040	chr1	59733226	59733296	hsa-mir-4711	0	-	0	0	miRNA
1056	chr1	61846074	61846176	hsa-mir-12132	0	+	0	0	miRNA
1068	chr1	63326924	63326984	hsa-mir-6068	0	-	0	0	miRNA
1077	chr1	64579846	64579923	hsa-mir-4794	0	+	0	0	miRNA
1081	chr1	65057754	65057842	hsa-mir-3671	0	-	0	0	miRNA
1093	chr1	66628439	66628517	hsa-mir-3117	0	+	0	0	miRNA
1105	chr1	68183517	68183610	hsa-mir-1262	0	-	0	0	miRNA
1127	chr1	71067630	71067716	hsa-mir-186	0	-	0	0	miRNA
1172	chr1	77060142	77060202	hsa-mir-7156	0	+	0	0	miRNA
1234	chr1	85133793	85133873	hsa-mir-4423	0	+	0	0	miRNA
1243	chr1	86357631	86357687	hsa-mir-7856	0	-	0	0	miRNA
1300	chr1	93846831	93846911	hsa-mir-760	0	+	0	0	miRNA
1306	chr1	94543701	94543779	hsa-mir-12133	0	+	0	0	miRNA
1333	chr1	98045241	98045351	hsa-mir-2682	0	-	0	0	miRNA
1333	chr1	98046069	98046171	hsa-mir-137	0	-	0	0	miRNA
1350	chr1	100281240	100281308	hsa-mir-553	0	+	0	0	miRNA
1408	chr1	107897222	107897304	hsa-mir-7852	0	+	0	0	miRNA
1421	chr1	109598892	109598967	hsa-mir-197	0	+	0	0	miRNA
1443	chr1	112461769	112461833	hsa-mir-4256	0	-	0	0	miRNA
1446	chr1	112882049	112882129	hsa-mir-11399	0	+	0	0	miRNA
1474	chr1	116560023	116560111	hsa-mir-548ac	0	-	0	0	miRNA
1475	chr1	116671745	116671817	hsa-mir-320b-1	0	+	0	0	miRNA
1478	chr1	117094642	117094728	hsa-mir-942	0	+	0	0	miRNA
1697	chr1	145850586	145850645	hsa-mir-6736	0	-	0	0	miRNA
1716	chr1	148334478	148334554	hsa-mir-5087	0	-	0	0	miRNA
1717	chr1	148388281	148388363	hsa-mir-6077	0	+	0	0	miRNA
1733	chr1	150492344	150492410	hsa-mir-6878	0	+	0	0	miRNA
1733	chr1	150551928	150552014	hsa-mir-4257	0	+	0	0	miRNA
1741	chr1	151545795	151545891	hsa-mir-554	0	+	0	0	miRNA
1757	chr1	153689704	153689793	hsa-mir-8083	0	-	0	0	miRNA
1759	chr1	153962350	153962420	hsa-mir-6737	0	-	0	0	miRNA
1760	chr1	154104520	154104592	hsa-mir-5698	0	-	0	0	miRNA
1761	chr1	154193664	154193743	hsa-mir-190b	0	-	0	0	miRNA
1767	chr1	154975692	154975783	hsa-mir-4258	0	+	0	0	miRNA
1769	chr1	155195176	155195272	hsa-mir-92b	0	+	0	0	miRNA
1770	chr1	155346349	155346445	hsa-mir-555	0	-	0	0	miRNA
1774	chr1	155951272	155951336	hsa-mir-6738	0	-	0	0	miRNA
1782	chr1	156936130	156936244	hsa-mir-765	0	-	0	0	miRNA
1804	chr1	159899978	159900079	hsa-mir-4259	0	-	0	0	miRNA
1815	chr1	161227185	161227261	hsa-mir-5187	0	+	0	0	miRNA
1822	chr1	162157106	162157182	hsa-mir-4654	0	+	0	0	miRNA
1823	chr1	162342545	162342640	hsa-mir-556	0	+	0	0	miRNA
1850	chr1	165907920	165907976	hsa-mir-3658	0	+	0	0	miRNA
1852	chr1	166154742	166154798	hsa-mir-921	0	-	0	0	miRNA
1866	chr1	167998659	167998726	hsa-mir-1255b-2	0	+	0	0	miRNA
1869	chr1	168375523	168375621	hsa-mir-557	0	+	0	0	miRNA
1890	chr1	171101727	171101806	hsa-mir-1295a	0	-	0	0	miRNA
1890	chr1	171101738	171101798	hsa-mir-1295b	0	+	0	0	miRNA
1898	chr1	172138797	172138907	hsa-mir-214	0	-	0	0	miRNA
1898	chr1	172138807	172138888	hsa-mir-3120	0	+	0	0	miRNA
1927	chr1	175968369	175968479	hsa-mir-1843	0	-	0	0	miRNA
1935	chr1	177029362	177029445	hsa-mir-488	0	-	0	0	miRNA
1948	chr1	178677748	178677834	hsa-mir-4424	0	+	0	0	miRNA
1956	chr1	179803923	179804025	hsa-mir-12116	0	+	0	0	miRNA
1961	chr1	180438313	180438390	hsa-mir-3121	0	-	0	0	miRNA
2055	chr1	192716327	192716390	hsa-mir-4426	0	+	0	0	miRNA
2058	chr1	193136502	193136583	hsa-mir-1278	0	+	0	0	miRNA
2084	chr1	196582412	196582481	hsa-mir-4735	0	-	0	0	miRNA
2123	chr1	201719507	201719627	hsa-mir-5191	0	+	0	0	miRNA
2124	chr1	201808610	201808702	hsa-mir-1231	0	+	0	0	miRNA
2125	chr1	201863372	201863447	hsa-mir-6739	0	+	0	0	miRNA
2126	chr1	202003123	202003236	hsa-mir-6740	0	+	0	0	miRNA
2152	chr1	205448301	205448398	hsa-mir-135b	0	-	0	0	miRNA
2160	chr1	206474802	206474864	hsa-mir-6769b	0	+	0	0	miRNA
2170	chr1	207801851	207801939	hsa-mir-29c	0	-	0	0	miRNA
2170	chr1	207802442	207802523	hsa-mir-29b-2	0	-	0	0	miRNA
2182	chr1	209432132	209432242	hsa-mir-205	0	+	0	0	miRNA
2184	chr1	209623443	209623510	hsa-mir-4260	0	-	0	0	miRNA
2203	chr1	212077612	212077685	hsa-mir-3122	0	+	0	0	miRNA
2264	chr1	220117852	220117962	hsa-mir-215	0	-	0	0	miRNA
2264	chr1	220118156	220118241	hsa-mir-194-1	0	-	0	0	miRNA
2264	chr1	220200537	220200619	hsa-mir-664a	0	-	0	0	miRNA
2295	chr1	224257039	224257110	hsa-mir-320b-2	0	-	0	0	miRNA
2297	chr1	224398226	224398311	hsa-mir-4742	0	-	0	0	miRNA
2308	chr1	225922079	225922142	hsa-mir-6741	0	-	0	0	miRNA
2324	chr1	227941589	227941683	hsa-mir-5008	0	-	0	0	miRNA
2325	chr1	228097262	228097341	hsa-mir-3620	0	+	0	0	miRNA
2327	chr1	228397047	228397109	hsa-mir-6742	0	-	0	0	miRNA
2328	chr1	228462073	228462152	hsa-mir-4666a	0	+	0	0	miRNA
2347	chr1	231019827	231019924	hsa-mir-1182	0	-	0	0	miRNA
2367	chr1	233624151	233624219	hsa-mir-4427	0	+	0	0	miRNA
2372	chr1	234306466	234306539	hsa-mir-4671	0	+	0	0	miRNA
2379	chr1	235190033	235190116	hsa-mir-4753	0	-	0	0	miRNA
2384	chr1	235852999	235853060	hsa-mir-1537	0	-	0	0	miRNA
2396	chr1	237471118	237471191	hsa-mir-4428	0	+	0	0	miRNA
2424	chr1	241132271	241132346	hsa-mir-3123	0	+	0	0	miRNA
2441	chr1	243346175	243346255	hsa-mir-4677	0	+	0	0	miRNA
2471	chr1	247201966	247202060	hsa-mir-3916	0	-	0	0	miRNA
2483	chr1	248826376	248826443	hsa-mir-3124	0	+	0	0	miRNA
630	chr2	5974661	5974732	hsa-mir-7158	0	+	0	0	miRNA
635	chr2	6650372	6650439	hsa-mir-7515	0	+	0	0	miRNA
662	chr2	10192613	10192671	hsa-mir-4261	0	-	0	0	miRNA
673	chr2	11540604	11540677	hsa-mir-4429	0	-	0	0	miRNA
674	chr2	11767443	11767525	hsa-mir-548s	0	+	0	0	miRNA
675	chr2	11836932	11836986	hsa-mir-4262	0	-	0	0	miRNA
678	chr2	12199129	12199201	hsa-mir-3681	0	+	0	0	miRNA
682	chr2	12737366	12737444	hsa-mir-3125	0	+	0	0	miRNA
732	chr2	19348428	19348505	hsa-mir-4757	0	+	0	0	miRNA
778	chr2	25328639	25328721	hsa-mir-1301	0	-	0	0	miRNA
798	chr2	27996366	27996449	hsa-mir-4263	0	+	0	0	miRNA
833	chr2	32532152	32532246	hsa-mir-558	0	+	0	0	miRNA
833	chr2	32635254	32635331	hsa-mir-4765	0	+	0	0	miRNA
839	chr2	33418515	33418564	hsa-mir-4430	0	+	0	0	miRNA
855	chr2	35471404	35471486	hsa-mir-548ad	0	+	0	0	miRNA
946	chr2	47377674	47377770	hsa-mir-559	0	+	0	0	miRNA
959	chr2	49059602	49059658	hsa-mir-548ba	0	+	0	0	miRNA
971	chr2	50696171	50696262	hsa-mir-8485	0	-	0	0	miRNA
987	chr2	52702521	52702615	hsa-mir-4431	0	-	0	0	miRNA
995	chr2	53849121	53849205	hsa-mir-3682	0	-	0	0	miRNA
1012	chr2	55982966	55983076	hsa-mir-217	0	-	0	0	miRNA
1012	chr2	55988949	55989059	hsa-mir-216a	0	-	0	0	miRNA
1012	chr2	56000713	56000795	hsa-mir-216b	0	-	0	0	miRNA
1045	chr2	60387361	60387445	hsa-mir-4432	0	-	0	0	miRNA
1059	chr2	62205825	62205917	hsa-mir-5192	0	+	0	0	miRNA
1075	chr2	64340746	64340848	hsa-mir-4433b	0	-	0	0	miRNA
1075	chr2	64340758	64340839	hsa-mir-4433a	0	+	0	0	miRNA
1077	chr2	64525512	64525565	hsa-mir-4434	0	+	0	0	miRNA
1091	chr2	66358248	66358328	hsa-mir-4778	0	-	0	0	miRNA
1112	chr2	69103681	69103755	hsa-mir-3126	0	+	0	0	miRNA
1120	chr2	70252917	70253005	hsa-mir-1285-2	0	-	0	0	miRNA
1157	chr2	75090811	75090914	hsa-mir-5000	0	+	0	0	miRNA
1192	chr2	79649293	79649359	hsa-mir-4264	0	-	0	0	miRNA
1194	chr2	79866494	79866583	hsa-mir-8080	0	-	0	0	miRNA
1239	chr2	85783599	85783677	hsa-mir-6071	0	-	0	0	miRNA
1242	chr2	86193025	86193108	hsa-mir-4779	0	-	0	0	miRNA
1257	chr2	88082518	88082599	hsa-mir-4780	0	-	0	0	miRNA
1262	chr2	88812369	88812454	hsa-mir-4436a	0	+	0	0	miRNA
1323	chr2	96798277	96798353	hsa-mir-3127	0	+	0	0	miRNA
1357	chr2	101309449	101309534	hsa-mir-5696	0	+	0	0	miRNA
1366	chr2	102432288	102432366	hsa-mir-4772	0	+	0	0	miRNA
1417	chr2	109141489	109141588	hsa-mir-4265	0	-	0	0	miRNA
1418	chr2	109313570	109313625	hsa-mir-4266	0	-	0	0	miRNA
1424	chr2	110069960	110070042	hsa-mir-4267	0	-	0	0	miRNA
1451	chr2	113582958	113583096	hsa-mir-1302-3	0	-	0	0	miRNA
1452	chr2	113721289	113721368	hsa-mir-4782	0	-	0	0	miRNA
1557	chr2	127423536	127423618	hsa-mir-4783	0	-	0	0	miRNA
1588	chr2	131491159	131491236	hsa-mir-4784	0	-	0	0	miRNA
1594	chr2	132256965	132257080	hsa-mir-663b	0	-	0	0	miRNA
1595	chr2	132433710	132433820	hsa-mir-9986	0	+	0	0	miRNA
1608	chr2	134127124	134127192	hsa-mir-3679	0	+	0	0	miRNA
1613	chr2	134857819	134857873	hsa-mir-5590	0	+	0	0	miRNA
1620	chr2	135665396	135665478	hsa-mir-128-1	0	+	0	0	miRNA
1657	chr2	140586625	140586685	hsa-mir-7157	0	-	0	0	miRNA
1724	chr2	149330277	149330373	hsa-mir-9899	0	-	0	0	miRNA
1799	chr2	159186834	159186901	hsa-mir-6888	0	+	0	0	miRNA
1808	chr2	160407809	160407882	hsa-mir-4785	0	-	0	0	miRNA
1871	chr2	168582942	168583018	hsa-mir-4774	0	+	0	0	miRNA
1921	chr2	175167632	175167709	hsa-mir-933	0	-	0	0	miRNA
1928	chr2	176150302	176150412	hsa-mir-10b	0	+	0	0	miRNA
1929	chr2	176188842	176188901	hsa-mir-7704	0	+	0	0	miRNA
1932	chr2	176600979	176601052	hsa-mir-1246	0	-	0	0	miRNA
1937	chr2	177255944	177256010	hsa-mir-3128	0	-	0	0	miRNA
1937	chr2	177313805	177313882	hsa-mir-6512	0	-	0	0	miRNA
1957	chr2	179860835	179860908	hsa-mir-1258	0	-	0	0	miRNA
1968	chr2	181305592	181305652	hsa-mir-4437	0	-	0	0	miRNA
1991	chr2	184378974	184379044	hsa-mir-548ae-1	0	+	0	0	miRNA
2021	chr2	188297491	188297588	hsa-mir-561	0	+	0	0	miRNA
2026	chr2	188978091	188978161	hsa-mir-1245a	0	+	0	0	miRNA
2026	chr2	188978092	188978161	hsa-mir-1245b	0	-	0	0	miRNA
2026	chr2	188995629	188995692	hsa-mir-3606	0	+	0	0	miRNA
2027	chr2	189133035	189133111	hsa-mir-3129	0	-	0	0	miRNA
2165	chr2	207109986	207110073	hsa-mir-2355	0	-	0	0	miRNA
2165	chr2	207166399	207166498	hsa-mir-7845	0	+	0	0	miRNA
2166	chr2	207269274	207269424	hsa-mir-1302-4	0	-	0	0	miRNA
2170	chr2	207754806	207754881	hsa-mir-4775	0	+	0	0	miRNA
2205	chr2	212426262	212426360	hsa-mir-548f-2	0	-	0	0	miRNA
2215	chr2	213758066	213758159	hsa-mir-4438	0	+	0	0	miRNA
2247	chr2	217900512	217900628	hsa-mir-6809	0	-	0	0	miRNA
2250	chr2	218280124	218280188	hsa-mir-6513	0	-	0	0	miRNA
2250	chr2	218341910	218341980	hsa-mir-6810	0	+	0	0	miRNA
2251	chr2	218402645	218402722	hsa-mir-26b	0	+	0	0	miRNA
2254	chr2	218823089	218823154	hsa-mir-9500	0	+	0	0	miRNA
2255	chr2	219001644	219001708	hsa-mir-375	0	-	0	0	miRNA
2256	chr2	219058687	219058750	hsa-mir-3131	0	-	0	0	miRNA
2258	chr2	219294110	219294200	hsa-mir-153-1	0	-	0	0	miRNA
2260	chr2	219549072	219549147	hsa-mir-3132	0	-	0	0	miRNA
2262	chr2	219906501	219906565	hsa-mir-4268	0	-	0	0	miRNA
2301	chr2	225010460	225010540	hsa-mir-4439	0	-	0	0	miRNA
2314	chr2	226658709	226658793	hsa-mir-5702	0	-	0	0	miRNA
2320	chr2	227472131	227472187	hsa-mir-5703	0	+	0	0	miRNA
2350	chr2	231362707	231362793	hsa-mir-4777	0	+	0	0	miRNA
2354	chr2	231892241	231892298	hsa-mir-1471	0	-	0	0	miRNA
2356	chr2	232172652	232172747	hsa-mir-562	0	+	0	0	miRNA
2359	chr2	232550473	232550573	hsa-mir-5001	0	-	0	0	miRNA
2397	chr2	237510930	237510988	hsa-mir-6811	0	+	0	0	miRNA
2408	chr2	239068816	239068914	hsa-mir-4440	0	-	0	0	miRNA
2409	chr2	239085826	239085926	hsa-mir-4441	0	-	0	0	miRNA
2410	chr2	239305461	239305545	hsa-mir-4269	0	+	0	0	miRNA
2411	chr2	239351723	239351804	hsa-mir-2467	0	-	0	0	miRNA
2415	chr2	239943014	239943094	hsa-mir-4786	0	-	0	0	miRNA
2419	chr2	240456000	240456089	hsa-mir-149	0	+	0	0	miRNA
2427	chr2	241477904	241477982	hsa-mir-3133	0	+	0	0	miRNA
625	chr3	5250176	5250255	hsa-mir-4790	0	-	0	0	miRNA
663	chr3	10280350	10280452	hsa-mir-12127	0	+	0	0	miRNA
663	chr3	10330228	10330285	hsa-mir-378b	0	+	0	0	miRNA
664	chr3	10394488	10394562	hsa-mir-885	0	-	0	0	miRNA
703	chr3	15496238	15496308	hsa-mir-4270	0	-	0	0	miRNA
704	chr3	15697297	15697371	hsa-mir-3134	0	-	0	0	miRNA
706	chr3	15873770	15873849	hsa-mir-563	0	+	0	0	miRNA
714	chr3	16933195	16933260	hsa-mir-3714	0	+	0	0	miRNA
732	chr3	19314847	19314931	hsa-mir-4791	0	-	0	0	miRNA
738	chr3	20137564	20137641	hsa-mir-3135a	0	+	0	0	miRNA
780	chr3	25664872	25664939	hsa-mir-4442	0	-	0	0	miRNA
822	chr3	31161703	31161787	hsa-mir-466	0	-	0	0	miRNA
833	chr3	32506282	32506389	hsa-mir-548ay	0	-	0	0	miRNA
857	chr3	35744475	35744559	hsa-mir-128-2	0	+	0	0	miRNA
874	chr3	37969403	37969480	hsa-mir-26a-1	0	+	0	0	miRNA
883	chr3	39138205	39138266	hsa-mir-6822	0	+	0	0	miRNA
921	chr3	44114211	44114310	hsa-mir-138-1	0	+	0	0	miRNA
927	chr3	44861887	44861981	hsa-mir-564	0	+	0	0	miRNA
950	chr3	47849554	47849629	hsa-mir-1226	0	+	0	0	miRNA
952	chr3	48196563	48196616	hsa-mir-4443	0	+	0	0	miRNA
953	chr3	48316359	48316459	hsa-mir-2115	0	-	0	0	miRNA
955	chr3	48549960	48550021	hsa-mir-6823	0	-	0	0	miRNA
955	chr3	48578901	48578977	hsa-mir-711	0	-	0	0	miRNA
956	chr3	48633635	48633698	hsa-mir-6824	0	-	0	0	miRNA
956	chr3	48644193	48644280	hsa-mir-4793	0	-	0	0	miRNA
958	chr3	49020147	49020234	hsa-mir-425	0	-	0	0	miRNA
958	chr3	49020617	49020709	hsa-mir-191	0	-	0	0	miRNA
959	chr3	49099853	49099914	hsa-mir-6890	0	-	0	0	miRNA
960	chr3	49274119	49274186	hsa-mir-4271	0	+	0	0	miRNA
964	chr3	49806136	49806245	hsa-mir-5193	0	-	0	0	miRNA
968	chr3	50227435	50227490	hsa-mir-5787	0	+	0	0	miRNA
968	chr3	50273235	50273297	hsa-mir-6872	0	+	0	0	miRNA
971	chr3	50675079	50675163	hsa-mir-4787	0	+	0	0	miRNA
983	chr3	52268277	52268361	hsa-let-7g	0	-	0	0	miRNA
988	chr3	52846462	52846552	hsa-mir-8064	0	-	0	0	miRNA
1011	chr3	55852491	55852594	hsa-mir-3938	0	-	0	0	miRNA
1047	chr3	60617804	60617870	hsa-mir-548bb	0	-	0	0	miRNA
1097	chr3	67225463	67225527	hsa-mir-4272	0	+	0	0	miRNA
1111	chr3	69048957	69049035	hsa-mir-3136	0	-	0	0	miRNA
1130	chr3	71541969	71542089	hsa-mir-1284	0	-	0	0	miRNA
1162	chr3	75630762	75630858	hsa-mir-1324	0	+	0	0	miRNA
1162	chr3	75738279	75738363	hsa-mir-4273	0	+	0	0	miRNA
1191	chr3	79507886	79507969	hsa-mir-3923	0	+	0	0	miRNA
1236	chr3	85385709	85385792	hsa-mir-5688	0	+	0	0	miRNA
1250	chr3	87226188	87226277	hsa-mir-4795	0	-	0	0	miRNA
1320	chr3	96359963	96360039	hsa-mir-8060	0	+	0	0	miRNA
1347	chr3	99964313	99964398	hsa-mir-3921	0	-	0	0	miRNA
1374	chr3	103524032	103524116	hsa-mir-548ab	0	-	0	0	miRNA
1421	chr3	109602827	109602897	hsa-mir-4445	0	+	0	0	miRNA
1440	chr3	112112800	112112898	hsa-mir-567	0	+	0	0	miRNA
1445	chr3	112737088	112737181	hsa-mir-9900	0	+	0	0	miRNA
1450	chr3	113432117	113432200	hsa-mir-8076	0	-	0	0	miRNA
1451	chr3	113594875	113594942	hsa-mir-4446	0	+	0	0	miRNA
1457	chr3	114316474	114316569	hsa-mir-568	0	-	0	0	miRNA
1460	chr3	114743444	114743525	hsa-mir-4796	0	-	0	0	miRNA
1476	chr3	116850276	116850367	hsa-mir-4447	0	-	0	0	miRNA
1501	chr3	120084563	120084648	hsa-mir-6529	0	-	0	0	miRNA
1503	chr3	120395667	120395729	hsa-mir-198	0	-	0	0	miRNA
1508	chr3	121049639	121049715	hsa-mir-5682	0	+	0	0	miRNA
1524	chr3	123161793	123161879	hsa-mir-7110	0	+	0	0	miRNA
1532	chr3	124132928	124133025	hsa-mir-5002	0	+	0	0	miRNA
1533	chr3	124374331	124374437	hsa-mir-6083	0	+	0	0	miRNA
1536	chr3	124732438	124732516	hsa-mir-544b	0	+	0	0	miRNA
1539	chr3	125151464	125151552	hsa-mir-5092	0	-	0	0	miRNA
1558	chr3	127575265	127575331	hsa-mir-6825	0	-	0	0	miRNA
1558	chr3	127587110	127587176	hsa-mir-7976	0	-	0	0	miRNA
1568	chr3	128846807	128846908	hsa-mir-12124	0	+	0	0	miRNA
1571	chr3	129272145	129272243	hsa-mir-6826	0	+	0	0	miRNA
1591	chr3	131985854	131985931	hsa-mir-5704	0	-	0	0	miRNA
1610	chr3	134367803	134367862	hsa-mir-6827	0	-	0	0	miRNA
1610	chr3	134437826	134437906	hsa-mir-4788	0	+	0	0	miRNA
1741	chr3	151565875	151565995	hsa-mir-5186	0	-	0	0	miRNA
1800	chr3	159282645	159282734	hsa-mir-3919	0	+	0	0	miRNA
1808	chr3	160404587	160404685	hsa-mir-15b	0	+	0	0	miRNA
1808	chr3	160404744	160404825	hsa-mir-16-2	0	+	0	0	miRNA
1837	chr3	164171470	164171556	hsa-mir-1263	0	-	0	0	miRNA
1870	chr3	168551853	168551949	hsa-mir-551b	0	+	0	0	miRNA
